Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3231124731736546e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999966,9.108817024693008e-17,9.108817024693008e-17,6.293673835257288e-17,6.293673835257288e-17,5.4511465274984e-17,5.4511465274984e-17,5.450997987678099e-17,5.450997987678099e-17,4.86046606011883e-17,4.86046606011883e-17,4.400751551559923e-17,4.400751551559923e-17
3.704714924886233e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.099999999999999,2.5504687669140317e-16,2.5504687669140317e-16,1.7622286738720325e-16,1.7622286738720325e-16,1.5263210276995458e-16,1.5263210276995458e-16,1.5262794365498612e-16,1.5262794365498612e-16,1.3609304968332666e-16,1.3609304968332666e-16,1.2322104344367732e-16,1.2322104344367732e-16
8.467919828311389e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999773,5.829642895803452e-16,5.829642895803452e-16,4.027951254564612e-16,4.027951254564612e-16,3.488733777598932e-16,3.488733777598932e-16,3.488638712113939e-16,3.488638712113939e-16,3.1106982784760123e-16,3.1106982784760123e-16,2.8164809929983156e-16,2.8164809929983156e-16
1.7994329635161702e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999516,1.2387991153582126e-15,1.2387991153582126e-15,8.559396415949654e-16,8.559396415949654e-16,7.413559277397604e-16,7.413559277397604e-16,7.413357263241993e-16,7.413357263241993e-16,6.610233841761413e-16,6.610233841761413e-16,5.985022110121319e-16,5.985022110121319e-16
3.7047149248862326e-17,0.11224537200000115,0.9,0.0,0.0,0.0,0.0,0.09999999999999004,2.5504687669138795e-15,2.5504687669138795e-15,1.7622286738719276e-15,1.7622286738719276e-15,1.5263210276994545e-15,1.5263210276994545e-15,1.52627943654977e-15,1.52627943654977e-15,1.3609304968331857e-15,1.3609304968331857e-15,1.2322104344367e-15,1.2322104344367e-15
7.515278847626358e-17,0.11224537200000224,0.9,0.0,0.0,0.0,0.0,0.0999999999999798,5.173808070024946e-15,5.173808070024946e-15,3.574806738425666e-15,3.574806738425666e-15,3.0962512276186825e-15,3.0962512276186825e-15,3.0961668570007506e-15,3.0961668570007506e-15,2.760744722147131e-15,2.760744722147131e-15,2.4996268812857065e-15,2.4996268812857065e-15
1.5136406693106609e-16,0.11224537200000459,0.9,0.0,0.0,0.0,0.0,0.09999999999995932,1.0420486676246004e-14,1.0420486676246004e-14,7.1999628675324e-15,7.1999628675324e-15,6.236111627456494e-15,6.236111627456494e-15,6.2359416979020684e-15,6.2359416979020684e-15,5.560373172774447e-15,5.560373172774447e-15,5.0344597749832e-15,5.0344597749832e-15
3.037866238406711e-16,0.11224537200000917,0.9,0.0,0.0,0.0,0.0,0.09999999999991835,2.0913843888683817e-14,2.0913843888683817e-14,1.44502751257429e-14,1.44502751257429e-14,1.2515832427129547e-14,1.2515832427129547e-14,1.2515491379702133e-14,1.2515491379702133e-14,1.1159630074026788e-14,1.1159630074026788e-14,1.010412556237611e-14,1.010412556237611e-14
6.086317376598811e-16,0.11224537200001838,0.9,0.0,0.0,0.0,0.0,0.0999999999998364,4.1900558313542256e-14,4.1900558313542256e-14,2.8950899642152014e-14,2.8950899642152014e-14,2.507527402646536e-14,2.507527402646536e-14,2.5074590743291968e-14,2.5074590743291968e-14,2.235814387652229e-14,2.235814387652229e-14,2.0243457137153623e-14,2.0243457137153623e-14
1.2183219652983011e-15,0.11224537200003674,0.9,0.0,0.0,0.0,0.0,0.09999999999967252,8.387398716319033e-14,8.387398716319033e-14,5.795214867492271e-14,5.795214867492271e-14,5.019415722509581e-14,5.019415722509581e-14,5.0192789470430475e-14,5.0192789470430475e-14,4.475517148147659e-14,4.475517148147659e-14,4.0522120286675414e-14,4.0522120286675414e-14
2.4377024205751412e-15,0.11224537200007353,0.9,0.0,0.0,0.0,0.0,0.09999999999934474,1.6782084486221132e-13,1.6782084486221132e-13,1.1595464674027403e-13,1.1595464674027403e-13,1.0043192362219206e-13,1.0043192362219206e-13,1.0042918692454282e-13,1.0042918692454282e-13,8.954922669123837e-14,8.954922669123837e-14,8.107944658558605e-14,8.107944658558605e-14
4.876463331128822e-15,0.11224537200014711,0.9,0.0,0.0,0.0,0.0,0.09999999999868919,3.3571456025915267e-13,3.3571456025915267e-13,2.319596428702161e-13,2.319596428702161e-13,2.0090745641572591e-13,2.0090745641572591e-13,2.0090198183210888e-13,2.0090198183210888e-13,1.7913733711017464e-13,1.7913733711017464e-13,1.6219409918287557e-13,1.6219409918287557e-13
9.753985152236182e-15,0.1122453720002943,0.9,0.0,0.0,0.0,0.0,0.09999999999737809,6.71501991048633e-13,6.71501991048633e-13,4.639696351270584e-13,4.639696351270584e-13,4.018585220001589e-13,4.018585220001589e-13,4.018475716446064e-13,4.018475716446064e-13,3.5831355794569794e-13,3.5831355794569794e-13,3.2442340437532766e-13,3.2442340437532766e-13
1.95090287944509e-14,0.11224537200058864,0.9,0.0,0.0,0.0,0.0,0.0999999999947559,1.3430768526099834e-12,1.3430768526099834e-12,9.279896196285756e-13,9.279896196285756e-13,8.037606531584861e-13,8.037606531584861e-13,8.03738751259063e-13,8.03738751259063e-13,7.16665999607348e-13,7.16665999607348e-13,6.48882014751724e-13,6.48882014751724e-13
3.9019116078880343e-14,0.1122453720011773,0.9,0.0,0.0,0.0,0.0,0.09999999998951149,2.686226575662244e-12,2.686226575662244e-12,1.8560295885829397e-12,1.8560295885829397e-12,1.607564915432986e-12,1.607564915432986e-12,1.6075211104458228e-12,1.6075211104458228e-12,1.433370882893061e-12,1.433370882893061e-12,1.2977992354704846e-12,1.2977992354704846e-12
7.803929064773922e-14,0.11224537200235464,0.9,0.0,0.0,0.0,0.0,0.0999999999790227,5.372526021485006e-12,5.372526021485006e-12,3.712109526296988e-12,3.712109526296988e-12,3.215173439813367e-12,3.215173439813367e-12,3.2150858286507283e-12,3.2150858286507283e-12,2.8667806493141396e-12,2.8667806493141396e-12,2.5956336767718782e-12,2.5956336767718782e-12
1.5607963978545699e-13,0.1122453720047093,0.9,0.0,0.0,0.0,0.0,0.09999999995804511,1.0745124912003486e-11,1.0745124912003486e-11,7.424269400946362e-12,7.424269400946362e-12,6.4303904878996546e-12,6.4303904878996546e-12,6.430215264386083e-12,6.430215264386083e-12,5.733600181554907e-12,5.733600181554907e-12,5.191302558830158e-12,5.191302558830158e-12
3.121603380608925e-13,0.11224537200941852,0.9,0.0,0.0,0.0,0.0,0.09999999991608992,2.1490322688532275e-11,2.1490322688532275e-11,1.484858914713022e-11,1.484858914713022e-11,1.2860824581374328e-11,1.2860824581374328e-11,1.2860474133158963e-11,1.2860474133158963e-11,1.1467239243630883e-11,1.1467239243630883e-11,1.0382640320768681e-11,1.0382640320768681e-11
6.243217346117636e-13,0.1122453720188371,0.9,0.0,0.0,0.0,0.0,0.09999999983217954,4.298071822355719e-11,4.298071822355719e-11,2.969722862703839e-11,2.969722862703839e-11,2.572169275753207e-11,2.572169275753207e-11,2.5720991859913416e-11,2.5720991859913416e-11,2.29345173581606e-11,2.29345173581606e-11,2.0765315835933586e-11,2.0765315835933586e-11
1e-12,0.11224537203767414,0.9,0.0,0.0,0.0,0.0,0.09999999973119555,6.884386015193656e-11,6.884386015193656e-11,4.756718684564393e-11,4.756718684564393e-11,4.11994190013343e-11,4.11994190013343e-11,4.119829634681305e-11,4.119829634681305e-11,3.673509357021387e-11,3.673509357021387e-11,3.3260600532177214e-11,3.3260600532177214e-11
1.2486445277135058e-12,0.11224537203767414,0.9,0.0,0.0,0.0,0.0,0.0999999996643588,8.596150922147633e-11,8.596150922147633e-11,5.939450753701653e-11,5.939450753701653e-11,5.144342906668115e-11,5.144342906668115e-11,5.1442027270257076e-11,5.1442027270257076e-11,4.5869073548731094e-11,4.5869073548731094e-11,4.153066683141482e-11,4.153066683141482e-11
2.49729011391699e-12,0.11224537207534839,0.9,0.0,0.0,0.0,0.0,0.0999999993287173,1.719230909287918e-10,1.719230909287918e-10,1.1878906515762e-10,1.1878906515762e-10,1.0288690151231362e-10,1.0288690151231362e-10,1.0288409791828346e-10,1.0288409791828346e-10,9.17381857759163e-11,9.17381857759163e-11,8.306136868298301e-11,8.306136868298301e-11
