Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3593688428557651e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999963,9.3584198695833e-17,9.35841582193941e-17,6.466135186696579e-17,6.466135186696579e-17,5.60052066439114e-17,5.60052066439114e-17,5.600368054233098e-17,5.600368054233098e-17,4.9936541736586605e-17,4.9936541736586605e-17,4.521342414670573e-17,4.521342414670573e-17,4.047643887086913e-23
3.806232759996142e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999899,2.620357563483313e-16,2.6203551189341565e-16,1.8105178522750347e-16,1.8105178522750347e-16,1.5681457860295132e-16,1.5681457860295132e-16,1.5681030551852606e-16,1.5681030551852606e-16,1.3982231686244193e-16,1.3982231686244193e-16,1.2659758761077551e-16,1.2659758761077551e-16,2.444549155814614e-22
8.699960594276896e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999767,5.989388716533235e-16,5.989376949400457e-16,4.138326519485758e-16,4.138326519485758e-16,3.584333225210284e-16,3.584333225210284e-16,3.5842355547091354e-16,3.5842355547091354e-16,3.195938671141502e-16,3.195938671141502e-16,2.8936591453891297e-16,2.8936591453891297e-16,1.1767132776595147e-21
1.8487416262838405e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999504,1.27274510226329e-15,1.2727399652837484e-15,8.793943853907081e-16,8.793943853907081e-16,7.61670810357172e-16,7.61670810357172e-16,7.61650055375678e-16,7.61650055375678e-16,6.791369676175573e-16,6.791369676175573e-16,6.149025683951793e-16,6.149025683951793e-16,5.136979541593672e-21
3.8062327599961424e-17,0.11224537200000115,0.9,0.0,0.0,0.0,0.0,0.09999999999998978,2.620357563483152e-15,2.620336134605518e-15,1.810517852274924e-15,1.810517852274924e-15,1.568145786029417e-15,1.568145786029417e-15,1.5681030551851644e-15,1.5681030551851644e-15,1.3982231686243336e-15,1.3982231686243336e-15,1.2659758761076777e-15,1.2659758761076777e-15,2.142887763407764e-20
7.721215027420747e-17,0.11224537200000236,0.9,0.0,0.0,0.0,0.0,0.09999999999997926,5.315582485922593e-15,5.315495080589359e-15,3.672764786043159e-15,3.672764786043159e-15,3.181095737373737e-15,3.181095737373737e-15,3.1810090548039674e-15,3.1810090548039674e-15,2.836395570637735e-15,2.836395570637735e-15,2.568122491532537e-15,2.568122491532537e-15,8.740533323354398e-20
1.5551179562269954e-16,0.1122453720000047,0.9,0.0,0.0,0.0,0.0,0.0999999999999582,1.0706032330800341e-14,1.0705680140237219e-14,7.397258653578844e-15,7.397258653578844e-15,6.406995640061698e-15,6.406995640061698e-15,6.406821054040894e-15,6.406821054040894e-15,5.712740374663933e-15,5.712740374663933e-15,5.172415722381708e-15,5.172415722381708e-15,3.521905631209245e-19
3.121110863196837e-16,0.11224537200000945,0.9,0.0,0.0,0.0,0.0,0.09999999999991611,2.14869320205513e-14,2.148552477186678e-14,1.4846246388647085e-14,1.4846246388647085e-14,1.2858795445434904e-14,1.2858795445434904e-14,1.2858445052512032e-14,1.2858445052512032e-14,1.1465429982713905e-14,1.1465429982713905e-14,1.0381002184077859e-14,1.0381002184077859e-14,1.407248684513969e-18
6.25309667713652e-16,0.11224537200001891,0.9,0.0,0.0,0.0,0.0,0.09999999999983193,4.304873140003506e-14,4.30431578009466e-14,2.9744221858771026e-14,2.9744221858771026e-14,2.5762395056170456e-14,2.5762395056170456e-14,2.5761693049443448e-14,2.5761693049443448e-14,2.2970809198804167e-14,2.2970809198804167e-14,2.0798175107461394e-14,2.0798175107461394e-14,5.57359908844807e-18
