Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3946830052690606e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999963,9.601536195916037e-17,9.601531930140584e-17,6.634114723206787e-17,6.634114723206787e-17,5.746012962070875e-17,5.746012962070875e-17,5.745856387352414e-17,5.745856387352414e-17,5.123381079973463e-17,5.123381079973463e-17,4.638799439816425e-17,4.638799439816425e-17,4.2606670937658327e-23,5.108358536374883e-26
3.9051124147533704e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999895,2.6884301348564783e-16,2.688427558574073e-16,1.857552122497892e-16,1.857552122497892e-16,1.6088836293798384e-16,1.6088836293798384e-16,1.608839788458669e-16,1.608839788458669e-16,1.4345467023925638e-16,1.4345467023925638e-16,1.2988638431485938e-16,1.2988638431485938e-16,2.57319695808411e-22,3.0854471851010306e-25
8.92597123372199e-18,0.11224537200000027,0.9,0.0,0.0,0.0,0.0,0.0999999999999976,6.144983165386181e-16,6.144970764199983e-16,4.2458334228522865e-16,4.2458334228522865e-16,3.677448295725312e-16,3.677448295725312e-16,3.677348087905496e-16,3.677348087905496e-16,3.2789638911829734e-16,3.2789638911829734e-16,2.968831641482473e-16,2.968831641482473e-16,1.23863311114978e-21,1.4855086064505338e-24
1.8967688871659226e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.0999999999999949,1.30580892264454e-15,1.3058035089200457e-15,9.022396023560947e-16,9.022396023560947e-16,7.814577628416147e-16,7.814577628416147e-16,7.814364686799038e-16,7.814364686799038e-16,6.9677982687636935e-16,6.9677982687636935e-16,6.308767238150143e-16,6.308767238150143e-16,5.407236900110543e-21,6.4875941043974236e-24
3.9051124147533704e-17,0.1122453720000012,0.9,0.0,0.0,0.0,0.0,0.0999999999999895,2.688430134856309e-15,2.688407551981795e-15,1.857552122497775e-15,1.857552122497775e-15,1.6088836293797372e-15,1.6088836293797372e-15,1.6088397884585673e-15,1.6088397884585673e-15,1.4345467023924733e-15,1.4345467023924733e-15,1.298863843148512e-15,1.298863843148512e-15,2.255579018759395e-20,2.708432596861545e-23
7.921799469928265e-17,0.11224537200000241,0.9,0.0,0.0,0.0,0.0,0.0999999999999787,5.453672559279549e-15,5.453580450563726e-15,3.7681771627809305e-15,3.7681771627809305e-15,3.263735362455803e-15,3.263735362455803e-15,3.263646428015716e-15,3.263646428015716e-15,2.9100804534245226e-15,2.9100804534245226e-15,2.6348380818153634e-15,2.6348380818153634e-15,9.199806834841617e-20,1.1064747454659465e-22
1.5955173580278054e-16,0.11224537200000481,0.9,0.0,0.0,0.0,0.0,0.09999999999995711,1.0984157408124834e-14,1.0983786294709922e-14,7.589427243346412e-15,7.589427243346412e-15,6.57343882860722e-15,6.57343882860722e-15,6.573259707129298e-15,6.573259707129298e-15,5.8611479554879836e-15,5.8611479554879836e-15,5.306786559148489e-15,5.306786559148489e-15,3.7066616684698837e-19,4.472480665436046e-22
3.2021921800977636e-16,0.11224537200000968,0.9,0.0,0.0,0.0,0.0,0.09999999999991392,2.2045127105810625e-14,2.20436444762067e-14,1.523192740447408e-14,1.523192740447408e-14,1.3192845760907195e-14,1.3192845760907195e-14,1.3192486265353604e-14,1.3192486265353604e-14,1.1763282959612356e-14,1.1763282959612356e-14,1.0650683513812431e-14,1.0650683513812431e-14,1.4808312926644427e-18,1.7983112599630746e-21
6.41554182423768e-16,0.11224537200001938,0.9,0.0,0.0,0.0,0.0,0.09999999999982755,4.41670665011631e-14,4.4161196129258126e-14,3.0516927726716213e-14,3.0516927726716213e-14,2.6431659625495712e-14,2.6431659625495712e-14,2.6430939381790783e-14,2.6430939381790783e-14,2.35675529678509e-14,2.35675529678509e-14,2.1338477423131087e-14,2.1338477423131087e-14,5.8631602946113086e-18,7.211610371364152e-21
