Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4291248089112636e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999963,9.838646867713063e-17,9.838642388659772e-17,6.797944694442762e-17,6.797944694442762e-17,5.887911190022211e-17,5.887911192290594e-17,5.887750750947466e-17,5.887750750947466e-17,5.2499033681737004e-17,5.2499033681737004e-17,4.753354947295988e-17,4.753354947295988e-17,4.4736895116220717e-23,5.363776402238478e-26,2.268382310023868e-26
4.001549464951538e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999892,2.7548211229596453e-16,2.754818417876102e-16,1.9034245144439648e-16,1.9034245144439648e-16,1.648615132471256e-16,1.6486151338413588e-16,1.648570210265283e-16,1.648570210265283e-16,1.4699729430886295e-16,1.4699729430886295e-16,1.3309393852428707e-16,1.3309393852428707e-16,2.701843824082224e-22,3.239719472002498e-25,1.370102897729955e-25
9.146398777032087e-18,0.11224537200000027,0.9,0.0,0.0,0.0,0.0,0.09999999999999754,6.296733995336274e-16,6.296720974218175e-16,4.350684604443308e-16,4.350684604443308e-16,3.7682631564694727e-16,3.768263163065928e-16,3.7681604806063265e-16,3.7681604806063265e-16,3.359938155631122e-16,3.359938155631122e-16,3.0421471662693905e-16,3.0421471662693905e-16,1.3005520258666891e-21,1.5597839657620671e-24,6.596455494682491e-25
1.9436097401193185e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999477,1.3380559740089334e-15,1.3380502897108198e-15,9.245204784441858e-16,9.245204784441858e-16,8.007559192706498e-16,8.007559221514949e-16,8.007341021288296e-16,8.007341021288296e-16,7.139868580716004e-16,7.139868580716004e-16,6.464562728322336e-16,6.464562728322336e-16,5.6774861404167996e-21,6.811973181998518e-24,2.880845262101179e-24
4.001549464951538e-17,0.11224537200000123,0.9,0.0,0.0,0.0,0.0,0.09999999999998924,2.754821122959467e-15,2.7547974118862897e-15,1.903424514443842e-15,1.903424514443842e-15,1.6486151218142918e-15,1.6486151338412525e-15,1.6485702102651766e-15,1.6485702102651766e-15,1.4699729430885346e-15,1.4699729430885346e-15,1.330939385242785e-15,1.330939385242785e-15,2.3682634640918877e-20,2.8438536999348716e-23,1.2026960563084593e-23
8.117428914615977e-17,0.11224537200000244,0.9,0.0,0.0,0.0,0.0,0.09999999999997818,5.588351420860222e-15,5.588254714433022e-15,3.861232586442938e-15,3.861232586442938e-15,3.344333508086532e-15,3.3443335572205794e-15,3.344242426537683e-15,3.344242426537683e-15,2.9819451131222357e-15,2.9819451131222357e-15,2.699905610063736e-15,2.699905610063736e-15,9.659024739477439e-20,1.161798052139129e-22,4.913404748990729e-23
1.6349187813944856e-16,0.11224537200000492,0.9,0.0,0.0,0.0,0.0,0.09999999999995605,1.1255412016660476e-14,1.1255022409746696e-14,7.776848730440264e-15,7.776848730440264e-15,6.735770205370894e-15,6.735770403978483e-15,6.735586859081946e-15,6.735586859081946e-15,6.00588945318897e-15,6.00588945318897e-15,5.437838059705033e-15,5.437838059705033e-15,3.891373036581813e-19,4.696101232151125e-22,1.9860758921890536e-22
3.2812705612602613e-16,0.11224537200000992,0.9,0.0,0.0,0.0,0.0,0.0999999999999118,2.258953320825597e-14,2.2587976941510324e-14,1.560808101843145e-14,1.560808101843145e-14,1.3518643298899605e-14,1.351864409749129e-14,1.3518275724167469e-14,1.3518275724167469e-14,1.2053778133319761e-14,1.2053778133319761e-14,1.0913702958985203e-14,1.0913702958985203e-14,1.5543785215805724e-18,1.8882240654257353e-21,7.985916847864459e-22
6.573974120991812e-16,0.11224537200001981,0.9,0.0,0.0,0.0,0.0,0.09999999999982329,4.525777559142689e-14,4.5251615572730734e-14,3.127054559439996e-14,3.127054559439996e-14,2.7084388281800646e-14,2.70843914845049e-14,2.7083653454326514e-14,2.7083653454326514e-14,2.4149555493570633e-14,2.4149555493570633e-14,2.186543275753585e-14,2.186543275753585e-14,6.15244652689091e-18,7.572169272783067e-21,3.2027042492359948e-21
