Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.462755876318729e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.0999999999999996,1.0070176118302712e-16,1.0070171425972357e-16,6.95791822147515e-17,6.95791822147515e-17,6.026469233428916e-17,6.026469236320314e-17,6.026305019370191e-17,6.026305019370191e-17,5.3734474092237155e-17,5.3734474092237155e-17,4.8652138973662086e-17,4.8652138973662086e-17,4.6867111576340857e-23,5.61919426380028e-26,2.3764005143192223e-26,5.149955343182554e-27
4.095716453692441e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999891,2.819649313124747e-16,2.819646479240981e-16,1.9482171020130332e-16,1.9482171020130332e-16,1.6874113844232773e-16,1.6874113861696805e-16,1.6873654054236461e-16,1.6873654054236461e-16,1.5045652745826336e-16,1.5045652745826336e-16,1.3622598912625325e-16,1.3622598912625325e-16,2.8304897739659844e-22,3.3939917537980514e-25,1.435345891739382e-25,3.110573009890975e-26
9.361637608439865e-18,0.11224537200000027,0.9,0.0,0.0,0.0,0.0,0.0999999999999975,6.444912715713647e-16,6.444899074672637e-16,4.453067661744034e-16,4.453067661744034e-16,3.8569403028367677e-16,3.856940311244947e-16,3.856835212396868e-16,3.856835212396868e-16,3.4390063419031303e-16,3.4390063419031303e-16,3.113736894314331e-16,3.113736894314331e-16,1.3624700416009724e-21,1.6340593200630788e-24,6.910572411998876e-25,1.4976069877105552e-25
1.9893479917934714e-17,0.11224537200000062,0.9,0.0,0.0,0.0,0.0,0.09999999999999466,1.3695439520891242e-15,1.3695379972253345e-15,9.462768781205896e-16,9.462768781205896e-16,8.195998124674633e-16,8.195998161395359e-16,8.195774826343192e-16,8.195774826343192e-16,7.307888476544014e-16,7.307888476544014e-16,6.616690900417827e-16,6.616690900417827e-16,5.947727437566833e-21,7.136352215326423e-24,3.0180283600892908e-24,6.540443016276889e-25
4.095716453692441e-17,0.11224537200000126,0.9,0.0,0.0,0.0,0.0,0.099999999999989,2.819649313124561e-15,2.8196244739193476e-15,1.9482171020129053e-15,1.9482171020129053e-15,1.68741137083939e-15,1.6874113861695692e-15,1.6873654054235346e-15,1.6873654054235346e-15,1.5045652745825344e-15,1.5045652745825344e-15,1.3622598912624423e-15,1.3622598912624423e-15,2.4809412465611098e-20,2.979274765868292e-23,1.2599672889055691e-23,2.7305060803469402e-24
8.30845337749038e-17,0.1122453720000025,0.9,0.0,0.0,0.0,0.0,0.09999999999997768,5.7198600351951064e-15,5.719758731600533e-15,3.9520975497973094e-15,3.9520975497973094e-15,3.4230344636006683e-15,3.423034526229439e-15,3.4229412510017687e-15,3.4229412510017687e-15,3.052118128438625e-15,3.052118128438625e-15,2.763441493703603e-15,2.763441493703603e-15,1.0118188243909698e-19,1.2171213284842297e-22,5.1473763366442566e-23,1.115500721746246e-23
1.673392722508626e-16,0.11224537200000506,0.9,0.0,0.0,0.0,0.0,0.09999999999995503,1.1520281479334882e-14,1.1519873383291434e-14,7.959858445365209e-15,7.959858445365209e-15,6.894280553192991e-15,6.894280806348393e-15,6.894092942157452e-15,6.894092942157452e-15,6.1472238361501046e-15,6.1472238361501046e-15,5.56580469858529e-15,5.56580469858529e-15,4.0760407129287914e-19,4.919721555212199e-22,2.0806508803671053e-22,4.5090314111628245e-23
3.358487492027802e-16,0.11224537200001013,0.9,0.0,0.0,0.0,0.0,0.09999999999990973,2.312112436760918e-14,2.311949449831445e-14,1.597538023649738e-14,1.597538023649738e-14,1.3836772348657237e-14,1.3836773366583153e-14,1.3836396324465672e-14,1.3836396324465672e-14,1.2337435251570261e-14,1.2337435251570261e-14,1.1170531108346127e-14,1.1170531108346127e-14,1.6278911580499492e-18,1.9781366778621892e-21,8.366198165414229e-22,1.8130610078954544e-22
6.728677031066153e-16,0.11224537200002033,0.9,0.0,0.0,0.0,0.0,0.09999999999981914,4.6322810144136756e-14,4.6316360747316635e-14,3.20064238187472e-14,3.20064238187472e-14,2.7721754404708475e-14,2.77217584870401e-14,2.7721003089069537e-14,2.7721003089069537e-14,2.4717858082399354e-14,2.4717858082399354e-14,2.2379983927857646e-14,2.2379983927857646e-14,6.441464093441153e-18,7.932726673214386e-21,3.3552136246375747e-21,7.271180009830273e-22
