Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4956308996421174e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.0999999999999996,1.0296500469562878e-16,1.0296495563956217e-16,7.114295459479411e-17,7.114295459479411e-17,6.161912419620772e-17,6.161912422643595e-17,6.161744514964109e-17,6.161744514964109e-17,5.4942141152511116e-17,5.4942141152511116e-17,4.9745581994049836e-17,4.9745581994049836e-17,4.8997320495621037e-23,5.874612121159276e-26,2.4844187187537174e-26,5.3840442217174564e-27,0.0
4.187766518997929e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999888,2.883020131477593e-16,2.8830171687944997e-16,1.992002728654226e-16,1.992002728654226e-16,1.7253354765144137e-16,1.7253354783401987e-16,1.7252884641899425e-16,1.7252884641899425e-16,1.5383799522703041e-16,1.5383799522703041e-16,1.3928762958333888e-16,1.3928762958333888e-16,2.959134828820328e-22,3.5482640306052093e-25,1.5005888859139956e-25,3.2519626913269115e-26,0.0
9.572037757709552e-18,0.11224537200000027,0.9,0.0,0.0,0.0,0.0,0.09999999999999744,6.589760300520148e-16,6.589746039565011e-16,4.553149094066759e-16,4.553149094066759e-16,3.9436239417014754e-16,3.943623950491845e-16,3.943516489576974e-16,3.943516489576974e-16,3.5162970337606614e-16,3.5162970337606614e-16,3.183717247619144e-16,3.183717247619144e-16,1.4243871790539345e-21,1.708334669468945e-24,7.224689330937071e-25,1.565680031789788e-25,0.0
2.0340580235132798e-17,0.11224537200000062,0.9,0.0,0.0,0.0,0.0,0.09999999999999454,1.4003240638605043e-15,1.4003178384387986e-15,9.675441824891673e-16,9.675441824891673e-16,8.3802008564051585e-16,8.380200894795008e-16,8.379972540350906e-16,8.379972540350906e-16,7.472131196741261e-16,7.472131196741261e-16,6.76539915119055e-16,6.76539915119055e-16,6.217960974660927e-21,7.460731205401621e-24,3.1552114595118746e-24,6.837735873429479e-25,0.0
4.187766518997929e-17,0.11224537200000126,0.9,0.0,0.0,0.0,0.0,0.09999999999998875,2.8830201314773973e-15,2.882994164205239e-15,1.9920027286540912e-15,1.9920027286540912e-15,1.7253354623130772e-15,1.7253354783400824e-15,1.725288464189826e-15,1.725288464189826e-15,1.5383799522702003e-15,1.5383799522702003e-15,1.3928762958332946e-15,1.3928762958332946e-15,2.5936125200725105e-20,3.114695795519575e-23,1.3172385227084403e-23,2.8546199870180884e-24,0.0
8.495183509967227e-17,0.11224537200000258,0.9,0.0,0.0,0.0,0.0,0.09999999999997718,5.848412266710841e-15,5.848306366480284e-15,4.040919820983702e-15,4.040919820983702e-15,3.4999661905855078e-15,3.4999662560610402e-15,3.499870884499091e-15,3.499870884499091e-15,3.120713617462165e-15,3.120713617462165e-15,2.8255490572616087e-15,2.8255490572616087e-15,1.057729860990333e-19,1.2724445752044742e-22,5.381347934183336e-23,1.1662052950293339e-23,0.0
1.7110017491905824e-16,0.11224537200000519,0.9,0.0,0.0,0.0,0.0,0.09999999999995401,1.1779196537176354e-14,1.177876995627027e-14,8.138754005641975e-15,8.138754005641975e-15,7.049227546839672e-15,7.049227811502132e-15,7.049035725116799e-15,7.049035725116799e-15,6.285380947845363e-15,6.285380947845363e-15,5.690894580117573e-15,5.690894580117573e-15,4.260665719176775e-19,5.1433416403134e-22,2.175225876550729e-22,4.71398734408353e-23,0.0
3.4339685455783014e-16,0.11224537200001036,0.9,0.0,0.0,0.0,0.0,0.0999999999999077,2.3640765078101892e-14,2.3639061640028837e-14,1.6334422374954724e-14,1.6334422374954724e-14,1.4147749858185793e-14,1.4147750922381031e-14,1.4147365406348927e-14,1.4147365406348927e-14,1.2614715608608827e-14,1.2614715608608827e-14,1.1421585625826849e-14,1.1421585625826849e-14,1.7013700239445936e-18,2.068049101853133e-21,8.746479547399761e-22,1.8954728394425392e-22,0.0
6.87990213835374e-16,0.11224537200002076,0.9,0.0,0.0,0.0,0.0,0.09999999999981507,4.736390215993099e-14,4.7357163647073033e-14,3.272575911356504e-14,3.272575911356504e-14,2.8344792876233827e-14,2.8344797144125676e-14,2.8344024768800037e-14,2.8344024768800037e-14,2.5273384930124025e-14,2.5273384930124025e-14,2.2882967717234782e-14,2.2882967717234782e-14,6.730219575332521e-18,8.293282609340414e-21,3.507723051744715e-21,7.601687931719621e-22,0.0
