Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5277986851099217e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.0999999999999996,1.0517955922411106e-16,1.0517950803528871e-16,7.267308565954993e-17,7.267308565954993e-17,6.294441826932337e-17,6.294441830086586e-17,6.294270311076112e-17,6.294270311076112e-17,5.612382776393289e-17,5.612382776393289e-17,5.081550185859567e-17,5.081550185859567e-17,5.112752203994116e-23,6.130029974407908e-26,2.592436923139067e-26,5.618133034539667e-27,6.566748898465902e-35,6.566748898465902e-35
4.277836318307781e-18,0.11224537200000013,0.9,0.0,0.0,0.0,0.0,0.09999999999999885,2.9450276582750947e-16,2.94502456679355e-16,2.0348463984673883e-16,2.0348463984673883e-16,1.7624437105190688e-16,1.7624437124242357e-16,1.7623956871013026e-16,1.7623956871013026e-16,1.5714671773901132e-16,1.5714671773901132e-16,1.422834052040672e-16,1.422834052040672e-16,3.087779008338524e-22,3.7025363025337235e-25,1.565831880030264e-25,3.393352294748745e-26,7.796044169992694e-34,7.796044169992694e-34
9.7779115847035e-18,0.1122453720000003,0.9,0.0,0.0,0.0,0.0,0.09999999999999737,6.731491790343007e-16,6.73147690948233e-16,4.651077482211127e-16,4.651077482211127e-16,4.028442762082797e-16,4.0284427712553564e-16,4.028332999088653e-16,4.028332999088653e-16,3.591924976891652e-16,3.591924976891652e-16,3.252192118950075e-16,3.252192118950075e-16,1.4863034575605335e-21,1.7826100140874244e-24,7.538806249302435e-25,1.633752999274317e-25,7.65420213702719e-33,7.65420213702719e-33
2.0778062117494936e-17,0.11224537200000062,0.9,0.0,0.0,0.0,0.0,0.09999999999999441,1.4304420054478609e-15,1.430435509475828e-15,9.88353964969845e-16,9.88353964969845e-16,8.560440848858488e-16,8.560440888917463e-16,8.560207623063219e-16,8.560207623063219e-16,7.632840575894611e-16,7.632840575894611e-16,6.910908252768773e-16,6.910908252768773e-16,6.4881869227141986e-21,7.785110153177233e-24,3.2923945584277976e-24,7.13502805311065e-25,6.770054648410664e-32,6.770054648410664e-32
4.277836318307781e-17,0.1122453720000013,0.9,0.0,0.0,0.0,0.0,0.0999999999999885,2.9450276582748914e-15,2.94500056299944e-15,2.0348463984672478e-15,2.0348463984672478e-15,1.7624436957002825e-15,1.7624437124241142e-15,1.7623956871011815e-15,1.7623956871011815e-15,1.571467177390005e-15,1.571467177390005e-15,1.4228340520405737e-15,1.4228340520405737e-15,2.706277428373254e-20,3.250116789689873e-23,1.374509756085431e-23,2.9787333242337873e-24,5.690638083344489e-31,5.690638083344489e-31
8.677896531424355e-17,0.11224537200000263,0.9,0.0,0.0,0.0,0.0,0.09999999999997668,5.974198963928595e-15,5.974088467581657e-15,4.127831265461804e-15,4.127831265461804e-15,3.5752428911663415e-15,3.5752429594886355e-15,3.5751455366906864e-15,3.5751455366906864e-15,3.1878334169909013e-15,3.1878334169909013e-15,2.886320505567793e-15,2.886320505567793e-15,1.103635701594055e-19,1.3277677929566728e-22,5.615319528230801e-23,1.2169094014386075e-23,4.665527643602723e-30,4.665527643602723e-30
1.7478016957657503e-16,0.11224537200000528,0.9,0.0,0.0,0.0,0.0,0.09999999999995302,1.2032541575234569e-14,1.2032096513637464e-14,8.31380099944993e-15,8.31380099944993e-15,7.2008411774473e-15,7.20084145361682e-15,7.200645235868839e-15,7.200645235868839e-15,6.4205658961919295e-15,6.4205658961919295e-15,5.8132934126215414e-15,5.8132934126215414e-15,4.445249009550527e-19,5.3669614927729915e-22,2.2698008699067596e-22,4.918939496141748e-23,3.778263189145578e-29,3.778263189145578e-29
3.50782578101238e-16,0.11224537200001057,0.9,0.0,0.0,0.0,0.0,0.0999999999999057,2.414922679784078e-14,2.4147449823992572e-14,1.6685740467422218e-14,1.6685740467422218e-14,1.4452037331405203e-14,1.4452038441869758e-14,1.4451644634221706e-14,1.4451644634221706e-14,1.2886030854590927e-14,1.2886030854590927e-14,1.1667239226726264e-14,1.1667239226726264e-14,1.7748158868646434e-18,2.157961341676784e-21,9.12676090662642e-22,1.9778816278269205e-22,3.0410716021726583e-28,3.0410716021726583e-28
7.02787395150564e-16,0.11224537200002122,0.9,0.0,0.0,0.0,0.0,0.09999999999981109,4.838259724303028e-14,4.837556987007468e-14,3.3429619403350956e-14,3.3429619403350956e-14,2.8954427964909874e-14,2.8954432418361914e-14,2.895364343091373e-14,2.895364343091373e-14,2.5816960771376686e-14,2.5816960771376686e-14,2.3375130854924633e-14,2.3375130854924633e-14,7.018719118478721e-18,8.653837115418071e-21,3.660232460589374e-21,7.932171434214644e-22,2.440263122328808e-27,2.440263122328808e-27
1.4067970292492159e-15,0.11224537200004245,0.9,0.0,0.0,0.0,0.0,0.09999999999962185,9.684933813331755e-14,9.682195550289657e-14,6.691737727514506e-14,6.691737727514506e-14,5.795920253431415e-14,5.795922037129133e-14,5.79576410242429e-14,5.79576410242429e-14,5.1678820604899266e-14,5.1678820604899266e-14,4.679091411127706e-14,4.679091411127706e-14,2.734797420201125e-17,3.4656218963517084e-20,1.465996650350561e-20,3.176991135061968e-21,1.9551715165498285e-26,1.9551715165498285e-26
