Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5593030034226582e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999959,1.0734843811364742e-16,1.073483847897115e-16,7.417165745729574e-17,7.417165745892992e-17,6.424237788025308e-17,6.424237791474403e-17,6.424062735596801e-17,6.42406273547455e-17,5.728114184728472e-17,5.728114184728472e-17,5.186335440651606e-17,5.1863354407658613e-17,5.325771636410796e-23,6.385447823562443e-26,2.70045512744196e-26,5.852221908764011e-27,6.98141669450409e-35,6.98141669450409e-35,5.141770877828543e-27
4.366048409583443e-18,0.11224537200000013,0.9,0.0,0.0,0.0,0.0,0.09999999999999884,3.005756267220427e-16,3.0057530467984376e-16,2.0768064087777972e-16,2.0768064088765012e-16,1.7987865795560447e-16,1.7987865816392976e-16,1.7987375659869e-16,1.7987375659130604e-16,1.603871971723964e-16,1.603871971723964e-16,1.4521739233639335e-16,1.452173923432943e-16,3.2164223308992264e-22,3.8568085696029084e-25,1.6310748740486416e-25,3.5347419710671876e-26,8.288337766954915e-34,8.288337766954915e-34,3.105629267447204e-26
9.979539221905013e-18,0.1122453720000003,0.9,0.0,0.0,0.0,0.0,0.09999999999999733,6.87030003954153e-16,6.870284538095967e-16,4.746986077081541e-16,4.746986077556759e-16,4.1115121766989053e-16,4.111512186728872e-16,4.1114001509205234e-16,4.111400150565018e-16,3.6659930782261675e-16,3.6659930782261675e-16,3.3192546818874147e-16,3.319254682219665e-16,1.5482188951650435e-21,1.8568853539374793e-24,7.852923166706696e-25,1.7018260383291653e-25,8.137538887556924e-33,8.137538887556924e-33,1.495226457239696e-25
2.1206520846548154e-17,0.11224537200000066,0.9,0.0,0.0,0.0,0.0,0.09999999999999432,1.4599387584796525e-15,1.4599319916643605e-15,1.0087345413265295e-15,1.008734541534069e-15,8.736963353527963e-16,8.736963397331459e-16,8.736725321104502e-16,8.736725319551916e-16,7.790235291230451e-16,7.790235291230451e-16,7.053416198638116e-16,7.053416200089146e-16,6.7584054413260716e-21,8.109489058820962e-24,3.4295776564936354e-24,7.432320865823136e-25,7.197560491096203e-32,7.197560491096203e-32,6.530043705421e-25
4.366048409583443e-17,0.11224537200000133,0.9,0.0,0.0,0.0,0.0,0.09999999999998828,3.0057562677757673e-15,3.005728043305386e-15,2.0768064083937843e-15,2.076806409260222e-15,1.7987865637359427e-15,1.798786582023038e-15,1.7987375662739368e-15,1.7987375656257657e-15,1.6038719717238518e-15,1.6038719717238518e-15,1.452173923095448e-15,1.4521739237012245e-15,2.8189361056153906e-20,3.38553774852014e-23,1.4317809887478745e-23,3.1028471935503555e-24,6.049982436758115e-31,6.049982436758115e-31,2.7261621449932324e-24
8.856841059440698e-17,0.1122453720000027,0.9,0.0,0.0,0.0,0.0,0.0999999999999762,6.0973912873484595e-15,6.097276190270979e-15,4.212950141850313e-15,4.212950145389993e-15,3.6489669925715875e-15,3.648967067280323e-15,3.648867635107659e-15,3.64886763245969e-15,3.253568856925266e-15,3.253568856925266e-15,2.9458385290847044e-15,2.9458385315594995e-15,1.1495364561845043e-19,1.3830909818563706e-22,5.849291116419966e-23,1.267613944096168e-23,4.960139746110822e-30,4.960139746110822e-30,1.1137241037063839e-23
1.7838426359155208e-16,0.1122453720000054,0.9,0.0,0.0,0.0,0.0,0.09999999999995206,1.2280661330415698e-14,1.228019777150326e-14,8.485237606051445e-15,8.485237620359397e-15,7.349327738520361e-15,7.349328040504892e-15,7.349127774801991e-15,7.349127764098643e-15,6.552962627327298e-15,6.552962627327298e-15,5.933167739167153e-15,5.933167749170672e-15,4.629791474589602e-19,5.590581113526074e-22,2.3643758585185894e-22,5.1238951810492226e-23,4.0168475313964536e-29,4.0168475313964536e-29,4.501834125108382e-23
3.580159695858423e-16,0.11224537200001083,0.9,0.0,0.0,0.0,0.0,0.09999999999990378,2.464720143223758e-14,2.464535087164093e-14,1.702981252360601e-14,1.7029812581137654e-14,1.4750048783528516e-14,1.4750049997794033e-14,1.474964806229733e-14,1.4749648019260967e-14,1.3151750168128177e-14,1.3151750168128177e-14,1.1907826151747794e-14,1.1907826191971504e-14,1.848229463179004e-18,2.247873398083665e-21,9.50704222766767e-22,2.0602932597517584e-22,3.2331047527452253e-28,3.2331047527452253e-28,1.8101543500902025e-22
7.172793815744228e-16,0.11224537200002163,0.9,0.0,0.0,0.0,0.0,0.0999999999998072,4.938028169863098e-14,4.937296538188282e-14,3.411896231532433e-14,3.4118962546051956e-14,2.955148908599249e-14,2.955149395573232e-14,2.9550688669707883e-14,2.955068849712328e-14,2.6349325249717186e-14,2.6349325249717186e-14,2.385714294657205e-14,2.3857143107887112e-14,7.306968458300329e-18,9.014390197401617e-21,3.81274183879276e-21,8.262677754267255e-22,2.594357175349372e-27,2.594357175349372e-27,7.259423587336408e-22
