Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5901832884111945e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999958,1.0947435613906302e-16,1.0947430068229112e-16,7.564054574603767e-17,7.56405457477372e-17,6.551462768152231e-17,6.551462771739292e-17,6.551284249071701e-17,6.55128424894456e-17,5.841553200803621e-17,5.841553200803621e-17,5.289045123182923e-17,5.2890451233017464e-17,5.53879032045182e-23,6.640865668840667e-26,2.8084733317299827e-26,6.08631078293114e-27,4.108285627858307e-31,7.40446302856584e-35,5.3474417008358246e-27,4.107545181555451e-31
4.452513207551345e-18,0.11224537200000013,0.9,0.0,0.0,0.0,0.0,0.09999999999999881,3.0652819719335956e-16,3.065278622709138e-16,2.1179352808615118e-16,2.1179352809641636e-16,1.8344095739479416e-16,1.8344095761145252e-16,1.8343595897606645e-16,1.8343595896838709e-16,1.6356348962250062e-16,1.6356348962250062e-16,1.4809326344719615e-16,1.4809326345437313e-16,3.345064765217151e-22,4.011080832071304e-25,1.6963178680493637e-25,3.676131647317706e-26,4.8768700182748864e-30,8.79057836391978e-34,3.229854423775848e-26,4.875990960438495e-30
1.0177173045831645e-17,0.1122453720000003,0.9,0.0,0.0,0.0,0.0,0.09999999999999727,7.006358793178853e-16,7.006342671816887e-16,4.84099492755361e-16,4.840994928047835e-16,4.192936163674645e-16,4.19293617410581e-16,4.1928219195500034e-16,4.1928219191802766e-16,3.7385940485142617e-16,3.7385940485142617e-16,3.3849888787022715e-16,3.384988879047813e-16,1.610133461171904e-21,1.9311606892729415e-24,8.167040083937616e-25,1.7698990773173244e-25,4.787109338897522e-29,8.630641660956245e-33,1.555035501427477e-25,4.786246274731426e-29
2.1626492722392245e-17,0.11224537200000066,0.9,0.0,0.0,0.0,0.0,0.09999999999999419,1.4888512436306665e-15,1.48884420626774e-15,1.0287114220497115e-15,1.028711422265553e-15,8.90998932497312e-16,8.909989370528755e-16,8.909746579458079e-16,8.909746577843391e-16,7.944512353092643e-16,7.944512353092643e-16,7.193101366854782e-16,7.193101368363853e-16,7.028616259362277e-21,8.433867924577926e-24,3.566760754406153e-24,7.729613677945757e-25,4.23231186191254e-28,7.633704269136098e-32,6.791245329015625e-25,4.231548491485627e-28
4.452513207551345e-17,0.11224537200000136,0.9,0.0,0.0,0.0,0.0,0.09999999999998803,3.065281972511149e-15,3.0652526201106584e-15,2.117935280462138e-15,2.117935281363233e-15,1.8344095574950355e-15,1.8344095765136145e-15,1.8343595900591817e-15,1.8343595893850843e-15,1.6356348962248888e-15,1.6356348962248888e-15,1.4809326341927359e-15,1.4809326348227436e-15,2.9315883245055995e-20,3.520958673897518e-23,1.4890522212814423e-23,3.226961062371107e-24,3.55443485163801e-27,6.416587493163278e-31,2.835208526219599e-24,3.553793192888694e-27
9.032241078175585e-17,0.11224537200000276,0.9,0.0,0.0,0.0,0.0,0.09999999999997572,6.218143431291797e-15,6.218023738899681e-15,4.2963829965818894e-15,4.296383000263157e-15,3.7212307784426085e-15,3.721230856139692e-15,3.721129454812949e-15,3.721129452059061e-15,3.3180022180559303e-15,3.3180022180559303e-15,3.0041776287142745e-15,3.0041776312880622e-15,1.195431939409608e-19,1.4384141434507117e-22,6.083262703552534e-23,1.3183184863472288e-23,2.909104988454247e-26,5.2607046080813285e-30,1.1582729824117238e-23,2.908578917993439e-26
1.8191696819424065e-16,0.11224537200000548,0.9,0.0,0.0,0.0,0.0,0.0999999999999511,1.2523866352931817e-14,1.2523384320578975e-14,8.653278426000992e-15,8.653278440881261e-15,7.494873104146344e-15,7.49487341821025e-15,7.494669186428443e-15,7.494669175296964e-15,6.682736861717185e-15,6.682736861717185e-15,6.050667615785444e-15,6.050667626189106e-15,4.814291629220657e-19,5.814200515100413e-22,2.4589508462747604e-22,5.328850862664769e-23,2.347753557953124e-25,4.260252566889124e-29,4.681906802878586e-23,2.3473275326964347e-25
3.6510608301921025e-16,0.11224537200001103,0.9,0.0,0.0,0.0,0.0,0.09999999999990186,2.5135312212526766e-14,2.5133388176691992e-14,1.7367069273557588e-14,1.7367069333390497e-14,1.504215729078887e-14,1.5042158553624964e-14,1.5041748658090334e-14,1.5041748613332562e-14,1.3412206149036383e-14,1.3412206149036383e-14,1.2143647582040159e-14,1.214364762387282e-14,1.9216095826649764e-18,2.3377852811531774e-21,9.887323541821885e-22,2.1427048890269785e-22,1.8767426219911945e-24,3.429018007443307e-28,1.8825599784099623e-22,1.87639972019045e-24
7.314843126691494e-16,0.11224537200002209,0.9,0.0,0.0,0.0,0.0,0.09999999999980337,5.035820399697628e-14,5.035059930133664e-14,3.479465092354434e-14,3.479465116350107e-14,3.0136723805019706e-14,3.01367288695488e-14,3.013590763513051e-14,3.0135907455642944e-14,2.6871144723661516e-14,2.6871144723661516e-14,2.432960748299908e-14,2.4329607650766756e-14,7.59495858905173e-18,9.374941936053242e-21,3.965251211469788e-21,8.593184053058562e-22,1.485618131565945e-23,2.7515647528274367e-27,7.549796268338358e-22,1.4853429750906623e-23
