Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6204752157936749e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999956,1.1155976935564863e-16,1.1155971176604755e-16,7.70814475185454e-17,7.708144752031032e-17,6.676263749120953e-17,6.676263752799477e-17,6.676081829440634e-17,6.676081829308603e-17,5.952830879703414e-17,5.952830879703414e-17,5.389797892979892e-17,5.389797893103287e-17,5.751808349557487e-23,6.896283510253004e-26,2.916491535971744e-26,6.3203996569735146e-27,4.347557362072118e-31,7.835725132983052e-35,6.018082756102196e-27,4.346773789558819e-31,4.64970232950738e-28
4.53733060422229e-18,0.11224537200000013,0.9,0.0,0.0,0.0,0.0,0.0999999999999988,3.123673541999525e-16,3.12367006397342e-16,2.1582805304906697e-16,2.15828053059727e-16,1.869353848575542e-16,1.8693538507973713e-16,1.869302912264757e-16,1.8693029121850104e-16,1.666792646316948e-16,1.666792646316948e-16,1.5091434100143725e-16,1.509143410088903e-16,3.473706422205974e-22,4.1653530899513075e-25,1.7615608619951642e-25,3.8175213234201134e-26,5.160895267498395e-30,9.302572723025819e-34,3.6349215999875305e-26,5.159965010226093e-30,2.8084202070394037e-27
1.037104138107952e-17,0.11224537200000033,0.9,0.0,0.0,0.0,0.0,0.09999999999999723,7.139825239051054e-16,7.139808497780764e-16,4.933212640986692e-16,4.933212641499926e-16,4.2728087911891357e-16,4.2728088018862867e-16,4.272692370991663e-16,4.272692370607716e-16,3.809811763010128e-16,3.809811763010128e-16,3.449470651367149e-16,3.449470651725981e-16,1.6720472644373226e-21,2.00543602010599e-24,8.481157000629306e-25,1.8379721161600678e-25,5.065886227323119e-29,9.133320734964914e-33,1.7500578885543685e-25,5.064972895249622e-29,1.3521334374461646e-26
2.2038462934793978e-17,0.11224537200000068,0.9,0.0,0.0,0.0,0.0,0.0999999999999941,1.5172128633815926e-15,1.5172055554781687e-15,1.0483076861521097e-15,1.0483076863762527e-15,9.079718657563124e-16,9.079718704280388e-16,9.079471288787543e-16,9.07947128711075e-16,8.095849996396352e-16,8.095849996396352e-16,7.330125133752741e-16,7.330125135319854e-16,7.298820338941426e-21,8.758246750555848e-24,3.70394385184173e-24,8.026906488782198e-25,4.478743265912108e-28,8.078318175016001e-32,7.642959141367553e-25,4.477935434094606e-28,5.905121958737027e-26
4.5373306042222894e-17,0.11224537200000137,0.9,0.0,0.0,0.0,0.0,0.09999999999998782,3.1236735425992926e-15,3.1236430623285465e-15,2.158280530075936e-15,2.1582805310116884e-15,1.869353831489833e-15,1.869353850993368e-15,1.869302912574757e-15,1.869302911874732e-15,1.6667926463168263e-15,1.6667926463168263e-15,1.5091434097244084e-15,1.5091434103786472e-15,3.044234892582759e-20,3.6563795659125605e-23,1.546323453414114e-23,3.351074930110748e-24,3.761334108959646e-27,6.790312199688464e-31,3.1907821190120906e-24,3.7606550777396764e-27,2.465272175341199e-25
9.204299225708073e-17,0.11224537200000277,0.9,0.0,0.0,0.0,0.0,0.09999999999997528,6.336594902093591e-15,6.33647061487536e-15,4.378226217191369e-15,4.3782262210142235e-15,3.792117732791773e-15,3.792117812470062e-15,3.79201448051405e-15,3.792014477654244e-15,3.3812079396709937e-15,3.3812079396709937e-15,3.0614052019107393e-15,3.0614052045835184e-15,1.2413228114089175e-19,1.4937372778139474e-22,6.317234287398317e-23,1.3690230277119298e-23,3.0783392269477305e-26,5.567106584955096e-30,1.3035362686046866e-23,3.0777825162892347e-26,1.007144123580756e-24
1.8538236468679642e-16,0.1122453720000056,0.9,0.0,0.0,0.0,0.0,0.09999999999995018,1.2762437625317794e-14,1.276193712344521e-14,8.818117588493353e-15,8.818117603945942e-15,7.637645414735345e-15,7.637645736807591e-15,7.637437618581666e-15,7.637437607022061e-15,6.810038526378468e-15,6.810038526378468e-15,6.165928784235651e-15,6.165928795039452e-15,4.998754788337005e-19,6.037819698097569e-22,2.553525831369211e-22,5.53380653710235e-23,2.4841692579401567e-25,4.508384642214893e-29,5.269083199251351e-23,2.4837184194759354e-25,4.071037576841833e-24
3.7206110954622775e-16,0.11224537200001122,0.9,0.0,0.0,0.0,0.0,0.0999999999999,2.561412308870859e-14,2.561212560863196e-14,1.7697900319381807e-14,1.7697900381515985e-14,1.5328700295981997e-14,1.5328701591019206e-14,1.5328283903472032e-14,1.5328283856992865e-14,1.3667699699789975e-14,1.3667699699789975e-14,1.2374975940694477e-14,1.2374975984136085e-14,1.9949604736964856e-18,2.4276969913700788e-21,1.0267604834552306e-21,2.225116512524765e-22,1.985533103060941e-24,3.628735983527517e-28,2.1186602063680025e-22,1.985170229462588e-24,1.6369463052477265e-23
7.454185992650905e-16,0.11224537200002249,0.9,0.0,0.0,0.0,0.0,0.09999999999979964,5.1317494083259793e-14,5.130960124878333e-14,3.545746573429665e-14,3.5457465983482486e-14,3.0710808127919225e-14,3.0710813321588704e-14,3.070997650826566e-14,3.070997632187516e-14,2.7383022046599223e-14,2.7383022046599223e-14,2.4793070220848146e-14,2.4793070395068417e-14,7.882722662906708e-18,9.7354923352791e-21,4.117760566955656e-21,8.923690305489886e-22,1.5713366531058596e-23,2.911825361125303e-27,8.496657393468057e-22,1.5710454705697465e-23,6.564886831573772e-23
