Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6502111862609808e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999956,1.1360690835204038e-16,1.1360684862961713e-16,7.849590398453912e-17,7.849590398636942e-17,6.798774219895691e-17,6.798774223710458e-17,6.798588961883081e-17,6.798588961893414e-17,6.062066245669214e-17,6.062066245669214e-17,5.488701516686369e-17,5.4887015168143333e-17,5.964825697978574e-23,7.15170134787179e-26,3.024509740168107e-26,6.55448853089346e-27,4.5913014182925995e-31,8.275049374173117e-35,6.2409746974642376e-27,4.590473913355182e-31,4.821913526897097e-28,1.4725620989948087e-27
4.620591321530747e-18,0.11224537200000013,0.9,0.0,0.0,0.0,0.0,0.09999999999999876,3.1809934339000264e-16,3.180989827073085e-16,2.1978853115374343e-16,2.1978853116479825e-16,1.903656780348827e-16,1.9036567826529454e-16,1.9036049093017226e-16,1.9036049093079652e-16,1.6973785487873708e-16,1.6973785487873708e-16,1.536836424651445e-16,1.5368364247287359e-16,3.602347271305181e-22,4.319625343328775e-25,1.826803855887069e-25,3.9589109993771787e-26,5.4502286179435456e-30,9.824138450483755e-34,3.769548310995709e-26,5.449246204098496e-30,2.9124357702637407e-27,8.894274924601158e-27
1.0561351592070278e-17,0.11224537200000033,0.9,0.0,0.0,0.0,0.0,0.09999999999999716,7.270842134830854e-16,7.270824773660165e-16,5.023737854802873e-16,5.023737855335116e-16,4.351215492179476e-16,4.3512155032728155e-16,4.351096935426393e-16,4.351096935456448e-16,3.8797223972282343e-16,3.8797223972282343e-16,3.512768970534109e-16,3.512768970906231e-16,1.7339602749757998e-21,2.0797113465209113e-24,8.795273916791853e-25,1.9060451548601148e-25,5.349871593726554e-29,9.645397034279037e-33,1.8148748327503001e-25,5.348907054023126e-29,1.4022124536485182e-26,4.2822103538856824e-26
2.244287213314934e-17,0.1122453720000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999397,1.5450539537378833e-15,1.5450463753009646e-15,1.0675442940859165e-15,1.0675442943183609e-15,9.246332896289309e-16,9.246332944736838e-16,9.246080987267097e-16,9.246080987398357e-16,8.244410094109824e-16,8.244410094109824e-16,7.464634061967625e-16,7.464634063592779e-16,7.569017415182603e-21,9.082625537500232e-24,3.8411269488092845e-24,8.324199298356504e-25,4.729776095345471e-28,8.531243818657577e-32,7.926031572789846e-25,4.728922970963606e-28,6.123830179436685e-26,1.8701536280658283e-25
4.6205913215307464e-17,0.11224537200000141,0.9,0.0,0.0,0.0,0.0,0.09999999999998758,3.1809934345220085e-15,3.180961826439734e-15,2.1978853111073398e-15,2.19788531207775e-15,1.903656762630313e-15,1.903656782856201e-15,1.9036049089313935e-15,1.9036049089861945e-15,1.6973785487872441e-15,1.6973785487872441e-15,1.5368364243507414e-15,1.5368364250292115e-15,3.15687558776451e-20,3.7918004251918994e-23,1.603594685153385e-23,3.475188796789489e-24,3.9720920550308995e-27,7.171023419929109e-31,3.3089591259814085e-24,3.971374952688906e-27,2.556578552210478e-25,7.80752210995255e-25
9.373199537962371e-17,0.11224537200000284,0.9,0.0,0.0,0.0,0.0,0.0999999999999748,6.452872397188378e-15,6.45274351562324e-15,4.458567344390848e-15,4.458567348355289e-15,3.861703677350752e-15,3.861703759980087e-15,3.8615985286869195e-15,3.861598528910823e-15,3.443253627539545e-15,3.443253627539545e-15,3.117582460127801e-15,3.1175824628995723e-15,1.2872088910286592e-19,1.5490603854597952e-22,6.551205868018772e-23,1.4197275682068435e-23,3.250722221736138e-26,5.879236523463904e-30,1.3518153009836296e-23,3.2501342980837917e-26,1.0444457577913786e-24,3.1896265979566876e-24
1.887841597082562e-16,0.11224537200000571,0.9,0.0,0.0,0.0,0.0,0.09999999999994925,1.299663032691359e-14,1.299611135936582e-14,8.979931407920507e-15,8.979931423945413e-15,7.777797381662425e-15,7.777797715663264e-15,7.777585765582472e-15,7.777585766487714e-15,6.935003785043254e-15,6.935003785043254e-15,6.2790745295583275e-15,6.279074540762269e-15,5.18317949968017e-19,6.261438666676653e-22,2.648100813851713e-22,5.738762204496188e-23,2.6231111115203784e-25,4.7611553622271654e-29,5.464233715759495e-23,2.6226349959841555e-25,4.221816746386303e-24,1.289297310999056e-23
3.7888848836552123e-16,0.11224537200001145,0.9,0.0,0.0,0.0,0.0,0.09999999999989816,2.6084146203933916e-14,2.608207530998773e-14,1.80226595228304e-14,1.802265958726584e-14,1.5609984289769732e-14,1.560998563277124e-14,1.560956022891059e-14,1.5609560232552045e-14,1.3918504100047106e-14,1.3918504100047106e-14,1.2602058659925014e-14,1.260205870497557e-14,2.0682809906009673e-18,2.517608532078556e-21,1.0647886106259551e-21,2.307528130353155e-22,2.0963192775248584e-24,3.832187532893678e-28,2.1971285369673457e-22,2.095936058771569e-24,1.6975739462084323e-23,5.1842016892779723e-23
7.590971456800512e-16,0.11224537200002291,0.9,0.0,0.0,0.0,0.0,0.09999999999979596,5.225917802825416e-14,5.225099728982095e-14,3.6108115704052484e-14,3.610811596246742e-14,3.127435610392642e-14,3.127436148995368e-14,3.1273509113707125e-14,3.127350912832291e-14,2.7885504730040533e-14,2.7885504730040533e-14,2.5248026886680915e-14,2.5248027067353794e-14,8.170251842602351e-18,1.0096041421808432e-20,4.270269905571837e-21,9.254196512428159e-22,1.658598527368759e-23,3.0750819083701252e-27,8.811343991735145e-22,1.6582910191779218e-23,6.808030788504192e-23,2.0790918594474598e-22
1.5195144603091113e-15,0.11224537200004585,0.9,0.0,0.0,0.0,0.0,0.09999999999959155,1.0460924195801298e-13,1.045774325719147e-13,7.227902787210586e-14,7.227902890711341e-14,6.260309172405791e-14,6.260311329618449e-14,6.260140671580267e-14,6.26014067744334e-14,5.5819505989970286e-14,5.5819505989970286e-14,5.053996320428284e-14,5.053996392791673e-14,3.176732765928057e-17,4.0431480046080415e-20,1.710328385077143e-20,3.7064868580208805e-21,1.2926318299371177e-22,2.46379596676615e-26,3.529038198946384e-21,1.292385450340441e-22,2.7267633699743456e-22,8.327172776268116e-22
