Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6794207315381665e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999956,1.1561780620619218e-16,1.1561774435095323e-16,7.98853198851051e-17,7.988531988700072e-17,6.919115849468117e-17,6.919115853419126e-17,6.918927312364574e-17,6.918927312375278e-17,6.169367783769545e-17,6.169367783769545e-17,5.585854218593548e-17,5.585854218726084e-17,6.177842377988452e-23,7.407119181765409e-26,3.132527944319893e-26,6.788577404693195e-27,4.840986431075931e-31,8.722290428855418e-35,6.463866638172924e-27,4.838564927344198e-31,4.994124724286842e-28,1.525153447120893e-27,1.5492746888469031e-34
4.702378048306866e-18,0.11224537200000013,0.9,0.0,0.0,0.0,0.0,0.09999999999999873,3.2372985738178073e-16,3.2372948381908196e-16,2.2367889567522216e-16,2.236788956866718e-16,1.9373524365854645e-16,1.9373524389718733e-16,1.937299647435629e-16,1.9372996474420939e-16,1.727422979455463e-16,1.727422979455463e-16,1.5640391811847143e-16,1.5640391812647657e-16,3.7309873270857237e-22,4.473897592284906e-25,1.8920468497260512e-25,4.100300675191526e-26,5.746613632376623e-30,1.035510301849484e-33,3.904175021228441e-26,5.743738823358933e-30,3.0164513334881143e-27,9.21192575545907e-27,1.8392987158395572e-33
1.0748292681844267e-17,0.11224537200000033,0.9,0.0,0.0,0.0,0.0,0.0999999999999971,7.399539597507287e-16,7.399521616443988e-16,5.112660472431677e-16,5.112660472982928e-16,4.428234134800337e-16,4.428234146289868e-16,4.428113479728165e-16,4.4281134797592925e-16,3.948395381612444e-16,3.948395381612444e-16,3.574946699749519e-16,3.574946700134931e-16,1.795872507093175e-21,2.153986668597435e-24,9.109390832434797e-25,1.9741181934200383e-25,5.640777278024978e-29,1.0166701170082723e-32,1.8796917761853558e-25,5.637954773934404e-29,1.4522914698509067e-26,4.435144626501238e-26,1.8058339735656774e-32
2.2840121948919066e-17,0.1122453720000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999386,1.5724021645597086e-15,1.572394315596172e-15,1.0864403503299057e-15,1.0864403505706516e-15,9.40999751098035e-16,9.40999756115815e-16,9.409741143890006e-16,9.409741144025953e-16,8.390340185926263e-16,8.390340185926263e-16,7.596761736535465e-16,7.596761738218661e-16,7.839207614618957e-21,9.407004286116272e-24,3.9783100453172565e-24,8.621492106691434e-25,4.986924452736763e-28,8.992331377571447e-32,8.209103997490474e-25,4.984427980633676e-28,6.342538400136654e-26,1.9369432268604303e-25,1.5972389653301942e-31
4.7023780483068665e-17,0.11224537200000143,0.9,0.0,0.0,0.0,0.0,0.09999999999998736,3.2372985744620022e-15,3.237265838625861e-15,2.2367889563067666e-15,2.236788957311834e-15,1.9373524182341465e-15,1.937352439182388e-15,1.9372996470520743e-15,1.9372996471088325e-15,1.727422979455332e-15,1.727422979455332e-15,1.5640391808732712e-15,1.5640391815759721e-15,3.2695105164083714e-20,3.927221252328278e-23,1.660865916506349e-23,3.5993026624264604e-24,4.187981383818341e-27,7.558595219055408e-31,3.427136127314523e-24,4.185882949939776e-27,2.6478849290800126e-25,8.086348717800695e-25,1.3425743566589937e-30
9.539109755136787e-17,0.1122453720000029,0.9,0.0,0.0,0.0,0.0,0.09999999999997436,6.5670913954039265e-15,6.5669579199623746e-15,4.5374861674740305e-15,4.537486171580059e-15,3.930057720106819e-15,3.930057805687202e-15,3.929950711701026e-15,3.929950711932926e-15,3.5042009011805125e-15,3.5042009011805125e-15,3.1727651947628623e-15,3.172765197633625e-15,1.3330902654631884e-19,1.6043834668742002e-22,6.785177445472045e-23,1.4704321078476512e-23,3.4272974048069704e-26,6.196991174625616e-30,1.400094328764131e-23,3.4255769841415714e-26,1.0817473920022101e-24,3.3035307921451697e-24,1.1007215479363416e-29
1.9212573168796626e-16,0.11224537200000581,0.9,0.0,0.0,0.0,0.0,0.09999999999994835,1.3226677041837124e-14,1.3226139612388116e-14,9.138880586662725e-15,9.138880603259946e-15,7.915468194254063e-15,7.9154685401835e-15,7.915252838290018e-15,7.915252839227597e-15,7.05775674462995e-15,7.05775674462995e-15,6.390217220342608e-15,6.390217231946692e-15,5.367566469245664e-19,6.485057424772293e-22,2.7426757937693504e-22,5.94371786497326e-23,2.7654241220318376e-25,5.018481113223299e-29,5.659384195388514e-23,2.7640308843520367e-25,4.372595915932466e-24,1.3353347019177612e-23,8.913895684780609e-29
3.8559499996116305e-16,0.11224537200001165,0.9,0.0,0.0,0.0,0.0,0.09999999999989635,2.6545848352900915e-14,2.654370407488967e-14,1.8341669412456782e-14,1.8341669479193487e-14,1.5886288624156964e-14,1.5886290015122774e-14,1.58858570806313e-14,1.5885857084402863e-14,1.4164868431525129e-14,1.4164868431525129e-14,1.2825121262704365e-14,1.2825121309363872e-14,2.1415717012262087e-18,2.6075199064433876e-21,1.1028167357322584e-21,2.389939742614345e-22,2.209781298503483e-24,4.039305355959674e-28,2.275596838451921e-22,2.2086599053727372e-24,1.7582015871704987e-23,5.369279780305267e-23,7.174625951493233e-28
7.725335365075567e-16,0.11224537200002331,0.9,0.0,0.0,0.0,0.0,0.09999999999979234,5.318419104781807e-14,5.317572263576401e-14,3.6747247013711556e-14,3.674724728135559e-14,3.1827927410403e-14,3.1827932988788035e-14,3.182706552195889e-14,3.182706553709709e-14,2.83790918053007e-14,2.83790918053007e-14,2.569492931223693e-14,2.569492949936241e-14,8.457550672577559e-18,1.0456589220971123e-20,4.422779227622418e-21,9.58470267469343e-22,1.747949605953422e-23,3.241280390885636e-27,9.12603036515786e-22,1.7470497678374232e-23,7.051174745445528e-23,2.1532873902843413e-22,5.757100769099403e-27
