Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7081308579202906e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999955,1.1759432213505997e-16,1.175942581476597e-16,8.125097983372886e-17,8.125097983568985e-17,7.037399902205029e-17,7.037399906292277e-17,7.037208142078043e-17,7.037208142089115e-17,6.274834701882198e-17,6.274834701882198e-17,5.681345823260786e-17,5.681345823397893e-17,6.390858401219737e-23,7.662537011998702e-26,3.2405461484278764e-26,7.02266627837481e-27,5.093518242742936e-31,9.177310560747978e-35,6.686758578226727e-27,5.090970415205318e-31,5.1663359216766135e-28,1.5777449420675498e-27,1.6300964815448234e-34,6.476864216150455e-28
4.782766402176814e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999871,3.292641019806659e-16,3.29263715541952e-16,2.275027435312627e-16,2.2750274354310717e-16,1.9704719713081579e-16,1.9704719737768564e-16,1.970418279754488e-16,1.9704182797611755e-16,1.7569537165270057e-16,1.7569537165270057e-16,1.5907768304908006e-16,1.590776830573612e-16,3.8596266033578407e-22,4.6281698368966725e-25,1.9572898435130305e-25,4.2416903508656345e-26,6.046376927192441e-30,1.0895302906545107e-33,4.038801730683919e-26,6.04335214656732e-30,3.1204668967125205e-27,9.529578329370608e-27,1.93525033446726e-33,3.9113550580299556e-27
1.093203749068986e-17,0.11224537200000033,0.9,0.0,0.0,0.0,0.0,0.09999999999999706,7.526036616818758e-16,7.526018016058737e-16,5.200062709136183e-16,5.200062709706444e-16,4.503935928246468e-16,4.503935940132191e-16,4.503813210738401e-16,4.5038132107706e-16,4.015894209204541e-16,4.015894209204541e-16,3.6360613267313674e-16,3.6360613271300685e-16,1.8577839743484066e-21,2.2282619864111253e-24,9.423507747567176e-25,2.0421912318422761e-25,5.934996731273447e-29,1.0697072596965705e-32,1.9445087188577583e-25,5.932026984200971e-29,1.5023704860533288e-26,4.588080610456737e-26,1.9000398127782537e-32,1.882466064371686e-26
2.3230579667715952e-17,0.1122453720000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999376,1.599282781124329e-15,1.5992746617230826e-15,1.105013325627481e-15,1.1050133258765288e-15,9.57086382117509e-16,9.57086387308316e-16,9.5706030722684e-16,9.57060307240903e-16,8.53377519455946e-16,8.53377519455946e-16,7.726630318856989e-16,7.726630320598223e-16,8.109391057177611e-21,9.73138299707232e-24,4.115493141373641e-24,8.918784913808551e-25,5.246998388036345e-28,9.461438851160338e-32,8.492176415453725e-25,5.244371681239447e-28,6.56124662083692e-26,2.0037343393150445e-25,1.68056291178224e-31,8.215228791538833e-26
4.7827664021768135e-17,0.11224537200000144,0.9,0.0,0.0,0.0,0.0,0.09999999999998715,3.2926410201697116e-15,3.292607156978827e-15,2.275027434851812e-15,2.275027435891537e-15,1.970471952324036e-15,1.9704719739946306e-15,1.970418279357707e-15,1.970418279416422e-15,1.7569537165268703e-15,1.7569537165268703e-15,1.5907768301686182e-15,1.5907768308955498e-15,3.382139779319121e-20,4.0626420478834906e-23,1.7181371474797258e-23,3.723416527039785e-24,4.406320753262734e-27,7.95290823700918e-31,3.545313122998227e-24,4.4041128493713484e-27,2.739191305949798e-25,8.365188048860067e-25,1.4126130676857825e-30,3.4246962463239707e-25
9.70218327298725e-17,0.11224537200000295,0.9,0.0,0.0,0.0,0.0,0.09999999999997393,6.679357498905108e-15,6.679219431444396e-15,4.615055652486897e-15,4.615055656734512e-15,3.997243059220314e-15,3.997243147751744e-15,3.997134222918894e-15,3.997134223158792e-15,3.56410611066848e-15,3.56410611066848e-15,3.2270044261656376e-15,3.2270044291353917e-15,1.3789670173544554e-19,1.6597065225177331e-22,7.019149019813237e-23,1.5211366466492115e-23,3.6058664564059545e-26,6.520272679853102e-30,1.4483733519353603e-23,3.6040562857652055e-26,1.1190490262132468e-24,3.417445417569243e-24,1.1581433727635186e-29,1.3950306973718018e-24
1.9541017014608124e-16,0.11224537200000592,0.9,0.0,0.0,0.0,0.0,0.09999999999994748,1.3452790458975972e-14,1.345223457693907e-14,9.295112084502755e-15,9.295112101672295e-15,8.050785138945874e-15,8.050785496803906e-15,8.050566107238941e-15,8.050566108208857e-15,7.178410898950742e-15,7.178410898950742e-15,6.4994596158843984e-15,6.499459627888622e-15,5.551916366164776e-19,6.708675976113649e-22,2.8372507711667473e-22,6.148673518653901e-23,2.9093280476600473e-25,5.28028264678228e-29,5.854534638050565e-23,2.9078621283744324e-25,4.52337508548029e-24,1.3813805402863827e-23,9.378910209360186e-29,5.606303602208843e-24
3.9218684497849875e-16,0.11224537200001185,0.9,0.0,0.0,0.0,0.0,0.09999999999989459,2.6999656389686966e-14,2.6997438779161465e-14,1.865522493551723e-14,1.8655225004555206e-14,1.615786876212986e-14,1.6157870201059963e-14,1.6157429864668617e-14,1.6157429868570285e-14,1.4407020475511443e-14,1.4407020475511443e-14,1.3044369986220811e-14,1.3044370034489268e-14,2.21483314375588e-18,2.6974311174640273e-21,1.1408448588100578e-21,2.4723513494051925e-22,2.3244863084060243e-24,4.250025666701817e-28,2.3540651107506406e-22,2.3233064152000548e-24,1.8188292281339016e-23,5.554425863193377e-23,7.548906392993963e-28,2.2284472506896438e-23
7.857401946433337e-16,0.11224537200002371,0.9,0.0,0.0,0.0,0.0,0.0999999999997888,5.40933882946847e-14,5.4084632522403925e-14,3.7375450585477215e-14,3.737545086235036e-14,3.237203386343624e-14,3.2372039634179024e-14,3.2371157334677715e-14,3.237115735033835e-14,2.8864239628617554e-14,2.8864239628617554e-14,2.613419069048921e-14,2.613419088406729e-14,8.744623459472443e-18,1.08171357567717e-20,4.575288533395614e-21,9.915208793062926e-22,1.8382402056984263e-23,3.410369624404937e-27,9.44071651315389e-22,1.8372934256050883e-23,7.294318702397583e-23,2.2275374794004417e-22,6.057431308978987e-27,8.736462696153491e-23
