Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.736366338662099e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999955,1.1953816162640622e-16,1.1953809550622497e-16,8.259406222445001e-17,8.259406222647638e-17,7.153728442476859e-17,7.15372844670035e-17,7.153533512612736e-17,7.153533512624176e-17,6.378558004790464e-17,6.378558004790464e-17,5.775258728021245e-17,5.775258728162919e-17,6.603873778718161e-23,7.917954838633214e-26,3.348564352492793e-26,7.256755151940276e-27,5.350294090522126e-31,9.639978982454783e-35,6.909650517636664e-27,5.347617815871775e-31,5.338547119066416e-28,1.6303364368540557e-27,1.7122767820664938e-34,6.69274003680423e-28,2.996080437734733e-42
4.861825748253877e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999869,3.347068525565188e-16,3.347064532380853e-16,2.3126337422517605e-16,2.3126337423741533e-16,2.0030439625406285e-16,2.0030439650916168e-16,2.0029893835032896e-16,2.0029893835102008e-16,1.7859962413413197e-16,1.7859962413413197e-16,1.617072443822988e-16,1.6170724439085598e-16,3.9882651132350243e-22,4.7824420772371515e-25,2.022532837248881e-25,4.383080026401863e-26,6.351177302231077e-30,1.1444582843838022e-33,4.173428439375213e-26,6.348000029240587e-30,3.2244824599369616e-27,9.847230901380834e-27,2.032814773120156e-33,4.041710235053069e-27,6.701414710253336e-41
1.1112744567437434e-17,0.11224537200000033,0.9,0.0,0.0,0.0,0.0,0.09999999999999701,7.65044234427075e-16,7.650423123639557e-16,5.286019982134922e-16,5.286019982724191e-16,4.578386193714947e-16,4.578386205996859e-16,4.578261447874216e-16,4.578261447907492e-16,4.0822771230658284e-16,4.0822771230658284e-16,3.6961655857728744e-16,3.696165586184867e-16,1.919694689616396e-21,2.3025373000337346e-24,9.737624662197576e-25,2.1102642701291424e-25,6.234158572604591e-29,1.1236358869139193e-32,2.0093256607803444e-25,6.231039107722781e-29,1.5524495022557834e-26,4.741016592545519e-26,1.9958291272743905e-32,1.9451920482879947e-26,1.3237851558912372e-39
2.3614582205804547e-17,0.11224537200000073,0.9,0.0,0.0,0.0,0.0,0.09999999999999365,1.6257189982095572e-15,1.6257106082978283e-15,1.1232792461375811e-15,1.1232792463949302e-15,9.72907063441732e-16,9.729070688055656e-16,9.72880557616365e-16,9.728805576308977e-16,8.674838886514692e-16,8.674838886514692e-16,7.854351869305285e-16,7.854351871104562e-16,8.37956785673526e-21,1.005576167100302e-23,4.252676236986029e-24,9.216077719728322e-25,5.511438395850046e-28,9.938431402850469e-32,8.77524882679314e-25,5.508679265522768e-28,6.779954841537473e-26,2.0705254501185753e-25,1.7652874224450798e-31,8.488867614750967e-26,2.354527913228427e-38
4.8618257482538774e-17,0.11224537200000148,0.9,0.0,0.0,0.0,0.0,0.09999999999998693,3.3470685259403585e-15,3.3470335351193563e-15,2.3126337417755843e-15,2.312633742849967e-15,2.0030439429237023e-15,2.0030439653166503e-15,2.002989383093282e-15,2.002989383153955e-15,1.7859962413411804e-15,1.7859962413411804e-15,1.6170724434900656e-15,1.6170724442412288e-15,3.494763472215814e-20,4.1980628123909873e-23,1.775408378079897e-23,3.8475303906466704e-24,4.6283209852972215e-27,8.353849135525645e-31,3.6634901131279605e-24,4.6260017717460446e-27,2.8304976828198275e-25,8.644027366041134e-25,1.4838290343861223e-30,3.538683345910001e-25,3.967625611597156e-37
9.862560803600723e-17,0.112245372000003,0.9,0.0,0.0,0.0,0.0,0.09999999999997349,6.789767582068171e-15,6.7896249216940125e-15,4.691342732210895e-15,4.6913427366000976e-15,4.063317667253641e-15,4.063317758736119e-15,4.063207033323216e-15,4.063207033571112e-15,3.623020946720356e-15,3.623020946720356e-15,3.28034695602136e-15,3.280346959090107e-15,1.424839225174899e-19,1.7150295528277293e-22,7.253120591094665e-23,1.5718411846256338e-23,3.7874220818104044e-26,6.848988117589292e-30,1.4966523705755613e-23,3.7855206532710357e-26,1.1563506604244846e-24,3.531360031615103e-24,1.2165303781039939e-29,1.4413935614382944e-24,6.504944211147484e-36
1.9864030914294414e-16,0.112245372000006,0.9,0.0,0.0,0.0,0.0,0.0999999999999466,1.3675165697011261e-14,1.367459136060944e-14,9.448760709718728e-15,9.448760727460588e-15,8.183864977377626e-15,8.183865347164254e-15,8.183642330887342e-15,8.183642331889598e-15,7.297070357477717e-15,7.297070357477717e-15,6.60689597873283e-15,6.606895991137192e-15,5.736229825805175e-19,6.932294324241713e-22,2.931825746086272e-22,6.353629165652372e-23,3.0556268113412776e-25,5.546484712618037e-29,6.049685044379176e-23,3.054086989826861e-25,4.674154255029741e-24,1.4274263694407257e-23,9.851740937994416e-29,5.792073697256891e-24,1.0506444098403345e-34
3.9866971135681796e-16,0.11224537200001204,0.9,0.0,0.0,0.0,0.0,0.09999999999989284,2.7445961937824694e-14,2.744367100198992e-14,1.8963596651283246e-14,1.8963596722622487e-14,1.6424959043482926e-14,1.6424960530377318e-14,1.6424512914431456e-14,1.6424512918463245e-14,1.464516917898849e-14,1.464516917898849e-14,1.325999401475129e-14,1.325999406462869e-14,2.2880658292047953e-18,2.787342167988509e-21,1.1788729798934564e-21,2.554762950817668e-22,2.4410813938460287e-24,4.4642878971432525e-28,2.432533354373042e-22,2.4398420189491266e-24,1.8794568690986158e-23,5.739571871918438e-23,7.929477869980762e-28,2.3018571767379835e-23,1.679809617217011e-33
7.987285157845656e-16,0.1122453720000241,0.9,0.0,0.0,0.0,0.0,0.0999999999997853,5.498755446452291e-14,5.4978511469436836e-14,3.799326848060768e-14,3.799326876670994e-14,3.290714495913011e-14,3.290715092223063e-14,3.2906254035174135e-14,3.290625405135725e-14,2.9341366821994235e-14,2.9341366821994235e-14,2.65661900491703e-14,2.6566190249200982e-14,9.031474292138986e-18,1.1177681052000876e-20,4.7277978231650865e-21,1.0245714868274653e-21,1.9299896406428913e-23,3.582301006941042e-27,9.7554024398003e-22,1.928995132219536e-23,7.53746265936017e-23,2.301787509007742e-22,6.362809807186262e-27,9.020976418762211e-23,2.6580576926769935e-32
1.5988461246400608e-15,0.11224537200004826,0.9,0.0,0.0,0.0,0.0,0.09999999999957022,1.1007073970826621e-13,1.100356297117423e-13,7.605261192403818e-14,7.605261306993938e-14,6.587150792422888e-14,6.587153180764596e-14,6.58697360912093e-14,6.586973615613213e-14,5.873376210794251e-14,5.873376210794251e-14,5.3178581967536654e-14,5.317858276870274e-14,3.506377087568197e-17,4.476282430340784e-20,1.8935770530063996e-20,4.103608287442737e-21,1.502072668679137e-22,2.8701858567183747e-26,3.907138742956857e-21,1.5012758706755348e-22,3.018916588713966e-22,9.2188555560007e-22,5.097835596861644e-26,3.4548348183783816e-22,4.14175563736829e-31
3.1990813423510513e-15,0.11224537200009654,0.9,0.0,0.0,0.0,0.0,0.09999999999914007,2.2023711102614558e-13,2.2010473443661887e-13,1.521712979500256e-13,1.5217130253661608e-13,1.318001983901085e-13,1.3180029398531152e-13,1.3179669946099254e-13,1.317966997216293e-13,1.175185526795862e-13,1.175185526795862e-13,1.0640336520238274e-13,1.0640336840913498e-13,1.3219096504955038e-16,1.79122192814395e-19,7.579178314798573e-20,1.6424952979624795e-20,1.1372853493630953e-21,2.2978710983666056e-25,1.5637923760048522e-20,1.136647456553442e-21,1.2083533921152642e-21,3.689704158819804e-21,4.0811198328246067e-25,1.2705908833526233e-21,6.2834655026171046e-30
6.399551777773032e-15,0.11224537200019309,0.9,0.0,0.0,0.0,0.0,0.09999999999827977,4.4056985739763937e-13,4.4009578698770303e-13,3.0440866655850644e-13,3.0440868491083685e-13,2.6365743746831157e-13,2.6365781996798186e-13,2.6365062322827536e-13,2.636506242764135e-13,2.3508813382186214e-13,2.3508813382186214e-13,2.1285292926452866e-13,2.1285294209571426e-13,4.733236177165599e-16,7.164077669166364e-19,3.032606782830397e-19,6.571981014123107e-20,8.206427828200557e-21,1.8389587832077023e-24,6.256651469976205e-20,8.201323221637696e-21,4.834987555740291e-21,1.4761697888529464e-20,3.2657387659825258e-24,4.364881552724208e-21,9.098632881196324e-29
9.600022213195013e-15,0.11224537200028967,0.9,0.0,0.0,0.0,0.0,0.09999999999741947,6.6090260781559e-13,6.599668745712987e-13,4.566460317234933e-13,4.566460707259214e-13,3.95514534696674e-13,3.9551534757799134e-13,3.955045440207538e-13,3.9550454625498747e-13,3.526577149631266e-13,3.526577149631266e-13,3.193024909191282e-13,3.193025181880082e-13,9.341409761459885e-16,1.5221038914228884e-18,6.444830445011206e-19,1.3966591852730237e-19,2.2158606992525647e-20,5.258725811543686e-24,1.329594101815511e-19,2.2144010356473696e-20,1.0275332438886787e-20,3.1368784977627215e-20,9.338229936695464e-24,8.392526201796027e-21,3.1969629201667478e-28
1.2800492648616995e-14,0.11224537200038621,0.9,0.0,0.0,0.0,0.0,0.09999999999655917,8.812353625131131e-13,8.797401547548289e-13,6.088833934449862e-13,6.088834599818657e-13,5.273714900789111e-13,5.273728768153398e-13,5.273584618364082e-13,5.273584656573513e-13,4.702272961033796e-13,4.702272961033796e-13,4.2575205016618156e-13,4.257520966860169e-13,1.4924841487172684e-15,2.5960813365015175e-18,1.099455483087143e-18,2.38262361618847e-19,4.445113645754151e-20,1.109265993770144e-23,2.2681439482295195e-19,4.442034773021806e-20,1.752938806393893e-20,5.350970255031854e-20,1.9696845882962942e-23,1.3120409226165471e-20,7.7849722214527315e-28
1.920143351946096e-14,0.11224537200057935,0.9,0.0,0.0,0.0,0.0,0.09999999999483858,1.3219008824589182e-12,1.3191104465382026e-12,9.133581088063031e-13,9.133582465692311e-13,7.910850679507386e-13,7.910879391093019e-13,7.910662904765654e-13,7.910662984158718e-13,7.053664583815118e-13,7.053664583815118e-13,6.386511630099246e-13,6.386512593280992e-13,2.7847750355937373e-15,5.373358242755322e-18,2.276354273259811e-18,4.933052312045735e-19,1.1211585092994838e-19,3.029864681513244e-23,4.695831165931855e-19,1.120317593464768e-19,3.629416745121759e-20,1.1077518267108713e-19,5.379548598632199e-23,2.3712726851953698e-20,2.5493298455030393e-27
2.560237439030492e-14,0.11224537200077248,0.9,0.0,0.0,0.0,0.0,0.09999999999311798,1.7625664193434203e-12,1.7582514241099293e-12,1.2178328115046653e-12,1.217833045809835e-12,1.054798124234635e-12,1.0548030073875695e-12,1.0547741081584443e-12,1.0547741217007492e-12,9.405056206559244e-13,9.405056206559244e-13,8.515502670002619e-13,8.51550430816852e-13,4.3053368763154654e-15,9.136416368249922e-18,3.871524417301923e-18,8.389885600955344e-19,2.1902875376265464e-19,6.339598922325998e-23,7.986172491886454e-19,2.188528125612882e-19,6.172860829496944e-20,1.8838004450574418e-19,1.1255125405657156e-22,3.5678886448990623e-20,6.041913440267106e-27
3.840425613199285e-14,0.11224537200115876,0.9,0.0,0.0,0.0,0.0,0.09999999998967678,2.6438975514229565e-12,2.636140471776362e-12,1.8267821753206767e-12,1.8267826858397027e-12,1.582222524243752e-12,1.5822331635944674e-12,1.5821897075108712e-12,1.5821897371623734e-12,1.4107839451925364e-12,1.4107839451925364e-12,1.2773484459094484e-12,1.2773488028437291e-12,7.735921077150852e-15,1.989713841363496e-17,8.435180960893704e-18,1.8279488717235513e-18,5.854560899298748e-19,2.0018494814056568e-22,1.739914705930168e-18,5.84900606699416e-19,1.344983278057678e-19,4.1032497139828746e-19,3.5532219240638085e-22,6.143264823956149e-20,2.391008824094713e-26
5.120613787368077e-14,0.11224537200154502,0.9,0.0,0.0,0.0,0.0,0.09999999998623557,3.5252287614654644e-12,3.5137006703280038e-12,2.4357314843248723e-12,2.435732380638981e-12,2.109644666908644e-12,2.1096633457045275e-12,2.109605259381986e-12,2.1096053116171697e-12,1.881062269713049e-12,1.881062269713049e-12,1.7031465864965163e-12,1.703147213163571e-12,1.1490799642388967e-14,3.4920286016053204e-17,1.4809004636445885e-17,3.209159615259845e-18,1.1655344126435172e-18,4.55320876901276e-22,3.054546466550022e-18,1.16427112997036e-18,2.3613779738025598e-19,7.201876113187155e-19,8.08023741437947e-22,8.848958077845613e-20,6.194518192335625e-26
6.400801961536869e-14,0.11224537200193124,0.9,0.0,0.0,0.0,0.0,0.09999999998279437,4.406560050691761e-12,4.391115263306636e-12,3.0446807383278724e-12,3.0446821303966834e-12,2.6370645446549635e-12,2.6370935538072434e-12,2.637020763600584e-12,2.6370208449234553e-12,2.3513405942174056e-12,2.3513405942174056e-12,2.128944688629059e-12,2.1289456619086834e-12,1.5386702805600204e-14,5.4218980765647534e-17,2.299904390769799e-17,4.983920543451886e-18,1.9722150379060147e-18,8.657874455624194e-22,4.743783483715975e-18,1.9698132161744265e-18,3.6674676823315746e-19,1.1181953653323957e-18,1.5361631903028648e-21,1.1590273936372423e-19,1.2890427704182338e-25
7.680990135705661e-14,0.1122453720023175,0.9,0.0,0.0,0.0,0.0,0.09999999997935316,5.28789141952786e-12,5.268475496918797e-12,3.653629937266554e-12,3.653631935175655e-12,3.164482155116282e-12,3.1645237879324423e-12,3.1644362201144625e-12,3.1644363370340038e-12,2.8216189187055877e-12,2.8216189187055877e-12,2.554742752262944e-12,2.5547441491231648e-12,1.9332374235658217e-14,7.779700197203613e-17,3.300717006960039e-17,7.152625847911444e-18,3.0118671679242147e-18,1.4696348392342918e-21,6.808045961826425e-18,3.00779067687322e-18,5.263584917238902e-19,1.6043703786816696e-18,2.607090329600025e-21,1.4333739435732881e-19,2.3411784015818517e-25
1.0241366484043245e-13,0.11224537200309005,0.9,0.0,0.0,0.0,0.0,0.09999999997247075,7.0505545556924715e-12,7.023149518407937e-12,4.87152805969613e-12,4.871531819963277e-12,4.219306037256776e-12,4.219384386354844e-12,4.219266894627756e-12,4.2192671151819926e-12,3.762175567601047e-12,3.762175567601047e-12,3.406338686949192e-12,3.4063413159871404e-12,2.7247191006670947e-14,1.463505177798497e-16,6.211542616423861e-17,1.3459960769834909e-17,6.2726375796636264e-18,4.1062082010815714e-21,1.281252769502279e-17,6.2612530060945804e-18,9.90662218937557e-19,3.016797551683019e-18,7.279117380565328e-21,1.9805330477128066e-19,7.520125998461738e-25
