Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7641499642315393e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999953,1.2145089366339606e-16,1.2145082541044017e-16,8.391565113571783e-17,8.391565113733225e-17,7.268195365687603e-17,7.26819537004734e-17,7.267997316814069e-17,7.26799731682588e-17,6.480621413491766e-17,6.480621413491766e-17,5.867668735340103e-17,5.867668735486345e-17,6.816888520990354e-23,8.173372661727514e-26,3.456582556515343e-26,7.490844025391494e-27,5.611244920433325e-31,1.0110171290060503e-34,7.132542456413213e-27,5.608438109842763e-31,5.510758316456247e-28,1.682927931483016e-27,1.7957934934801362e-34,6.908614914282708e-28,3.192487326122993e-42,4.7734284536840395e-28
4.93961989984831e-18,0.11224537200000015,0.9,0.0,0.0,0.0,0.0,0.09999999999999867,3.400625022601737e-16,3.4006209006209604e-16,2.3496382317662003e-16,2.3496382318637153e-16,2.0350947009959956e-16,2.035094703629275e-16,2.0350392486787515e-16,2.0350392486858855e-16,1.8145739957776843e-16,1.8145739957776843e-16,1.642947245871528e-16,1.6429472459598596e-16,4.116902869190739e-22,4.9367143133758635e-25,2.0877758309344354e-25,4.524469701802455e-26,6.660932776683245e-30,1.2002795138045294e-33,4.308055147314768e-26,6.657600531442526e-30,3.328498023161437e-27,1.0164883471520686e-26,2.1319657983208422e-33,4.172064292815089e-27,7.140711458735214e-41,2.8826220204485803e-27
1.1290559771081851e-17,0.11224537200000033,0.9,0.0,0.0,0.0,0.0,0.09999999999999697,7.772857194643936e-16,7.772837354148967e-16,5.370601672448648e-16,5.370601672918194e-16,4.651645024264334e-16,4.651645036942437e-16,4.651518282556687e-16,4.651518282591036e-16,4.1475977046346604e-16,4.1475977046346604e-16,3.755307990451759e-16,3.755307990877041e-16,1.981604665143649e-21,2.376812609533517e-24,1.005174157633416e-24,2.17833730828284e-25,6.538182312965701e-29,1.1784414981399479e-32,2.074142601965328e-25,6.534910695447747e-29,1.6025285184582718e-26,4.8939525727979624e-26,2.0931761608704138e-32,2.0079169343157687e-26,1.4105578913128252e-39,1.3873201351159696e-26
2.3992439513548936e-17,0.11224537200000073,0.9,0.0,0.0,0.0,0.0,0.09999999999999355,1.6517321539155386e-15,1.6517234934998614e-15,1.141252855327116e-15,1.1412528555322261e-15,9.884745648456478e-16,9.884745703825086e-16,9.884476349845546e-16,9.884476349995554e-16,8.813645122348452e-16,8.813645122348452e-16,7.98002947923301e-16,7.980029481090329e-16,8.649738121610503e-21,1.0380140308512065e-23,4.389859332161643e-24,9.513370524470228e-25,5.780173284976471e-28,1.042318077718128e-31,9.058321231616737e-25,5.777279577433371e-28,6.99866306223832e-26,2.137316559297883e-25,1.8513897162659324e-31,8.762496745172588e-26,2.50884641390154e-38,6.054067227056461e-26
4.9396198998483105e-17,0.1122453720000015,0.9,0.0,0.0,0.0,0.0,0.09999999999998672,3.400625022989027e-15,3.400588904592693e-15,2.349638231274664e-15,2.3496382321313527e-15,2.0350946807462664e-15,2.035094703861567e-15,2.0350392482555187e-15,2.0350392483181483e-15,1.81457399577754e-15,1.81457399577754e-15,1.6429472455278662e-15,1.6429472463032604e-15,3.6073816861456e-20,4.333483546358188e-23,1.832679608312935e-23,3.971644253263491e-24,4.853922240569659e-27,8.761310108162236e-31,3.7816670977945124e-24,4.851489906873691e-27,2.9218040596901005e-25,8.922866669569656e-25,1.5562031079124886e-30,3.652662328136555e-25,4.227606637502302e-37,2.523514270220373e-25
1.0020371796835143e-16,0.11224537200000302,0.9,0.0,0.0,0.0,0.0,0.09999999999997307,6.898410761823795e-15,6.898263508983101e-15,4.766408982301944e-15,4.766408985805002e-15,4.1283348767962754e-15,4.1283349712298e-15,4.128222474050195e-15,4.128222474306087e-15,3.6809929628626746e-15,3.6809929628626746e-15,3.3328358401302554e-15,3.3328358432979934e-15,1.470706963566708e-19,1.77035255822018e-22,7.487092159366107e-23,1.6225457217903408e-23,3.9719152242054e-26,7.183049101599172e-30,1.5449313847591622e-23,3.9699210531237624e-26,1.1936522946359212e-24,3.645274634467833e-24,1.2758668645756434e-29,1.4877498192560542e-24,6.930982514570578e-36,1.0277324301403152e-24
2.0181875590808808e-16,0.11224537200000609,0.9,0.0,0.0,0.0,0.0,0.09999999999994576,1.3893982242268233e-14,1.3893389455084521e-14,9.59995048088524e-15,9.599950495070852e-15,8.314815125891504e-15,8.314815507606729e-15,8.314588922650387e-15,8.31458892368498e-15,7.413830897031925e-15,7.413830897031925e-15,6.7126130269080726e-15,6.712613039712577e-15,5.920507452518255e-19,7.155912472524639e-22,3.0264007185682346e-22,6.55858480607737e-23,3.204280694517729e-25,5.817015733265892e-29,6.244835414976962e-23,3.2026657679904917e-25,4.824933424580802e-24,1.4734721895306717e-23,1.0332260733016544e-28,5.977791072679199e-24,1.1193909657416763e-34,4.128568009315987e-24
4.0504883178756143e-16,0.11224537200001225,0.9,0.0,0.0,0.0,0.0,0.09999999999989113,2.7885125214442603e-14,2.788276098156748e-14,1.9267033464166773e-14,1.926703352140956e-14,1.668777505206376e-14,1.668777658692244e-14,1.668732180789292e-14,1.668732181205482e-14,1.487950676536635e-14,1.487950676536635e-14,1.3472167390755859e-14,1.3472167442242207e-14,2.3612702436298417e-18,2.8772530607257805e-21,1.2169010990148962e-21,2.6371745469392573e-22,2.559534612297305e-24,4.6820344355133125e-28,2.5110015698037806e-22,2.5582347868381727e-24,1.940084510064624e-23,5.92471780768682e-23,8.316238050998791e-28,2.3752258874240645e-23,1.7895188304676788e-33,1.6397725222056015e-23
8.11508983546508e-16,0.1122453720000245,0.9,0.0,0.0,0.0,0.0,0.09999999999978187,5.5867411205360283e-14,5.5858081205518164e-14,3.860119937518962e-14,3.86011996063329e-14,3.343369261634304e-14,3.343369877180127e-14,3.343278753053712e-14,3.343278754724272e-14,2.981085850201888e-14,2.981085850201888e-14,2.699127607962003e-14,2.6991276286103317e-14,9.31810705937117e-18,1.1538225128334382e-20,4.8803070971911576e-21,1.0576220901030625e-21,2.0231723570443464e-23,3.757028308676256e-27,1.0070088148974682e-21,2.0221293416295816e-23,7.780606616333136e-23,2.3760374800742727e-22,6.673154149173601e-27,9.305177845241709e-23,2.831020572131861e-32,6.418807882140192e-23
