Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8184441604890634e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999952,1.2518871572498627e-16,1.2518864320649975e-16,8.649827331872862e-17,8.649827332044393e-17,7.491884299951957e-17,7.491884304540242e-17,7.491680155979682e-17,7.491680155992231e-17,6.680071651866544e-17,6.680071651866544e-17,6.048254492983089e-17,6.04825449310301e-17,7.242916139437245e-23,8.684208297516051e-26,3.672618964435988e-26,7.959021771958311e-27,6.145411381691473e-31,1.107265890042393e-34,7.578326332102169e-27,6.14233736293349e-31,5.855180711201655e-28,1.7881109202781156e-27,1.96675290398056e-34,7.340361898492395e-28,3.604005012085823e-42,5.07173807990465e-28,3.546374138530178e-28,4.392905135894132e-28
5.0916436493693775e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999865,3.5052840403279287e-16,3.505279660756483e-16,2.4219516528883837e-16,2.4219516529919937e-16,2.097727602502731e-16,2.0977276052740607e-16,2.0976704436432984e-16,2.0976704436508786e-16,1.8704200625226217e-16,1.8704200625226217e-16,1.693511258010083e-16,1.6935112580825197e-16,4.374176166328556e-22,5.245258773309866e-25,2.218261818157788e-25,4.807249052205179e-26,7.295000179702364e-30,1.3145460401029766e-33,4.5773085609814247e-26,7.291350704962975e-30,3.536529149569729e-27,1.0800188606305768e-26,2.3349287798982768e-33,4.432769120337793e-27,8.061136516897055e-41,3.062750705718071e-27,2.1416294019750786e-27,2.6528802393308414e-27
1.1638042627130006e-17,0.11224537200000036,0.9,0.0,0.0,0.0,0.0,0.09999999999999688,8.012077806597374e-16,8.012056726396579e-16,5.535889492146508e-16,5.535889492645405e-16,4.794805941582535e-16,4.794805954925339e-16,4.79467529960991e-16,4.794675299646404e-16,4.2752458571945136e-16,4.2752458571945136e-16,3.8708828753329023e-16,3.8708828756816927e-16,2.105422443111759e-21,2.525363216421711e-24,1.0679975403156639e-24,2.314483384199022e-25,7.160512265844337e-29,1.2906290453118237e-32,2.203776482164484e-25,7.156929190603274e-29,1.702686550823344e-26,5.199824527908191e-26,2.2924463549868664e-32,2.1333634812179358e-26,1.5923649712510987e-39,1.473993118230257e-26,1.030714934558707e-26,1.2768053315210753e-26
2.4730840582651266e-17,0.11224537200000076,0.9,0.0,0.0,0.0,0.0,0.09999999999999336,1.7025665339590038e-15,1.7025573325546238e-15,1.1763765170086474e-15,1.17637651722658e-15,1.018896259600108e-15,1.0188962654272997e-15,1.0188685011046928e-15,1.0188685011206315e-15,9.084897446538127e-16,9.084897446538127e-16,8.225626109575628e-16,8.225626111099228e-16,9.1900594553785e-21,1.1028897476539308e-23,4.664225521229755e-24,1.0107956130493817e-24,6.330259508698216e-28,1.1415466821427802e-31,9.62446602208798e-25,6.327090320468177e-28,7.4360795032873e-26,2.2708987728849955e-25,2.0276418311136013e-31,9.309726533622904e-26,2.832171642062708e-38,6.432141507412731e-26,4.498002447573326e-26,5.572261921765772e-26
5.091643649369378e-17,0.11224537200000155,0.9,0.0,0.0,0.0,0.0,0.09999999999998632,3.505284040739459e-15,3.505245667353387e-15,2.4219516523661263e-15,2.4219516532763834e-15,2.097727580987393e-15,2.0977276053150923e-15,2.0976704431936134e-15,2.0976704432601574e-15,1.8704200625224677e-15,1.8704200625224677e-15,1.6935112576449421e-15,1.6935112582812992e-15,3.832602020102941e-20,4.604324924583247e-23,1.9472220677004726e-23,4.2198719755886016e-24,5.315702386265818e-27,9.595386140333091e-31,4.018021051050384e-24,5.313038494692358e-27,3.104416813134558e-25,9.480545236519435e-25,1.7043534366558057e-30,3.8805964498584118e-25,4.772299209525166e-37,2.6809783641298756e-25,1.8749916079631129e-25,2.3230713311078584e-25
1.0328762831577882e-16,0.11224537200000312,0.9,0.0,0.0,0.0,0.0,0.09999999999997225,7.11071905503134e-15,7.110562618570182e-15,4.913101922159029e-15,4.913101925881237e-15,4.2553901857762856e-15,4.255390285165489e-15,4.255274326577498e-15,4.255274326849385e-15,3.794280698259508e-15,3.794280698259508e-15,3.4354085503750397e-15,3.4354085529770737e-15,1.5624293132605636e-19,1.8809984958195754e-22,7.955035287066509e-23,1.7239547937351682e-23,4.349529243868798e-26,7.866874734050015e-30,1.6414894000126732e-23,4.347345228040571e-26,1.2682555628166746e-24,3.873103807291112e-24,1.3973291371760375e-29,1.5804429336922415e-24,7.823537381177223e-36,1.0917574264423468e-24,7.636875206272062e-25,9.464143288170278e-25
2.0803001195994888e-16,0.11224537200000627,0.9,0.0,0.0,0.0,0.0,0.09999999999994409,1.432158908656496e-14,1.432095940833888e-14,9.895402458056618e-15,9.895402473130495e-15,8.570715243411488e-15,8.57071564517949e-15,8.570482090169274e-15,8.570482091268542e-15,7.642001969732502e-15,7.642001969732502e-15,6.919203133256586e-15,6.9192031437929256e-15,6.288957483889927e-19,7.60314818224358e-22,3.2155506563712967e-22,6.968496067616399e-23,3.5085041800097605e-25,6.370794987703939e-29,6.635136051054651e-23,3.506735512918298e-25,5.126491761732321e-24,1.565563803081999e-23,1.1315888560912965e-28,6.349071044564013e-24,1.263400241028778e-34,4.3849365176731875e-24,3.0684464750029153e-24,3.8044110127946825e-24
4.17514779248289e-16,0.11224537200001261,0.9,0.0,0.0,0.0,0.0,0.09999999999988778,2.8743329161634986e-14,2.8740818417655e-14,1.9860003515098923e-14,1.9860003575932484e-14,1.7201364750912612e-14,1.720136636656995e-14,1.7200897604647525e-14,1.7200897609069664e-14,1.5337444512674158e-14,1.5337444512674158e-14,1.388679228870509e-14,1.388679233121756e-14,2.5075960904374875e-18,3.0570743830435754e-21,1.2929573314941076e-21,2.8019977236393403e-22,2.801895100296399e-24,5.127763397218788e-28,2.66793791776023e-22,2.8004715320744245e-24,2.0613397904427113e-23,6.295009464898164e-23,9.107939015396631e-28,2.5218423785612856e-23,2.0192872087563293e-33,1.740947508205578e-23,1.2191778049667427e-23,1.5129912724740748e-23
8.364843138249692e-16,0.11224537200002525,0.9,0.0,0.0,0.0,0.0,0.09999999999977516,5.758680936134502e-14,5.75769059914917e-14,3.978920557017204e-14,3.978920581586223e-14,3.446266133484605e-14,3.44626678156447e-14,3.4461728582772524e-14,3.446172860052314e-14,3.072832959854015e-14,3.072832959854015e-14,2.7821970558343746e-14,2.7821970729973108e-14,9.890733045369822e-18,1.2259309705960296e-20,5.18532559899374e-21,1.1237232841819857e-21,2.21374135462927e-23,4.114696509759194e-27,1.0699458928288045e-21,2.2125990450696864e-23,8.266894518060372e-23,2.524537250231804e-22,7.30843101720823e-27,9.872665466163419e-23,3.193113321382355e-32,6.809937338934264e-23,4.7759126711600634e-23,5.93749689949665e-23
