Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.84499219485506e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999952,1.270163848937946e-16,1.270163102425519e-16,8.776108863224223e-17,8.7761088634008e-17,7.601260659182226e-17,7.601260663905464e-17,7.601053534914745e-17,7.601053534927663e-17,6.777596104711648e-17,6.777596104711648e-17,6.136554849750012e-17,6.136554849873461e-17,7.455929034289802e-23,8.93962611031438e-26,3.780637168335326e-26,8.193110645077258e-27,6.418504254080327e-31,1.1564733047467408e-34,7.801218269036483e-27,6.415293624492931e-31,6.027391908554185e-28,1.8407024144488846e-27,2.0541563208412467e-34,7.556234032960464e-28,3.819115764627631e-42,5.220891921756773e-28,3.6506694515818027e-28,4.522097030798123e-28,3.585741561631579e-39
5.165978145594168e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999862,3.5564587770553936e-16,3.5564542686896995e-16,2.457310481665705e-16,2.457310481772363e-16,2.1283529830435643e-16,2.1283529858964049e-16,2.1282949897442037e-16,2.1282949897520065e-16,1.8977269093192503e-16,1.8977269093192503e-16,1.7182353579040804e-16,1.718235357978648e-16,4.502811729685008e-22,5.399530997228731e-25,2.283504811697063e-25,4.9486387272112947e-26,7.619166368863385e-30,1.3729650813743037e-33,4.711935266734533e-26,7.615354709767017e-30,3.640544712749924e-27,1.1117841171005972e-26,2.4386941004162084e-33,4.563119923027675e-27,8.542264640810358e-41,3.1528138958046518e-27,2.2046068609970988e-27,2.7308928392704512e-27,4.2563040355728906e-38
1.1807950047072384e-17,0.11224537200000038,0.9,0.0,0.0,0.0,0.0,0.09999999999999683,8.129048633406937e-16,8.129026933363881e-16,5.616709672203963e-16,5.616709672717534e-16,4.864806811184414e-16,4.864806824919658e-16,4.864674262121964e-16,4.864674262159532e-16,4.3376615070153775e-16,4.3376615070153775e-16,3.9273951036585484e-16,3.927395104017599e-16,2.167330267323506e-21,2.5996385139314548e-24,1.099409231585705e-24,2.382556421965421e-25,7.478675390670391e-29,1.3479852033476217e-32,2.2685934212041867e-25,7.474933081907637e-29,1.7527655669823754e-26,5.352760502819956e-26,2.3943237281445618e-32,2.1960851744223485e-26,1.6873992423347792e-39,1.5173284793293557e-26,1.061018658533109e-26,1.3143453903435476e-26,4.177407215220594e-37
2.5091893850028816e-17,0.11224537200000077,0.9,0.0,0.0,0.0,0.0,0.09999999999999326,1.7274228346577163e-15,1.7274133627683902e-15,1.1935508052687248e-15,1.1935508054930685e-15,1.0337714443026787e-15,1.0337714503012596e-15,1.0337432806366688e-15,1.0337432806530764e-15,9.217530702407456e-16,9.217530702407456e-16,8.345714594752718e-16,8.345714596321142e-16,9.46021071683165e-21,1.1353276008130667e-23,4.801408615135091e-24,1.0405248931810113e-24,6.611484284283902e-28,1.1922775488648372e-31,9.907538407961412e-25,6.6081742558814195e-28,7.654787723604046e-26,2.3376898773405416e-25,2.117751153736605e-31,9.583327477604872e-26,3.0011781078628756e-38,6.621168668711181e-26,4.630195761832803e-26,5.736036799353352e-26,3.692279548598131e-36
5.165978145594168e-17,0.11224537200000155,0.9,0.0,0.0,0.0,0.0,0.09999999999998611,3.556458777479046e-15,3.5564192766769515e-15,2.4573104811280877e-15,2.4573104820651298e-15,2.1283529608954224e-15,2.1283529859386528e-15,2.128294989281292e-15,2.128294989349794e-15,1.897726909319092e-15,1.897726909319092e-15,1.7182353575282005e-15,1.7182353581832827e-15,3.9452043019868875e-20,4.73974556974315e-23,2.0044932968657648e-23,4.343985835325992e-24,5.551774897672485e-27,1.00218095498639e-30,4.136198019829456e-24,5.548992621572674e-27,3.1957231896824313e-25,9.759384500342002e-25,1.780095650524141e-30,3.99455182970763e-25,5.0570098740820274e-37,2.759702056565894e-25,1.930053868773066e-25,2.3913003969401468e-25,3.0992354981700707e-35
1.0479555666776741e-16,0.11224537200000317,0.9,0.0,0.0,0.0,0.0,0.09999999999997183,7.214530663874274e-15,7.214369636245924e-15,4.98482983189764e-15,4.98482983572943e-15,4.317515954978007e-15,4.317516057290501e-15,4.317398405753231e-15,4.317398406033116e-15,3.849674587475506e-15,3.849674587475506e-15,3.4855631529704352e-15,3.485563155649069e-15,1.6082840572550254e-19,1.9363214287660301e-22,8.18900684658394e-23,1.774659328539148e-23,4.5425629099430736e-26,8.216482256239143e-30,1.6897684012380862e-23,4.540281835532304e-26,1.3055571967645367e-24,3.987018377590675e-24,1.4594270141504968e-29,1.626779987344418e-24,8.290051063128451e-36,1.1237631292720887e-24,7.8607999032004005e-25,9.741712903753098e-25,2.5338391965428407e-34
2.1106710709141886e-16,0.1122453720000064,0.9,0.0,0.0,0.0,0.0,0.09999999999994327,1.453067443970212e-14,1.4530026321108142e-14,1.0039868529640048e-14,1.0039868545158118e-14,8.6958417867317e-15,8.695842200317035e-15,8.695605235427698e-15,8.695605236559307e-15,7.753569943787218e-15,7.753569943787218e-15,7.020218741200415e-15,7.020218752047199e-15,6.47313096289483e-19,7.826765749667099e-22,3.310125621764046e-22,7.173451688923648e-23,3.6640031716318356e-25,6.653915976581619e-29,6.83028631779267e-23,3.6621559043150177e-25,5.277270929160901e-24,1.6116095968098227e-23,1.1818770578219966e-28,6.5346352359289684e-24,1.3386620368837288e-34,4.513066605652758e-24,3.1581429787977286e-24,3.915674297844232e-24,2.0405595876436445e-33
4.236102079387218e-16,0.11224537200001278,0.9,0.0,0.0,0.0,0.0,0.09999999999988614,2.916296200371961e-14,2.916037804481119e-14,2.0149945909938084e-14,2.0149945972567464e-14,1.7452492824594266e-14,1.745249448777587e-14,1.7452018881697607e-14,1.745201888624987e-14,1.556136065640618e-14,1.556136065640618e-14,1.4089529907042415e-14,1.4089529950809595e-14,2.580718386822753e-18,3.146984817439463e-21,1.3309854449095487e-21,2.8844093043733555e-22,2.9257455838224243e-24,5.355643402778564e-28,2.7464060512963474e-22,2.924258751833311e-24,2.1219674297193883e-23,6.480155188485689e-23,9.512697881785144e-28,2.595091440476187e-23,2.1393434676512836e-33,1.7914927505550226e-23,1.2546015974954366e-23,1.55699341512832e-23,1.6243471619500334e-32
8.486964096333276e-16,0.11224537200002564,0.9,0.0,0.0,0.0,0.0,0.09999999999977187,5.842753718282794e-14,5.841734744080897e-14,4.0370100609787034e-14,4.037010086275387e-14,3.496579239774882e-14,3.4965799069197144e-14,3.496484612191057e-14,3.4964846140183746e-14,3.117694208162626e-14,3.117694208162626e-14,2.8228152196254578e-14,2.822815237296521e-14,1.0176733175180095e-17,1.2619850245774545e-20,5.337834827233016e-21,1.1567738751101079e-21,2.3110822133483347e-23,4.297555225292022e-27,1.1014144006489375e-21,2.309889139451407e-23,8.510038461773215e-23,2.598787051043683e-22,7.633217566327256e-27,1.015596187672625e-22,3.382234283548075e-32,7.005183324648676e-23,4.913045803780924e-23,6.108295991081709e-23,1.2753398216258078e-31
