Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8711636040857824e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.0999999999999995,1.2881812573440962e-16,1.288180489504168e-16,8.900598894754042e-17,8.900598894935662e-17,7.709085344733995e-17,7.709085349592182e-17,7.708875282453304e-17,7.70887528246659e-17,6.873737021595522e-17,6.873737021595522e-17,6.223602528697011e-17,6.223602528823988e-17,7.668941331160952e-23,9.195043919570644e-26,3.888655372105815e-26,8.427199517895857e-27,1.0139779515756596e-21,1.2063888003981904e-34,8.024110205191116e-27,6.692176959813333e-31,6.199603105799169e-28,1.893293908428066e-27,2.142817448260621e-34,7.772105279645044e-28,1.4999540451445304e-24,5.370045128489993e-28,3.754964347232134e-28,4.651288449194305e-28,3.740498999747082e-39,1.0154779049512518e-21
5.239258091440191e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.0999999999999986,3.606907520593448e-16,3.606902883434214e-16,2.4921676904929957e-16,2.4921676906027e-16,2.1585438949544185e-16,2.1585438978887686e-16,2.158485079054088e-16,2.1584850790621135e-16,1.9246463660467352e-16,1.9246463660467352e-16,1.7426087080084998e-16,1.7426087080851975e-16,4.631446583439388e-22,5.55380321706634e-25,2.348747805135262e-25,5.0900284019732967e-26,2.839138270491694e-21,1.4322247563035474e-33,4.8465619716692964e-26,7.944019497195917e-30,3.744560275885172e-27,1.1435493733684291e-26,2.5439525744462523e-33,4.6934696723213255e-27,4.199871319789553e-24,3.2428763323027745e-27,2.267583824748478e-27,2.808904873791493e-27,4.4399921753980717e-38,2.8433381338634884e-21
1.1975447066149009e-17,0.11224537200000038,0.9,0.0,0.0,0.0,0.0,0.0999999999999968,8.244360047212136e-16,8.244337727333773e-16,5.696383292375633e-16,5.69638329290388e-16,4.9338146096320565e-16,4.933814623759737e-16,4.933680180540256e-16,4.933680180578899e-16,4.399191693821056e-16,4.399191693821056e-16,3.9831056181794426e-16,3.9831056185487533e-16,2.2292373953605643e-21,2.6739138075002693e-24,1.130820922783398e-24,2.45062945955042e-25,6.489458963859414e-21,1.4061667004036642e-32,2.333410359496383e-25,7.797509910455583e-29,1.802844583140132e-26,5.50569647587754e-26,2.497667087293664e-32,2.2588058344583783e-26,9.599705842619073e-24,1.560663101335002e-26,1.0913218967352772e-26,1.3518848945524124e-26,4.357668876774796e-37,6.499058591687897e-21
2.5447825015566644e-17,0.1122453720000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999318,1.7519265100930009e-15,1.7519167677248763e-15,1.210481449553072e-15,1.2104814497838277e-15,1.0484356013849736e-15,1.0484356075549439e-15,1.0484070382987202e-15,1.0484070383155965e-15,9.348282349369518e-16,9.348282349369518e-16,8.464099438094715e-16,8.46409943970796e-16,9.730355829166353e-21,1.1677654505183183e-23,4.938591708516374e-24,1.070254173177302e-24,1.3790100822229047e-20,1.243738418443552e-31,1.0190610787470499e-24,6.89329748993758e-28,7.873495944093983e-26,2.4044809802124957e-25,2.209157122622015e-31,9.85691930146613e-26,2.0399374782436035e-23,6.810189306233168e-26,4.76238478779661e-26,5.899806780206584e-26,3.851568921341608e-36,1.3810499507336446e-20
5.239258091440191e-17,0.1122453720000016,0.9,0.0,0.0,0.0,0.0,0.09999999999998593,3.6069075210292234e-15,3.6068668928626476e-15,2.492167689940017e-15,2.4921676909038453e-15,2.158543872173473e-15,2.1585438979322337e-15,2.15848507857795e-15,2.1584850786484085e-15,1.9246463660465724e-15,1.9246463660465724e-15,1.7426087076218802e-15,1.7426087082956873e-15,4.057801429083539e-20,4.875166186058405e-23,2.0617645256383675e-23,4.4680996940293855e-24,2.8391388417629086e-20,1.0454369070571648e-30,4.254374983371314e-24,5.7883329417882195e-27,3.287029566451693e-25,1.0038223751086318e-24,1.8569277707688824e-30,4.1084995736423195e-25,4.1998712238702027e-23,2.8384202876578133e-25,1.985112538787296e-25,2.459525361281289e-25,3.232876075537219e-35,2.843338133863248e-20
1.0628209271207245e-16,0.11224537200000323,0.9,0.0,0.0,0.0,0.0,0.09999999999997145,7.316869543675837e-15,7.316703925300619e-15,5.055540169737614e-15,5.055540173678989e-15,4.3787603735303436e-15,4.37876047876613e-15,4.37864115829575e-15,4.378641158583633e-15,3.904282628265527e-15,3.904282628265527e-15,3.5350062345641146e-15,3.5350062373193506e-15,1.6541345976266883e-19,1.9916443382309424e-22,8.422978403075916e-23,1.825363862537447e-23,5.759399499935624e-20,8.571120528683075e-30,1.7380473982321896e-23,4.735979838688366e-26,1.342858830924174e-24,4.100932937262431e-24,1.5224184574070374e-29,1.6731108294584732e-24,8.5197385457768e-23,1.1557643907225878e-24,8.084695384202414e-25,1.0019249128371177e-24,2.6429950938443716e-34,5.767914500122033e-20
2.140611163074135e-16,0.11224537200000646,0.9,0.0,0.0,0.0,0.0,0.09999999999994247,1.4736793592094006e-14,1.4736127036499946e-14,1.0182285125427635e-14,1.0182285141389925e-14,8.819193215363712e-15,8.819193640766403e-15,8.81895331436852e-15,8.818953315532469e-15,7.863555152702287e-15,7.863555152702287e-15,7.119801285718249e-15,7.119801296875502e-15,6.6572707612284555e-19,8.0503831290569655e-22,3.4047005847848756e-22,7.378407303875709e-23,1.159994597728386e-19,6.941110990293671e-29,7.025436550785174e-23,3.819788817506325e-25,5.4280500984183835e-24,1.6576553819691253e-23,1.232888884897011e-28,6.720149902836902e-24,1.7159472512212536e-22,4.641161301984758e-24,3.247816179124276e-24,4.0269109178308724e-24,2.128298368480432e-33,1.1617067232637902e-19
4.2961916349809563e-16,0.11224537200001296,0.9,0.0,0.0,0.0,0.0,0.09999999999988453,2.957664170165144e-14,2.95739845543527e-14,2.0435775021186986e-14,2.0435775085612454e-14,1.7700058255510093e-14,1.7700059966216165e-14,1.7699577613061312e-14,1.7699577617743703e-14,1.5782100201571225e-14,1.5782100201571225e-14,1.428939137710519e-14,1.4289391422127262e-14,2.6538141431189948e-18,3.2368951036214646e-21,1.3690135564472454e-21,2.9668208800601775e-22,2.3281238893970375e-19,5.586802526442483e-28,2.824874158302064e-22,3.0497894240527053e-24,2.1825950705011454e-23,6.665300843260562e-23,9.923280988953438e-28,2.6683018543346286e-23,3.4438937735714904e-22,1.8420104035577646e-23,1.2900071895254298e-23,1.600974683334634e-23,1.693928178440493e-32,2.331537269766285e-19
8.6073525787946e-16,0.112245372000026,0.9,0.0,0.0,0.0,0.0,0.09999999999976865,5.925633797334486e-14,5.924586206336469e-14,4.0942754750222936e-14,4.094275501046849e-14,3.5461785761730516e-14,3.546179262383008e-14,3.5460826156624676e-14,3.546082617542043e-14,3.1619190299290744e-14,3.1619190299290744e-14,2.862857151619376e-14,2.862857169798704e-14,1.0462529085381928e-17,1.2980389643573449e-20,5.4903440405303906e-21,1.1898244620154512e-21,4.664539553569019e-19,4.483045208112233e-27,1.1328828880764896e-21,2.4085207797638793e-23,8.753182417499302e-23,2.673036796701328e-22,7.962677500421197e-27,1.0438966458731001e-22,6.89978573474408e-22,7.200221418274281e-23,5.050041288326283e-23,6.278936498646581e-23,1.3295723301795914e-31,4.671198362768559e-19
