Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9224378538120493e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999949,1.3234804301892821e-16,1.3234796196945255e-16,9.144496076935354e-17,9.144496077127067e-17,7.920332274723674e-17,7.920332279851763e-17,7.920116456379905e-17,7.92011645639393e-17,7.062093458108282e-17,7.062093509336522e-17,6.394143762799846e-17,6.394143762933877e-17,8.094964164948597e-23,9.705879528681849e-26,4.1046917797023993e-26,8.895377263591385e-27,1.0417633139357418e-21,1.3083048165335693e-34,8.469894083058793e-27,7.257507269569103e-31,6.544025500564919e-28,1.9984768960340717e-27,2.323843174776133e-34,8.20384515972957e-28,1.5410562865590056e-24,5.668349672396128e-28,3.963552909878884e-28,4.9096698833878105e-28,4.0564766393255644e-39,1.04279208708934e-21,5.122824104416471e-25,1.8008728108848016e-33
5.382825990673738e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999856,3.705745204561634e-16,3.705740309817409e-16,2.560458901501644e-16,2.5604589016174443e-16,2.2176930352642455e-16,2.2176930383616154e-16,2.217632607751713e-16,2.217632607760184e-16,1.977386168270307e-16,1.9773861991975008e-16,1.7903602535558124e-16,1.7903602536367715e-16,4.888714201988279e-22,5.862347645345251e-25,2.4792337919767756e-25,5.372807751347881e-26,2.9169372856079232e-21,1.5532194475157048e-33,5.1158153879266397e-26,8.615073106434263e-30,3.952591402322205e-27,1.20707988543665e-26,2.7588662826915083e-33,4.9541660696451525e-27,4.314957595382584e-24,3.422998986676714e-27,2.3935362941500254e-27,2.964927278235738e-27,4.815037677773299e-38,2.9181595152545337e-21,3.092719351058425e-24,1.0877271798243063e-32
1.2303602264397116e-17,0.11224537200000038,0.9,0.0,0.0,0.0,0.0,0.0999999999999967,8.470274753432991e-16,8.470251193904518e-16,5.852477488956841e-16,5.85247748951444e-16,5.069012644214468e-16,5.069012659127021e-16,5.068874531840514e-16,5.068874531881301e-16,4.519739813189218e-16,4.51973996194119e-16,4.0922520079948895e-16,4.0922520083847185e-16,2.3530496017697295e-21,2.822464383332783e-24,1.1936443050922496e-24,2.5867755344604095e-25,6.667285289156303e-21,1.5249599990653916e-32,2.463044242238281e-25,8.456128765795001e-29,1.903002615535794e-26,5.811568417148769e-26,2.708670567870904e-32,2.384244112612521e-26,9.862760185099215e-24,1.6473301692585163e-26,1.1519269429009977e-26,1.4269622700520866e-26,4.725714756861896e-37,6.662272767755649e-21,1.4875197086056675e-23,5.236938185868603e-32
2.614515481184387e-17,0.1122453720000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999298,1.7999333851682927e-15,1.7999231018606765e-15,1.2436514663223152e-15,1.2436514665658938e-15,1.0771651835580786e-15,1.0771651900708273e-15,1.0771358379463534e-15,1.077135837964167e-15,9.604447103026852e-16,9.604447751358989e-16,8.696035516422728e-16,8.696035518125619e-16,1.0270627949053749e-20,1.2326411398895903e-23,5.212957894288272e-24,1.1297127328910899e-24,1.4167981807624446e-20,1.3488097339725772e-31,1.0756755600376338e-24,7.475437536552502e-28,8.310912385423627e-26,2.538063181562318e-25,2.395787182507181e-31,1.0404076097029978e-25,2.095836525281041e-23,7.188211373497182e-26,5.026750213784757e-26,6.22733232453136e-26,4.1767886217891283e-36,1.412410621166552e-20,6.483321374379321e-23,2.287108566872501e-31
5.3828259906737385e-17,0.11224537200000162,0.9,0.0,0.0,0.0,0.0,0.09999999999998554,3.7057452050216566e-15,3.705702322277881e-15,2.560458900917945e-15,2.560458901935346e-15,2.2176930112176926e-15,2.2176930384075152e-15,2.2176326072491225e-15,2.2176326073234963e-15,1.9773861682701356e-15,1.9773864378500403e-15,1.7903602531477145e-15,1.7903602538589728e-15,4.282980506397949e-20,5.1460073343061436e-23,2.176306982257896e-23,4.716327408891283e-24,2.91693790502456e-20,1.1337556588528339e-30,4.4907289553752426e-24,6.2769836127082486e-27,3.4696423201360145e-25,1.0595902215187518e-24,2.013801364146755e-30,4.336372580457694e-25,4.3149574941344915e-23,2.9958406710576874e-25,2.0952193070440747e-25,2.5959632145242783e-25,3.505718135591845e-35,2.8942942442811805e-20,2.6957990409375666e-22,9.548229298670175e-31
1.091944700965244e-16,0.1122453720000033,0.9,0.0,0.0,0.0,0.0,0.09999999999997067,7.517368845545763e-15,7.517194046914264e-15,5.194073769078674e-15,5.194073773239232e-15,4.4987486240823404e-15,4.498748735164724e-15,4.498626144967296e-15,4.498626145271174e-15,4.011269084204735e-15,4.011270176750713e-15,3.631873655438093e-15,3.631873658346542e-15,1.7458233029944145e-19,2.1022900882528502e-22,8.8909215080933e-23,1.926772928365824e-23,5.917220757219534e-20,9.295210689041962e-30,1.834605428673031e-23,5.135505456829871e-26,1.4174620993028374e-24,4.32876202576993e-24,1.6510325508749566e-29,1.765754228662333e-24,8.753199253086877e-23,1.2197538395806526e-24,8.53240034207188e-25,1.0574223281135338e-24,2.865831528880096e-34,5.816714221335422e-20,1.092545977826254e-21,3.900765264865619e-30
2.1992689047609844e-16,0.11224537200000663,0.9,0.0,0.0,0.0,0.0,0.0999999999999409,1.5140616129894148e-14,1.5139912710212788e-14,1.0461303501278006e-14,1.0461303518128843e-14,9.060859679993474e-15,9.06086012903096e-15,9.060613216853981e-15,9.06061321808261e-15,8.079034916072721e-15,8.079039262929966e-15,7.314900457136833e-15,7.314900468915086e-15,7.025451221757424e-19,8.497617335264081e-22,3.5938505042230117e-22,7.788318515891637e-23,1.191781374010795e-19,7.527497446136175e-29,7.415737306949751e-23,4.1415670594531e-25,5.729608437172074e-24,1.7497469272421964e-23,1.3370433352631676e-28,7.091033492184157e-24,1.762968205598356e-22,4.897246543435332e-24,3.427093999442777e-24,4.249305681123073e-24,2.307385038851268e-33,1.150071626420648e-19,4.346857241537174e-21,1.576754985111756e-29
4.413917312352465e-16,0.11224537200001332,0.9,0.0,0.0,0.0,0.0,0.09999999999988136,3.0387110712031274e-14,3.0384307266033994e-14,2.099576294918818e-14,2.099576301720661e-14,1.8185081112544326e-14,1.8185082918299946e-14,1.8184587346427145e-14,1.8184587351369794e-14,1.621456657980385e-14,1.6214583524208408e-14,1.4680954049006244e-14,1.4680954096538632e-14,2.79992756776353e-18,3.416715240248472e-21,1.4450697741465532e-21,3.1316440169036787e-22,2.3919216439250297e-19,6.058776508483022e-28,2.9818105985161707e-22,3.3059804856754873e-24,2.3038503521596987e-23,7.035591950929418e-23,1.076159732839527e-27,2.8146090102050116e-23,3.5382644801901216e-22,1.9429645668832924e-23,1.3607648405707697e-23,1.6888758165668317e-23,1.8359091797063978e-32,2.22598278742876e-19,1.69444045315306e-20,6.340115029937198e-29
8.843214127535427e-16,0.1122453720000267,0.9,0.0,0.0,0.0,0.0,0.0999999999997623,6.088009993190001e-14,6.086905228635913e-14,4.2064681779054666e-14,4.206468205386355e-14,3.643352126057019e-14,3.6433528503976864e-14,3.643253554876049e-14,3.6432535568601424e-14,3.248562990724672e-14,3.248569392601021e-14,2.941306118663277e-14,2.9413061378595404e-14,1.1033520499481724e-17,1.370146508288297e-20,5.795362423741206e-21,1.2559256241137139e-21,4.79237234924299e-19,4.861773237324034e-27,1.1958200337973708e-21,2.6097282176402905e-23,9.239470329326851e-23,2.821536125908008e-22,8.635358659570909e-27,1.1004118242215112e-22,7.088855885667913e-22,7.589686873609517e-23,5.323627829434592e-23,6.619751496014858e-23,1.4401695543625608e-31,4.1590124675287687e-19,6.401876325853753e-20,2.5427525377417783e-28
