Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9475688270319405e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999949,1.340781562281762e-16,1.340780730459678e-16,9.264037047042662e-17,9.264037047209488e-17,8.023870424351614e-17,8.02387042961465e-17,8.02365178479965e-17,8.023651784814045e-17,7.154412323563498e-17,7.154412376139513e-17,6.477730889086505e-17,6.477730889224066e-17,8.307974717424145e-23,9.961297328419901e-26,4.2127099834430386e-26,9.12946613628367e-27,1.0553817130581348e-21,1.3602867122523062e-34,8.692786017928745e-27,7.545850913496593e-31,6.716236697947765e-28,2.0510683896226783e-27,2.416174692102722e-34,8.419713816315358e-28,1.5612016681827579e-24,5.817501026142005e-28,4.067846587773934e-28,5.038859911618249e-28,4.217639082604504e-39,1.0564171538232996e-21,5.2576015174434255e-25,1.8482642006788378e-33,2.9929457206771003e-28
5.453192715689434e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999853,3.754188374421411e-16,3.754183350885716e-16,2.5939303731306305e-16,2.593930373231401e-16,2.246683717116427e-16,2.2466837202953066e-16,2.246622499708329e-16,2.2466224997170235e-16,2.003235450597767e-16,2.003235482338434e-16,1.8137646489153364e-16,1.8137646489984267e-16,5.017346985353998e-22,6.016619853767078e-25,2.544476785329086e-25,5.514197425850592e-26,2.9550688034123255e-21,1.6149323524773823e-33,5.250442091232598e-26,8.957339254292301e-30,4.05660696554069e-27,1.2388451412162294e-26,2.8684822422299126e-33,5.084512745302404e-27,4.371364663745336e-24,3.513059224297634e-27,2.4565118127877652e-27,3.042937662979889e-27,5.00632646983726e-38,2.9562660924642595e-21,3.1740666722299446e-24,1.1163515793691978e-32,1.807739214980223e-27
1.246444049300442e-17,0.11224537200000038,0.9,0.0,0.0,0.0,0.0,0.09999999999999665,8.581001998830695e-16,8.580977819487229e-16,5.928983709818102e-16,5.928983710303338e-16,5.135277059670859e-16,5.135277074975848e-16,5.135137142022764e-16,5.135137142064626e-16,4.578823887080552e-16,4.578824039743127e-16,4.145747768813167e-16,4.145747769213257e-16,2.414954698426702e-21,2.8967396656391777e-24,1.225055996179474e-24,2.6548485717341805e-25,6.754443046716171e-21,1.5855500916447688e-32,2.5278611788783426e-25,8.792050350688336e-29,1.9530816317335953e-26,5.964504385285388e-26,2.816292129188455e-32,2.4469617579072654e-26,9.991690626204954e-24,1.6906626345983206e-26,1.1822287636410481e-26,1.4645001559254435e-26,4.913431652609993e-37,6.749168392122342e-21,1.5266257362163693e-23,5.3747523501522e-32,8.703486151097889e-27
2.6486936047634393e-17,0.1122453720000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999287,1.823462924816985e-15,1.823452371048512e-15,1.2599090382532012e-15,1.2599090384651808e-15,1.0912463717547325e-15,1.0912463784388703e-15,1.091216642608246e-15,1.0912166426265286e-15,9.73000076004593e-16,9.730001425404875e-16,8.809714008146662e-16,8.809714009894377e-16,1.0540755118555564e-20,1.265078979620008e-23,5.350140986579836e-24,1.1594420125876939e-24,1.4353192065004002e-20,1.4024009785349643e-31,1.1039827965057487e-24,7.772347820025351e-28,8.529620606088186e-26,2.604854280026902e-25,2.4909771675258024e-31,1.067764130932998e-25,2.1232342436462062e-23,7.377212975178254e-26,5.1589267269236843e-26,6.391088017117776e-26,4.3426594036976825e-36,1.4307887735885626e-20,6.653589439274222e-23,2.3472956370844947e-31,3.801041060474565e-26
5.4531927156894335e-17,0.11224537200000165,0.9,0.0,0.0,0.0,0.0,0.09999999999998534,3.754188374893556e-15,3.754144364935697e-15,2.5939303725315705e-15,2.5939303734170724e-15,2.2466836924370696e-15,2.246683720342424e-15,2.2466224991925123e-15,2.2466224992688436e-15,2.0032354505975907e-15,2.0032357272428674e-15,1.8137646484964986e-15,1.813764649226484e-15,4.395562592833295e-20,5.281427866889826e-23,2.2335782100680454e-23,4.840441264974899e-24,2.955069447421714e-20,1.1788023186542083e-30,4.608905906386712e-24,6.52620442067214e-27,3.560948696977957e-25,1.0874741428659044e-24,2.0938141691477026e-30,4.450298045661265e-25,4.37136455983282e-23,3.074542967950132e-25,2.1502675004081776e-25,2.6641762120076905e-25,3.644869567944989e-35,2.9317756315883434e-20,2.766452763526576e-22,9.799498535581527e-31,1.5868598167964264e-25
1.1062190937541423e-16,0.11224537200000335,0.9,0.0,0.0,0.0,0.0,0.09999999999997027,7.61563927588569e-15,7.615459887733604e-15,5.261973040030659e-15,5.2619730436525325e-15,4.55755829022994e-15,4.5575584042356255e-15,4.557434211450327e-15,4.557434211762204e-15,4.063706199783276e-15,4.0637073208475786e-15,3.6793511431207e-15,3.67935114610576e-15,1.7916615797002746e-19,2.157612929388315e-22,9.124893056505847e-23,1.9774774601753884e-23,5.994573467930307e-20,9.664530252112575e-30,1.8828844154029578e-23,5.339259663750272e-26,1.4547637334919935e-24,4.442676554791521e-24,1.7166316972195181e-29,1.8120669516447676e-24,8.86762500874749e-23,1.2517421455372413e-24,8.756210598889244e-25,1.0851662099630897e-24,2.9794710371862963e-34,5.891329321463883e-20,1.1210643028246552e-21,4.0034170557885465e-30,6.4828401123572495e-25
2.22801873812454e-16,0.11224537200000671,0.9,0.0,0.0,0.0,0.0,0.09999999999994011,1.5338541081257787e-14,1.5337819234398768e-14,1.0598058370798234e-14,1.059805838547293e-14,9.179307311528622e-15,9.179307772383542e-15,9.179057632322879e-15,9.179057633583848e-15,8.184647698153402e-15,8.184652157570979e-15,7.410524129411239e-15,7.41052414150003e-15,7.209492788539508e-19,8.721234166944471e-22,3.688425460624922e-22,7.993274112954092e-23,1.2073609867438453e-19,7.826581728176929e-29,7.61088745743587e-23,4.305652954779036e-25,5.880387606547556e-24,1.7957926875434734e-23,1.390166924513587e-28,7.276403757531103e-24,1.7860145172753096e-22,5.025238048181214e-24,3.51669925082609e-24,4.360464545250301e-24,2.398699717129044e-33,1.1645485179878841e-19,4.459417573070506e-21,1.6182486556567636e-29,2.620467609864339e-24
4.471618026865336e-16,0.11224537200001353,0.9,0.0,0.0,0.0,0.0,0.0999999999998798,3.078434470580235e-14,3.078146814876946e-14,2.127022901541099e-14,2.1270229074689524e-14,1.8422804656979037e-14,1.8422806510259728e-14,1.8422304459494044e-14,1.8422304464566827e-14,1.6426530694888685e-14,1.6426548071299314e-14,1.4872870090160883e-14,1.4872870138948693e-14,2.8729459635799085e-18,3.506625094676232e-21,1.4830978803262761e-21,3.214055578125331e-22,2.423190795042572e-19,6.299505115096738e-28,3.0602786402811773e-22,3.436593082699213e-24,2.364477992987962e-23,7.220737405481179e-23,1.118917735814999e-27,2.887706831049593e-23,3.584518256563428e-22,1.993401848031511e-23,1.396117406869478e-23,1.7327962608872788e-23,1.9082824809263483e-32,2.2529768248669033e-19,1.7376410599832673e-20,6.506962044692562e-29,1.0536784884383947e-23
8.958816604346927e-16,0.11224537200002702,0.9,0.0,0.0,0.0,0.0,0.09999999999975918,6.167595201199659e-14,6.166461879303958e-14,4.2614570236947006e-14,4.261457047678344e-14,3.69097965593023e-14,3.6909803993364785e-14,3.6908798055528007e-14,3.690879807589156e-14,3.2910296688339357e-14,3.291036229212194e-14,2.9797561964334406e-14,2.979756216138367e-14,1.1318721820418169e-17,1.406200115653062e-20,5.947871593922226e-21,1.2889761993852617e-21,4.855027244212293e-19,5.054942072107853e-27,1.2272884707782413e-21,2.712265800652967e-23,9.482614285233758e-23,2.895785710846822e-22,8.978456949254182e-27,1.1286274038367798e-22,7.18152456134509e-22,7.784120373368706e-23,5.460222928783643e-23,6.789930606984302e-23,1.4965129996733161e-31,4.205899581140176e-19,6.560378235435461e-20,2.609670028690601e-28,4.225721909705584e-23
