Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9723796212402066e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999948,1.3578622707828105e-16,1.3578614176334555e-16,9.382055015659987e-17,9.38205501583108e-17,8.126089455051432e-17,8.12608946044942e-17,8.12586803023631e-17,8.125868030251076e-17,7.245555008421276e-17,7.24555506234508e-17,6.560253080750636e-17,6.560253080891721e-17,8.520984703596249e-23,1.0216715125001854e-25,4.320728187145909e-26,9.363555008874106e-27,1.0688266081337813e-21,1.412939388329895e-34,8.915677952237606e-27,7.837914686899256e-31,6.888447895330603e-28,2.103659883070829e-27,2.509697665758652e-34,8.635581632077113e-28,1.581090389296834e-24,5.9666517783782535e-28,4.1721398703480835e-28,5.168049488554922e-28,4.380880645931415e-39,1.0698684599785538e-21,5.392377641242503e-25,1.895655590474614e-33,3.0680124858492e-28,2.9205857672343287e-31
5.522662939472578e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999852,3.80201435822518e-16,3.8020092058986885e-16,2.6269754043424245e-16,2.626975404445771e-16,2.275305045668734e-16,2.2753050489291236e-16,2.2752430484296823e-16,2.2752430484386e-16,2.0287554023579427e-16,2.0287554349120942e-16,1.836870862580552e-16,1.8368708626657729e-16,5.14597909662337e-22,6.170892058443158e-25,2.6097197786365555e-25,5.655587100232379e-26,2.992714509889213e-21,1.6774416078386046e-33,5.38506879387263e-26,9.30402050057408e-30,4.160622528759158e-27,1.2706103968290591e-26,2.9795126982593496e-33,5.214858423209924e-27,4.427053082680997e-24,3.603118748159322e-27,2.519486862318578e-27,3.1209475121774836e-27,5.200082469954735e-38,2.9938861412214025e-21,3.2554124646238874e-24,1.1449759789179777e-32,1.85210338826513e-27,2.7401866710017207e-30
1.2623229575937322e-17,0.11224537200000038,0.9,0.0,0.0,0.0,0.0,0.0999999999999966,8.690318533243241e-16,8.690293734091377e-16,6.004515209725789e-16,6.004515210223435e-16,5.200697239013249e-16,5.200697254710675e-16,5.200555539095844e-16,5.200555539138778e-16,4.637155205389513e-16,4.637155361962772e-16,4.198561971473025e-16,4.198561971883375e-16,2.4768591356792564e-21,2.9710149442704667e-24,1.2564676872226736e-24,2.7229216088892267e-25,6.840490378417822e-21,1.6469220456787245e-32,2.5926781148650425e-25,9.132303658849132e-29,2.0031606479313778e-26,6.117440351784847e-26,2.9253024505676867e-32,2.5096784246138276e-26,1.0118978440048768e-23,1.7339943999120072e-26,1.2125301242705358e-26,1.502037516481491e-26,5.103568490897213e-37,6.834951962931947e-21,1.5657302666540992e-23,5.512566514512585e-32,8.907153333458817e-27,2.3120034004071554e-29
2.682436284886681e-17,0.11224537200000083,0.9,0.0,0.0,0.0,0.0,0.09999999999999279,1.846692688381331e-15,1.8466818641578254e-15,1.2759594819814573e-15,1.2759594821988579e-15,1.1051481597771617e-15,1.1051481666326892e-15,1.1051180519844398e-15,1.105118052003191e-15,9.853954811452423e-16,9.853955493838736e-16,8.921944188783956e-16,8.921944190576492e-16,1.081087646393805e-20,1.2975168161042628e-23,5.4873240784820016e-24,1.1891712921792869e-24,1.4536042667725536e-20,1.4566837705395458e-31,1.1322900323967739e-24,8.073084051928726e-28,8.748328826752575e-26,2.671645377043436e-25,2.587395493346544e-31,1.0951197884029408e-25,2.1502829037182134e-23,7.566208398465801e-26,5.291099178627848e-26,6.554839071951972e-26,4.5106663774668474e-36,1.448930624623453e-20,6.823844328915118e-23,2.407482707432985e-31,3.8812928861223544e-26,1.879210988363848e-28
5.5226629394725784e-17,0.11224537200000168,0.9,0.0,0.0,0.0,0.0,0.09999999999998516,3.802014358709451e-15,3.80196922158632e-15,2.6269754037280347e-15,2.6269754046361896e-15,2.275305020356573e-15,2.275305048977459e-15,2.2752430479006397e-15,2.2752430479789286e-15,2.0287554023577312e-15,2.0287556860687904e-15,1.8368708621509752e-15,1.8368708628996867e-15,4.508139797564193e-20,5.416848372261814e-23,2.290849437550881e-23,4.964555120175837e-24,2.9927151788077837e-20,1.2244302654803073e-30,4.7270828525608335e-24,6.778632091012348e-27,3.6522550738197593e-25,1.115358062995886e-24,2.1748594656699753e-30,4.564216280428695e-25,4.42705297610406e-23,3.1532400937371723e-25,2.205312293614726e-25,2.7323853256270963e-25,3.7858095277578267e-35,2.968770598543387e-20,2.8370955231914785e-22,1.0050767774790608e-30,1.6131420295152977e-25,1.5066680622771809e-27
1.1203116248644373e-16,0.1122453720000034,0.9,0.0,0.0,0.0,0.0,0.09999999999996989,7.7126577002263e-15,7.712473722951571e-15,5.329007246136475e-15,5.32900724985106e-15,4.6156186968263645e-15,4.615618813755356e-15,4.61549303879897e-15,4.615493039118844e-15,4.115475244782335e-15,4.115476394368138e-15,3.726223747937709e-15,3.726223750999382e-15,1.8374958766212265e-19,2.212935748335073e-22,9.358864602234884e-23,2.0281819912612812e-23,6.070940678269148e-20,1.0038615552994437e-29,1.9311633981888578e-23,5.545628248948676e-26,1.492065367681036e-24,4.556591073834061e-24,1.7830773376791081e-29,1.8583737954427363e-24,8.980592932713151e-23,1.2837262480094634e-24,8.979993202367158e-25,1.1129069310981316e-24,3.0945653862125827e-34,5.964958341640244e-20,1.1495738191505188e-21,4.1060688504710114e-30,6.531928738079354e-25,1.1983509515398481e-26
2.2564022866987965e-16,0.11224537200000681,0.9,0.0,0.0,0.0,0.0,0.09999999999993935,1.5533944386735507e-14,1.5533204115885445e-14,1.0733070926614496e-14,1.073307094166527e-14,9.296245871009997e-15,9.296246343682377e-15,9.295993016859134e-15,9.295993018152444e-15,8.28891492963005e-15,8.288919501633822e-15,7.504929516477473e-15,7.504929528876822e-15,7.393502486757197e-19,8.944850820873732e-22,3.7830004148536585e-22,8.198229704156071e-23,1.222742112941555e-19,8.129525421104349e-29,7.806037576333509e-23,4.471832342064032e-25,6.0311667759221485e-24,1.8418384397635484e-23,1.4439760188470227e-28,7.461727188378834e-24,1.8087672093291969e-22,5.153196086648726e-24,3.606282463477449e-24,4.471598188209616e-24,2.4911742294037705e-33,1.1788273127608256e-19,4.5719093590786965e-21,1.65974233224971e-29,2.5943398204213076e-24,9.440945847436147e-26
4.528583610367515e-16,0.11224537200001367,0.9,0.0,0.0,0.0,0.0,0.09999999999987827,3.117651777391453e-14,3.117356813092713e-14,2.154119827021511e-14,2.1541198331016232e-14,1.8657499504354785e-14,1.865750140516074e-14,1.8656992958031793e-14,1.8656992963234713e-14,1.663579429931951e-14,1.663581210795775e-14,1.506234104142219e-14,1.50623410914656e-14,2.945939276421886e-18,3.5965348090848355e-21,1.5211259847568465e-21,3.296467134629979e-22,2.4540615973539176e-19,6.543340099838495e-28,3.1387466571743993e-22,3.5688534162692804e-24,2.4251056338155652e-23,7.405882794989865e-23,1.1622274803657986e-27,2.9607681646514216e-23,3.630182740406556e-22,2.0438130862450566e-23,1.4314527887188802e-23,1.7766969910502268e-23,1.981560728426106e-32,2.279577010424456e-19,1.7807906397708278e-20,6.673809155381769e-29,1.0079532309251475e-23,7.318101706215156e-25
9.072946257704952e-16,0.1122453720000274,0.9,0.0,0.0,0.0,0.0,0.09999999999975612,6.246166460689004e-14,6.245004600707144e-14,4.315745288799468e-14,4.3157453134016733e-14,3.738000391096506e-14,3.738001153568484e-14,3.7378992780573334e-14,3.737899280145953e-14,3.3329553038674543e-14,3.3329620229458844e-14,3.017716404277239e-14,3.01771642449096e-14,1.1603730572561676e-17,1.4422536153400852e-20,6.100380750067478e-21,1.3220267708717382e-21,4.916884147135215e-19,5.250603561227031e-27,1.2587568886516797e-21,2.816068395328793e-23,9.725758241136205e-23,2.970035243595034e-22,9.325982416152748e-27,1.1568155219794296e-22,7.273012598678297e-22,7.978358294308971e-23,5.596688477152081e-23,6.959960389457948e-23,1.5535395151708678e-31,4.2520226437859013e-19,6.718527662113344e-20,2.676587669102595e-28,3.785088361891091e-23,5.507434379521952e-24
