Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9968821709206462e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999948,1.374730771851781e-16,1.3747298973752105e-16,9.498606751769506e-17,9.498606751944877e-17,8.227038536203081e-17,8.227038541736018e-17,8.226814360730021e-17,8.226814360745155e-17,7.33556535411962e-17,7.335565409391174e-17,6.641750032602131e-17,6.641750032746744e-17,8.733994130592266e-23,1.0472132918467418e-25,4.4287463908114816e-26,9.597643881363961e-27,1.0821044664236902e-21,1.46625440559688e-34,9.138569885992415e-27,8.133651769124497e-31,7.060659092713419e-28,2.1562513763802904e-27,2.604397105881975e-34,8.851448617599056e-28,1.6007320167703403e-24,6.11580193665892e-28,4.276432762577528e-28,5.297238619878352e-28,4.546175158179197e-39,1.0831524823813607e-21,5.527152492055145e-25,1.9430469802721286e-33,3.1446914758086854e-28,3.0149225911465623e-31,2.3897691698393055e-42
5.591270078577809e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999849,3.8492461612191286e-16,3.849240880102503e-16,2.6596098904520305e-16,2.659609890557961e-16,2.3035707883475546e-16,2.303570791689454e-16,2.303508020967008e-16,2.3035080209761486e-16,2.0539582991534784e-16,2.053958332521074e-16,1.85969000909823e-16,1.859690009185581e-16,5.274610544257986e-22,6.325164259420645e-25,2.674962771899749e-25,5.796976774494765e-26,3.029892513369368e-21,1.740737194617396e-33,5.519695495855116e-26,9.655061259814147e-30,4.2646380919776055e-27,1.3023756522772367e-26,3.091939854815714e-33,5.345203115933298e-27,4.482049639423059e-24,3.693177567229945e-27,2.5824614486501985e-27,3.1989568325724416e-27,5.396274607778145e-38,3.0310377966247546e-21,3.336756747522037e-24,1.1736003784706455e-32,1.898380683840589e-27,2.833980460616671e-30,4.010307167797854e-41
1.2780045893892135e-17,0.11224537200000038,0.9,0.0,0.0,0.0,0.0,0.09999999999999656,8.798276940090482e-16,8.79825152113673e-16,6.079108320828467e-16,6.079108321338556e-16,5.265304650644813e-16,5.265304666734677e-16,5.265161190605431e-16,5.26516119064944e-16,4.694761826636451e-16,4.694761987120021e-16,4.2507200206527967e-16,4.250720021073407e-16,2.53876292183503e-21,3.0452902192729467e-24,1.2878793782224019e-24,2.7909946459270435e-25,6.925468674731192e-21,1.7090660244713444e-32,2.657495050206608e-25,9.476834116193296e-29,2.0532396641291415e-26,6.27037631666774e-26,3.0356840598255117e-32,2.5723941250691428e-26,1.0244684854592934e-23,1.777325474004563e-26,1.242831030589697e-26,1.539574358341442e-26,5.2960947667325315e-37,6.919664931693601e-21,1.6048333188495776e-23,5.65038067894975e-32,9.129584395859863e-27,2.3945805707745146e-29,6.417219908669369e-40
2.7157597524520787e-17,0.11224537200000083,0.9,0.0,0.0,0.0,0.0,0.0999999999999927,1.8696338498380505e-15,1.8696227551652617e-15,1.2918105180886443e-15,1.2918105183114818e-15,1.1188772346610401e-15,1.1188772416879573e-15,1.1188467529283915e-15,1.1188467529476117e-15,9.976368881602156e-16,9.976369581012727e-16,9.032780043276064e-16,9.032780045113428e-16,1.1080992058681022e-20,1.3299546493833048e-23,5.624507169999669e-24,1.2189005716671909e-24,1.4716621570533996e-20,1.5116494095401823e-31,1.160597267717987e-24,8.377597962301102e-28,8.967037047416797e-26,2.738436472630135e-25,2.685026706021333e-31,1.1224745930246118e-25,2.176995516439045e-23,7.755197721238366e-26,5.423267620199265e-26,6.718585547597415e-26,4.680782561992883e-36,1.4668449825897115e-20,6.9940862107333e-23,2.467669777917965e-31,3.9781069771849374e-26,1.948014364868053e-28,1.0068854321488896e-38
5.59127007857781e-17,0.1122453720000017,0.9,0.0,0.0,0.0,0.0,0.09999999999998498,3.849246161715526e-15,3.8491998974753204e-15,2.6596098898222813e-15,2.659609890753154e-15,2.303570762402589e-15,2.3035707917390083e-15,2.30350802042474e-15,2.303508020504985e-15,2.053958299153262e-15,2.05395858992757e-15,1.8596900086579138e-15,1.8596900094253524e-15,4.62071218235385e-20,5.552268850766319e-23,2.3481206647105215e-23,5.088668974505201e-24,3.0298932075095484e-20,1.2706321860819088e-30,4.845259793958779e-24,7.034226050582776e-27,3.743561450661421e-25,1.1432419819240093e-24,2.2569242637390448e-30,4.678127376476889e-25,4.482049530181702e-23,3.2319321138781945e-25,2.260353729784719e-25,2.8005906046072263e-25,3.9285153365098365e-35,3.0052972788573115e-20,2.907727460639049e-22,1.0302037016297298e-30,1.6532886766430415e-25,1.5625251187306861e-27,1.5791322685891953e-37
1.134229073082927e-16,0.11224537200000344,0.9,0.0,0.0,0.0,0.0,0.09999999999996952,7.808470786352709e-15,7.808282220348224e-15,5.395208632177722e-15,5.3952086359852855e-15,4.6729577720794315e-15,4.672957891931733e-15,4.672830554460014e-15,4.672830554787886e-15,4.16660112113897e-15,4.166602299226043e-15,3.772514016541141e-15,3.772514019679431e-15,1.8833262443911783e-19,2.2682585453753104e-22,9.592836145314175e-23,2.0788865216326063e-23,6.146359122245336e-20,1.0417406633251949e-29,1.9794423770808805e-23,5.754577950276878e-26,1.529367001869966e-24,4.6705055830230996e-24,1.8503588222877886e-29,1.9046748352408517e-24,9.092157364800372e-23,1.3157062006572769e-24,9.203748505991081e-25,1.140644531871549e-24,3.2110959850875664e-34,6.037638058720261e-20,1.1780746420700476e-21,4.208720648912639e-30,6.693760283696123e-25,1.2429764486310289e-26,2.4762729900318323e-36
2.2844332035332194e-16,0.11224537200000692,0.9,0.0,0.0,0.0,0.0,0.0999999999999386,1.57269200391903e-14,1.572616134749482e-14,1.0866406112441273e-14,1.0866406127869221e-14,9.411731608208271e-15,9.411732092698133e-15,9.411475618700649e-15,9.4114756200263e-15,8.391886765108856e-15,8.391891449540312e-15,7.59816202919805e-15,7.598162041907977e-15,7.577480726351587e-19,9.168467299336522e-22,3.877575366936565e-22,8.403185289571301e-23,1.2379321511235813e-19,8.436279969022755e-29,8.001187664048696e-23,4.640078291682518e-25,6.181945945295864e-24,1.8878841840040916e-23,1.4984619936449409e-28,7.647004393260462e-24,1.831237226258274e-22,5.281121093142855e-24,3.695843923510833e-24,4.582706936645493e-24,2.5847935277657286e-33,1.1929154109248126e-19,4.684333530137648e-21,1.7012360148894198e-29,2.6580491296459903e-24,9.791888080777561e-26,3.856048818414929e-35
4.584841464433803e-16,0.11224537200001383,0.9,0.0,0.0,0.0,0.0,0.09999999999987676,3.156381855938656e-14,3.156079585519614e-14,2.1808801055179058e-14,2.1808801117507312e-14,1.8889278547567937e-14,1.8889280495899352e-14,1.888876573186051e-14,1.8888765737193564e-14,1.6842458053042512e-14,1.6842476292700654e-14,1.5249458042073686e-14,1.524945809337286e-14,3.018907835916263e-18,3.686444385311413e-21,1.5591540874602692e-21,3.3788786864769666e-22,2.484548899473711e-19,6.79024238069919e-28,3.2172146495223133e-22,3.702739832723011e-24,2.4857332746425168e-23,7.591028120273819e-23,1.2060820246486124e-27,3.0337934997892876e-23,3.675279897250969e-22,2.094198630319487e-23,1.466771215952482e-23,1.820578269522596e-23,2.055731833383235e-32,2.305798140832322e-19,1.8238899331749138e-20,6.840656361967951e-29,1.0322849370017522e-23,7.587766684359741e-25,5.891582504214563e-34
9.185657986234971e-16,0.11224537200002772,0.9,0.0,0.0,0.0,0.0,0.09999999999975308,6.323761565991063e-14,6.322571186915001e-14,4.3693590869497445e-14,4.3693591121724183e-14,3.7844369494706275e-14,3.7844377310084795e-14,3.784334589688104e-14,3.7843345918289885e-14,3.3743600628885333e-14,3.37436693978955e-14,3.055205001807224e-14,3.055205022529868e-14,1.1888549390993215e-17,1.478307008818193e-20,6.252889892353545e-21,1.3550773386207639e-21,4.977972805680526e-19,5.448726343830565e-27,1.2902252876786839e-21,2.9211186914390834e-23,9.96890219703426e-23,3.044284724809318e-22,9.67787935634607e-27,1.1849765678548991e-22,7.363364005265419e-22,8.172403412516015e-23,5.733026305351544e-23,7.129842936348806e-23,1.6112394684721884e-31,4.297410876430006e-19,6.87633033032955e-20,2.7435054588652514e-28,3.873567425707554e-23,5.7066016627391545e-24,8.655972566845454e-33
