Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0210876870630436e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999946,1.3913947835668162e-16,1.391393887763087e-16,9.613745582895911e-17,9.613745583075556e-17,8.326763856433208e-17,8.326763862101094e-17,8.326536963648809e-17,8.326536963664313e-17,7.424484544334476e-17,7.424484600953767e-17,6.72225903306634e-17,6.72225903319887e-17,8.947003005277124e-23,1.0727550708854866e-25,4.536764594440217e-26,9.83173275375447e-27,1.0952213631296321e-21,1.5202236356274304e-34,9.361461819199983e-27,8.43301706353064e-31,7.232870290096217e-28,2.208842869552762e-27,2.7002585745612654e-34,9.06731478307567e-28,1.620135537508249e-24,6.264951508277313e-28,4.380725269245052e-28,5.426427311059903e-28,4.7134974118833515e-39,1.0962753052188367e-21,5.661926085524757e-25,1.9904383700713793e-33,3.221369690736112e-28,3.110034446879482e-31,2.491784469702852e-42,1.5609173400976502e-28
5.6590455237765225e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999849,3.895905394022061e-16,3.895899984115957e-16,2.6918487631663644e-16,2.691848763274879e-16,2.3314938779683486e-16,2.3314938813917575e-16,2.331430349783357e-16,2.331430349792721e-16,2.0788556724136381e-16,2.0788557065946624e-16,1.8822325292274682e-16,1.8822325293075223e-16,5.403241336407879e-22,6.47943645674496e-25,2.7402057651192072e-25,5.938366448639206e-26,3.066619824417708e-21,1.804809462746608e-33,5.654322197188125e-26,1.0010407993292633e-29,4.368653655196032e-27,1.334140907562781e-26,3.2057465712105604e-33,5.47554683557542e-27,4.536379497305452e-24,3.7832356901681176e-27,2.645435577460755e-27,3.276965630660367e-27,5.594872957019953e-38,3.067738094384047e-21,3.418099539496189e-24,1.2022247780272013e-32,1.944657060495762e-27,2.9286931702482523e-30,4.189313822189016e-41,9.427940730697977e-28
1.293496119720348e-17,0.11224537200000041,0.9,0.0,0.0,0.0,0.0,0.09999999999999654,8.904926615072544e-16,8.904900576323338e-16,6.15279717274195e-16,6.152797173264481e-16,5.329128855286604e-16,5.329128871768904e-16,5.328983656467072e-16,5.328983656512154e-16,4.751670108373959e-16,4.7516702727676965e-16,4.3022457809447067e-16,4.3022457813301846e-16,2.6006660648957626e-21,3.1195654906912144e-24,1.3192910691791918e-24,2.859067682849066e-25,7.009416816947121e-21,1.771972553529477e-32,2.7223119849109704e-25,9.825589158142995e-29,2.1033186803268846e-26,6.423312279953898e-26,3.1474201281323723e-32,2.635108871155879e-26,1.0368867386029278e-23,1.8206558653770463e-26,1.2731314881733436e-26,1.577110687882704e-26,5.490981098369102e-37,7.003346237032522e-21,1.6439349110364594e-23,5.788194843463693e-32,9.352006461546879e-27,2.4780574123055336e-29,6.715282206516213e-40,4.539147619766251e-27
2.7486792544057394e-17,0.11224537200000083,0.9,0.0,0.0,0.0,0.0,0.09999999999999262,1.8922969057734187e-15,1.8922855406570275e-15,1.3074693991181277e-15,1.307469399346402e-15,1.1324398780595918e-15,1.1324398852578979e-15,1.1324090269221542e-15,1.1324090269418434e-15,1.0097298980294353e-15,1.0097299696727893e-15,9.14227228388147e-16,9.142272285565417e-16,1.135110197355865e-20,1.3623924794965783e-23,5.7616902611375536e-24,1.2486298510526773e-24,1.4895011396168885e-20,1.567289515454979e-31,1.1889045024764005e-24,8.685843058564028e-28,9.185745268080849e-26,2.805227566804546e-25,2.783855920641004e-31,1.149828555308002e-25,2.2033843039994648e-23,7.944181018686128e-26,5.55543210094618e-26,6.882327500461153e-26,4.852981969666114e-36,1.4845401218226778e-20,7.164315245994684e-23,2.527856848539434e-31,4.0749131555041297e-26,2.0176090155431245e-28,1.0548917899618295e-38,1.9823650165117814e-26
5.659045523776522e-17,0.1122453720000017,0.9,0.0,0.0,0.0,0.0,0.0999999999999848,3.895905394530585e-15,3.8958580032209054e-15,2.6918487625212554e-15,2.6918487634748467e-15,2.3314938513905792e-15,2.3314938814425316e-15,2.3314303492278626e-15,2.3314303493100654e-15,2.0788556724134166e-15,2.0788559702499064e-15,1.882232528776412e-15,1.882232529479818e-15,4.733279806691217e-20,5.687689302734874e-23,2.405391891550933e-23,5.212782827973689e-24,3.066620544088067e-20,1.3174010364952427e-30,4.9634367306394984e-24,7.292947220226542e-27,3.834867827502944e-25,1.1711258996650233e-24,2.339996051691877e-30,4.792031422145488e-25,4.5363793853996735e-23,3.3106190915726435e-25,2.315391850363434e-25,2.868792096360238e-25,4.072965150763041e-35,3.041372706903177e-20,2.9783487113940773e-22,1.0553306260101482e-30,1.6934287470519747e-25,1.6190398469962048e-27,1.6555090410752509e-37,8.275983688488928e-26
1.1479778062518086e-16,0.11224537200000347,0.9,0.0,0.0,0.0,0.0,0.09999999999996916,7.90312237294877e-15,7.902929218602545e-15,5.460607488188561e-15,5.460607492089105e-15,4.7296017511290736e-15,4.729601873904687e-15,4.729472992858504e-15,4.729472993194374e-15,4.217107221180987e-15,4.217108427760751e-15,3.8182431287565956e-15,3.818243131633404e-15,1.9291527317795084e-19,2.323581320780825e-22,9.826807685776236e-23,2.1295910512981328e-23,6.220863306972901e-20,1.080084574221433e-29,2.0277213521273554e-23,5.966076730421945e-26,1.5666686360587841e-24,4.784420082479555e-24,1.9184658932282815e-29,1.9509701434549702e-24,9.202369350629408e-23,1.3476820552874987e-24,9.427476849510732e-25,1.1683790511502282e-24,3.329044927561161e-34,6.109403019793745e-20,1.2065668826021632e-21,4.31137245111307e-30,6.855539102208467e-25,1.2881292168263119e-26,2.5967283926166896e-36,3.3810093541071665e-25
2.312124314000122e-16,0.11224537200000699,0.9,0.0,0.0,0.0,0.0,0.09999999999993786,1.591755633343612e-14,1.5916779224001367e-14,1.0998124934967366e-14,1.0998124950772521e-14,9.525817362912323e-15,9.525817859219692e-15,9.525558276196456e-15,9.525558277554446e-15,8.493610318714558e-15,8.493615115507014e-15,7.690264325531576e-15,7.690264337185447e-15,7.761427902165694e-19,9.39208360453337e-22,3.9721503168999724e-22,8.608140869270804e-23,1.2529380512948034e-19,8.74679860394167e-29,8.196337720972725e-23,4.810364865823658e-25,6.33272511466871e-24,1.9339299203630327e-23,1.553616541860961e-28,7.832235958291296e-24,1.8534348490818306e-22,5.409013486958157e-24,3.785383905922184e-24,4.693791105170216e-24,2.6795431186326987e-33,1.2068197638294958e-19,4.796690982467253e-21,1.7427297035747336e-29,2.721717585570912e-24,1.0146915646403765e-25,4.0434041626136834e-35,1.3666580213698373e-24
4.640417329496748e-16,0.11224537200001401,0.9,0.0,0.0,0.0,0.0,0.09999999999987527,3.1946424269292594e-14,3.1943328528333206e-14,2.2073159810301776e-14,2.2073159874157412e-14,1.9118247835705285e-14,1.911824983156235e-14,1.9117728827177218e-14,1.9117728832640414e-14,1.704661651377543e-14,1.7046635183958047e-14,1.5434306706339985e-14,1.5434306753399816e-14,3.0918519595419304e-18,3.776353825125388e-21,1.5971821884577415e-21,3.4612902337234565e-22,2.514666649856567e-19,7.040174314731364e-28,3.2956826176395853e-22,3.838231476411478e-24,2.5463609154688254e-23,7.77617338212126e-23,1.2504746824298239e-27,3.106783307211986e-23,3.719830361030486e-22,2.144558816968967e-23,1.502072909466888e-23,1.864440349092723e-23,2.1307841528361622e-32,2.3316541140745404e-19,1.86693965332725e-20,7.007503664414722e-29,1.056586480895136e-23,7.860447885432595e-25,6.175367612360741e-34,5.495271657451559e-24
9.29700336049e-16,0.11224537200002807,0.9,0.0,0.0,0.0,0.0,0.0999999999997501,6.400416020265288e-14,6.399197140833232e-14,4.4223229488077884e-14,4.42232297465112e-14,3.83031057782085e-14,3.830311378424721e-14,3.830206986634411e-14,3.8302069888275635e-14,3.41526289038721e-14,3.415269924769767e-14,3.0922391416990594e-14,3.0922391607269026e-14,1.2173180813452878e-17,1.5143602975019567e-20,6.405399020950514e-21,1.388127902678206e-21,5.038321164108473e-19,5.649280213823791e-27,1.3216936681108568e-21,3.0274000182014436e-23,1.0212046152927994e-22,3.11853415512217e-22,1.0034094117020458e-26,1.2131109162444506e-22,7.452620120869336e-22,8.366258407306068e-23,5.869238172764111e-23,7.299580263094779e-23,1.6696035839850394e-31,4.342091715606061e-19,7.033791747427851e-20,2.8104233978675933e-28,3.961841265382086e-23,5.90782119494508e-24,9.064841701327742e-33,2.2038496055072555e-23
