Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0450067171173147e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999946,1.4078615671996003e-16,1.407860650068766e-16,9.727521680291383e-17,9.727521680475306e-17,8.425308870622745e-17,8.425308876425583e-17,8.4250792926895e-17,8.425079292705373e-17,7.512351325221873e-17,7.512351383188903e-17,6.801815163595176e-17,6.80181516373085e-17,9.160011334269014e-23,1.098296849620107e-25,4.6447827980325586e-26,1.006582162604684e-26,1.1081830138831116e-21,1.5748392421239047e-34,9.584353751866876e-27,8.735967094208123e-31,7.4050814874790065e-28,2.261434362589889e-27,2.7972681527704266e-34,9.283180138335084e-28,1.639309406511586e-24,6.414100500264633e-28,4.4850173949913575e-28,5.555615567374321e-28,4.8828231055127063e-39,1.109242652575983e-21,5.796698436732551e-25,2.0378297598723724e-33,3.2980471399286605e-28,3.205912037243427e-31,2.5956904815705448e-42,1.5977498383914037e-28,1.4481692462465222e-31
5.726018807928481e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999847,3.9420123881946896e-16,3.942006849499756e-16,2.7237060704360375e-16,2.7237060705471357e-16,2.3590864818977773e-16,2.359086485402696e-16,2.3590222019138386e-16,2.3590222019234247e-16,2.1034583710621051e-16,2.1034584060565545e-16,1.9045082457748047e-16,1.904508245856758e-16,5.531871480930174e-22,6.633708650459895e-25,2.805448758295458e-25,6.079756122667129e-26,3.1029124468024045e-21,1.8696491089736813e-33,5.788948897879452e-26,1.0370009086422702e-29,4.472669218414442e-27,1.3659061626876432e-26,3.320916322776109e-33,5.605889593804223e-27,4.5900663303310415e-24,3.873293125321263e-27,2.7084092542596653e-27,3.3549739127034206e-27,5.795848666916497e-38,3.1040030619236023e-21,3.499440858450688e-24,1.2308491775876458e-32,1.9909325292682136e-27,3.0243137623038334e-30,4.371958266998637e-41,9.648472353079724e-28,1.0683609436534363e-30
1.3088042989550814e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.09999999999999648,9.010314030328196e-16,9.010287371789888e-16,6.225613875067637e-16,6.225613875602612e-16,5.3921976640624155e-16,5.392197680937154e-16,5.392050747046728e-16,5.392050747092883e-16,4.807904848141864e-16,4.807905016445698e-16,4.353161704478002e-16,4.353161704872627e-16,2.6625685725756157e-21,3.1938407585682612e-24,1.3507027600935586e-24,2.9271407196566845e-25,7.092371385106752e-21,1.835632498864591e-32,2.7871289189857733e-25,1.017851810924496e-28,2.1533976965246117e-26,6.576248241662458e-26,3.26049443147145e-32,2.697822674329655e-26,1.0491580146364357e-23,1.8639855822249874e-26,1.3034315024306347e-26,1.614646511253491e-26,5.688199160015075e-37,7.086032512926588e-21,1.6830350607930923e-23,5.926009008054421e-32,9.57441963888557e-27,2.562423088377857e-29,7.019855484173331e-40,4.643352682654072e-27,7.115118135724756e-30
2.781209135279548e-17,0.11224537200000086,0.9,0.0,0.0,0.0,0.0,0.09999999999999253,1.9146917315169255e-15,1.9146800959625426e-15,1.3229429483602047e-15,1.3229429485939154e-15,1.145841999836623e-15,1.1458420072063189e-15,1.1458107836684957e-15,1.1458107836886535e-15,1.0216797802301073e-15,1.0216798535756802e-15,9.250468621374885e-16,9.250468623098803e-16,1.1621206276801544e-20,1.394830306482108e-23,5.898873351900209e-24,1.278359130336974e-24,1.507128987721422e-20,1.623596009374516e-31,1.2172117366787775e-24,8.997774519045941e-28,9.404453488744744e-26,2.872018659583589e-25,2.883868787246415e-31,1.1771816853853817e-25,2.229460765200865e-23,8.133158363296892e-26,5.6875926687114e-26,7.046064984923023e-26,5.0272395468545036e-36,1.5020238269245342e-20,7.334531590169171e-23,2.588043919297387e-31,4.1717115169219605e-26,2.0879853560981817e-28,1.1039927487549381e-38,2.026144044575902e-26,4.8374195273450887e-29
5.72601880792848e-17,0.11224537200000176,0.9,0.0,0.0,0.0,0.0,0.09999999999998462,3.9420123887153415e-15,3.941963870383215e-15,2.723706069775569e-15,2.723706070751879e-15,2.359086454687204e-15,2.3590864854546893e-15,2.3590222013451173e-15,2.359022201429278e-15,2.1034583710618257e-15,2.1034586759597884e-15,1.904508245313062e-15,1.904508246033166e-15,4.845842727927241e-20,5.82310972848711e-23,2.462663118075941e-23,5.336896680591615e-24,3.102913192307796e-20,1.3647300259101514e-30,5.081613662659835e-24,7.55475792527669e-27,3.9261742043443314e-25,1.1990098162331489e-24,2.4240627675231623e-30,4.905928502599187e-25,4.5900662157608404e-23,3.38930108774848e-25,2.370426695563964e-25,2.9369898465942954e-25,4.219137912135195e-35,3.077012908816675e-20,3.0489594061098043e-22,1.0804575506203058e-30,1.7335623212824632e-25,1.6762041928931315e-27,1.7336645957279564e-37,8.444328350170364e-26,3.4619436038026007e-28
1.1615638153226346e-16,0.11224537200000352,0.9,0.0,0.0,0.0,0.0,0.09999999999996878,7.996653704037652e-15,7.99645596173299e-15,5.525232311440229e-15,5.52523231543376e-15,4.78557531634766e-15,4.7855754420465876e-15,4.785445035694233e-15,4.785445036038101e-15,4.267015552724769e-15,4.267016787791342e-15,3.863431010848994e-15,3.863431013794131e-15,1.9749753858027663e-19,2.378904074813646e-22,1.006077922365242e-22,2.180295580266315e-23,6.294485697207907e-20,1.118887720471708e-29,2.0760003233748817e-23,6.18009370353028e-26,1.6039702702474927e-24,4.898334572320018e-24,1.9873886613398791e-29,1.9972597898980677e-24,9.311276914606067e-23,1.379653861844742e-24,9.651178562567564e-25,1.1961105264040752e-24,3.4483949509906753e-34,6.180285726969457e-20,1.2350506477729826e-21,4.414024257071946e-30,7.017265853277235e-25,1.3338026592865783e-26,2.720005834026201e-36,3.4380521733211087e-25,2.5874636705868186e-27
2.339487684382208e-16,0.11224537200000706,0.9,0.0,0.0,0.0,0.0,0.09999999999993711,1.6105936338421035e-14,1.610514081431509e-14,1.1128284790105274e-14,1.1128284806287668e-14,9.638552847505938e-15,9.638553355630841e-15,9.638290700375716e-15,9.638290701766046e-15,8.594129916048678e-15,8.594134825156176e-15,7.781276538659997e-15,7.781276550590972e-15,7.945344394848972e-19,9.615699738585702e-22,4.0667252647692705e-22,8.813096443323041e-23,1.2677663521126499e-19,9.061036238669398e-29,8.391487747482859e-23,4.9826670590728225e-25,6.483504284040703e-24,1.9799756489347825e-23,1.609431654996349e-28,8.01742244851197e-24,1.8753697503210379e-22,5.536873672311768e-24,3.8749026775126854e-24,4.804850997084753e-24,2.7754090295393416e-33,1.2205469111906095e-19,4.908982579990789e-21,1.7842233983045075e-29,2.7853457203971238e-24,1.0505975320578723e-25,4.2351164098487067e-35,1.3803209616748074e-24,1.9853620836075203e-26
4.695335422501354e-16,0.11224537200001417,0.9,0.0,0.0,0.0,0.0,0.09999999999987379,3.23245016224305e-14,3.2321332868830166e-14,2.2334389728778283e-14,2.233438979416154e-14,1.9344507141173426e-14,1.9344509184556333e-14,1.93439820136698e-14,1.9343982019263137e-14,1.72483586426886e-14,1.724837774306109e-14,1.561696758123856e-14,1.561696762941972e-14,3.1647719533577455e-18,3.8662631302325465e-21,1.635210287769697e-21,3.5437017764245514e-22,2.5444279713912723e-19,7.293099611840638e-28,3.3741505618295693e-22,3.975308241884707e-24,2.606988556294502e-23,7.961318581292092e-23,1.2953990077729364e-27,3.179738040718872e-23,3.7638535444274585e-22,2.1948939707822477e-23,1.5373580835519023e-23,1.9082834734503484e-23,2.2067064629646895e-32,2.357158003928015e-19,1.9099404874850574e-20,7.174351062686164e-29,1.0808582852055558e-23,8.13610304382714e-25,6.4655937625129024e-34,5.476071488574796e-24,1.5396878755713912e-25
9.407030898739648e-16,0.1122453720000284,0.9,0.0,0.0,0.0,0.0,0.09999999999974714,6.476163225361421e-14,6.47491586406697e-14,4.474659953149604e-14,4.474659979613782e-14,3.8756412653924025e-14,3.875642085062434e-14,3.8755364575967907e-14,3.8755364598422125e-14,3.455681609593684e-14,3.4556888012410743e-14,3.1288349614221924e-14,3.1288349809051604e-14,1.245762728617553e-17,1.550413482754949e-20,6.557908136022361e-21,1.4211784630882851e-21,5.097955512716217e-19,5.8522360506914506e-27,1.3531620301907143e-21,3.1348963059446625e-23,1.0455190108817491e-22,3.1927835351433586e-22,1.039457497359527e-26,1.2412189283706348e-22,7.540819838494752e-22,8.559925861019676e-23,6.005325785683003e-23,7.469174312305803e-23,1.7286229215034317e-31,4.386090961775535e-19,7.190917216773085e-20,2.877341486000131e-28,4.0499131240556016e-23,6.111060536500599e-24,9.482525887374946e-33,2.1388579283016545e-23,1.1903992544542623e-24
