Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.068649198707221e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999945,1.4241379641939522e-16,1.424137025736066e-16,9.839982314436649e-17,9.83998231462485e-17,8.522714521204297e-17,8.52271452714208e-17,8.522482289169042e-17,8.522482289185281e-17,7.599202202735777e-17,7.59920226205052e-17,6.880451477322096e-17,6.880451477460925e-17,9.37301912395384e-23,1.1238386280541619e-25,4.752801001588929e-26,1.02999104982422e-26,1.1209948038526665e-21,1.6300936638262867e-34,9.807245683999398e-27,9.042459911160856e-31,7.577292684861771e-28,2.3140258554932505e-27,2.8954124100120176e-34,9.49904469286045e-28,1.6582615899351786e-24,6.563248919405279e-28,4.589309144265141e-28,5.684803393911182e-28,5.054128790469021e-39,1.1220599175860422e-21,5.931469560230395e-25,2.085221149675101e-33,3.3747238323571865e-28,3.302546391378865e-31,2.7014806300344382e-42,1.6349028822869936e-28,1.4857766837218953e-31,1.3699877754170628e-42
5.792217756380219e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999845,3.9875862997797086e-16,3.987580632296582e-16,2.7551950479956536e-16,2.7551950481093354e-16,2.38636006401697e-16,2.3863600676033985e-16,2.386295040927198e-16,2.3862950409370077e-16,2.127776616765998e-16,2.127776652573847e-16,1.926526413617602e-16,1.9265264137014616e-16,5.660500985406221e-22,6.787980840607693e-25,2.8706917514290034e-25,6.221145796579886e-26,3.1387854589953287e-21,1.935247156570726e-33,5.923575597936603e-26,1.0733814736181823e-29,4.576684781632832e-27,1.3976714176537005e-26,3.437433164825798e-33,5.736231401878114e-27,4.643132443733348e-24,3.96334988074383e-27,2.7713824843284414e-27,3.432981684743961e-27,5.999173899305937e-38,3.139847800003299e-21,3.5807807216614666e-24,1.259473577151978e-32,2.0372071008081104e-27,3.120831586620586e-30,4.5582326292640934e-41,9.8728088021416e-28,1.0978694299487228e-30,1.866945769521758e-41
1.3239354871726215e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.09999999999999645,9.114482971097885e-16,9.114455692776746e-16,6.297588680913195e-16,6.297588681460613e-16,5.454537280129119e-16,5.454537297396291e-16,5.454388664787251e-16,5.454388664834481e-16,4.86348940975076e-16,4.863489581964475e-16,4.403488945258047e-16,4.4034889456618507e-16,2.724470452317998e-21,3.2681160229455668e-24,1.3821144509659983e-24,2.9952137563512362e-25,7.174366844288272e-21,1.9000370470720151e-32,2.851945852438389e-25,1.0535572072649847e-28,2.2034767127223186e-26,6.729184201811868e-26,3.3748913152549306e-32,2.760535545644019e-26,1.0612874118989081e-23,1.907314632456273e-26,1.333731078546985e-26,1.6521818343862217e-26,5.887721620056376e-37,7.167758275268252e-21,1.7221337850808515e-23,6.063823172721925e-32,9.796824032438168e-27,2.6476671427715315e-29,7.330931734833497e-40,4.751291884707807e-27,7.326329968270248e-30,2.3419969138686533e-40
2.813362910241821e-17,0.11224537200000086,0.9,0.0,0.0,0.0,0.0,0.09999999999999246,1.9368276314321647e-15,1.9368157254453354e-15,1.3382375946002535e-15,1.3382375948394014e-15,1.1590891681629684e-15,1.1590891757040536e-15,1.1590575911865213e-15,1.1590575912071479e-15,1.0334914995719967e-15,1.0334915746196167e-15,9.357414008017578e-16,9.357414009781598e-16,1.1891305034245528e-20,1.4272681303765843e-23,6.0360564422920205e-24,1.308088409521264e-24,1.524553025195786e-20,1.680561095942171e-31,1.2455189703316379e-24,9.313349095228022e-28,9.623161709408473e-26,2.938809750983585e-25,2.9850514595319247e-31,1.204533993033397e-25,2.255235734013815e-23,8.32212982501431e-26,5.819749369359006e-26,7.209798053454208e-26,5.2035311192625064e-36,1.5193034324084574e-20,7.504735393269723e-23,2.648230990191821e-31,4.2685021539164055e-26,2.15913413873832e-28,1.1541875022298548e-38,2.0732232782252898e-26,4.9903128744691097e-29,2.975519850452901e-39
5.79221775638022e-17,0.11224537200000176,0.9,0.0,0.0,0.0,0.0,0.09999999999998445,3.9875863003124895e-15,3.98753665500439e-15,2.755195047319825e-15,2.7551950483188546e-15,2.386360036173593e-15,2.386360067656612e-15,2.386295040345251e-15,2.3862950404313687e-15,2.127776616765712e-15,2.1277769287237708e-15,1.926526413145121e-15,1.926526413881981e-15,4.9584010013999336e-20,5.958530128331423e-23,2.5199343442892322e-23,5.4610105323689205e-24,3.1387862306370164e-20,1.4126126018596873e-30,5.199790590074588e-24,7.819621813388183e-27,4.0174805811855825e-25,1.2268937316421056e-24,2.509112772578707e-30,5.019818700013489e-25,4.6431323264987274e-23,3.4679781611951804e-25,2.4254583039365854e-25,3.0051838994132594e-25,4.367013301370925e-35,3.112232984114294e-20,3.1195596708529374e-22,1.1055844754601908e-30,1.7736894770474412e-25,1.7340103851306176e-27,1.8135979292852893e-37,8.640369618838836e-26,3.5762998971587605e-28,4.0170883626950666e-38
1.1749927448657017e-16,0.11224537200000355,0.9,0.0,0.0,0.0,0.0,0.09999999999996843,8.089103639020248e-15,8.088901309135917e-15,5.589109951565781e-15,5.589109955652302e-15,4.8409017230369125e-15,4.8409018516591574e-15,4.8407699376352324e-15,4.8407699379870975e-15,4.3163468511526376e-15,4.3163481146951545e-15,3.908096436997673e-15,3.90809644001138e-15,2.0207942518272206e-19,2.434226807726604e-22,1.0294750758972971e-22,2.2310001085453105e-23,6.367256880677865e-20,1.1581447299677332e-29,2.1242792908683834e-23,6.396599067842279e-26,1.6412719044360925e-24,5.012249052656971e-24,2.0571175845506956e-29,2.0435438419325162e-24,9.418925304489791e-23,1.4116216685204586e-24,9.87485396117732e-25,1.2238389937877455e-24,3.569129398686575e-34,6.250316802925785e-20,1.2635260408494437e-21,4.516676066788916e-30,7.178941173390536e-25,1.3799904111328347e-26,2.846103457671742e-36,3.517731153940437e-25,2.6752093009046142e-27,5.76363197419677e-37
2.3665346833210614e-16,0.11224537200000716,0.9,0.0,0.0,0.0,0.0,0.0999999999999364,1.6292138320262327e-14,1.6291324384516557e-14,1.1256939755284948e-14,1.1256939771844613e-14,9.749984900132021e-15,9.74998542007448e-15,9.749719728105025e-15,9.749719729527697e-15,8.693487319924467e-15,8.693492341262855e-15,7.871236481366085e-15,7.87123649357514e-15,8.12923057168772e-19,9.839315703540467e-22,4.161300210568958e-22,9.018052011794079e-23,1.2824232141857936e-19,9.37894936848023e-29,8.586637743942837e-23,5.156960743860438e-25,6.63428345341185e-24,2.0260213698104356e-23,1.6658996056338998e-28,8.202564409121482e-24,1.8970510432570215e-22,5.66470203922632e-24,3.964400494061349e-24,4.9158869050405456e-24,2.872377778647131e-33,1.2341030144190752e-19,5.0212091562255106e-21,1.8257170990776097e-29,2.8489340475863802e-24,1.0869015757143902e-25,4.431180920281967e-35,1.4122009891262341e-24,2.0535792558317043e-26,8.617554217774115e-36
4.74961856023178e-16,0.11224537200001435,0.9,0.0,0.0,0.0,0.0,0.09999999999987234,3.269820769835035e-14,3.2694965955941784e-14,2.259259934363231e-14,2.2592599410543448e-14,1.956815046779765e-14,1.9568152558706574e-14,1.956761929260199e-14,1.9567619298325474e-14,1.744776825746004e-14,1.7447787787391814e-14,1.579751655675613e-14,1.579751660606262e-14,3.237668112670761e-18,3.956172302278745e-21,1.6732383854158544e-21,3.6261133146334283e-22,2.5738452282307135e-19,7.548983255638946e-28,3.4526184823847375e-22,4.113950729993914e-24,2.6676161971195535e-23,8.146463718519517e-23,1.340848780980319e-27,3.2526581381518507e-23,3.807367737733375e-22,2.245204404932936e-23,1.5726269436480398e-23,1.9521078777190913e-23,2.2834879345595774e-32,2.3823221267400045e-19,1.9528930985484392e-20,7.341198556746806e-29,1.1051007575340673e-23,8.414691399451245e-25,6.762248360386005e-34,5.601691790852626e-24,1.5927965113748793e-25,1.3134701493485563e-34
9.515786314053218e-16,0.11224537200002871,0.9,0.0,0.0,0.0,0.0,0.09999999999974422,6.551034651921027e-14,6.54975882702179e-14,4.5263918443963233e-14,4.5263918714815324e-14,3.9204478457042836e-14,3.920448684440615e-14,3.920341835581039e-14,3.920341837878734e-14,3.4956330132498846e-14,3.495640361716521e-14,3.1650076654149105e-14,3.165007685354665e-14,1.274189116924824e-17,1.5864665658927254e-20,6.7104172377273e-21,1.454229019893668e-21,5.156900621727905e-19,6.057565755987372e-27,1.3846303741520542e-21,3.243592050914814e-23,1.0698334064702804e-22,3.2670328654612397e-22,1.075927201691427e-26,1.2693009526917946e-22,7.627999802453887e-22,8.753408264709266e-23,6.141290779829818e-23,7.638626958030073e-23,1.7882888565575093e-31,4.429432912215417e-19,7.34771184979161e-20,2.9442597231548032e-28,4.137786127020065e-23,6.316288434496295e-24,9.908992970923874e-33,2.1872777073496548e-23,1.231293961534956e-24,1.999697457320646e-33
