Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0920245078796563e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999945,1.440230429382496e-16,1.440229469597612e-16,9.951172084549244e-17,9.951172084741722e-17,8.619019436946395e-17,8.61901944301913e-17,8.618784580803361e-17,8.618784580819969e-17,7.68507161987224e-17,7.685071680534684e-17,6.958199159542203e-17,6.958199159684186e-17,9.586026380498531e-23,1.1493804061910892e-25,4.86081920510974e-26,1.0533999370341669e-26,1.1336618138900156e-21,1.6859795987895976e-34,1.0030137615603686e-26,9.352505777557161e-31,7.749503882244527e-28,2.3666173482643784e-27,2.9946783763903858e-34,9.714908455809729e-28,1.6769996037650477e-24,6.712396772250997e-28,4.693600521372047e-28,5.813990795585551e-28,5.2273918223288856e-39,1.1347321886152561e-21,6.066239470070799e-25,2.1326125394795766e-33,3.4513997766848983e-28,3.399928846084138e-31,2.8091485646755926e-42,1.6720557930164464e-28,1.5235172870965788e-31,1.419634375573994e-42,5.56662998300809e-35
5.857668622063038e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999842,4.0326452023084633e-16,4.032639406037778e-16,2.78632818362612e-16,2.7863281837423857e-16,2.413325440381115e-16,2.413325444049054e-16,2.4132596825838953e-16,2.4132596825939276e-16,2.1518200535642075e-16,2.151820090185442e-16,1.9482957646384908e-16,1.9482957647242565e-16,5.789129857157374e-22,6.942253027229165e-25,2.935934744520331e-25,6.362535470378794e-26,3.1742530873812554e-21,2.0015949366686596e-33,6.058202297366829e-26,1.1101832924966703e-29,4.6807003448512026e-27,1.429436672462768e-26,3.555281699499504e-33,5.8665722706693944e-27,4.695598882273236e-24,4.053405964214039e-27,2.8343552727787274e-27,3.510988952617139e-27,6.204821770742603e-38,3.175286556035673e-21,3.6621191458116e-24,1.2880979767202063e-32,2.0834807854003664e-27,3.2182363582866205e-30,4.748129303903564e-41,1.0097143671038659e-27,1.1275359324434962e-30,1.936939790384696e-41,3.1063070835581693e-34
1.3388956850429801e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.0999999999999964,9.217474748310395e-16,9.21744685021264e-16,6.368750133777837e-16,6.368750134337698e-16,5.516172425898567e-16,5.516172443558178e-16,5.51602213142683e-16,5.516022131475132e-16,4.918445836718093e-16,4.91844601284155e-16,4.453247461873731e-16,4.453247462286711e-16,2.78637171131105e-21,3.342391283863195e-24,1.413526141796989e-24,3.0632867929340113e-25,7.255435711942261e-21,1.9651776870046767e-32,2.9167627852759384e-25,1.0896751646845646e-28,2.2535557289200078e-26,6.882120160419949e-26,3.490595661772434e-32,2.82324749577343e-26,1.073279740621402e-23,1.9506430237075818e-26,1.364030221541023e-26,1.689716663009864e-26,6.089522084224245e-37,7.248556089445315e-21,1.7612311002790428e-23,6.201637337466287e-32,1.0019219743180862e-26,2.7337794778701174e-29,7.64850321792747e-40,4.859229537004368e-27,7.539091555274696e-30,2.4341080108302182e-40,1.2854852113876426e-33
2.845153330716333e-17,0.11224537200000088,0.9,0.0,0.0,0.0,0.0,0.09999999999999235,1.9587133840915036e-15,1.958701207677709e-15,1.3533594033318582e-15,1.3533594035764428e-15,1.1721866365511473e-15,1.1721866442636222e-15,1.1721547028455957e-15,1.1721547028666912e-15,1.0451697403025538e-15,1.0451698170520962e-15,9.463150855811e-16,9.463150857615121e-16,1.2161398309468582e-20,1.4597059512154398e-23,6.1732395323172235e-24,1.3378176886066891e-24,1.5417801619979226e-20,1.7381772471447446e-31,1.2738262034412816e-24,9.632558375447402e-28,9.841869930072038e-26,3.0056008410202953e-25,3.0873905660539053e-31,1.2318854876933956e-25,2.2807194321793268e-23,8.511095471383265e-26,5.951902247277799e-26,7.37352675672638e-26,5.381833341663468e-36,1.536385858308914e-20,7.674926800161082e-23,2.708418061222809e-31,4.365285155793707e-26,2.2310464328421863e-28,1.2054752687902105e-38,2.1203011440750146e-26,5.14457401894925e-29,3.098517107851806e-39,4.35064236148287e-33
5.857668622063038e-17,0.11224537200000177,0.9,0.0,0.0,0.0,0.0,0.09999999999998424,4.03264520285337e-15,4.0325944306152384e-15,2.786328182934931e-15,2.7863281839566798e-15,2.4133254119049336e-15,2.4133254441034865e-15,2.4132596819887216e-15,2.4132596820767968e-15,2.1518200535639137e-15,2.151820372581038e-15,1.9482957641552713e-15,1.948295764908887e-15,5.0709546805494484e-20,6.093950502565642e-23,2.5772055701943693e-23,5.585124383315216e-24,3.174253885457118e-20,1.4610424365951598e-30,5.3179675129367155e-24,8.087523360840176e-27,4.1087869580266973e-25,1.254777645905143e-24,2.5951348273544526e-30,5.133702093745553e-25,4.695598762374305e-23,3.546650368685946e-25,2.4804867127913994e-25,3.073374297408395e-25,4.516571696089069e-35,3.1470471790051036e-20,3.1901496273631544e-22,1.1307114005298578e-30,1.8138102893940477e-25,1.79245091899701e-27,1.89530806313948e-37,8.836399439619728e-26,3.6918009774883396e-28,4.190051730785131e-38,1.2369431992769942e-32
1.1882699204756448e-16,0.11224537200000359,0.9,0.0,0.0,0.0,0.0,0.09999999999996805,8.180508841345848e-15,8.180301924256246e-15,5.652265740920771e-15,5.652265745100285e-15,4.895602912337351e-15,4.895603043882917e-15,4.895469639224141e-15,4.895469639584004e-15,4.365120680086118e-15,4.365121972096309e-15,3.952257120450483e-15,3.9522571235327595e-15,2.0666093736631952e-19,2.4895495197638587e-22,1.0528722291767095e-22,2.281704636142995e-23,6.439205716592096e-20,1.1978504148388254e-29,2.1725582546512802e-23,6.615573958070146e-26,1.678573538624584e-24,5.126163523599043e-24,2.1276434480362442e-29,2.089822364610173e-24,9.525357211081664e-23,1.4435855218531286e-24,1.009850335118647e-24,1.2515644882158287e-24,3.691232185272156e-34,6.319525139606659e-20,1.2919931615520645e-21,4.619327880264161e-30,7.340565677188654e-25,1.426686325964173e-26,2.9750194399353974e-36,3.59740082902091e-25,2.763885483896462e-27,6.018620855129657e-37,3.028825038557857e-32
2.393276037014327e-16,0.11224537200000723,0.9,0.0,0.0,0.0,0.0,0.09999999999993565,1.64762361222452e-14,1.6475403777855498e-14,1.1384140852011237e-14,1.1384140868948204e-14,9.860157712101762e-15,9.8601582438618e-15,9.859889549491392e-15,9.859889550946409e-15,8.791721933128459e-15,8.791727066633562e-15,7.960179829628375e-15,7.960179842115532e-15,8.313086787369009e-19,1.0062931501374384e-21,4.255875154322684e-22,9.223007574747699e-23,1.2969144499854332e-19,9.700495980652321e-29,8.78178771070418e-23,5.333227101075132e-25,6.785062622782161e-24,2.0720670830779633e-23,1.723012931369836e-28,8.387662366611576e-24,1.9184873261779943e-22,5.79249896434123e-24,4.053877603110119e-24,5.026899111648344e-24,2.9704363466948436e-33,1.247493886554212e-19,5.1333715160049e-21,1.8672108058933614e-29,2.912483062933165e-24,1.123598737666681e-25,4.631593121845237e-35,1.4440736082541078e-24,2.122537259832005e-26,9.00444442992289e-36,6.642482235061031e-32
4.803288270091691e-16,0.1122453720000145,0.9,0.0,0.0,0.0,0.0,0.09999999999987087,3.306769070000915e-14,3.306437599233994e-14,2.284789105466731e-14,2.284789112310657e-14,1.9789266507230468e-14,1.97892686456656e-14,1.9788729353209538e-14,1.9788729359063173e-14,1.7644924439204867e-14,1.7644944398220435e-14,1.5976025234334045e-14,1.5976025284766024e-14,3.3105407226509836e-18,4.046081342853344e-21,1.711266481415251e-21,3.7085248484014277e-22,2.6029300858235875e-19,7.807791430632715e-28,3.5310863795877376e-22,4.254142074626264e-24,2.728243837943987e-23,8.331608794511614e-23,1.3868179956602045e-27,3.325544022307981e-23,3.8503901976529787e-22,2.2954904218321556e-23,1.6078796885659595e-23,1.9959137889463018e-23,2.361118110455885e-32,2.407158101390725e-19,1.9957981264433155e-20,7.508046146565152e-29,1.129314291342426e-23,8.696173606142183e-25,7.065318995245284e-34,5.72725444781432e-24,1.6464816005036633e-25,1.3727334616093337e-34,1.351213358281004e-31
9.62331273624642e-16,0.11224537200002904,0.9,0.0,0.0,0.0,0.0,0.09999999999974131,6.625059992174167e-14,6.623755721699887e-14,4.577539138188012e-14,4.577539165894435e-14,3.964748087990014e-14,3.9647489457927846e-14,3.9646408893364834e-14,3.96464089168645e-14,3.535132945132462e-14,3.535140450092679e-14,3.200771598914495e-14,3.2007716193111555e-14,1.302597474153879e-17,1.6225195481855772e-20,6.862926326218117e-21,1.4872795731355569e-21,5.215179861565976e-19,6.265242194907598e-27,1.4160987002208029e-21,3.353473011343695e-23,1.0941478020584002e-22,3.3412821466440034e-22,1.1128137049466453e-26,1.2973573256329437e-22,7.714194586285823e-22,8.946708023365535e-23,6.277134737815881e-23,7.807940009678636e-23,1.8485930623372732e-31,4.472140480297145e-19,7.50418057695247e-20,3.0111781092277775e-28,4.225463288526851e-23,6.523474746428309e-24,1.0344211327174462e-32,2.2356542029507252e-23,1.2726215041774356e-24,2.0896046575244272e-33,2.583571761440347e-31
