Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.115141502553957e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999944,1.4561450608988423e-16,1.456144079787013e-16,1.0061133125259655e-16,1.0061133125456412e-16,8.714260111962126e-17,8.714260118169811e-17,8.714022660711111e-17,8.71402266072809e-17,7.769992116280888e-17,7.76999217829102e-17,7.035087672227213e-17,7.035087672372352e-17,9.799033109863213e-23,1.1749221840342094e-25,4.968837408595386e-26,1.0768088242346307e-26,1.1461888440751003e-21,1.742489989891575e-34,1.0253029546685627e-26,9.66596564452962e-31,7.921715079627265e-28,2.4192088409047487e-27,3.095053516870059e-34,9.930771436033788e-28,1.6955305486480427e-24,6.861544065133858e-28,4.797891530473334e-28,5.943177777147676e-28,5.4025903159008445e-39,1.1472642728528896e-21,6.2010081798896e-25,2.1800039292857845e-33,3.5280749812845367e-28,3.498051028621412e-31,2.918688147495921e-42,1.7092085720687189e-28,1.5613895674059987e-31,1.4699547143114533e-42,5.685049171527117e-35,9.916630606906704e-33
5.9223962071510794e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999841,4.077206170555066e-16,4.077200245497449e-16,2.817117275023976e-16,2.8171172751428255e-16,2.439992829341878e-16,2.439992833091327e-16,2.439926344957154e-16,2.439926344967409e-16,2.1755977925586282e-16,2.1755978299932346e-16,1.9698245481895534e-16,1.9698245482772244e-16,5.917758103259513e-22,7.0965252103637405e-25,3.001177737569915e-25,6.503925144065133e-26,3.2093287721839803e-21,2.068684071051938e-33,6.192828996177148e-26,1.1473906800118452e-29,4.784715908069558e-27,1.4612019271166017e-26,3.674447045203121e-33,5.996912210685833e-27,4.7474855277618675e-24,4.14346138324932e-27,2.8973276245507714e-27,3.5889957219624515e-27,6.412766299140878e-38,3.2103327901708065e-21,3.743456147089474e-24,1.3167223762923147e-32,2.1297535929850596e-27,3.316518137228238e-30,4.941640938768896e-41,1.0321476977447813e-27,1.1573586834376967e-30,2.0079819404980555e-41,3.16990912089996e-34,5.989644886619005e-32
1.3536905616345325e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.09999999999999637,9.319328390020845e-16,9.319299872152612e-16,6.439125199825087e-16,6.4391252003973905e-16,5.577126457603144e-16,5.577126475655194e-16,5.576974502561405e-16,5.576974502610781e-16,4.972794954419625e-16,4.972795134452687e-16,4.502456109986952e-16,4.502456110409114e-16,2.8482723565019023e-21,3.416666541359862e-24,1.4449378325869948e-24,3.1313598294062615e-25,7.335608708579848e-21,2.0310461928808725e-32,2.9815797175053092e-25,1.1261917018287958e-28,2.303634745117679e-26,7.035056117503929e-26,3.6075928601866226e-32,2.885958535034457e-26,1.0851395452178915e-23,1.9939707633595555e-26,1.3943289362631031e-26,1.7272510026613018e-26,6.293575043209917e-37,7.328456721546434e-21,1.8003270222812216e-23,6.339451502287349e-32,1.024160686870424e-26,2.8207503346194165e-29,7.972562444339298e-40,4.9671656568990054e-27,7.753385541346216e-30,2.527773263105831e-40,1.3100366054405366e-33,2.8837561805595164e-31
2.8765924434733815e-17,0.11224537200000088,0.9,0.0,0.0,0.0,0.0,0.09999999999999228,1.9803572829566544e-15,1.9803448361213173e-15,1.368314104864767e-15,1.3683141051147885e-15,1.1851393682005415e-15,1.185139376084406e-15,1.1851070817098574e-15,1.1851070817314217e-15,1.0567189278141287e-15,1.0567190062654719e-15,9.567719233036696e-16,9.567719234880919e-16,1.2431486163917026e-20,1.4921437690329214e-23,6.310422621979924e-24,1.367546967594357e-24,1.558816926236119e-20,1.796437187371474e-31,1.3021334360137982e-24,9.955296245039327e-28,1.0060578150735449e-25,3.072391929708957e-25,3.1908731836921936e-31,1.259236178490175e-25,2.3059215165770638e-23,8.700055367683978e-26,6.084051345368198e-26,7.537251143712268e-26,5.562123651565511e-36,1.5532776423783684e-20,7.845105951410478e-23,2.7686051323901994e-31,4.462060608865636e-26,2.303713607235937e-28,1.257855290194817e-38,2.1673776574754483e-26,5.300187610196637e-29,3.223820263107649e-39,4.4253206134303704e-33,1.2594120871506143e-30
5.92239620715108e-17,0.11224537200000181,0.9,0.0,0.0,0.0,0.0,0.09999999999998409,4.0772061711120996e-15,4.077154271989365e-15,2.8171172743174275e-15,2.8171172753618974e-15,2.4399928002328938e-15,2.4399928331469806e-15,2.439926344348754e-15,2.4399263444387863e-15,2.1755977925583297e-15,2.1755981186335016e-15,1.9698245476955958e-15,1.9698245484659686e-15,5.1835038170241595e-20,6.229370851477615e-23,2.6344767957947994e-23,5.709238233439797e-24,3.209329596988397e-20,1.510013414527335e-30,5.436144431297404e-24,8.358389996826786e-27,4.200093334867683e-25,1.2826615590350673e-24,2.6821180691892264e-30,5.24757876049176e-25,4.747485405198518e-23,3.6253177650904056e-25,2.53551195818744e-25,3.141561081742922e-25,4.667794131836343e-35,3.1814689529454457e-20,3.2607293937661644e-22,1.1558383258291694e-30,1.8539248308526239e-25,1.8515185414608722e-27,1.978794042072954e-37,9.032417941537302e-26,3.8084339420383936e-28,4.3665104724445384e-38,1.25548764877525e-32,5.257797548444046e-30
1.2014003734506477e-16,0.11224537200000363,0.9,0.0,0.0,0.0,0.0,0.09999999999996771,8.270903948413363e-15,8.27069244448866e-15,5.7147236119753275e-15,5.714723616247838e-15,4.949699612905218e-15,4.949699747374108e-15,4.949564868552361e-15,4.949564868920223e-15,4.413355522046202e-15,4.413356842515902e-15,3.995929795607357e-15,3.9959297987582086e-15,2.1124207936520353e-19,2.544872211161384e-22,1.0762693822063042e-22,2.3324091630669856e-23,6.510359469376192e-20,1.2379997611554423e-29,2.220837214765528e-23,6.836970976348367e-26,1.7158751728129704e-24,5.240077985251227e-24,2.1989573459305996e-29,2.136095420801522e-24,9.630612966054801e-23,1.475545466820653e-24,1.0322127028184912e-24,1.279287043432162e-24,3.814687764753897e-34,6.387938034295209e-20,1.320452106636279e-21,4.721979697496284e-30,7.50213995868532e-25,1.4738844636453948e-26,3.106751988700277e-36,3.677061304328592e-25,2.8534816424508214e-27,6.27899808410405e-37,3.0685167338859976e-32,2.1479818565406354e-29
2.419721878921727e-16,0.1122453720000073,0.9,0.0,0.0,0.0,0.0,0.09999999999993496,1.665829950701812e-14,1.665744875694617e-14,1.1509936282301437e-14,1.1509936299615738e-14,9.969113032680546e-15,9.969113576258188e-15,9.968841912662572e-15,9.968841914149928e-15,8.888870981019836e-15,8.888876226628269e-15,8.048140287942518e-15,8.048140300707797e-15,8.496913384684905e-19,1.0286547133997912e-21,4.350450096053321e-22,9.427963132245574e-23,1.3112455507802188e-19,1.0025635471084282e-28,8.976937648106549e-23,5.511434755209659e-25,6.93584179215165e-24,2.118112788822391e-23,1.7807644200030338e-28,8.572716829812343e-24,1.939686722223542e-22,5.920264811660762e-24,4.143334243896542e-24,5.137887890039428e-24,3.0695721511440323e-33,1.2607250200807135e-19,5.245470440134231e-21,1.908704518749794e-29,2.975993245552821e-24,1.1606842267629462e-25,4.836348507648805e-35,1.475938904660431e-24,2.1922275346212096e-26,9.399685858756964e-36,6.720620045100473e-32,8.682486099267245e-29
4.856364889863886e-16,0.11224537200001466,0.9,0.0,0.0,0.0,0.0,0.09999999999986946,3.343309064055433e-14,3.3429702990896816e-14,2.3100361602994915e-14,2.3100361672962536e-14,2.000793904995557e-14,2.0007941235917092e-14,2.000739598369289e-14,2.000739598967667e-14,1.7839901898958648e-14,1.783992228658873e-14,1.615256125865939e-14,1.6152561310217016e-14,3.3833900588980206e-18,4.1359902534923744e-21,1.7492945757862935e-21,3.7909363777781865e-22,2.631693564971187e-19,8.069491455108682e-28,3.609554253711675e-22,4.395860478590328e-24,2.788871478767814e-23,8.516753809952729e-23,1.4333008468056891e-27,3.3983961017806274e-23,3.8929372272697694e-22,2.3457523137303165e-23,1.643116510437552e-23,2.039701426554581e-23,2.4395868847324645e-32,2.4316769066348184e-19,2.03865619178642e-20,7.674893832099602e-29,1.1534992667456208e-23,8.980511652413676e-25,7.374793433355463e-34,5.852760146917406e-24,1.7007362671563867e-25,1.4332804002327652e-34,1.3657743453479278e-31,3.4911894754990615e-28
9.729650911748204e-16,0.11224537200002935,0.9,0.0,0.0,0.0,0.0,0.09999999999973846,6.698267297535318e-14,6.696934599295668e-14,4.6281212164546996e-14,4.628121244782517e-14,4.008558779541622e-14,4.008559656410966e-14,4.0084504056977064e-14,4.008450408099947e-14,3.574196373480247e-14,3.5742040346131497e-14,3.2361403144279347e-14,3.236140335281621e-14,1.3309880205238402e-17,1.658572430861059e-20,7.015435401642494e-21,1.5203301228537763e-21,5.272815311146261e-19,6.475239142435454e-27,1.447567008615232e-21,3.464523279304281e-23,1.1184621976461154e-22,3.415531379240786e-22,1.1501123489727495e-26,1.3253883722593897e-22,7.799436852959351e-22,9.139827460735906e-23,6.412859188828531e-23,7.977115215642711e-23,1.9095274930317013e-31,4.514235315432115e-19,7.660328175908744e-20,3.0780966441080998e-28,4.3129475180597485e-23,6.732590377468367e-24,1.0788149841558159e-32,2.2839879622194235e-23,1.3143764093475678e-24,2.181432446791246e-33,2.608850213422959e-31,1.4001231285497522e-27
