Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1380085617422824e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999942,1.471887627178417e-16,1.4718866247396944e-16,1.0169905293171662e-16,1.0169905293372696e-16,8.808471067294842e-17,8.808471073637474e-17,8.808231048994965e-17,8.808231049012311e-17,7.853994472341357e-17,7.853994535699168e-17,7.111144884474807e-17,7.111144884623103e-17,1.0012039317812565e-22,1.2004639615867358e-25,5.076855612046257e-26,1.1002177114257162e-26,1.1585804349695041e-21,1.7996180114495951e-34,1.0475921477250936e-26,9.982850780474638e-31,8.093926277009984e-28,2.4718003334157912e-27,3.228893795421013e-34,1.0146633642093262e-27,1.713861141331527e-24,7.010690804178262e-28,4.902182175593792e-28,6.0723643431920235e-28,5.5797031037224704e-39,1.1596607175562608e-21,6.335775702717147e-25,2.227395319093735e-33,3.6047494542542522e-28,3.5969048408386453e-31,3.0300934413117925e-42,1.7463612208839368e-28,1.599392084525697e-31,1.5209440134488982e-42,5.803306795885885e-35,1.0132209533144712e-32,3.472330985271191e-35
5.98642397287839e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.0999999999999984,4.121285356138707e-16,4.121279302294777e-16,2.8475734820382786e-16,2.8475734821597124e-16,2.466371896791397e-16,2.466371900622355e-16,2.4663046936757203e-16,2.466304693686198e-16,2.1991184522555591e-16,2.199118490503523e-16,1.991120567618139e-16,1.991120567707717e-16,6.046385730556456e-22,7.250797390049566e-25,3.0664207305782125e-25,6.645314817640128e-26,3.2440252269759106e-21,2.1365064562701453e-33,6.327455694374334e-26,1.1850045712035988e-29,4.88873147128789e-27,1.492967181616897e-26,3.83061300705547e-33,6.127251232090592e-27,4.798811187091875e-24,4.2335161451205614e-27,2.960299544422804e-27,3.6670019982344475e-27,6.622982354502866e-38,3.2449992346535e-21,3.824791740964718e-24,1.345346775868317e-32,2.176025533176278e-27,3.41566730935954e-30,5.138760420841686e-41,1.054580873846623e-27,1.1873359732165331e-30,2.080066543004725e-41,3.2333529422401463e-34,6.119854558068321e-32,1.934633378367725e-34
1.3683254795150607e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.09999999999999633,9.420080814215954e-16,9.420051676583315e-16,6.508739387281356e-16,6.508739387866103e-16,5.63742146871059e-16,5.637421487155077e-16,5.637267871056686e-16,5.637267871107135e-16,5.026556462298322e-16,5.026556646240851e-16,4.55113272582023e-16,4.551132726251571e-16,2.9101723946098525e-21,3.490941795473013e-24,1.4763495233364642e-24,3.199432865769194e-25,7.41491489379481e-21,2.0976346086849315e-32,3.0463966491331576e-25,1.1631070415922414e-28,2.3537137613153315e-26,7.187992073080467e-26,3.756233754783243e-32,2.9486686734053274e-26,1.0968711244066979e-23,2.037297858550778e-26,1.42462722740451e-26,1.764784858695834e-26,6.499855824288777e-37,7.407489273427825e-21,1.8394215662754556e-23,6.477265667185241e-32,1.0463985503398314e-26,2.9085702740200935e-29,8.30310216274996e-40,5.0751002611777864e-27,7.969195140443897e-30,2.622987079609796e-40,1.3344810516079818e-33,2.9464465323118693e-31,7.984686354537097e-34
2.9076916439695037e-17,0.11224537200000088,0.9,0.0,0.0,0.0,0.0,0.09999999999999219,2.001767173099796e-15,2.0017544558482754e-15,1.3831071196970924e-15,1.383107119952551e-15,1.1979520579730449e-15,1.1979520660282988e-15,1.197919422513269e-15,1.197919422535302e-15,1.0681432482383512e-15,1.0681433283913732e-15,9.671157041667507e-16,9.671157043551835e-16,1.270156865702198e-20,1.524581583862147e-23,6.447605711284079e-24,1.3972762464853338e-24,1.5756694930737714e-20,1.8553338796165977e-31,1.3304406680550746e-24,1.0281556063843572e-27,1.0279286371398698e-25,3.1391830170643047e-25,3.3165924216043797e-31,1.2865860742492754e-25,2.3308511219834837e-23,8.88900957705574e-26,6.216196705123693e-26,7.700971261778498e-26,5.7443802264236984e-36,1.5699849685306794e-20,8.015272981348721e-23,2.828792203694109e-31,4.558828596613173e-26,2.37712731382391e-28,1.311326830312814e-38,2.214452833273538e-26,5.457138801291662e-29,3.351424308633637e-39,4.499491314497302e-33,1.286790610785263e-30,2.692206429632034e-33
5.98642397287839e-17,0.11224537200000183,0.9,0.0,0.0,0.0,0.0,0.09999999999998392,4.121285356707869e-15,4.12123233074545e-15,2.8475734813163706e-15,2.847573482383561e-15,2.466371867049608e-15,2.46637190067923e-15,2.4663046930540945e-15,2.466304693146084e-15,2.1991184522552543e-15,2.199118785387466e-15,1.9911205671134434e-15,1.991120567900574e-15,5.2960484607785754e-20,6.364791175345734e-23,2.6917480210938504e-23,5.8333520827516366e-24,3.2440260788001424e-20,1.5595196206288582e-30,5.554321345206135e-24,8.632207967452837e-27,4.2913997117085365e-25,1.3105454710442644e-24,2.782393682865483e-30,5.361448774433113e-25,4.7988110618641805e-23,3.7039804034786536e-25,2.590534075001152e-25,3.2097442922300544e-25,4.820662266121848e-35,3.2155110361406416e-20,3.3312990829516115e-22,1.1809652513582183e-30,1.8940331715742895e-25,1.911206237412351e-27,2.0640549330872437e-37,9.228425249384262e-26,3.926186311559736e-28,4.546460169489704e-38,1.273862286368331e-32,5.372097495157277e-30,7.621934239054947e-33
1.2143888630696163e-16,0.11224537200000366,0.9,0.0,0.0,0.0,0.0,0.09999999999996736,8.360321724936034e-15,8.36010563454228e-15,5.776506203280387e-15,5.776506207645902e-15,5.003211432693129e-15,5.003211570085348e-15,5.003075233038207e-15,5.003075233414067e-15,4.4610688602885195e-15,4.4610702092096494e-15,4.039130292115781e-15,4.03913029533521e-15,2.158228552746401e-19,2.6001948821474144e-22,1.0996665349888105e-22,2.3831136893246444e-23,6.580743929393607e-20,1.2785879194207876e-29,2.2691161712517e-23,7.060772889499004e-26,1.7531768070012513e-24,5.3539924377150664e-24,2.2772768071887457e-29,2.182363071314919e-24,9.734730720535041e-23,1.5075015469256508e-24,1.0545725278067556e-24,1.3070066920738207e-24,3.939481101035636e-34,6.45558130201563e-20,1.3489029685749646e-21,4.824631518485808e-30,7.66366459239542e-25,1.521579079029405e-26,3.2412993419809965e-36,3.756712682160464e-25,2.943987546888284e-27,6.544759360942442e-37,3.1077830728110353e-32,2.1946771142980542e-29,1.8594472743338111e-32
2.445881794633171e-16,0.11224537200000739,0.9,0.0,0.0,0.0,0.0,0.09999999999993427,1.6838394465482482e-14,1.6837525312656684e-14,1.1634371642110258e-14,1.1634371659801925e-14,1.007689035394196e-14,1.007689090933723e-14,1.0076616308616008e-14,1.0076616310135711e-14,8.984969676352892e-15,8.984975034002015e-15,8.13514973855626e-15,8.135149751599682e-15,8.68071069518266e-19,1.051016260325881e-21,4.445025035782978e-22,9.632918684347335e-23,1.3254217109510424e-19,1.0354328567293754e-28,9.172087556478454e-23,5.691566302675014e-25,7.086620961520322e-24,2.16415848712595e-23,1.8419533587456756e-28,8.757728290857864e-24,1.9606569153529827e-22,6.047999933244759e-24,4.23277064780854e-24,5.248853504383801e-24,3.169773022303426e-33,1.2738016078963184e-19,5.357506674917034e-21,1.9501982376465233e-29,3.0394650587939935e-24,1.1981534095182119e-25,5.045442633548842e-35,1.5077969611384367e-24,2.2626418008912568e-26,9.803272879519912e-36,6.797853848684549e-32,8.87123579713093e-29,4.0669080276527736e-32
4.908867657760281e-16,0.11224537200001482,0.9,0.0,0.0,0.0,0.0,0.09999999999986806,3.3794539963263893e-14,3.379107939462321e-14,2.335010249937738e-14,2.33501025708736e-14,2.0224247356288466e-14,2.0224249589776552e-14,2.0223698442207767e-14,2.02236984483217e-14,1.8032771308473003e-14,1.8032792124254244e-14,1.6327188617180434e-14,1.6327188669863863e-14,3.4562163879643328e-18,4.225899035681439e-21,1.7873226685467786e-21,3.8733479028116963e-22,2.66014609062864e-19,8.334051719156405e-28,3.6880221050206734e-22,4.5390902571762966e-24,2.8494991195910406e-23,8.701898765504743e-23,1.4814586767494615e-27,3.471214771736335e-23,3.9350242482370473e-22,2.3959903632727904e-23,1.6783375950817988e-23,2.0834710027587172e-23,2.5188844835037246e-32,2.455888916768064e-19,2.0814678877540297e-20,7.841741613321633e-29,1.1776560512436623e-23,9.267668788276579e-25,7.690659611805788e-34,5.978209553030595e-24,1.755553862658341e-25,1.4951098565966221e-34,1.3801545428962303e-31,3.5670848989234957e-28,8.253675871931171e-32
9.8348393840145e-16,0.1122453720000297,0.9,0.0,0.0,0.0,0.0,0.09999999999973565,6.770683102807703e-14,6.769321994399132e-14,4.6781564132341205e-14,4.67815644218351e-14,4.051895800039042e-14,4.051896695975096e-14,4.051786263911932e-14,4.0517862663664515e-14,3.612837457267869e-14,3.612845274257126e-14,3.271126631740165e-14,3.271126653050996e-14,1.3593609690056596e-17,1.6946252151063263e-20,7.167944464143245e-21,1.5533806690868415e-21,5.329827855656001e-19,6.687531233608539e-27,1.4790352995464279e-21,3.5767295773682747e-23,1.142776593233432e-22,3.4897805637827106e-22,1.1882730232283734e-26,1.3533944068988614e-22,7.883757499517795e-22,9.332768823773819e-23,6.548465611561032e-23,8.14615426663391e-23,1.9710843684438978e-31,4.555737850894442e-19,7.816159210570203e-20,3.1450153276962845e-28,4.4002416261254374e-23,6.943607222558854e-24,1.1240777891784402e-32,2.3322795142030742e-23,1.356553386581982e-24,2.27517803068925e-33,2.6337805618119146e-31,1.4305605879027862e-27,1.5723590499825808e-31
