Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2051874552641953e-18,0.1122453720000001,0.9,0.0,0.0,0.0,0.0,0.09999999999999942,1.5181361707776522e-16,1.5181351043585586e-16,1.0489456391812038e-16,1.0489456392025904e-16,9.085244205658598e-17,9.085244212406082e-17,9.084996645885497e-17,9.084996645903952e-17,8.100776766771998e-17,8.100776834172767e-17,7.334585919068368e-17,7.334585919226133e-17,1.0651054868097757e-22,1.277089292531365e-25,5.400910222193861e-26,1.1704443729436886e-26,1.1949844761930715e-21,2.010068248019695e-34,1.114459726590152e-26,1.0953696962878108e-30,8.610559869158058e-28,2.6295748101865703e-27,3.5428296625476196e-34,1.0794215696854577e-27,1.767712794220297e-24,7.4581277566375935e-28,5.215051965420722e-28,6.4599215919971275e-28,6.122325537162033e-39,1.1960781807792662e-21,6.740071274734309e-25,2.3695694885280108e-33,3.8347685605476673e-28,3.8977788918127364e-31,3.3754470090688144e-42,1.8578183996296164e-28,1.7141673344282005e-31,1.6778801436159623e-42,6.157131087770317e-35,1.0778946311858876e-32,3.684037013085464e-35,1.6117988689627403e-43,3.684538551236326e-35,4.6111172611591486e-43
6.174524874739747e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999834,4.2507812782190656e-16,4.2507748380198416e-16,2.937047789654405e-16,2.9370477897835916e-16,2.5438683754023245e-16,2.5438683794778127e-16,2.543799060802333e-16,2.5437990608134797e-16,2.2682174946961365e-16,2.268217535384089e-16,2.0536840573021148e-16,2.053684057397411e-16,6.432264964827931e-22,7.713613908777949e-25,3.2621497093597187e-25,7.069483837708771e-26,3.345956543283006e-21,2.3832859299376842e-33,6.731335785351739e-26,1.3002424280278626e-29,5.200778160942785e-27,1.5882629442127236e-26,4.2029801729024137e-33,6.518262881475172e-27,4.9495958146291765e-24,4.5036765570312396e-27,3.149212758168537e-27,3.901017920584602e-27,7.267020229578812e-38,3.3468373359543317e-21,4.068790227146239e-24,1.4312199746196408e-32,2.3148362409975365e-27,3.718227576474374e-30,5.751698145346482e-41,1.1218794912088681e-27,1.2781787841341274e-30,2.302520970752049e-41,3.4227582979829613e-34,6.510483572416443e-32,2.0479615232603353e-34,1.9135276172229354e-42,2.048240328951096e-34,6.796456947341146e-42
1.411319971369085e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.0999999999999962,9.716071493268568e-16,9.716040496378479e-16,6.713252090388951e-16,6.713252091011029e-16,5.814556276346922e-16,5.814556295968719e-16,5.814397853047472e-16,5.814397853101141e-16,5.184497130733922e-16,5.184497326404033e-16,4.694134987944558e-16,4.694134988403434e-16,3.0958689304615457e-21,3.713767537868201e-24,1.5705845953459185e-24,3.403651974213597e-25,7.64790076832019e-21,2.3346894053751282e-32,3.2408474404709966e-25,1.2762038172886202e-28,2.5039508099081835e-26,7.64679993092416e-26,4.121275602461966e-32,3.136793778255203e-26,1.1313361818696322e-23,2.1672753453804155e-26,1.5155196040459084e-26,1.8773835761263215e-26,7.131830004467348e-37,7.639647032136208e-21,1.956697076469014e-23,6.89070816233946e-32,1.1131071361905464e-26,3.1770346480883433e-29,9.333535064760356e-40,5.398895140266148e-27,8.625557669042137e-30,2.9178666322283554e-40,1.4071916655747798e-33,3.1345175875691025e-31,8.419740256079822e-34,1.8787127616331435e-41,8.420886503025688e-34,6.933908400007658e-41
2.9990549391593055e-17,0.1122453720000009,0.9,0.0,0.0,0.0,0.0,0.09999999999999193,2.0646651924035185e-15,2.064651663935047e-15,1.4265660691010608e-15,1.4265660693728309e-15,1.2355932043322786e-15,1.2355932129017018e-15,1.235559543680804e-15,1.2355595437042435e-15,1.1017056402809133e-15,1.1017057255382588e-15,9.97503684863699e-16,9.97503685064163e-16,1.3511784534569396e-20,1.6218950107359037e-23,6.85915497708303e-24,1.486464082588306e-24,1.625178999006545e-20,2.0586310204607965e-31,1.4153623610475785e-24,1.1281095208081051e-27,1.0935411033387508e-25,3.3395562712708655e-25,3.6388451656816185e-31,1.3686310753952163e-25,2.4040893679828203e-23,9.455838685224014e-26,6.612610749754074e-26,8.19210645379516e-26,6.30273960329762e-36,1.6190572730647165e-20,8.525702636849336e-23,3.0093534184245494e-31,4.8490885633609117e-26,2.601768081631671e-28,1.4782835096658095e-38,2.355670476523771e-26,5.935876503895138e-29,3.7479940459727176e-39,4.719069338362906e-33,1.3689261816893599e-30,2.823587517710863e-33,1.6617001618833132e-40,2.823971914625845e-33,5.771259984733678e-40
6.174524874739747e-17,0.11224537200000184,0.9,0.0,0.0,0.0,0.0,0.0999999999999834,4.250781278824622e-15,4.2507248726079305e-15,2.9370477888864186e-15,2.9370477900217732e-15,2.5438683437621238e-15,2.5438683795383515e-15,2.5437990601410284e-15,2.54379906023889e-15,2.268217494695812e-15,2.2682178489932115e-15,2.0536840567652044e-15,2.0536840576026075e-15,5.633655911714525e-20,6.771051999339763e-23,2.8635616952144705e-23,6.205693625896307e-24,3.3459574778830294e-20,1.7244812776037135e-30,5.908852060692251e-24,9.47105719907296e-27,4.565318842230315e-25,1.3941972004655076e-24,3.0527439544659024e-30,5.703019606265284e-25,4.9495956814083054e-23,3.939940276226979e-25,2.7555819862703095e-25,3.4142728599693676e-25,5.288966082883552e-35,3.315476639049495e-20,3.5429487742325797e-22,1.2563460293233619e-30,2.014321657749215e-25,2.0939229230755346e-27,2.3304780596228103e-37,9.81638119759501e-26,4.286040940823287e-28,5.107212807720455e-38,1.3280119596260197e-32,5.714997335298244e-30,7.945925883692122e-33,1.3967591109482437e-39,7.947007617952297e-33,4.1469203001604265e-39
1.2525464745900632e-16,0.11224537200000378,0.9,0.0,0.0,0.0,0.0,0.09999999999996632,8.623013452743793e-15,8.622783605100223e-15,5.958011227101239e-15,5.958011231745782e-15,5.160418566760533e-15,5.160418712922748e-15,5.160278091893881e-15,5.160278092293736e-15,4.601241203525035e-15,4.601242637752877e-15,4.1660447996202906e-15,4.166044803045463e-15,2.295630254881433e-19,2.766162774811262e-22,1.1698579918798218e-22,2.5352272641697963e-23,6.787519568923395e-20,1.40960854750622e-29,2.4139530193284063e-23,7.746351657685953e-26,1.8650817095654643e-24,5.695735740944097e-24,2.498593649009007e-29,2.3211341681996442e-24,1.0040608073056797e-22,1.6033470125799404e-24,1.121637018917109e-24,1.3901485095334892e-24,4.321744379173651e-34,6.654131635431641e-20,1.4342079458578206e-21,5.132587003992717e-30,8.147946080853503e-25,1.667587050944466e-26,3.661813034769312e-36,3.9956132055381747e-25,3.2208662619860396e-27,7.374306225154306e-37,3.2231550251012804e-32,2.334762887571365e-29,1.9284728762038415e-32,1.1451475076885048e-38,1.9287354071567512e-32,2.589488476411749e-38
2.52273444882224e-16,0.11224537200000763,0.9,0.0,0.0,0.0,0.0,0.09999999999993218,1.7367477804936094e-14,1.7366553461103612e-14,1.1999938098107308e-14,1.1999938116931245e-14,1.039351878931246e-14,1.0393519380160746e-14,1.0393236150728906e-14,1.0393236152345637e-14,9.267288621181184e-15,9.26729431458368e-15,8.390766281538763e-15,8.390766295416733e-15,9.231930064896282e-19,1.1181008048472113e-21,4.728749843176786e-22,1.0247785308844148e-22,1.3670684860128507e-19,1.1391300987076482e-28,9.75753711054156e-23,6.243296777256786e-25,7.538958469621459e-24,2.3022955381749928e-23,2.0210099416433544e-28,9.312509350267598e-24,2.0222631915561068e-22,6.4310242981121144e-24,4.500960643036593e-24,5.581613880242869e-24,3.476650079194411e-33,1.312152039776618e-19,5.693246426959397e-21,2.0746794305655464e-29,3.2296546965311097e-24,1.312818976907552e-25,5.698713904475883e-35,1.6033284798829502e-24,2.4781496606941066e-26,1.106405302220361e-35,7.024409151424379e-32,9.437484890730663e-29,4.2024135929341317e-32,9.273701415255489e-38,4.2029856379302717e-32,1.4069924904541386e-37
5.063110397286593e-16,0.1122453720000153,0.9,0.0,0.0,0.0,0.0,0.09999999999986389,3.4856406527095885e-14,3.485272733699891e-14,2.4083791818425164e-14,2.4083791894508584e-14,2.0859718340638604e-14,2.085972071670744e-14,2.0859152249713876e-14,2.0859152256218277e-14,1.8599383456484295e-14,1.8599405553995898e-14,1.6840209230208924e-14,1.68402092862707e-14,3.674559871816792e-18,4.495624625703835e-21,1.9014069373344928e-21,4.1205824523101147e-22,2.7437341572252436e-19,9.157009021617964e-28,3.923425524574724e-22,4.977681001601576e-24,3.031382042057118e-23,9.257333279133064e-23,1.625500428352691e-27,3.689474089489306e-23,4.058667583766871e-22,2.5465641506792695e-23,1.7839081960681005e-23,2.2146733848817405e-23,2.761657104310781e-32,2.5267799809948103e-19,2.2096304659734672e-20,8.342285530759106e-29,1.249960758954101e-23,1.014570476880555e-24,8.676490402277777e-34,6.3542263480599904e-24,1.9233208760856192e-25,1.688282504534635e-34,1.4222668495294441e-31,3.7947711692040044e-28,8.505222438940382e-32,7.464281690417602e-37,8.50637980378158e-32,6.786493189928797e-37
1.01438622942153e-15,0.11224537200003062,0.9,0.0,0.0,0.0,0.0,0.09999999999972732,6.983426404524683e-14,6.98198016916005e-14,4.825149917228384e-14,4.8251499480435373e-14,4.179211386819492e-14,4.179212339956467e-14,4.179098437292533e-14,4.1790984399038893e-14,3.7263573127053765e-14,3.726365595409526e-14,3.3739095066882066e-14,3.3739095293711667e-14,1.444376256061885e-17,1.8027829885707625e-20,7.625471575464704e-21,1.6525322872421213e-21,5.497320805124133e-19,7.342757640822388e-27,1.5734400695716288e-21,3.9201513682013643e-23,1.2157197799929886e-22,3.7125278341402107e-22,1.3038223797634075e-26,1.4372654328996227e-22,8.131474863448603e-22,9.910545868863541e-23,6.954590795029971e-23,8.65247059501554e-23,2.1594155535778306e-31,4.676880401743319e-19,8.281796777747557e-20,3.345772269671639e-28,4.661009951649484e-23,7.587797740918358e-24,1.265050006903851e-32,2.4769059657484424e-23,1.485566357717955e-24,2.567894178980799e-33,2.7065942265309313e-31,1.5218729659680248e-27,1.615582362105126e-31,5.9896159690931456e-36,1.615801883121531e-31,3.0112728785337594e-36
