Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2271301594454843e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999941,1.5332423753876282e-16,1.533241287641845e-16,1.059383166298229e-16,1.0593831663200434e-16,9.175646872059768e-17,9.175646878942201e-17,9.175396849010936e-17,9.175396849029759e-17,8.181383496058256e-17,8.181383564806656e-17,7.407568671046048e-17,7.407568671206965e-17,1.086405904447365e-22,1.3026310689516595e-25,5.508928425509227e-26,1.1938532600982319e-26,1.2068751618799356e-21,2.0706387855176755e-34,1.1367489194453908e-26,1.128392786177421e-30,8.782771066540722e-28,2.6821663021937126e-27,3.6496121952280917e-34,1.1010074886576862e-27,1.785302409454874e-24,7.6072723377912685e-28,5.319341192381041e-28,6.589106539078601e-28,6.306896895467436e-39,1.2079729797587996e-21,6.874834173057639e-25,2.4169608783429126e-33,3.911440182979706e-28,3.999483240772443e-31,3.494259431546465e-42,1.8949705410088052e-28,1.752677286630879e-31,1.7315004518614644e-42,6.27476293409843e-35,1.0994525238096984e-32,3.754420453287633e-35,1.6603938049469384e-43,3.754931573311286e-35,4.748763317894997e-43,1.2387132099765095e-57
6.235964446447356e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999833,4.2930786511278325e-16,4.2930720821447056e-16,2.966272865581017e-16,2.9662728657127864e-16,2.5691811219510096e-16,2.5691811261080073e-16,2.569111117676543e-16,2.569111117687913e-16,2.290787378896289e-16,2.2907874203975434e-16,2.074119227855124e-16,2.0741192279523255e-16,6.56089018111717e-22,7.867886075026624e-25,3.3273927022071433e-25,7.210873510849935e-26,3.3792504635059282e-21,2.4550788177478437e-33,6.865962481160034e-26,1.3394401512009108e-29,5.304793724161048e-27,1.6200281981147874e-26,4.329635936000417e-33,6.648598323790455e-27,4.99884673710224e-24,4.593728758466448e-27,3.212182995272928e-27,3.979022275741395e-27,7.486086607273449e-38,3.380099176598571e-21,4.150120337982968e-24,1.459844374211189e-32,2.361104801820297e-27,3.820756115954394e-30,5.963182240742014e-41,1.1443120651960718e-27,1.3087581874268315e-30,2.3787221165746797e-41,3.4855920692499868e-34,6.640693243865883e-32,2.085557264169767e-34,1.9712195252229856e-42,2.085841188073091e-34,6.99766733033803e-42,5.9444168141757215e-56
1.42536330204511e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.09999999999999618,9.81275120277825e-16,9.8127195861474e-16,6.780052263930497e-16,6.780052264565018e-16,5.872413982538175e-16,5.872414002552411e-16,5.872253983041366e-16,5.872253983096109e-16,5.236085437477123e-16,5.236085637056164e-16,4.740843949205087e-16,4.740843949673142e-16,3.1577666032825824e-21,3.78804277879865e-24,1.6019962859374426e-24,3.4717250101505937e-25,7.724001160353786e-21,2.4049869835612526e-32,3.305664369755216e-25,1.3146729523676142e-28,2.5540298261057667e-26,7.79973588062723e-26,4.245437857678964e-32,3.199500406687501e-26,1.1425935354911345e-23,2.2105999297073575e-26,1.545816244881231e-26,1.914915547940041e-26,7.346790578846471e-37,7.715469102107444e-21,1.995786252334225e-23,7.028522327544394e-32,1.1353416918908329e-26,3.2681623555246205e-29,9.689928570462389e-40,5.50682383957903e-27,8.847272223016598e-30,3.0192222370922824e-40,1.4312269547328539e-33,3.1972079393215745e-31,8.563552079120823e-34,1.9353550190151196e-41,8.564717904307342e-34,7.13570489805506e-41,2.2199828181534758e-54
3.0288970168458586e-17,0.1122453720000009,0.9,0.0,0.0,0.0,0.0,0.09999999999999186,2.0852096306760067e-15,2.085195831812238e-15,1.4407611059765074e-15,1.4407611062537143e-15,1.247887966810091e-15,1.2478879755509044e-15,1.2478539713026709e-15,1.247853971326579e-15,1.1126681554638428e-15,1.112668242422396e-15,1.007429339130071e-15,1.0074293393345455e-15,1.3781846139920905e-20,1.6543328139228807e-23,6.996338064990181e-24,1.5161933611025478e-24,1.6413503348973998e-20,2.1205959100529894e-31,1.4436695910191469e-24,1.1621076513683981e-27,1.115411925405014e-25,3.406347353431209e-25,3.7484527009869043e-31,1.3959778738103728e-25,2.42801124405871e-23,9.644770739292515e-26,6.744741545487996e-26,8.355809940606309e-26,6.492656485173551e-36,1.6350824076165993e-20,8.695822454261918e-23,3.069540490274269e-31,4.945827473079077e-26,2.6780895902028316e-28,1.5361141668958046e-38,2.4027404412158517e-26,6.098038791270525e-29,3.8847546346401506e-39,4.791318909643718e-33,1.396304705324113e-30,2.866816915193035e-33,1.711799597083058e-40,2.867207197244466e-33,5.934171483223603e-40,7.051082011170821e-53
6.235964446447356e-17,0.1122453720000019,0.9,0.0,0.0,0.0,0.0,0.09999999999998324,4.2930786517455206e-15,4.293021118864152e-15,2.9662728647976693e-15,2.966272865955747e-15,2.5691810896780042e-15,2.5691811261697686e-15,2.5691111170020117e-15,2.5691111171018314e-15,2.290787378895957e-15,2.2907877402464767e-15,2.074119227307475e-15,2.074119228161636e-15,5.746183053292146e-20,6.906472225644618e-23,2.920832919339258e-23,6.329807472041463e-24,3.379251426260197e-20,1.776389531326993e-30,6.027028957257577e-24,9.756372609128679e-27,4.656625219070656e-25,1.4220811081080043e-24,3.144698612017214e-30,5.816863704998702e-25,4.9988466012169525e-23,4.018584380486325e-25,2.810591915986936e-25,3.4824421486190197e-25,5.44824491083701e-35,3.348114505318307e-20,3.6134792240707813e-22,1.281472955771052e-30,2.0544058537148814e-25,2.1560250938348064e-27,2.4228296768787294e-37,1.0012344900041199e-25,4.4081538422826605e-28,5.301084759556595e-38,1.3457510066073569e-32,5.829297282012344e-30,8.05206315140593e-33,1.4388707049486179e-39,8.053159334712342e-33,4.258386984751112e-39,1.9800900326096198e-51
1.265009930565035e-16,0.11224537200000383,0.9,0.0,0.0,0.0,0.0,0.099999999999966,8.708816694983166e-15,8.708582262296369e-15,6.017296381056983e-15,6.017296385794541e-15,5.211767278435325e-15,5.211767427520878e-15,5.211625407209747e-15,5.211625407617599e-15,4.647025825759599e-15,4.647027288407439e-15,4.2074990026954e-15,4.207499006189159e-15,2.341423754639999e-19,2.821485366292734e-22,1.1932551436995968e-22,2.5859317878312188e-23,6.8550588967261e-20,1.4520543226440165e-29,2.462231961682995e-23,7.979520736001252e-26,1.9023833437533353e-24,5.8096501576073184e-24,2.5738716798757845e-29,2.3673807665383893e-24,1.0140517075626941e-22,1.6352880413999328e-24,1.1439869413014299e-24,1.4178568380958723e-24,4.4517476656685785e-34,6.718928698479669e-20,1.4626273512117463e-21,5.235238840006788e-30,8.30927751354687e-25,1.7172136758620907e-26,3.807602545849473e-36,4.075229153273406e-25,3.314915169475286e-27,7.661562982517164e-37,3.2608420242072065e-32,2.3814581453295038e-29,1.9510204540302e-32,1.1796731367214264e-38,1.9512860543329196e-32,2.6545865747414943e-38,4.891243790473174e-50
2.5478369024056343e-16,0.11224537200000768,0.9,0.0,0.0,0.0,0.0,0.09999999999993152,1.7540292785900422e-14,1.7539350050716878e-14,1.2119343408043563e-14,1.2119343427244985e-14,1.049693942803618e-14,1.0496940030702179e-14,1.0496653982861114e-14,1.0496653984510187e-14,9.359502719484544e-15,9.359508524684214e-15,8.474258549603718e-15,8.474258563759906e-15,9.415613338855078e-19,1.1404622881619162e-21,4.82332477511001e-22,1.045274083992097e-22,1.3806716181197042e-19,1.1734466718098028e-28,9.952686905873842e-23,6.430919549422986e-25,7.689737638986958e-24,2.3483412074866514e-23,2.081914576750733e-28,9.497353420040438e-24,2.0423857064838813e-22,6.558639819876445e-24,4.5903182704055214e-24,5.692489316939127e-24,3.580997037155988e-33,1.3246571812531675e-19,5.805038972224909e-21,2.116173173611385e-29,3.2929773786935817e-24,1.3517794699607738e-25,5.925119726930896e-35,1.6351583534397424e-24,2.5513822138272082e-26,1.1500968493838971e-35,7.098297938225299e-32,9.626234588600282e-29,4.246606657031419e-32,9.553298910476192e-38,4.2471847164521473e-32,1.4398604251698635e-37,1.0528195577602284e-48
5.113490846086833e-16,0.11224537200001543,0.9,0.0,0.0,0.0,0.0,0.09999999999986255,3.520324498587277e-14,3.519949296631386e-14,2.4323437439888556e-14,2.4323437517501507e-14,2.1067282815584666e-14,2.106728523918076e-14,2.1066711115105018e-14,2.106671112173958e-14,1.8784456506925062e-14,1.87844790307905e-14,1.7007777627950226e-14,1.700777768513843e-14,3.747296672961703e-18,4.585532908031035e-21,1.939435023819752e-21,4.2029939604209986e-22,2.7710366633658893e-19,9.432961706230279e-28,4.0018932871020693e-22,5.1267919973978965e-24,3.0920096828780124e-23,9.442478001338961e-23,1.6744955099263288e-27,3.7621628285813234e-23,4.099053320511091e-22,2.5967094823765507e-23,1.8190680750518343e-23,2.258372706385123e-23,2.8441783075305396e-32,2.549858197855343e-19,2.252262298341636e-20,8.509133694385705e-29,1.2740082252117973e-23,1.0443793725120588e-24,9.017806132031648e-34,6.4794568196301685e-24,1.9803278129350632e-25,1.75523128574814e-34,1.4359789164710635e-31,3.870666592633368e-28,8.587121495523349e-32,7.689326078910319e-37,8.588289994174817e-32,6.935430950345467e-37,1.9855422948101814e-47
1.024479873344923e-15,0.11224537200003092,0.9,0.0,0.0,0.0,0.0,0.09999999999972461,7.052914946117888e-14,7.051440368973063e-14,4.8731625415065964e-14,4.873162572944015e-14,4.220796594408405e-14,4.220797566612613e-14,4.220682530333882e-14,4.2206825329975217e-14,3.7634364081768616e-14,3.763444845515127e-14,3.407481572276274e-14,3.407481595416836e-14,1.4726808107396966e-17,1.838835390231247e-20,7.777980587611054e-21,1.6855828198959566e-21,5.552029635208476e-19,7.564084133675877e-27,1.6049082926299963e-21,4.036850551685391e-23,1.240034175578766e-22,3.7867768314460657e-22,1.343126108784401e-26,1.4651743673948711e-22,8.212387013742176e-22,1.0102796006129523e-22,7.089738972326374e-23,8.820980883170981e-23,2.223389241330977e-31,4.716197678324239e-19,8.436404677056174e-20,3.4126915470660155e-28,4.747569878744825e-23,7.806156393312094e-24,1.3137589310615855e-32,2.5250336501582712e-23,1.5293820076384074e-24,2.6692837520971512e-33,2.7302405682562436e-31,1.5523104253252481e-27,1.6296139503568484e-31,6.17019991792714e-36,1.6298353688607494e-31,3.074629255607377e-36,3.3310737142699144e-46
