Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.248858773104429e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999941,1.5482011918175156e-16,1.548200082745091e-16,1.0697188565762726e-16,1.0697188565985145e-16,9.265167497945775e-17,9.26516750496316e-17,9.264915035656187e-17,9.26491503567538e-17,8.261203761805893e-17,8.26120383190191e-17,7.479839345088187e-17,7.479839345252262e-17,1.1077062725666196e-22,1.3281728450959793e-25,5.616946628791559e-26,1.2172621472438675e-26,1.2186498325544994e-21,2.1318049020048105e-34,1.159038112251565e-26,1.1617411706905106e-30,8.954982263923364e-28,2.7347577940780285e-27,3.7574456157781947e-34,1.1225933341089415e-27,1.8027204063741146e-24,7.756416392975424e-28,5.423630073675236e-28,6.71829109154929e-28,6.493286226119607e-39,1.2197515922201088e-21,7.009595944217802e-25,2.464352268159554e-33,3.988111110632231e-28,4.101882369017648e-31,3.614910541595345e-42,1.932122558704194e-28,1.7913109224006837e-31,1.7857679771190766e-42,6.392243142035076e-35,1.1210104164335126e-32,3.824713162630914e-35,1.7094675280439874e-43,3.8252338521753746e-35,4.887712367266094e-43,1.2949666833392218e-57,1.3034928614267192e-56
6.296804564692402e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999831,4.334963337132347e-16,4.334956639365905e-16,2.9952127983584796e-16,2.995212798492833e-16,2.5942468971554497e-16,2.5942469013939584e-16,2.5941762099363013e-16,2.594176209947894e-16,2.313137053305627e-16,2.3131370956201706e-16,2.0943550165861824e-16,2.0943550166852905e-16,6.689514809743825e-22,8.022158238000108e-25,3.3926356950153537e-25,7.35226318388535e-26,3.412219541697359e-21,2.527576810854639e-33,7.000589176386049e-26,1.379023919908488e-29,5.408809287379292e-27,1.6517934518710343e-26,4.4575373469449e-33,6.778932893741231e-27,5.047617128292358e-24,4.6837803358235974e-27,3.2751528222205146e-27,4.057026162645644e-27,7.707310158634132e-38,3.413035696012549e-21,4.231449112444673e-24,1.4884687738066257e-32,2.4073725389981918e-27,3.9241083000305374e-30,6.178241789228943e-41,1.1667444924242228e-27,1.3394843494985845e-30,2.4559398806893944e-41,3.548278671167361e-34,6.770902915315349e-32,2.1230649481407913e-34,2.0294798492834055e-42,2.1233539782687152e-34,7.200718996509565e-42,6.221574862212954e-56,7.923843363088517e-55
1.4392696147868348e-17,0.11224537200000043,0.9,0.0,0.0,0.0,0.0,0.09999999999999613,9.908487627935355e-16,9.908455391569514e-16,6.846200681702561e-16,6.846200682349526e-16,5.929707182799729e-16,5.929707203206404e-16,5.929545622487943e-16,5.929545622543759e-16,5.287170407555609e-16,5.287170611043448e-16,4.787097180586873e-16,4.787097181064108e-16,3.2196636995966774e-21,3.862318016515986e-24,1.6334079764904678e-24,3.539798045983768e-25,7.799359056344464e-21,2.4759740531065437e-32,3.3704812984682066e-25,1.353520804184137e-28,2.604108842303332e-26,7.952671828898667e-26,4.3708203116239704e-32,3.2622061796352703e-26,1.153741053390821e-23,2.2539239020574665e-26,1.5761124834834334e-26,1.9524470605059848e-26,7.56386670284591e-37,7.79054759072339e-21,2.0348741199256322e-23,7.166336492826098e-32,1.1575754414600225e-26,3.3600961937935446e-29,1.005276946686734e-39,5.6147510996605574e-27,9.070426005656231e-30,3.1221009572758186e-40,1.4551642972297323e-33,3.2598982910740758e-31,8.706777849317256e-34,1.9925553506558119e-41,8.707963172959834e-34,7.339219645158046e-41,2.3248635608037672e-54,3.5712604443349997e-53
3.0584479314220236e-17,0.11224537200000094,0.9,0.0,0.0,0.0,0.0,0.09999999999999178,2.105553621023573e-15,2.1055395517695984e-15,1.4548176447509391e-15,1.4548176450335837e-15,1.260062771777843e-15,1.2600627806900461e-15,1.2600284446832327e-15,1.2600284447076097e-15,1.12352371160552e-15,1.1235238002651656e-15,1.01725815079721e-15,1.0172581510056951e-15,1.4051902654368496e-20,1.686770614272323e-23,7.133521152556817e-24,1.5459226395249618e-24,1.657363890404543e-20,2.1831681862109964e-31,1.471976820486272e-24,1.1964402112314377e-27,1.1372827474712627e-25,3.4731384343252885e-25,3.8591370262654577e-31,1.4233239173481816e-25,2.4516997192257404e-23,9.833697393745324e-26,6.876868791701786e-26,8.519509374038123e-26,6.684440329246327e-36,1.6509495398549624e-20,8.865930767113136e-23,3.1297275622604434e-31,5.042559297348267e-26,2.755119643439112e-28,1.5950329562678575e-38,2.4498091358661216e-26,6.261471118086202e-29,4.0237933023926544e-39,4.863113399910279e-33,1.423683228958892e-30,2.909774018427911e-33,1.762392642644619e-40,2.9101701485458146e-33,6.098294087715254e-40,7.382911718180498e-53,1.3439605178424414e-51
6.296804564692402e-17,0.11224537200000194,0.9,0.0,0.0,0.0,0.0,0.09999999999998307,4.334963337762169e-15,4.3349046782587736e-15,2.995212797559773e-15,2.9952127987405736e-15,2.5942468642496423e-15,2.594246901456942e-15,2.594176209248544e-15,2.5941762093503204e-15,2.3131370533052886e-15,2.313137421707972e-15,2.0943550160277955e-15,2.0943550168987153e-15,5.85870592946565e-20,7.041892428172483e-23,2.978104143177823e-23,6.453921317414753e-24,3.4122205328823526e-20,1.8288069324959004e-30,6.145205849596181e-24,1.0044490026327257e-26,4.747931595910876e-25,1.4499650146861344e-24,3.2375569763853524e-30,5.930701488484548e-25,5.047616989742655e-23,4.0972239682224456e-25,2.8655988758249738e-25,3.550608044589636e-25,5.609085970635284e-35,3.3804271446098397e-20,3.6840001149730373e-22,1.3065998824483875e-30,2.094484168156594e-25,2.218715416796619e-27,2.516951839009266e-37,1.0208297976280462e-25,4.531329362451101e-28,5.498427480512058e-38,1.3633411372971795e-32,5.943597228726682e-30,8.157309372256237e-33,1.481397208200308e-39,8.158419883300604e-33,4.3705051077285075e-39,2.0713697448466592e-51,4.63199640422025e-50
1.2773517831233157e-16,0.11224537200000387,0.9,0.0,0.0,0.0,0.0,0.09999999999996566,8.793782772359638e-15,8.793543754977041e-15,6.07600310176731e-15,6.076003106597889e-15,5.2626149910975095e-15,5.262615143106404e-15,5.2624717371648664e-15,5.262471737580717e-15,4.692363736704228e-15,4.69236522776441e-15,4.248548745503125e-15,4.2485487490654714e-15,2.387213779856749e-19,2.876807938401275e-22,1.21665229528471e-22,2.6366363108598208e-23,6.921939261540721e-20,1.494917017323713e-29,2.5105109005941523e-23,8.214972291369352e-26,1.939684977941108e-24,5.923564565544274e-24,2.649890109591613e-29,2.41362223590198e-24,1.0239451286165972e-22,1.6672254033118814e-24,1.16633445106812e-24,1.4455624085959838e-24,4.583020288507992e-34,6.78306658732897e-20,1.4910390979152008e-21,5.3378906797762594e-30,8.470561912525991e-25,1.767310637767916e-26,3.956198461520259e-36,4.154836469026118e-25,3.409827273605342e-27,7.954183956570757e-37,3.298161860353548e-32,2.4281534030878404e-29,1.9733483219468066e-32,1.214538933426261e-38,1.973616961686067e-32,2.719942173269942e-38,5.109063560657986e-50,1.522455936965672e-48
2.5726944364314666e-16,0.11224537200000775,0.9,0.0,0.0,0.0,0.0,0.09999999999993084,1.771142164608456e-14,1.7710460522327572e-14,1.2237583704541868e-14,1.22375837241208e-14,1.0599351012410565e-14,1.05993516268943e-14,1.059906278813999e-14,1.0599062789821405e-14,9.45081710349972e-15,9.450823020437345e-15,8.55693620051042e-15,8.556936214944846e-15,9.599268834653655e-19,1.1628237559811605e-21,4.9178997051428835e-22,1.0657696365873045e-22,1.3941420308778377e-19,1.2081007465090806e-28,1.0147836673670504e-22,6.620367108983109e-25,7.84051680835169e-24,2.3943868697316459e-23,2.1434186683197703e-28,9.682156726980369e-24,2.062311890058912e-22,6.686226217852138e-24,4.679656713770891e-24,5.80334279163479e-24,3.686353686688561e-33,1.3370299978696284e-19,5.916772252917937e-21,2.1576669226919512e-29,3.356263799212491e-24,1.3911025793307137e-25,6.155842934371426e-35,1.666981363797236e-24,2.625301085609673e-26,1.1946203136086653e-35,7.171411636861694e-32,9.814984286471519e-29,4.290335770714569e-32,9.835651171697285e-38,4.290919781379057e-32,1.4728028111361765e-37,1.0977951622624626e-48,4.842012450912799e-47
5.163379743047769e-16,0.11224537200001558,0.9,0.0,0.0,0.0,0.0,0.0999999999998612,3.5546699412035094e-14,3.554287458480699e-14,2.456074488752893e-14,2.4560744966671633e-14,2.1272822125507935e-14,2.1272824596631463e-14,2.1272244870657656e-14,2.1272244877422375e-14,1.8967723837081148e-14,1.8967746786864253e-14,1.7173711094751543e-14,1.7173711153066306e-14,3.820011679747526e-18,4.675441068667835e-21,1.9774631087754477e-21,4.285405464407057e-22,2.798072813362111e-19,9.711630628626918e-28,4.080361028016292e-22,5.277334695804006e-24,3.1526373236983436e-23,9.627622666667676e-23,1.7239730479449097e-27,3.8348199559897335e-23,4.139045021603329e-22,2.6468322576126027e-23,1.8542130622111613e-23,2.3020549320040865e-23,2.9274838676032677e-32,2.5726740151857243e-19,2.2948504809637084e-20,8.675981953532133e-29,1.2980291708848886e-23,1.074453473902704e-24,9.365455656656415e-34,6.604634023095568e-24,2.037867429839023e-25,1.8234572909585378e-34,1.4495363545720684e-31,3.9465620160640734e-28,8.668093877319917e-32,7.916587742737651e-37,8.669273383468391e-32,7.084539402880228e-37,2.0669479730288705e-47,1.4875642521748442e-45
1.0344750356280373e-15,0.11224537200003121,0.9,0.0,0.0,0.0,0.0,0.09999999999972192,7.121725502082913e-14,7.120222599785774e-14,4.920706716325494e-14,4.920706748385342e-14,4.261976063360348e-14,4.2619770546319167e-14,4.2618608957943437e-14,4.261860898510268e-14,3.8001537304205796e-14,3.800162322097491e-14,3.440726082013993e-14,3.44072610561227e-14,1.5009687363005734e-17,1.8748876988617722e-20,7.93048958748371e-21,1.7186333492399063e-21,5.606204905534258e-19,7.787590193120892e-27,1.636376499185351e-21,4.154642125290445e-23,1.264348571164173e-22,3.861025783113936e-22,1.3828169561049972e-26,1.4930597192175652e-22,8.292509719785727e-22,1.029487828596724e-22,7.224775845502354e-23,8.98936270535448e-23,2.2879499935181606e-31,4.75501006530318e-19,8.590716887353175e-20,3.4796109726640507e-28,4.833952426585903e-23,8.026288837668657e-24,1.3633221798050646e-32,2.573121533041969e-23,1.5735956720788801e-24,2.772577702829074e-33,2.7535903209605055e-31,1.5827478846836077e-27,1.6434669523990524e-31,6.352563090575807e-36,1.64369024395155e-31,3.138020823495219e-36,3.462433329803691e-46,4.3442255779910896e-44
