Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.270379443094447e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.0999999999999994,1.5630168517984898e-16,1.563015721399474e-16,1.0799556339005899e-16,1.0799556339232594e-16,9.353831407995629e-17,9.353831415147962e-17,9.353576529810167e-17,9.353576529829731e-17,8.340260144538499e-17,8.340260215982122e-17,7.551418385998431e-17,7.551418386165661e-17,1.1290065916462365e-22,1.3537146209669928e-25,5.724964832041189e-26,1.2406710343806832e-26,1.2303118191782076e-21,2.1935608219194865e-34,1.1813273050091502e-26,1.1954117051867682e-30,9.127193461305998e-28,2.7873492858407086e-27,3.866319748999639e-34,1.144179106750092e-27,1.8199717123919736e-24,7.905559927275742e-28,5.527918612645478e-28,6.847475253224427e-28,6.681475951766664e-39,1.2314173540509644e-21,7.144356599123052e-25,2.5117436579779306e-33,4.064781350229907e-28,4.2049695518858765e-31,3.7373954066058056e-42,1.9692744539116604e-28,1.8300670458656784e-31,1.8406787514555156e-42,6.509573519443078e-35,1.1425683090573287e-32,3.8949162228257576e-35,1.7590154117488672e-43,3.8954464696863045e-35,5.027950833749998e-43,1.3526559305649693e-57,1.3670556681579995e-56,7.983159526930161e-68
6.3570624406644516e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.0999999999999983,4.3764471850799097e-16,4.3764403585307336e-16,3.023875774865509e-16,3.023875775002446e-16,2.6190727919257685e-16,2.619072796245786e-16,2.619001428298504e-16,2.6190014283103207e-16,2.3352728404707557e-16,2.335272883598575e-16,2.1143971480403117e-16,2.114397148141325e-16,6.818138856390976e-22,8.176430397730073e-25,3.4578786877847365e-25,7.493652856816054e-26,3.444873104549321e-21,2.600773060923445e-33,7.135215871035433e-26,1.4189900008361887e-29,5.5128248505975236e-27,1.683558705482875e-26,4.586672334151429e-33,6.909266599766948e-27,5.095920784958614e-24,4.773831295140403e-27,3.338122242979118e-27,4.135029585826786e-27,7.930670015841417e-38,3.4456562346721344e-21,4.312776563481589e-24,1.5170931734059502e-32,2.453639460514705e-27,4.028276145221291e-30,6.396870874304069e-41,1.1891767743130618e-27,1.370355850611131e-30,2.5341695484173814e-41,3.610820109456722e-34,6.901112586764854e-32,2.160485775270272e-34,2.0883030968174355e-42,2.1607798997982133e-34,7.405591619320858e-42,6.506087126172613e-56,8.310177758967069e-55,6.155877172873126e-66
1.4530428435804463e-17,0.11224537200000047,0.9,0.0,0.0,0.0,0.0,0.0999999999999961,1.000330785181943e-15,1.0003274995724304e-15,6.911716056570778e-16,6.911716057230187e-16,5.986452084926146e-16,5.986452105725256e-16,5.986288978740107e-16,5.986288978796996e-16,5.337766492504473e-16,5.337766699900979e-16,4.832907766764248e-16,4.832907767250661e-16,3.281560224983502e-21,3.936593251051308e-24,1.6648196670053688e-24,3.6078710817141306e-25,7.873995774445134e-21,2.547643911053245e-32,3.4352982266155016e-25,1.3927437073562972e-28,2.6541878585008827e-26,8.10560777575231e-26,4.4974111331187666e-32,3.3249111053843796e-26,1.164781889113624e-23,2.2972472683585853e-26,1.6064083237481373e-26,1.989978118271166e-26,7.783037888369725e-37,7.864903847545632e-21,2.073960691957637e-23,7.304150658184574e-32,1.1798083927361906e-26,3.452828324822717e-29,1.0422051693622395e-39,5.722676934449801e-27,9.29500507792452e-30,3.2264981474209584e-40,1.4790053150815982e-33,3.3225886428266103e-31,8.849427271793864e-34,2.050308363900969e-41,8.850632015429152e-34,7.544431501905192e-41,2.4325659135114838e-54,3.745321124974411e-53,6.698394866953131e-64
3.0877160426084484e-17,0.11224537200000094,0.9,0.0,0.0,0.0,0.0,0.0999999999999917,2.1257029186006196e-15,2.1256885789614795e-15,1.4687396619083034e-15,1.4687396621963853e-15,1.272121063391877e-15,1.2721210724754706e-15,1.2720864078849819e-15,1.2720864079098276e-15,1.1342753796571524e-15,1.1342754700177768e-15,1.0269929003584123e-15,1.0269929005709075e-15,1.4321954127263447e-20,1.7192084118117342e-23,7.270704239786238e-24,1.5756519178564369e-24,1.6732241956352216e-20,2.2463419502446414e-31,1.5002840494538441e-24,1.231103958430778e-27,1.1591535695374975e-25,3.5399295139653444e-25,3.9708877069701e-31,1.4506692133373163e-25,2.4751614947668945e-23,1.0022618701012909e-25,7.008992522851389e-26,8.683204793423565e-26,6.878073014215574e-36,1.6666632064762112e-20,9.036027687852735e-23,3.1899146343830754e-31,5.1392841054898086e-26,2.8328513092104526e-28,1.6550392527816338e-38,2.4968765728033907e-26,6.42616115555703e-29,4.165105881896975e-39,4.9344621424627286e-33,1.4510617525937012e-30,2.952464411887002e-33,1.813474528826381e-40,2.952866353761664e-33,6.2636102529431095e-40,7.723529285520152e-53,1.4094194762699376e-51,5.462370074600481e-62
6.357062440664452e-17,0.11224537200000194,0.9,0.0,0.0,0.0,0.0,0.09999999999998292,4.3764471857218646e-15,4.376387399638682e-15,3.0238757740514426e-15,3.023875775254967e-15,2.619072758387155e-15,2.6190727963099927e-15,2.6190014275975213e-15,2.6190014277012553e-15,2.335272840470411e-15,2.335273215924313e-15,2.1143971474711868e-15,2.1143971483588647e-15,5.971224581716881e-20,7.177312607154542e-23,3.035375366732934e-23,6.578035162023638e-24,3.444874124438832e-20,1.8817285479598552e-30,6.263382737749171e-24,1.0335382200610953e-26,4.839237972750976e-25,1.4778489202101842e-24,3.331310301755208e-30,6.044533018321918e-25,5.095920643744496e-23,4.175859083504143e-25,2.9206028947454606e-25,3.618770580941725e-25,5.771474030865659e-35,3.412423896467961e-20,3.7545115414345673e-22,1.3317268093553607e-30,2.134556659324646e-25,2.2819880669336254e-27,2.6128437259586463e-37,1.0404240529939348e-25,4.655557138693931e-28,5.699237271401592e-38,1.3807860101644667e-32,6.0578971754412616e-30,8.261686436416375e-33,1.5243346114480856e-39,8.262811156870517e-33,4.4832630728426554e-39,2.1649609415353708e-51,4.857296323740914e-50,3.906555897660942e-60
1.289575523677646e-16,0.1122453720000039,0.9,0.0,0.0,0.0,0.0,0.09999999999996534,8.877935721106295e-15,8.877692119371928e-15,6.134147996900474e-15,6.134148001824077e-15,5.312976089164756e-15,5.3129762440969946e-15,5.312831465784946e-15,5.312831466208796e-15,4.737267762096319e-15,4.737269281561268e-15,4.289205640691936e-15,4.2892056443228735e-15,2.433000364538119e-19,2.9321304913264093e-22,1.2400494466374295e-22,2.687340833261717e-23,6.988179583205946e-20,1.538192598980538e-29,2.5587898360955734e-23,8.452683984461303e-26,1.9769866121287827e-24,6.037478964839296e-24,2.726641779737373e-29,2.4598586267839536e-24,1.0337438692385165e-22,1.699159134439064e-24,1.1886795719571225e-24,1.4732652481348761e-24,4.71554976211131e-34,6.846564242089153e-20,1.5194432633596286e-21,5.440542523300819e-30,8.631799754775554e-25,1.8178731668166648e-26,4.1075991764197896e-36,4.234435237740945e-25,3.505594079929193e-27,8.252165478373352e-37,3.3351245909225644e-32,2.4748486608463735e-29,1.9954624978656606e-32,1.2497416107733434e-38,1.995734147947481e-32,2.7855496292330714e-38,5.3320339781819395e-50,1.596309554378962e-48,2.6149716741493497e-58
2.597314082900048e-16,0.11224537200000786,0.9,0.0,0.0,0.0,0.0,0.09999999999993019,1.7880912796493196e-14,1.7879933286912843e-14,1.2354692436849547e-14,1.2354692456806022e-14,1.0700782513868385e-14,1.070078314016988e-14,1.0700491537208855e-14,1.0700491538922617e-14,9.541257605345702e-15,9.54126363396268e-15,8.638822623114234e-15,8.63882263782692e-15,9.782896827593024e-19,1.1851852084583754e-21,5.012474633293772e-22,1.08626518867499e-22,1.4074835348890565e-19,1.2430890606775428e-28,1.0342986414204332e-22,6.811621371013563e-25,7.991295977715666e-24,2.440432524978265e-23,2.2055164228241487e-28,9.866919679708734e-24,2.0820473792427664e-22,6.813783784354046e-24,4.7689761652563254e-24,5.914174523676063e-24,3.7927099231395806e-33,1.3492742996403437e-19,6.028446893290285e-21,2.1991606778062243e-29,3.4195143425826905e-24,1.430784460070127e-25,6.390879415432767e-35,1.6987975796993903e-24,2.699899401658497e-26,1.239975197060645e-35,7.243772387885011e-32,1.0003733984344372e-28,4.333614183310818e-32,1.0120731579700319e-37,4.334204083842168e-32,1.5058177361696665e-37,1.1437533849979975e-48,5.075667224214653e-47,1.6796900935456598e-56
5.21279120134485e-16,0.11224537200001575,0.9,0.0,0.0,0.0,0.0,0.09999999999985988,3.588686696613073e-14,3.588296935280489e-14,2.4795781293751753e-14,2.4795781374424437e-14,2.147639441587139e-14,2.1476396934522515e-14,2.147581166025034e-14,2.1475811667145228e-14,1.914923729183473e-14,1.914926066710425e-14,1.733805657188203e-14,1.733805663132351e-14,3.892705113474369e-18,4.765349108847642e-21,2.015491192216363e-21,4.36781696430815e-22,2.824850254955952e-19,9.992989540303275e-28,4.158828747536686e-22,5.429294559295057e-24,3.2132649645181176e-23,9.812767275668844e-23,1.7739283800682302e-27,3.907445799724845e-23,4.1786540003860342e-22,2.696932710992431e-23,1.8893433117893904e-23,2.3457202379021557e-23,3.0115656713705443e-32,2.5952350426516126e-19,2.3373955091914208e-20,8.84283030816635e-29,1.3220239004095121e-23,1.104789736692133e-24,9.719427826196843e-34,6.729758510343921e-24,2.0959342079304886e-25,1.892959506935709e-34,1.4629436485401325e-31,4.0224574394961163e-28,8.748166432889862e-32,8.146045256436774e-37,8.749356823878707e-32,7.233813785486289e-37,2.1499993237307108e-47,1.558631296419418e-45,1.0388974527504334e-54
1.0443745438234455e-15,0.11224537200003151,0.9,0.0,0.0,0.0,0.0,0.09999999999971927,7.189877538383182e-14,7.188346327384912e-14,4.9677958915572525e-14,4.9677959242396974e-14,4.3027614430276596e-14,4.3027624533667134e-14,4.302645182708822e-14,4.302645185477032e-14,3.836519666477383e-14,3.8365284122012594e-14,3.4736524405110436e-14,3.473652464567145e-14,1.5292402094655564e-17,1.9109399154474577e-20,8.082998575201274e-21,1.7516838753059553e-21,5.659861937362667e-19,8.013254757905623e-27,1.6678446894128595e-21,4.273514479955859e-23,1.288662966749215e-22,3.93527468958487e-22,1.422891180642813e-26,1.5209217490032285e-22,8.371865647683468e-22,1.0486794571341131e-22,7.359702640751767e-23,9.157617463840034e-23,2.3530913581507613e-31,4.793332528410019e-19,8.74473720222759e-20,3.54653054636861e-28,4.920159911646869e-23,8.248171909254188e-24,1.4137369536564398e-32,2.6211700531027252e-23,1.618202964015698e-24,2.8777734502918223e-33,2.7766523037449032e-31,1.6131853440430972e-27,1.657146656980313e-31,6.536688294454572e-36,1.6573717978637294e-31,3.20144657577265e-36,3.596249955740219e-46,4.547978374065577e-44,8.056710439329056e-53
