Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2916980276386637e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999938,1.577693388357497e-16,1.5776922366319388e-16,1.0900962848631267e-16,1.0900962848862243e-16,9.441662737748287e-17,9.441662745035567e-17,9.441405466354167e-17,9.441405466374101e-17,8.418574164493576e-17,8.418574237284799e-17,7.622325278578746e-17,7.62232527874913e-17,1.1503068621512968e-22,1.3792563965672908e-25,5.832983035258414e-26,1.2640799215087609e-26,1.2418642963046198e-21,2.255900934029616e-34,1.2036164977186066e-26,1.2294013344639381e-30,9.299404658688611e-28,2.8399407774829035e-27,3.976224709155579e-34,1.16576480727179e-27,1.8370610235518496e-24,8.054702945633257e-28,5.632206812538882e-28,6.976659027810719e-28,6.87144899498167e-39,1.2429734444999119e-21,7.279116148371407e-25,2.559135047798047e-33,4.141450908306141e-28,4.308738255973847e-31,3.861709233869603e-42,2.0064262277930637e-28,1.8689444951662255e-31,1.896228919765793e-42,6.626755821691679e-35,1.164126201681147e-32,3.9650306841737754e-35,1.8090329611409288e-43,3.965570476288675e-35,5.169465528963938e-43,1.4117904779390583e-57,1.432442470185278e-56,8.443546174615574e-68,3.1761119248703295e-47
6.4167544773882585e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999828,4.417541487445963e-16,4.417534532114631e-16,3.0522695975595536e-16,3.0522695976990745e-16,2.64366556421287e-16,2.6436655686143975e-16,2.6435935305299124e-16,2.6435935305419514e-16,2.3572007660581773e-16,2.3572008099992596e-16,2.1342510779620585e-16,2.1342510780649787e-16,6.946762326580052e-22,8.330702554247283e-25,3.523121680515649e-25,7.63504252964302e-26,3.477220040811746e-21,2.6746609145847073e-33,7.269842565113636e-26,1.4593347668504302e-29,5.6168404138157324e-27,1.7153239589516754e-26,4.717029169557268e-33,7.039599450067e-27,5.1437708560225145e-24,4.863881642282852e-27,3.4010912614037015e-27,4.2130325496854204e-27,8.156145904586599e-38,3.4779696944636344e-21,4.39410270367562e-24,1.5457175730091616e-32,2.4999055741262554e-27,4.133251895107692e-30,6.61906374613697e-41,1.2116089122419497e-27,1.4013713114056092e-30,2.613406539067435e-41,3.6732183296405214e-34,7.031322258214381e-32,2.197820909635695e-34,2.1476839314552795e-42,2.1981201168975453e-34,7.612265455114707e-42,6.798007243808677e-56,8.707594989319783e-55,6.510842429930557e-66,5.801770529810554e-46
1.466686737688745e-17,0.11224537200000047,0.9,0.0,0.0,0.0,0.0,0.09999999999999606,1.0097237685802912e-15,1.0097204209984154e-15,6.976616222723599e-16,6.976616223395451e-16,6.042664135662353e-16,6.042664156853902e-16,6.042499498121882e-16,6.042499498179845e-16,5.387887465275719e-16,5.387887676580768e-16,4.878288178010466e-16,4.878288178506058e-16,3.3434561848640287e-21,4.010868482434824e-24,1.6962313574825023e-24,3.6759441173426453e-25,7.947931631798229e-21,2.61999004546428e-32,3.500115154202464e-25,1.4323381007510565e-28,2.704266874698414e-26,8.25854372120158e-26,4.625198827859639e-32,3.387615191985033e-26,1.175719048127318e-23,2.3405700343699593e-26,1.6367037694601604e-26,2.0275087255561147e-26,8.004284230033841e-37,7.938558219648106e-21,2.113045980783018e-23,7.441964823619815e-32,1.2020405533344803e-26,3.5463511334695786e-29,1.0797769356444412e-39,5.8306013574893635e-27,9.520995897231875e-30,3.332409293877577e-40,1.5027515778379519e-33,3.385278994579176e-31,8.991509737747903e-34,2.1086088194710797e-41,8.992733824191056e-34,7.751319946360257e-41,2.543110345688271e-54,3.92437171787156e-53,7.08453841885025e-64,9.991050222878538e-45
3.1167093175885826e-17,0.11224537200000095,0.9,0.0,0.0,0.0,0.0,0.09999999999999162,2.1456630083237906e-15,2.1456483983044783e-15,1.482530947213646e-15,1.4825309475071653e-15,1.2840661240854926e-15,1.2840661333404756e-15,1.2840311432517733e-15,1.2840311432770882e-15,1.144926086371042e-15,1.1449261784325321e-15,1.0366362377467428e-15,1.0366362379632488e-15,1.45920006065534e-20,1.7516462065678338e-23,7.407887326681623e-24,1.6053811960978319e-24,1.6889355679819615e-20,2.310111471668579e-31,1.5285912779266117e-24,1.2660957432066118e-27,1.181024391603716e-25,3.6067205923632573e-25,4.083694605764635e-31,1.4780137688980061e-25,2.4984029573011915e-23,1.0211534712034486e-25,7.141112772412731e-26,8.84689623697688e-26,7.073536934181145e-36,1.682227731150555e-20,9.206113325732027e-23,3.250101706642153e-31,5.236001964853278e-26,2.9112778525602967e-28,1.7161324469927669e-38,2.5439427640058106e-26,6.592096925549393e-29,4.30868832287833e-39,5.005374132004066e-33,1.478440276228537e-30,2.9948934774464218e-33,1.865040621544948e-40,2.9953011955008105e-33,6.430102970783462e-40,8.072991308448713e-53,1.4767524408119156e-51,5.77708903675639e-62,1.6450291665490644e-43
6.416754477388258e-17,0.11224537200000195,0.9,0.0,0.0,0.0,0.0,0.09999999999998276,4.417541488100053e-15,4.417480575478912e-15,3.052269596730127e-15,3.0522695979563744e-15,2.643665530041453e-15,2.6436655686798277e-15,2.643593529815702e-15,2.6435935299213945e-15,2.3572007660578266e-15,2.3572011485620094e-15,2.134251077382195e-15,2.134251078286633e-15,6.08373905034784e-20,7.312732762815385e-23,3.092646590007272e-23,6.702149005875354e-24,3.477221089676948e-20,1.9351495851488012e-30,6.3815596217564615e-24,1.0629022656967388e-26,4.930544349590948e-25,1.505732824690142e-24,3.4259500913297555e-30,6.1583583543578555e-25,5.1437707121439813e-23,4.254489769146779e-25,2.9756040008856988e-25,3.6869297897954626e-25,5.93539429333424e-35,3.444113661873486e-20,3.825013595262367e-22,1.3568537364919566e-30,2.174623383812146e-25,2.345837384936436e-27,2.7105045336718125e-37,1.0600172661696982e-25,4.780827103115829e-28,5.903510533338897e-38,1.3980891337177735e-32,6.1721971221560696e-30,8.365215336786311e-33,1.5676790194656333e-39,8.366354151180012e-33,4.596649672167819e-39,2.2608750248961578e-51,5.089028877493608e-50,4.1313919989868863e-60,2.6545415254675463e-42
1.3016844796987609e-16,0.11224537200000394,0.9,0.0,0.0,0.0,0.0,0.09999999999996502,8.961298448816182e-15,8.961050263070763e-15,6.1917468942987234e-15,6.191746899315354e-15,5.362864281623194e-15,5.362864439478778e-15,5.362718301682554e-15,5.362718302114403e-15,4.781750125430776e-15,4.78175167329299e-15,4.329480755629343e-15,4.329480759328874e-15,2.4787835417232736e-19,2.9874530252522617e-22,1.2634465977599556e-22,2.7380453550428426e-23,7.053797893164275e-20,1.5818771498397747e-29,2.607068768219989e-23,8.692634111357939e-26,2.014288246316358e-24,6.151393355574286e-24,2.80411973558771e-29,2.5060899882415053e-24,1.0434505967811014e-22,1.73108926987718e-24,1.211022327033077e-24,1.5009653830427055e-24,4.849323956056803e-34,6.909439713379131e-20,1.5478399227333354e-21,5.54319437058013e-30,8.792991503699652e-25,1.8688966289687943e-26,4.2618031078918544e-36,4.314025541946198e-25,3.602207335630571e-27,8.555503967468234e-37,3.371739823153455e-32,2.5215439186050974e-29,2.0173687303559587e-32,1.285277975220799e-38,2.0176433624689798e-32,2.851403513288311e-38,5.560170780813961e-50,1.672260556034587e-48,2.7651510766727843e-58,4.233013704544404e-41
2.6217025436186313e-16,0.11224537200000793,0.9,0.0,0.0,0.0,0.0,0.09999999999992953,1.804881237495456e-14,1.8047814482274177e-14,1.2470701483578457e-14,1.2470701503912502e-14,1.0801261543466211e-14,1.0801262181585486e-14,1.0800967840371899e-14,1.0800967842118006e-14,9.630848844174194e-15,9.630854984412531e-15,8.719940108028603e-15,8.719940123019568e-15,9.96649758514192e-19,1.2075466457426233e-21,5.107049559580506e-22,1.1067607402599622e-22,1.420699761825053e-19,1.2784084449907404e-28,1.0538136127740328e-22,7.004664765102041e-25,8.142075147078879e-24,2.4864781732928482e-23,2.2682022115375985e-28,1.0051642675217943e-23,2.10159754630909e-22,6.941312803377684e-24,4.858276811517984e-24,6.0249847261675134e-24,3.900055929408224e-33,1.3613937175624893e-19,6.14006349977884e-21,2.2406544389531853e-29,3.482729382320383e-24,1.4708213770181468e-25,6.630225107958784e-35,1.730607067933835e-24,2.775170483222926e-26,1.2861610110966184e-35,7.31540130146596e-32,1.0192483682218808e-28,4.3764545275817064e-32,1.0408514272355225e-37,4.377050258322997e-32,1.5389033691902527e-37,1.1906954722065192e-48,5.315888603957463e-47,1.775753451721214e-56,6.6682389590125764e-40
5.261738671458372e-16,0.11224537200001589,0.9,0.0,0.0,0.0,0.0,0.09999999999985856,3.622384024645831e-14,3.621986986839119e-14,2.5028610638708094e-14,2.5028610720910976e-14,2.167805510187248e-14,2.1678057668051365e-14,2.1677466897570505e-14,2.1677466904595557e-14,1.9329046281651104e-14,1.932907008198063e-14,1.7500858796446994e-14,1.7500858857015327e-14,3.9653771891411866e-18,4.855257029768734e-21,2.053519274156853e-21,4.450228460162994e-22,2.851376276781079e-19,1.0277012939348422e-27,4.237296445876293e-22,5.5826574642774415e-24,3.273892605337337e-23,9.997911828876447e-23,1.8243569765645512e-27,3.9800406784462897e-23,4.2178910389748448e-22,2.747011070432051e-23,1.92445897363328e-23,2.3893687952230648e-23,3.096415836911634e-32,2.6175485317004294e-19,2.379897864121464e-20,9.009678758256615e-29,1.3459927094456853e-23,1.135385204281109e-24,1.0079711626676819e-33,6.85483081753168e-24,2.154522785654855e-25,1.963736934338857e-34,1.4762050721332472e-31,4.098352862929475e-28,8.827364748180717e-32,8.377677803915447e-37,8.828565904838002e-32,7.383249553007737e-37,2.2346959036251297e-47,1.6316560271201594e-45,1.0978403515725414e-54,1.0308252624832364e-38
1.0541810927137852e-15,0.11224537200003185,0.9,0.0,0.0,0.0,0.0,0.09999999999971664,7.257389606942627e-14,7.255830103522734e-14,5.014442885524819e-14,5.014442918830027e-14,4.3431638357582614e-14,4.3431648651649264e-14,4.343046493122705e-14,4.3430464959432035e-14,3.872544115656524e-14,3.872553015139364e-14,3.506269610776323e-14,3.506269635290357e-14,1.557495401908725e-17,1.9469920409452838e-20,8.235507550878968e-21,1.7847343981251743e-21,5.713015332511752e-19,8.241057365797862e-27,1.6993128634826814e-21,4.393456338162629e-23,1.3129773623338954e-22,4.00952355128736e-22,1.4633451477179277e-26,1.5487607099134355e-22,8.450476399235017e-22,1.0678546671765736e-22,7.494520549119882e-23,9.325746520748331e-23,2.4188070681325723e-31,4.831179324022192e-19,8.898469303386951e-20,3.6134502680835805e-28,5.0061945817664876e-23,8.471783129688168e-24,1.465000492210728e-32,2.669179636467629e-23,1.6631996221858544e-24,2.9848684452341153e-33,2.799434917446308e-31,1.643622803403701e-27,1.6706581022451648e-31,6.722558825960375e-36,1.6708850694288938e-31,3.2649055530425964e-36,3.732519128597243e-46,4.757140874703495e-44,8.506930410832369e-53,1.5418910107207245e-37
