Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.312820114954908e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999938,1.592234648639411e-16,1.5922334755873586e-16,1.1001434676219044e-16,1.1001434676454299e-16,9.528684510336572e-17,9.528684517758808e-17,9.528424867793649e-17,9.528424867813951e-17,8.496166350041658e-17,8.496166424180466e-17,7.692578609577253e-17,7.692578609750793e-17,1.1716070845338997e-22,1.4047981718993943e-25,5.941001238443542e-26,1.2874888086281828e-26,1.2533102921722303e-21,2.318819783786589e-34,1.225905690380382e-26,1.2637070885968388e-30,9.47161585607122e-28,2.8925322690057365e-27,4.087150886502958e-34,1.1873504363454106e-27,1.853992819456666e-24,8.203845452851087e-28,5.736494676511927e-28,7.105842418911428e-28,7.063188755004303e-39,1.2544228962840228e-21,7.413874602265075e-25,2.6065264376199024e-33,4.218119791211976e-28,4.413182130239406e-31,3.9878473640748154e-42,2.0435778814778385e-28,1.9079421408726182e-31,1.9524147345242737e-42,6.743791754112961e-35,1.1856840943049687e-32,4.035057567037529e-35,1.859515806762122e-43,4.0356068924839555e-35,5.3122436336427384e-43,1.4723797535978938e-57,1.4996703697624517e-56,8.921299287422036e-68,3.283084052173322e-47,4.806190342909263e-60
6.475896321873743e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999826,4.458257016236158e-16,4.458249932123238e-16,3.0804017092830715e-16,3.0804017094251764e-16,2.668031660493949e-16,2.6680316649769866e-16,2.667958962932055e-16,2.6679589629443167e-16,2.3789265780116394e-16,2.3789266227659713e-16,2.1539220106409005e-16,2.1539220107457268e-16,7.075385225678389e-22,8.484974707581664e-25,3.5883646732084583e-25,7.776432202367225e-26,3.509268829552396e-21,2.749233904360455e-33,7.404469258625994e-26,1.5000546920585465e-29,5.720855977033929e-27,1.747089212278769e-26,4.84859645263649e-33,7.16993145261195e-27,5.191179884372245e-24,4.953931382953204e-27,3.464059881241643e-27,4.2910350584993335e-27,8.383718116459499e-38,3.509984566985504e-21,4.475427545257499e-24,1.574341972616262e-32,2.54617088737277e-27,4.2390280097695644e-30,6.844814813830836e-41,1.2340409075517487e-27,1.4325293910239623e-30,2.6936463997033517e-41,3.735475219893344e-34,7.161531929663951e-32,2.2350714810012193e-34,2.207617165776341e-42,2.2353757594846763e-34,7.820721315938549e-42,7.097388262549662e-56,9.116198842743848e-55,6.879194709245675e-66,6.004655476509882e-46,2.8983313033770777e-58
1.4802048735711414e-17,0.11224537200000047,0.9,0.0,0.0,0.0,0.0,0.09999999999999602,1.0190301751613e-15,1.0190267656076214e-15,7.040918192372361e-16,7.040918193056659e-16,6.098358069813365e-16,6.098358091397352e-16,6.098191915036766e-16,6.098191915095803e-16,5.437546464026489e-16,5.437546679239949e-16,4.923250309844327e-16,4.923250310349097e-16,3.405351584507925e-21,4.0851437106959064e-24,1.727643047922224e-24,3.7440171528702714e-25,8.021186009129796e-21,2.693006126528349e-32,3.564932081234323e-25,1.4723005226341945e-28,2.7543458908959315e-26,8.411479665259565e-26,4.7541722227368355e-32,3.4503184472627395e-26,1.1865553973777733e-23,2.383892205690084e-26,1.666998824298685e-26,2.065038886560771e-26,8.22758637805622e-37,8.011530116306582e-21,2.1521299984097625e-23,7.579778989131831e-32,1.2242719306574808e-26,3.640657217149894e-29,1.117991671945313e-39,5.938524381943869e-27,9.748385298991537e-30,3.4398300085797808e-40,1.5264046051555211e-33,3.447969346331773e-31,9.13303433984979e-34,2.1674516243258445e-41,9.134277693153833e-34,7.959865045111347e-41,2.6565170718962835e-54,4.108458825979604e-53,7.485237958790088e-64,1.0350641241005719e-44,1.2838517623235736e-56
3.1454353563386753e-17,0.11224537200000095,0.9,0.0,0.0,0.0,0.0,0.09999999999999154,2.1654391223101154e-15,2.165424241915578e-15,1.4961951157618764e-15,1.4961951160608334e-15,1.295901085004754e-15,1.2959010944311272e-15,1.2958657818443507e-15,1.295865781870134e-15,1.1554786236055793e-15,1.1554787173678238e-15,1.046190690759948e-15,1.0461906909804646e-15,1.4862042138847703e-20,1.7840839985666017e-23,7.545070413246096e-24,1.6351104742499884e-24,1.7045021258488165e-20,2.3744711803646583e-31,1.5568985059091955e-24,1.30141250371598e-27,1.2028952136699217e-25,3.6735116695305896e-25,4.197547868684397e-31,1.5053575909517442e-25,2.5214301990886062e-23,1.0400445476327498e-25,7.273229572927392e-26,9.010583741845703e-26,7.270814974664844e-36,1.6976472382684105e-20,9.37618778695274e-23,3.3102887790376815e-31,5.332712940908276e-26,2.990392726532263e-28,1.778311944310318e-38,2.5910077211172036e-26,6.759266784267629e-29,4.454536686688239e-39,5.075858042424636e-33,1.5058187998634012e-30,3.03706640502801e-33,1.917086416063853e-40,3.037479864391645e-33,6.597755744600138e-40,8.431353537585934e-53,1.5459768186940125e-51,6.1036603484366125e-62,1.7052421835495117e-43,4.674705573500547e-55
6.475896321873744e-17,0.11224537200000195,0.9,0.0,0.0,0.0,0.0,0.09999999999998259,4.458257016902382e-15,4.458194977784726e-15,3.080401708438286e-15,3.0804017096872583e-15,2.668031625689729e-15,2.6680316650436408e-15,2.66795896220462e-15,2.6679589623122687e-15,2.3789265780112825e-15,2.3789269675648202e-15,2.1539220100502995e-15,2.153922010971496e-15,6.196249374535624e-20,7.448152895373372e-23,3.1499178130034565e-23,6.826262848976963e-24,3.509269907661931e-20,1.98906538552323e-30,6.4997365016568884e-24,1.092538565937156e-26,5.021850726430807e-25,1.5336167281357264e-24,3.521468085735169e-30,6.272177554768906e-25,5.1911797378293006e-23,4.333116066770615e-25,3.030602221597606e-25,3.755085702374477e-25,6.100832372910948e-35,3.4755049315446675e-20,3.8955063657003084e-22,1.3819806638581705e-30,2.2146843966321333e-25,2.4102578695033926e-27,2.8099334734214655e-37,1.0796094469422254e-25,4.907129468848413e-28,6.111243763116932e-38,1.4152538750994975e-32,6.286497068871117e-30,8.467916220415511e-33,1.611426645750518e-39,8.469069016021361e-33,4.7106540666887553e-39,2.3591231837869673e-51,5.327253170630327e-50,4.3646795207890864e-60,2.752523708257123e-42,1.515688176503533e-53
1.313681825294388e-16,0.11224537200000398,0.9,0.0,0.0,0.0,0.0,0.09999999999996469,9.043892807272188e-15,9.043640037853235e-15,6.2488148922996224e-15,6.248814897409284e-15,5.412292645612273e-15,5.4122928063912064e-15,5.412145321640799e-15,5.412145322080645e-15,4.825822486822057e-15,4.82582406307411e-15,4.369384647588286e-15,4.369384651356412e-15,2.524563343529128e-19,3.042775540357833e-22,1.2868437486544342e-22,2.7887498762089816e-23,7.118811391789282e-20,1.6259668615722624e-29,2.655347696999229e-23,8.934801573987936e-26,2.0515898805038397e-24,6.265307737828906e-24,2.882317216630444e-29,2.5523163679623287e-24,1.0530678556588123e-22,1.7630158437421748e-24,1.2333627387167476e-24,1.5286628389146121e-24,4.984331078557873e-34,6.97171021972896e-20,1.57622914912402e-21,5.645846221613897e-30,8.954137609753793e-25,1.9203765196708863e-26,4.4188086951635624e-36,4.393607461866305e-25,3.6996590182820804e-27,8.864195927919976e-37,3.408016741869802e-32,2.5682391763640167e-29,2.0390725152346958e-32,1.3211449223651635e-38,2.0393501018157696e-32,2.9174985979857236e-38,5.793489328034791e-50,1.750327799272989e-48,2.920954641644979e-58,4.389676189916287e-41,4.469532693907435e-52
2.645866211508415e-16,0.11224537200000798,0.9,0.0,0.0,0.0,0.0,0.09999999999992888,1.8215164392806027e-14,1.821414811972295e-14,1.2585641254056363e-14,1.2585641274768008e-14,1.0900814439668006e-14,1.0900815089605078e-14,1.0900518035375377e-14,1.0900518037153829e-14,9.719614304441079e-15,9.719620556243379e-15,8.800309918493391e-15,8.800309933762651e-15,1.0150071367301292e-18,1.2299080679788114e-21,5.201624484020444e-22,1.1272562913469015e-22,1.4337941759735822e-19,1.3140558186091032e-28,1.073328581453614e-22,7.199480211409169e-25,8.292854316441355e-24,2.5325238147398946e-23,2.331470562865756e-28,1.02363260994126e-23,2.120967515923627e-22,7.068813550986366e-24,4.947558833998983e-24,6.13577360626253e-24,4.008382162565871e-33,1.3733917151710608e-19,6.251622661835099e-21,2.282148206131834e-29,3.545909281474378e-24,1.5112096996879749e-25,6.873875997461359e-35,1.7624098934229068e-24,2.8511078380818177e-26,1.3331772758860585e-35,7.386318523208257e-32,1.0381233380094836e-28,4.4188688591042e-32,1.0698974109397868e-37,4.419470362039913e-32,1.5720579554466834e-37,1.2386226267655998e-48,5.562733123941579e-47,1.8753882942811063e-56,6.9145281357611086e-40,1.1879316848581084e-50
5.310234983936469e-16,0.11224537200001604,0.9,0.0,0.0,0.0,0.0,0.09999999999985726,3.6557707583464144e-14,3.6553664461803253e-14,2.5259293953706132e-14,2.525929403743943e-14,2.1877857044624184e-14,2.1877859658331002e-14,2.1877263442290695e-14,2.187726344944592e-14,1.950719793966902e-14,1.9507222164636803e-14,1.7662160443620127e-14,1.766216050531547e-14,4.038028115739032e-18,4.94516483259592e-21,2.0915473546108817e-21,4.532639952009242e-22,2.877657831535727e-19,1.0563676035708662e-27,4.315764123242219e-22,5.7374096818265525e-24,3.3345202461560146e-23,1.0183056326809607e-22,1.875254434140966e-27,4.052604901898295e-23,4.256766422538072e-22,2.79706755746987e-23,1.9595601933976942e-23,2.4330007703244135e-23,3.1820267027804054e-32,2.6396213987022514e-19,2.422358013260714e-20,9.176527303771534e-29,1.36993588528706e-23,1.166237003734101e-24,1.0446296176078296e-33,6.979851465816287e-24,2.2136279514475584e-25,2.035788587228529e-34,1.4893247017722647e-31,4.174248286364147e-28,8.905713227996214e-32,8.61146515010196e-37,8.906925034473864e-32,7.532842363606998e-37,2.3210372453236368e-47,1.7066539003366145e-45,1.1589444480128801e-54,1.0686145537141169e-38,2.7988929986671646e-49
1.0638972528792578e-15,0.11224537200003212,0.9,0.0,0.0,0.0,0.0,0.09999999999971403,7.324279404627677e-14,7.322691624898833e-14,5.0606599257550955e-14,5.060659959683227e-14,4.3831938321932563e-14,4.383194880667655e-14,4.383075417388511e-14,4.383075420261298e-14,3.9082365210084475e-14,3.9082455739658214e-14,3.538586142713972e-14,3.538586167686047e-14,1.5857344804922455e-17,1.9830440762854225e-20,8.388016514628817e-21,1.8177849177277746e-21,5.765679019781922e-19,8.470978125716077e-27,1.7307810215602147e-21,4.514456738494053e-23,1.3372917579182214e-22,4.0837723686379554e-22,1.5041753241026266e-26,1.5765768479842538e-22,8.528362580613821e-22,1.087013634579791e-22,7.629230728141878e-23,9.49375119991798e-23,2.485091032641969e-31,4.86856404513404e-19,9.051916765920639e-20,3.6803701377138707e-28,5.092058619382546e-23,8.697100674600346e-24,1.5171100729615587e-32,2.71715069727392e-23,1.7085815052247567e-24,3.0938601690610796e-33,2.821946171748495e-31,1.674060262765416e-27,1.6840060919716118e-31,6.910158447722537e-36,1.684234863080178e-31,3.328396839917774e-36,3.871236421265746e-46,4.971748968058268e-44,8.973228960190119e-53,1.597550715816436e-37,5.832369136950633e-48
