Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3337510403633727e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999938,1.6066443056846128e-16,1.606643111306113e-16,1.1100997200386529e-16,1.1100997200626058e-16,9.61491870696975e-17,9.614918714526932e-17,9.614656714738901e-17,9.614656714759566e-17,8.57305630053143e-17,8.573056376017814e-17,7.762196124589354e-17,7.762196124766051e-17,1.192907259233757e-22,1.430339946965753e-25,6.049019441596867e-26,1.3108976957390283e-26,1.264652697975065e-21,2.382312066168171e-34,1.2481948829949129e-26,1.298326079042459e-30,9.643827053453809e-28,2.9451237604102984e-27,4.199088934686097e-34,1.2089359946239295e-27,1.870771376982639e-24,8.352987453600733e-28,5.8407822076345965e-28,7.235025430031058e-28,7.25667908596983e-39,1.2657686048731983e-21,7.548631970823947e-25,2.6539178274434966e-33,4.2947880051244235e-28,4.518294997672446e-31,4.11580526521662e-42,2.0807294160644666e-28,1.947058884503886e-31,2.0092325508713764e-42,6.860682974300837e-35,1.2072419869287932e-32,4.104997863216082e-35,1.9104596988866705e-43,4.1055567102062343e-35,5.456272680769426e-43,1.5344330902539334e-57,1.5687563110309728e-56,9.416740255007544e-68,3.391699768041459e-47,5.027151310835978e-60,2.8771033803078844e-60
6.5345029130174435e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999826,4.498604055963555e-16,4.498596843069615e-16,3.108279216048908e-16,3.108279216193597e-16,2.6921772355075965e-16,2.6921772400721434e-16,2.692103880075813e-16,2.692103880088297e-16,2.4004557641487753e-16,2.400455809716344e-16,2.1734149148435475e-16,2.17341491495028e-16,7.204007558906232e-22,8.639246857762298e-25,3.653607665863508e-25,7.917821874989604e-26,3.5410275661145124e-21,2.8244857401710802e-33,7.539095951577667e-26,1.5411463471847496e-29,5.8248715402521055e-27,1.7788544654654496e-26,4.9813630954373255e-33,7.300262615153923e-27,5.2381598452612164e-24,5.043980522697464e-27,3.527028106137619e-27,4.369037116429077e-27,8.613367483101836e-38,3.5417089595443786e-21,4.556751100122797e-24,1.6029663722272493e-32,2.5924354075875585e-27,4.345597155897226e-30,7.074118638177637e-41,1.256472761546575e-27,1.4638287853504631e-30,2.77488479930983e-41,3.797592613709318e-34,7.291741601113543e-32,2.2722385864136845e-34,2.2680977545061758e-42,2.272547924755796e-34,8.030940544110488e-42,7.404282656008842e-56,9.536092145973064e-55,7.261181627007212e-66,6.2108825524225885e-46,3.0313475385098867e-58,1.7461617267333728e-58
1.4936006658325584e-17,0.11224537200000047,0.9,0.0,0.0,0.0,0.0,0.099999999999996,1.0282523556708125e-15,1.028248884145886e-15,7.104638207832138e-16,7.104638208528878e-16,6.153547955353106e-16,6.15354797732953e-16,6.153380297075341e-16,6.153380297135449e-16,5.486756032339939e-16,5.486756251461687e-16,4.967805519446885e-16,4.967805519960837e-16,3.467246429040453e-21,4.159418935863116e-24,1.7590547383248735e-24,3.81209018829792e-25,8.09377741008127e-21,2.7666859982340426e-32,3.6297490077161504e-25,1.5126276061304108e-28,2.8044249070934307e-26,8.564415607938956e-26,4.884320451156932e-32,3.513020878828566e-26,1.1972936740657685e-23,2.4272137877640393e-26,1.697293491842071e-26,2.102568605369983e-26,8.452925512880483e-37,8.083838068418053e-21,2.1912127565168008e-23,7.717593154720612e-32,1.2465025319049274e-26,3.735739376129398e-29,1.1568488197992806e-39,6.0464460206171806e-27,9.977160479354778e-30,3.548756023313684e-40,1.54996586920289e-33,3.5106596980844006e-31,9.274009886630899e-34,2.2268318249848928e-41,9.27527243204803e-34,8.170047426177851e-41,2.772806059147452e-54,4.2976286180429875e-53,7.900762408443689e-64,1.0716450106392492e-44,1.3425547551804767e-56,7.846860831954059e-57
3.1739014148941866e-17,0.11224537200000097,0.9,0.0,0.0,0.0,0.0,0.09999999999999148,2.1850362558945103e-15,2.185021105129648e-15,1.509735619044947e-15,1.5097356193493412e-15,1.3076289355941198e-15,1.307628945191883e-15,1.3075933130257117e-15,1.3075933130519638e-15,1.1659356568721866e-15,1.1659357523350744e-15,1.0556586727990013e-15,1.0556586730235288e-15,1.513207876947846e-20,1.816521787833298e-23,7.68225349948267e-24,1.6648397523137183e-24,1.719927801259365e-20,2.4394156592459385e-31,1.5852057334060846e-24,1.3370512620172885e-27,1.2247660357361123e-25,3.740302745478577e-25,4.312437912182209e-31,1.532700686230352e-25,2.5442490366807935e-23,1.058935104205243e-25,7.405342956045188e-26,9.174267344159701e-26,7.469890490165347e-36,1.7129256655669154e-20,9.546251174806223e-23,3.370475851569654e-31,5.429417097330243e-26,3.0701895635833513e-28,1.8415771643385223e-38,2.638071455462315e-26,6.927659406983563e-29,4.602647141219226e-39,5.14592224336397e-33,1.5331973234982919e-30,3.0789882025089013e-33,1.969607531085805e-40,3.079407368993066e-33,6.766552565251855e-40,8.798670904529663e-53,1.6171098532259724e-51,6.4423024655847015e-62,1.7665240802711706e-43,4.88697904976298e-55,2.9400081311468653e-55
6.534502913017443e-17,0.11224537200000197,0.9,0.0,0.0,0.0,0.0,0.09999999999998245,4.498604056641915e-15,4.498540891068803e-15,3.1082792151887624e-15,3.1082792164604594e-15,2.6921772000705723e-15,2.6921772401400216e-15,2.6921038793351506e-15,2.6921038794447565e-15,2.400455764148411e-15,2.400456160750384e-15,2.1734149142422082e-15,2.1734149151801646e-15,6.308755592383742e-20,7.583573005040843e-23,3.207189035724022e-23,6.950376691335299e-24,3.5410286737345486e-20,2.0434714184434913e-30,6.617913377488192e-24,1.1224446177033433e-26,5.113157103270541e-25,1.5615006305563811e-24,3.617856252167827e-30,6.385990676137367e-25,5.238159696053856e-23,4.4117380168553565e-25,3.085597583483555e-25,3.8232383490467556e-25,6.267774278663231e-35,3.506605811932052e-20,3.9659899395461736e-22,1.40710759145399e-30,2.2547397512897334e-25,2.4752441701233436e-27,2.911129771176068e-37,1.0992006048302087e-25,5.034454717214605e-28,6.322433548882203e-38,1.432283468049517e-32,6.400797015586392e-30,8.569808436152484e-33,1.655573807558375e-39,8.570975102877218e-33,4.8252657681783375e-39,2.4597164008741966e-51,5.572027740048605e-50,4.606573505101287e-60,2.8522657794569983e-42,1.5836636548263435e-53,1.0072732407623596e-53
1.3255705909263958e-16,0.11224537200000402,0.9,0.0,0.0,0.0,0.0,0.09999999999996438,9.125739659343671e-15,9.125482306585569e-15,6.305366405957793e-15,6.305366411160489e-15,5.461273666458847e-15,5.46127383016113e-15,5.461125010646317e-15,5.461125011094161e-15,4.8694959787002174e-15,4.869497583334752e-15,4.408927396066946e-15,4.408927399903672e-15,2.570339801192447e-19,3.0980980368172015e-22,1.3102408993229442e-22,2.8394543967657443e-23,7.183236501042505e-20,1.6704580302918622e-29,2.703626622464236e-23,9.179165852456065e-26,2.0888915146912233e-24,6.379222111680595e-24,2.961227647692372e-29,2.5985378123271548e-24,1.06259807513734e-22,1.7949388892149725e-24,1.2557008288144233e-24,1.5563576406442744e-24,5.120559660995865e-34,7.033392200305062e-20,1.6046110136147192e-21,5.7484980764017946e-30,9.115238511036387e-25,1.9723084579401288e-26,4.5786143985689416e-36,4.473181075527022e-25,3.797941325322177e-27,9.17823794459979e-37,3.443964135046165e-32,2.614934434123125e-29,2.0605791108643286e-32,1.3573394328701024e-38,2.0608596250661904e-32,2.9838298470477176e-38,6.032004615571756e-50,1.830529952748649e-48,3.082484589547862e-58,4.5491573419104755e-41,4.6658330730741516e-52,3.284773428811462e-52
2.6698111901756983e-16,0.11224537200000806,0.9,0.0,0.0,0.0,0.0,0.09999999999992824,1.8380010869629534e-14,1.8378976218815817e-14,1.2699540781421451e-14,1.2699540802510724e-14,1.0999466348977144e-14,1.0999467010732041e-14,1.0999167268037447e-14,1.0999167269848246e-14,9.807576407801257e-15,9.807582771110689e-15,8.879952355469722e-15,8.879952371017299e-15,1.0333618426945323e-18,1.2522694753078683e-21,5.29619940663044e-22,1.1477518419403537e-22,1.446770084843991e-19,1.3500281851355245e-28,1.09284354748423e-22,7.396051098260871e-25,8.443633485803085e-24,2.5785694493821246e-23,2.395316155168391e-28,1.0420970327615935e-23,2.1401621808327695e-22,7.196286295673507e-24,5.036822409167487e-24,6.246541365435099e-24,4.1176793413321424e-33,1.3852715991523466e-19,6.363124952701503e-21,2.32364197934117e-29,3.6090543931045886e-24,1.5519458974815291e-25,7.121828115657226e-35,1.7942061193088403e-24,2.927705152023062e-26,1.3810235200558138e-35,7.456543294658554e-32,1.056998307797242e-28,4.4608686924781925e-32,1.0992086639459803e-37,4.4614759111605553e-32,1.6052798121000131e-37,1.2875360101216086e-48,5.816256708813335e-47,1.9786583599993688e-56,7.165214855670341e-40,1.2385062177773192e-50,1.0329138563686331e-50
5.358292388674304e-16,0.11224537200001618,0.9,0.0,0.0,0.0,0.0,0.09999999999985598,3.688855331015535e-14,3.688443746584492e-14,2.5487889508051173e-14,2.5487889593315103e-14,2.2075850712982948e-14,2.2075853374217856e-14,2.2075251761892113e-14,2.207525176917751e-14,1.9683737265993046e-14,1.968376191518188e-14,1.7822002257288463e-14,1.782200232011096e-14,4.11065809652549e-18,5.035072518462041e-21,2.129575433592021e-21,4.615051439883502e-22,2.903701557267793e-19,1.0852954718672359e-27,4.39423177983587e-22,5.89353785965634e-24,3.3951478869741494e-23,1.0368200769973166e-22,1.9266164701682614e-27,4.1251387713170733e-23,4.295289970783507e-22,2.847102387558128e-23,1.994647112737146e-23,2.4766163249963334e-23,3.2683908179305726e-32,2.661460246204308e-19,2.46477641114883e-20,9.343375944679976e-29,1.3938537072444172e-23,1.1973423419441775e-24,1.0819170720510695e-33,7.10482096204154e-24,2.2732446368799966e-25,2.1091134926054265e-34,1.5023064290452173e-31,4.250143709800117e-28,8.983235170832589e-32,8.84738761440776e-37,8.984457514455731e-32,7.682588066265009e-37,2.409022858836004e-47,1.7836401825608527e-45,1.2222469796131606e-54,1.1070652101009363e-38,2.9135552731077504e-49,3.1177786491320117e-49
1.0735254785671516e-15,0.1122453720000324,0.9,0.0,0.0,0.0,0.0,0.09999999999971144,7.390563827424069e-14,7.388947787336675e-14,5.106458686412035e-14,5.1064587209632515e-14,4.422861543688901e-14,4.422862611231153e-14,4.422742066586964e-14,4.422742069512043e-14,3.943605898233547e-14,3.943615104384496e-14,3.570610199297873e-14,3.570610224728094e-14,1.613957607486342e-17,2.019096022372441e-20,8.54052546655975e-21,1.850835434143132e-21,5.817866297599178e-19,8.702997691642472e-27,1.7622491638063015e-21,4.6365050211839805e-23,1.3616061535021948e-22,4.1580211420417736e-22,1.545378273387666e-26,1.604370402452351e-22,8.605543865450477e-22,1.1061565303369338e-22,7.763834303376294e-23,9.661632788656833e-23,2.5519373290655295e-31,4.905499663572111e-19,9.205083063224812e-20,3.747290155165351e-28,5.177754144558117e-23,8.924103343366637e-24,1.5700630101822037e-32,2.7650836382176716e-23,1.754344586179124e-24,3.204746132905703e-33,2.8441937100791736e-31,1.7044977221282294e-27,1.6971952104827947e-31,7.099471367308196e-36,1.6974257637659449e-31,3.391919562247193e-36,4.012397442648544e-46,5.191837999727637e-44,9.455864903602722e-53,1.6541469959281966e-37,6.062435882625591e-48,8.867457965635196e-48
