Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3544959020253604e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999938,1.6209258692641447e-16,1.6209246535592449e-16,1.1199674671652893e-16,1.11996746718967e-16,9.700386331776215e-17,9.700386339468347e-17,9.700122010745968e-17,9.700122010767005e-17,8.649262744106175e-17,8.649262820940125e-17,7.831194780405732e-17,7.831194780585581e-17,1.2142073866787458e-22,1.455881721768751e-25,6.157037644718671e-26,1.3343065828413733e-26,1.2758942763914556e-21,2.4463726189708974e-34,1.270484075562622e-26,1.3332554949896558e-30,9.816038250836385e-28,2.997715251697646e-27,4.312029758921978e-34,1.2305214827427514e-27,1.8874007828957037e-24,8.502128952427991e-28,5.945069408894257e-28,7.36420806457982e-28,7.451904276505296e-39,1.2770133370315647e-21,7.683388263798289e-25,2.701309217268831e-33,4.371455556054271e-28,4.624070847488911e-31,4.2455785268904074e-42,2.117880832621867e-28,1.9862936571396266e-31,2.0666788220088198e-42,6.977431094265261e-35,1.2287998795526194e-32,4.1748525372339516e-35,1.9618605021506253e-43,4.175420894111338e-35,5.601540539765585e-43,1.5979597277971647e-57,1.6397170843135733e-56,9.930190461290683e-68,3.501956225562214e-47,5.254084600356739e-60,3.0071933339986104e-60,3.183205340588034e-71
6.592588525671009e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999823,4.538592433987076e-16,4.538585092312678e-16,3.1359089080024296e-16,3.135908908149703e-16,2.716108170409765e-16,2.716108175055822e-16,2.7160341629568796e-16,2.716034162969587e-16,2.4217935683497033e-16,2.4217936147304967e-16,2.1927345384713928e-16,2.1927345385800308e-16,7.332629331343349e-22,8.793519004817499e-25,3.718850658481136e-25,8.059211547511071e-26,3.572503985997404e-21,2.9004103013756157e-33,7.673722643973693e-26,1.5826063952365e-29,5.928887103470269e-27,1.8106197185129752e-26,5.115318308559289e-33,7.430592945236443e-27,5.284722181634046e-24,5.134029066912387e-27,3.589995939638234e-27,4.44703872752325e-27,8.845075351983881e-38,3.573150619070963e-21,4.638073379846969e-24,1.6315907718421252e-32,2.638699141906589e-27,4.4529521975242314e-30,7.306969924868022e-41,1.2789044754954532e-27,1.4952682253636891e-30,2.857117523324754e-41,3.8595722924005695e-34,7.421951272563164e-32,2.309323291697529e-34,2.329120788140709e-42,2.309637678680442e-34,8.24290498838414e-42,7.718742339745055e-56,9.967376789998515e-55,7.657050791496355e-66,6.420448335422232e-46,3.1679466600160218e-58,1.8250825536680095e-58,2.4358476150934445e-69
1.5068773772962308e-17,0.11224537200000047,0.9,0.0,0.0,0.0,0.0,0.09999999999999595,1.0373925563622963e-15,1.0373890228666723e-15,7.167791789435193e-16,7.167791790144377e-16,6.208247234923753e-16,6.208247257292615e-16,6.208078086513478e-16,6.208078086574661e-16,5.535528156227774e-16,5.535528379257684e-16,5.011964659164183e-16,5.011964659687312e-16,3.5291407234489546e-21,4.233694157964248e-24,1.7904664286907835e-24,3.8801632236264926e-25,8.165723515793671e-21,2.841023670567149e-32,3.6945659336528897e-25,1.5533160749685444e-28,2.854503923290915e-26,8.717351549252125e-26,5.015632939287317e-32,3.5757224940887663e-26,1.207936493721503e-23,2.4705347858903776e-26,1.7275877755723833e-26,2.1400978859586758e-26,8.680283321393334e-37,8.155499783165523e-21,2.230294266468779e-23,7.855407320386162e-32,1.2687323640828052e-26,3.831590604425199e-29,1.1963478351903373e-39,6.154366285968618e-27,1.0207308979030496e-29,3.6591831843451403e-40,1.5734367969097787e-33,3.573350049837058e-31,9.414444915941795e-34,2.2867446012680125e-41,9.415726579886553e-34,8.381848253625045e-41,2.891997033868906e-54,4.491926840389333e-53,8.331380672322342e-64,1.1088473283431998e-44,1.402827415753277e-56,8.201250626097705e-57,2.60666538651068e-67
3.20211442675449e-17,0.11224537200000097,0.9,0.0,0.0,0.0,0.0,0.0999999999999914,2.204459182365595e-15,2.2044437612352667e-15,1.5231557551334645e-15,1.5231557554432963e-15,1.3192525324150533e-15,1.3192525421842068e-15,1.3192165932794807e-15,1.3192165933062016e-15,1.1762997331983504e-15,1.1762998303617724e-15,1.0650424899874368e-15,1.065042490215975e-15,1.5402110542557915e-20,1.8489595743925088e-23,7.819436585394287e-24,1.6945690302898166e-24,1.7352163514558526e-20,2.504939637381936e-31,1.613512960421651e-24,1.3730091203070157e-27,1.2466368578022886e-25,3.8070938202181582e-25,4.428355410988425e-31,1.5600430612844973e-25,2.5668650280794264e-23,1.077825145607377e-25,7.537452952564253e-26,9.337947079076295e-26,7.67074728312283e-36,1.7280667757460957e-20,9.716303589804081e-23,3.430662924238069e-31,5.526114496080972e-26,3.150662167536482e-28,1.9059275402593865e-38,2.685133978061139e-26,7.097263773725132e-29,4.753015956138667e-39,5.2155748156536694e-33,1.5605758471332097e-30,3.120663704961567e-33,2.022599703215991e-40,3.1210885450357896e-33,6.936477888626213e-40,9.174997546273261e-53,1.6901686282537396e-51,6.793233816267772e-62,1.828874481788407e-43,5.1048516288827864e-55,3.072638164378169e-55,2.0588567050144694e-65
6.59258852567101e-17,0.11224537200000201,0.9,0.0,0.0,0.0,0.0,0.09999999999998228,4.5385924346775734e-15,4.538528142689698e-15,3.135908907126925e-15,3.1359089084213465e-15,2.7161081343399366e-15,2.7161081751249246e-15,2.7160341622029916e-15,2.716034162314555e-15,2.4217935683493334e-15,2.4217939719988303e-15,2.192734537859315e-15,2.1927345388140313e-15,6.421257740970331e-20,7.718993092024445e-23,3.264460258171443e-23,7.074490532957034e-24,3.572505123391703e-20,2.0983632754246105e-30,6.736090249287112e-24,1.1526179852765446e-26,5.204463480110159e-25,1.5893845319613007e-24,3.715106774223395e-30,6.49979777352283e-25,5.28472202976227e-23,4.49035565879135e-25,3.140590112430018e-25,3.8913877593630517e-25,6.436206396174736e-35,3.5374240491333116e-20,4.0364644012614095e-22,1.4322345192794061e-30,2.2947894998498103e-25,2.5407910803117386e-27,3.0140926670058136e-37,1.1187907490961817e-25,5.162793585699177e-28,6.537076566079666e-38,1.449181020294426e-32,6.51509696230189e-30,8.670910578857492e-33,1.7001169212489745e-39,8.672091009139338e-33,4.9404746222598945e-39,2.5626654594487963e-51,5.823410569833632e-50,4.857228954563332e-60,2.953767217637463e-42,1.6533887259661702e-53,1.0526301076915793e-53,1.387739002476773e-63
1.3373536723504048e-16,0.11224537200000405,0.9,0.0,0.0,0.0,0.0,0.09999999999996406,9.206858940530152e-15,9.206597004764257e-15,6.361415209568127e-15,6.361415214863861e-15,5.509819274507848e-15,5.509819441133487e-15,5.509669298718949e-15,5.509669299174791e-15,4.912781238650645e-15,4.9127828716603735e-15,4.448118632522438e-15,4.448118636427764e-15,2.6161129451093406e-19,3.153420514799772e-22,1.3336380497675138e-22,2.890158916718598e-23,7.247088912916916e-20,1.7153470518673317e-29,2.7519055446451314e-23,9.425706979109483e-26,2.126193148878513e-24,6.493136477204731e-24,3.0408446306226774e-29,2.644754366468383e-24,1.0720435764997364e-22,1.826858438583429e-24,1.278036618545484e-24,1.5840498124553855e-24,5.257998543424372e-34,7.094501363416382e-20,1.6329855853737565e-21,5.851149934943521e-30,9.27629463384319e-25,2.0246881808204026e-26,4.741218698815474e-36,4.552746458854075e-25,3.897046664193051e-27,9.497626679700427e-37,3.4795904174165036e-32,2.66162969188242e-29,2.0818935522787875e-32,1.3938585686508437e-38,2.0821769679396545e-32,3.050392405387828e-38,6.275731289149316e-50,1.912885501567297e-48,3.2498430894898945e-58,4.711456078447659e-41,4.8669831732294146e-52,3.4321803746876165e-52,8.35890985671217e-62
2.6935433119170124e-16,0.11224537200000814,0.9,0.0,0.0,0.0,0.0,0.0999999999999276,1.854339195720582e-14,1.854233893130891e-14,1.2812427808267656e-14,1.281242782973458e-14,1.109724130011653e-14,1.109724197368927e-14,1.1096939566426241e-14,1.1096939568269381e-14,9.894756579250645e-15,9.894763054010938e-15,8.95888681752615e-15,8.958886833352057e-15,1.0517139010141158e-18,1.2746308678669337e-21,5.390774327426912e-22,1.1682473920447464e-22,1.4596306489241226e-19,1.386322628826902e-28,1.112358510890264e-22,7.594361261148087e-25,8.594412655164086e-24,2.624615077280577e-23,2.459733810032503e-28,1.0605575725044547e-23,2.159186216296747e-22,7.323731298702252e-24,5.126067708739918e-24,6.3572881997346265e-24,4.2279384343375757e-33,1.397036529108013e-19,6.474570930139106e-21,2.36513575858021e-29,3.67216506073053e-24,1.5930265352048316e-25,7.37407753907766e-35,1.8259958070336367e-24,3.0049562808581946e-26,1.429699280355863e-35,7.52609400902565e-32,1.075873277585155e-28,4.502465034667415e-32,1.1287828069168794e-37,4.503077914147289e-32,1.6385673241326294e-37,1.3374367441057103e-48,6.076514690760883e-47,2.0856273250330237e-56,7.420296260701545e-40,1.290257486840008e-50,1.0789585738747882e-50,4.506010648698489e-60
5.405922591050228e-16,0.11224537200001632,0.9,0.0,0.0,0.0,0.0,0.09999999999985469,3.721645801087508e-14,3.721226946466162e-14,2.5714452980935234e-14,2.5714453067730002e-14,2.2272084332427588e-14,2.2272087041190747e-14,2.2271480080539475e-14,2.2271480087955042e-14,1.9858707260440177e-14,1.9858732333437272e-14,1.7980423170243427e-14,1.7980423234193207e-14,4.1832673292819424e-18,5.124980088469432e-21,2.1676035111134848e-21,4.697462923821402e-22,2.929513796956745e-19,1.1144825526397022e-27,4.472699415853239e-22,6.051029005221413e-24,3.4557755277917504e-23,1.055334515885842e-22,1.9784389172685247e-27,4.1976425798126686e-23,4.33347106692574e-22,2.897115770336051e-23,2.0297198694853286e-23,2.5202156166664663e-23,3.355500932273873e-32,2.68307138248368e-19,2.5071534999417338e-20,9.51022468095116e-29,1.4177464470050563e-23,1.2286985020392507e-24,1.1198324630560697e-33,7.229739799379972e-24,2.333367910236046e-25,2.1837106899741425e-34,1.5151539722117074e-31,4.326039133237372e-28,9.059952837730742e-32,9.085426045856897e-37,9.06118560885644e-32,7.832482689252478e-37,2.4986522329638287e-47,1.862629956023324e-45,1.2877851139482873e-54,1.1461764431454469e-38,3.0307004428317458e-49,3.2550417657578848e-49,2.1472488051431716e-58
1.0830681149316657e-15,0.11224537200003268,0.9,0.0,0.0,0.0,0.0,0.09999999999970888,7.456259020278606e-14,7.454614735625201e-14,5.151850322734459e-14,5.151850357908917e-14,4.4621766321442594e-14,4.462177718754487e-14,4.4620561023538546e-14,4.4620561053312246e-14,3.9786608622777354e-14,3.9786702213446753e-14,3.602349580651741e-14,3.602349606540217e-14,1.6421649407754894e-17,2.0551478800864713e-20,8.693034406777786e-21,1.8838859473998357e-21,5.869589873246184e-19,8.937097238174542e-27,1.7937172903774396e-21,4.759590814573139e-23,1.3859205490858226e-22,4.232269871893042e-22,1.586950651639577e-26,1.6321416060606305e-22,8.682039052868287e-22,1.1252835207972555e-22,7.898332369842245e-23,9.829392539383416e-23,2.6193401954387367e-31,4.94199856882417e-19,9.357971571616577e-20,3.8142103203448584e-28,5.2632832178167106e-23,9.152770530758814e-24,1.623856653858888e-32,2.812978851068032e-23,1.800484947364821e-24,3.317523876745739e-33,2.866184832509765e-31,1.7349351814921328e-27,1.7102298363626893e-31,7.29048221726525e-36,1.7104621506673558e-31,3.455472884563381e-36,4.155997837284482e-46,5.417442788807626e-44,9.95509614595869e-53,1.7116778289427096e-37,6.297159835043363e-48,9.249665573581759e-48,1.1974344188012102e-56
