Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3750595754446474e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999937,1.6350826958630163e-16,1.635081458831763e-16,1.1297490281418086e-16,1.129749028166617e-16,9.785107471548302e-17,9.785107479375385e-17,9.784840842059839e-17,9.784840842081248e-17,8.72480359097467e-17,8.724803669156172e-17,7.899590793244769e-17,7.899590793427773e-17,1.2355074672854347e-22,1.4814234963107118e-25,6.265055847809233e-26,1.357715469935293e-26,1.287037669442288e-21,2.5109964165163065e-34,1.2927732680839234e-26,1.3684925999340566e-30,9.988249448218948e-28,3.0503067428688144e-27,4.425964504914467e-34,1.2521069013204856e-27,1.903884945476038e-24,8.651269953758473e-28,6.0493562831993105e-28,7.4933903258777655e-28,7.6488490305845e-39,1.288159738687342e-21,7.818143490680603e-25,2.7487006070959026e-33,4.448122449853401e-28,4.730503827806362e-31,4.377162854936862e-42,2.1550321321907097e-28,2.025645418117483e-31,2.1247500948789567e-42,7.09403768245317e-35,1.2503577721764496e-32,4.244622527550313e-35,2.0137141905127388e-43,4.2452003827862005e-35,5.748035401657285e-43,1.6629688157808378e-57,1.7125693302170602e-56,1.0461971284502277e-67,3.613850652831515e-47,5.48704237871822e-60,3.1407481575171764e-60,3.353390723971608e-71,1.9187054047465298e-71
6.650166811245013e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999822,4.578231548464749e-16,4.578224078010447e-16,3.1632972787356257e-16,3.1632972788854827e-16,2.739830089502308e-16,2.7398300942298756e-16,2.739755435723851e-16,2.739755435736782e-16,2.4429450054728823e-16,2.442945052666887e-16,2.2118854220655826e-16,2.2118854221761266e-16,7.461250547935229e-22,8.947791148774835e-25,3.7840936510616757e-25,8.200601219932513e-26,3.603705486859523e-21,2.9770016293031333e-33,7.808349335818973e-26,1.6244315874382234e-29,6.0329026666884154e-27,1.842384971422573e-26,5.250451587995484e-33,7.560922450203623e-27,5.330877836675229e-24,5.22407702085207e-27,3.652963385196337e-27,4.5250398957234156e-27,9.078823563675447e-38,3.604316954155665e-21,4.719394395699469e-24,1.660215171460889e-32,2.6849620972771847e-27,4.561086187331816e-30,7.543363518119685e-41,1.3013360506338592e-27,1.5268464755901545e-30,2.9403404685087517e-41,3.921415987440175e-34,7.552160944012827e-32,2.3463266328566623e-34,2.390681486963767e-42,2.3466460574035653e-34,8.456596981585235e-42,8.040818686320753e-56,1.041015375502781e-54,8.067049803158019e-66,6.6333494928098715e-46,3.308159534885092e-58,1.9061037224915007e-58,2.565894859895341e-69,1.4775160700835777e-69
1.5200381282845744e-17,0.11224537200000048,0.9,0.0,0.0,0.0,0.0,0.09999999999999591,1.0464529253861572e-15,1.0464493299203809e-15,7.230393779677503e-16,7.230393780399132e-16,6.262468764072396e-16,6.262468786833698e-16,6.26229813854797e-16,6.262298138610229e-16,5.583874298223607e-16,5.583874525161559e-16,5.055738107375981e-16,5.055738107908291e-16,3.5910344725889286e-21,4.307969377026364e-24,1.821878119020278e-24,3.948236258856863e-25,8.237041235200367e-21,2.916013312189523e-32,3.759382859049356e-25,1.5943627394892707e-28,2.904582939488384e-26,8.870287489211112e-26,5.14809939314946e-32,3.6384233002538024e-26,1.2184863576442896e-23,2.5138552052275802e-26,1.7578816788796372e-26,2.1776267321966942e-26,8.90964197460906e-37,8.226532194385032e-21,2.2693745393299023e-23,7.993221486128477e-32,1.2909614340118854e-26,3.9282040812684474e-29,1.2364881879205111e-39,6.262285190128117e-27,1.0438818668102891e-29,3.7711074473787515e-40,1.5968187720734886e-33,3.636040401589745e-31,9.554347707555899e-34,2.347185260421521e-41,9.555648417570016e-34,8.59524920375036e-41,3.014109488555319e-54,4.691398828197024e-53,8.777361637933042e-64,1.146670732589383e-44,1.4646828726968542e-56,8.565058845372262e-57,2.7454171437836857e-67,1.603170029133643e-67
3.230081022604721e-17,0.11224537200000101,0.9,0.0,0.0,0.0,0.0,0.09999999999999132,2.2237124665429807e-15,2.2236967750519994e-15,1.5364586780578232e-15,1.5364586783730927e-15,1.3307746072713115e-15,1.3307746172118548e-15,1.3307383543349744e-15,1.3307383543621644e-15,1.1865732883724645e-15,1.1865733872363117e-15,1.0743443477309536e-15,1.0743443479635027e-15,1.5672137501032107e-20,1.8813973582681687e-23,7.956619670983813e-24,1.7242983081790554e-24,1.7503713695864067e-20,2.571037983548385e-31,1.6418201869601502e-24,1.4092832573885703e-27,1.2685076798684508e-25,3.8738848937599823e-25,4.5452912867202865e-31,1.5873847224916697e-25,2.5892834885455447e-23,1.0967146764017069e-25,7.66955959246851e-26,9.50162298082346e-26,7.873369584181223e-36,1.7430741671717673e-20,9.886345129800597e-23,3.490849997042922e-31,5.622805197484106e-26,3.2318045060294577e-28,1.9713625182528299e-38,2.73219529964234e-26,7.268069155847846e-29,4.905639498416222e-39,5.284823565734374e-33,1.587954370768154e-30,3.1620975832800416e-33,2.0760587817669233e-40,3.162528064049736e-33,7.107516614578144e-40,9.560386828498657e-53,1.7651700724135626e-51,7.156672800931487e-62,1.8922930216434833e-43,5.328367569086467e-55,3.2087855929819295e-55,2.167837473431313e-65,1.301712345572739e-65
6.650166811245013e-17,0.11224537200000201,0.9,0.0,0.0,0.0,0.0,0.09999999999998213,4.578231549167382e-15,4.578166130805069e-15,3.16329727784476e-15,3.163297279161907e-15,2.739830052799676e-15,2.7398300943002017e-15,2.7397554349567367e-15,2.7397554350702577e-15,2.442945005472505e-15,2.4429454161686245e-15,2.2118854214427664e-15,2.211885422414243e-15,6.533755856393288e-20,7.854413156525352e-23,3.3217314803481257e-23,7.198604373848662e-24,3.6037066542895114e-20,2.1537366647459125e-30,6.854267117089421e-24,1.18305629733013e-26,5.295769856949659e-25,1.6172684323594359e-24,3.813212042353741e-30,6.613598900529266e-25,5.330877682139038e-23,4.568969030927569e-25,3.1955798336391028e-25,3.959533962092886e-25,6.606115470954681e-35,3.56796705092784e-20,4.106929833074065e-22,1.4573614473344107e-30,2.3348336930004265e-25,2.6068935312639707e-27,3.1188214145234554e-37,1.1383798887578026e-25,5.292137056661363e-28,6.755169573646587e-38,1.4659495204126542e-32,6.629396909017617e-30,8.771240530479259e-33,1.745052497919388e-39,8.772434619190878e-33,5.05627079255771e-39,2.6679809499105846e-51,6.081459106013567e-50,5.116800832788579e-60,3.057027510384212e-42,1.724875824160406e-53,1.0991855953399673e-53,1.460460582155382e-63,9.254571811276711e-64
1.3490338388525599e-16,0.11224537200000406,0.9,0.0,0.0,0.0,0.0,0.09999999999996374,9.287269715666484e-15,9.287003197221181e-15,6.416974475845797e-15,6.416974481234573e-15,5.557940879057324e-15,5.557941048606319e-15,5.557789594845844e-15,5.557789595309685e-15,4.95568843967192e-15,4.955690101049625e-15,4.486967567766799e-15,4.486967571740727e-15,2.6618828048722997e-19,3.2087429744704654e-22,1.3570351999901167e-22,2.940863436072865e-23,7.310383634071706e-20,1.7606304175235876e-29,2.8001844635712367e-23,9.67440551420378e-26,2.163494783065709e-24,6.607050834474694e-24,3.121161936489534e-29,2.6909660743250878e-24,1.081406579649142e-22,1.858774523281682e-24,1.300370128568264e-24,1.6117393779311707e-24,5.396636860967715e-34,7.155052731206802e-20,1.6613529317391203e-21,5.9538017972387674e-30,9.437306393187471e-25,2.0775115381803808e-26,4.906620096290099e-36,4.632303685765672e-25,3.9969676430868886e-27,9.822358869462237e-37,3.514903652304912e-32,2.708324949641904e-29,2.1030206642458139e-32,1.4306994692939735e-38,2.1033069558607568e-32,3.1171815898060545e-38,6.5246836575094435e-50,1.9974127521945416e-48,3.4231322597031006e-58,4.876571331060618e-41,5.073011412124276e-52,3.583456356631111e-52,8.789587396799206e-62,6.14590115658138e-62
2.7170681543086765e-16,0.11224537200000821,0.9,0.0,0.0,0.0,0.0,0.09999999999992697,1.8705346053723383e-14,1.8704274655366763e-14,1.2924328865556527e-14,1.292432888740113e-14,1.1194162272376586e-14,1.1194162957767191e-14,1.1193857909206013e-14,1.1193857911081503e-14,9.981175308068086e-15,9.981181894223504e-15,9.037131856016496e-15,9.037131872120757e-15,1.0700633356448851e-18,1.2969922457895172e-21,5.485349246425843e-22,1.1887429416643888e-22,1.4723788906701287e-19,1.4229363110394302e-28,1.1318734716954524e-22,7.794394963022008e-25,8.745191824524361e-24,2.670660698494677e-23,2.524718485960444e-28,1.079014264725376e-23,2.1780440933880825e-22,7.451148814424096e-24,5.215294899890347e-24,6.468014300024971e-24,4.3391506491103666e-33,1.408689526551405e-19,6.585961137110282e-21,2.4066295438479774e-29,3.7352416187520905e-24,1.6344482688601154e-25,7.630620387745447e-35,1.8577790164139845e-24,3.082855242929619e-26,1.4792041013444748e-35,7.594988262564196e-32,1.0947482473732233e-28,4.543668415746128e-32,1.15861752341554e-37,4.5442869025080827e-32,1.6719189405537616e-37,1.3883259126433956e-48,6.343561825465945e-47,2.196358803569992e-56,7.679769523847739e-40,1.3431904773109221e-50,1.1261958406482694e-50,4.732387407142648e-60,3.9027911014882577e-60
5.453136785220911e-16,0.11224537200001646,0.9,0.0,0.0,0.0,0.0,0.09999999999985341,3.754149875051913e-14,3.7537237522956564e-14,2.5939037619812612e-14,2.5939037708138448e-14,2.2466604022233297e-14,2.2466606778524868e-14,2.2465994516251247e-14,2.246599452379699e-14,2.003214904484976e-14,2.003217454124662e-14,1.8137460414922413e-14,1.813746047999962e-14,4.255856006554906e-18,5.2148875436912416e-21,2.205631587188135e-21,4.779874403857627e-22,2.9551006165559916e-19,1.1439265617316323e-27,4.5511670314851285e-22,6.209870469861638e-24,3.516403168608824e-23,1.0738489493943664e-22,2.030717718236628e-27,4.270116612727209e-23,4.371318684376058e-22,2.947107909886147e-23,2.0647785978235598e-23,2.563798798592267e-23,3.4433499878207656e-32,2.7044608395617814e-19,2.5494897099590234e-20,9.677073512554557e-29,1.441614368969965e-23,1.2603028400103225e-24,1.1583747397809007e-33,7.354608457935563e-24,2.3939929704849032e-25,2.259579230929944e-34,1.5278708868033423e-31,4.401934556675906e-28,9.13588751571871e-32,9.325561799749602e-37,9.137130607603331e-32,7.982522429481358e-37,2.589924836599454e-47,1.9436381237607526e-45,1.3555959494379316e-54,1.1859474731153452e-38,3.150334991521461e-49,3.3957732722403125e-49,2.251798447806546e-58,2.3711535117383588e-58
1.0925274047045378e-15,0.11224537200003294,0.9,0.0,0.0,0.0,0.0,0.09999999999970632,7.521380423022327e-14,7.519707909441756e-14,5.196845502766345e-14,5.196845538564206e-14,4.5011483374838045e-14,4.501149443162128e-14,4.501026764361873e-14,4.501026767391536e-14,4.0134096518370494e-14,4.0134191635456746e-14,3.633811746236033e-14,3.633811772582865e-14,1.6703566340518456e-17,2.091199650284273e-20,8.845543335386133e-21,1.9169364575257194e-21,5.920861899008888e-19,9.17325843758479e-27,1.8251854014259717e-21,4.8837040224012675e-23,1.410234944669108e-22,4.306518558575564e-22,1.6288892033258583e-26,1.6598906853449832e-22,8.75786612095607e-22,1.1443947678711924e-22,8.032725993367816e-23,9.997031671166919e-23,2.6872940233533463e-31,4.97807260380781e-19,9.510585574661872e-20,3.881130633160147e-28,5.348647842801362e-23,9.383082200353123e-24,1.678488388672643e-32,2.86083671714968e-23,1.8469987755421693e-24,3.43219096856283e-33,2.8879265168501047e-31,1.765372640857119e-27,1.7231141550909097e-31,7.483176036396344e-36,1.7233482098348917e-31,3.5190560077291e-36,4.30203328495988e-46,5.648597643211169e-44,1.0471179693426677e-52,1.7701412182244747e-37,6.536547526080478e-48,9.641137547261329e-48,1.2539698492904664e-56,1.7956587393043192e-56
