Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3954467268483348e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999935,1.6491179978920926e-16,1.6491167395345331e-16,1.1394466225611794e-16,1.139446622586416e-16,9.869101350870601e-17,9.869101358832636e-17,9.868832432741242e-17,9.868832432763017e-17,8.799695982565873e-17,8.799696062094919e-17,7.967399683258057e-17,7.967399683444219e-17,1.2568075014595683e-22,1.5069652705938958e-25,6.373074050868825e-26,1.3811243570208605e-26,1.2980854057420455e-21,2.576178563738729e-34,1.3150624605592177e-26,1.4040347284605869e-30,1.0160460645601502e-27,3.1028982339248092e-27,4.540884548440567e-34,1.2736922509596669e-27,1.9202276052443588e-24,8.800410461902832e-28,6.153642833382597e-28,7.622572217158707e-28,7.84749844954358e-39,1.2992103421946118e-21,7.952897660716787e-25,2.7960919969247126e-33,4.524788692221679e-28,4.837588238763576e-31,4.510554066411599e-42,2.192183315784622e-28,2.065113153809569e-31,2.1834430061060195e-42,7.210504265646578e-35,1.2719156648002817e-32,4.314308747694694e-35,2.0660168425208124e-43,4.314896089884719e-35,5.895745765140483e-43,1.729469415798491e-57,1.7867086971167763e-56,1.1012404097235547e-67,3.72738034970809e-47,5.726076341858271e-60,3.277797977013232e-60,3.529528185547957e-71,2.0196196892815397e-71,1.0801520147252433e-59
6.7072508351753375e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.0999999999999982,4.617530394146995e-16,4.617522794913341e-16,3.1904505431088053e-16,3.1904505432612458e-16,2.7633483756689103e-16,2.7633483804779873e-16,2.763273081113733e-16,2.7632730811268863e-16,2.4639148751184186e-16,2.463914923125622e-16,2.2308719112685625e-16,2.230871911381012e-16,7.589871213498873e-22,9.102063289661142e-25,3.8493366436054462e-25,8.341990892254801e-26,3.6346391488214e-21,3.0542539202369942e-33,7.942976027118277e-26,1.666618759411533e-29,6.1369182299065445e-27,1.8741502241954367e-26,5.3867527027726386e-33,7.691251137208767e-27,5.376637283842773e-24,5.314124389634106e-27,3.71593044617507e-27,4.603040624868747e-27,9.314594430494809e-38,3.635215055381524e-21,4.800714158656979e-24,1.6888395710835395e-32,2.7312242804661856e-27,4.6699923584804765e-30,7.783294394691645e-41,1.3237674881651733e-27,1.5585623326516933e-30,3.0245496381257655e-41,3.9831253826617795e-34,7.682370615462514e-32,2.383249617390582e-34,2.4527751954273016e-42,2.383574068561822e-34,8.671999319605227e-42,8.370562539700305e-56,1.0857674369172417e-54,8.491426254670273e-66,6.8495827774509424e-46,3.4520167441157745e-58,1.9892434415197563e-58,2.700479396509061e-69,1.5552020943105423e-69,8.181906160038752e-58
1.5330859051829344e-17,0.11224537200000048,0.9,0.0,0.0,0.0,0.0,0.09999999999999588,1.0554355186853498e-15,1.055431861249961e-15,7.292458383954064e-16,7.292458384688135e-16,6.316224846533178e-16,6.316224869686915e-16,6.316052756577686e-16,6.316052756641016e-16,5.631805428841975e-16,5.631805659687841e-16,5.099135796979302e-16,5.099135797520789e-16,3.65292768118973e-21,4.3822445930758204e-24,1.8532898093136723e-24,4.01630929398988e-25,8.307746751433761e-21,2.9916492435620366e-32,3.82419978391023e-25,1.635764492894831e-28,2.954661955685836e-26,9.02322342782764e-26,5.28170978649489e-32,3.7011233043468225e-26,1.2289456597673878e-23,2.5571750508001176e-26,1.78817520506578e-26,2.215155147853348e-26,9.140984106706959e-37,8.296951509040853e-21,2.30845358587694e-23,8.131035651947558e-32,1.313189748335745e-26,4.025573163084599e-29,1.2772693610164916e-39,6.3702027449105034e-27,1.0671677731769605e-29,3.884524872822428e-40,1.6201131373338556e-33,3.698730753342465e-31,9.693726294986346e-34,2.4081492316007365e-41,9.695045979705224e-34,8.810232442718814e-41,3.139162688127489e-54,4.889916926623979e-53,9.238974175929873e-64,1.185114887308989e-44,1.5281341266470287e-56,8.938366732641e-57,2.8889849647420214e-67,1.6874119794247096e-67,6.441145409958536e-56
3.257807548513736e-17,0.11224537200000101,0.9,0.0,0.0,0.0,0.0,0.09999999999999125,2.2428004773054464e-15,2.242784515458584e-15,1.5496474064644606e-15,1.5496474067851679e-15,1.3421977747063984e-15,1.3421977848183322e-15,1.3421612106644533e-15,1.342161210692112e-15,1.1967586536288665e-15,1.1967587541930308e-15,1.0835663567701688e-15,1.0835663570067283e-15,1.5942159686731438e-20,1.9138351394835894e-23,8.093802756254038e-24,1.7540275859821863e-24,1.7653962945664535e-20,2.6377057001684628e-31,1.6701274130257265e-24,1.4458709253552324e-27,1.2903785019345998e-25,3.940675966114418e-25,4.663236697182254e-31,1.6147256760636845e-25,2.6115095051873257e-23,1.1156037010322604e-25,7.801662904962962e-26,9.665295082739997e-26,8.077742033647074e-36,1.7579512837514273e-20,1.005637589010781e-22,3.551037069984212e-31,5.719489260296072e-26,3.313610703421719e-28,2.0378815569515176e-38,2.7792554306558693e-26,7.440065103420358e-29,5.0605142281221804e-39,5.353676039130919e-33,1.6153328944031256e-30,3.2032943522425987e-33,2.1299807238782464e-40,3.203730441427817e-33,7.279654067162589e-40,9.9548913678154e-53,1.8374950339876528e-51,7.532837792648474e-62,1.956779341492691e-43,5.557570657089921e-55,3.348480523400592e-55,2.2805646640629237e-65,1.3700499754058849e-65,4.6985694050965925e-54
6.707250835175337e-17,0.11224537200000205,0.9,0.0,0.0,0.0,0.0,0.09999999999998198,4.617530394861766e-15,4.617463850164995e-15,3.1904505422025804e-15,3.1904505435424547e-15,2.7633483383334743e-15,2.763348380549539e-15,2.763273080333392e-15,2.7632730804488708e-15,2.4639148751180346e-15,2.463915292859882e-15,2.230871910635008e-15,2.2308719116232453e-15,6.646249973812746e-20,7.989833198739518e-23,3.379002702256416e-23,7.322718214016503e-24,3.634640346546223e-20,2.2095874063878156e-30,6.972443980929953e-24,1.2137572441414256e-26,5.3870762337890455e-25,1.6451523317595036e-24,3.912164644902774e-30,6.727394109368053e-25,5.376637126642168e-23,4.647578170616697e-25,3.2505667716581814e-25,4.0276769852583743e-25,6.777488592853063e-35,3.5982419071087407e-20,4.1773863150754976e-22,1.4824883756189918e-30,2.374872380112465e-25,2.6735465858935064e-27,3.22531528035743e-37,1.1579680325984564e-25,5.422476346731768e-28,6.976709410436097e-38,1.4825918442206417e-32,6.743696855733568e-30,8.870815498265945e-33,1.7903771393018807e-39,8.872023142622589e-33,5.172644745848782e-39,2.775673275942255e-51,6.314509713584107e-50,5.385444064721639e-60,3.162046153951132e-42,1.7981372312357257e-53,1.1469498211093906e-53,1.5356392974750734e-63,9.739690562641449e-64,3.2128833238148127e-52
1.3606137408498543e-16,0.11224537200000412,0.9,0.0,0.0,0.0,0.0,0.09999999999996344,9.366990231246387e-15,9.36671913044719e-15,6.472056812078865e-15,6.472056817560687e-15,5.60564939967132e-15,5.605649572143675e-15,5.605496818293499e-15,5.60549681876534e-15,4.998227318095694e-15,4.99822900783422e-15,4.525483017246135e-15,4.5254830212886695e-15,2.707649409304998e-19,3.2640654159899207e-22,1.380432349992675e-22,2.991567954833729e-23,7.373135027018225e-20,1.8063047097098197e-29,2.8484633792711084e-23,9.925242523044333e-26,2.2007964172528123e-24,6.720965183561953e-24,3.20217349824998e-29,2.7371729786946854e-24,1.0906892092013237e-22,1.8906871739271128e-24,1.3227013790043437e-24,1.6394263600421217e-24,5.5364640310440705e-34,7.215060680894072e-20,1.6897131182977348e-21,6.0564536632872325e-30,9.598274193288676e-25,2.1307744878270285e-26,5.074817110402018e-36,4.711852828259463e-25,4.097697062253177e-27,1.0152431321094351e-36,3.5499115718398057e-32,2.755020207401572e-29,2.1239650733620482e-32,1.4678593486942905e-38,2.1242542160560118e-32,3.1841928803045404e-38,6.778875704752022e-50,2.063615818983089e-48,3.6024541680269984e-58,5.044502044446233e-41,5.283945785977348e-52,3.7386331299049136e-52,9.234403678279944e-62,6.46717531436944e-62,2.0992568684494458e-50
2.7403910555144954e-16,0.11224537200000828,0.9,0.0,0.0,0.0,0.0,0.09999999999992634,1.886590990916253e-14,1.886482014094638e-14,1.3035269345431617e-14,1.3035269367653933e-14,1.1290251258682087e-14,1.1290251955890575e-14,1.1289944288702249e-14,1.1289944290610085e-14,1.0066852204048303e-14,1.0066858901543648e-14,9.114705225994188e-15,9.114705242376819e-15,1.088410169920315e-18,1.3193536092056633e-21,5.579924163642797e-22,1.2092384908034787e-22,1.4850177028016464e-19,1.4598664668894477e-28,1.1513884299229156e-22,7.996136875783961e-25,8.895970993883924e-24,2.716706313082304e-23,2.5902652724407504e-28,1.0974671440555991e-23,2.1967400912624766e-22,7.578539090578189e-24,5.304504145447193e-24,6.5787198522089985e-24,4.451307421730848e-33,1.4202334832086003e-19,6.697296102420047e-21,2.4481233351435047e-29,3.798284392844796e-24,1.6762078416931583e-25,7.891452823914986e-35,1.8895558057116443e-24,3.161396212072124e-26,1.5295375350913373e-35,7.66324290202812e-32,1.1136232171614425e-28,4.584488917294063e-32,1.1887105571817364e-37,4.585112959195313e-32,1.7053331708754884e-37,1.44020456336548e-48,6.491177875569262e-47,2.310916348459763e-56,7.943631848242981e-40,1.3973100832541341e-50,1.174634909496303e-50,4.965889596724008e-60,4.105714127671684e-60,1.321212001582359e-48
5.499945684843778e-16,0.11224537200001661,0.9,0.0,0.0,0.0,0.0,0.09999999999985217,3.7863749286040986e-14,3.7859415397495764e-14,2.6161694386537868e-14,2.6161694476394975e-14,2.2659453922046298e-14,2.2659456725866438e-14,2.2658839207470884e-14,2.26588392151468e-14,2.0204101975942685e-14,2.0204127895335005e-14,1.829314962559348e-14,1.8293149691798262e-14,4.32842431588278e-18,5.3047948851727166e-21,2.243659661828499e-21,4.862285880025962e-22,2.980467821641137e-19,1.1736252743280712e-27,4.629634626917378e-22,6.370049933908121e-24,3.5770308094253757e-23,1.0923633775694767e-22,2.0834489212696166e-27,4.342561147971435e-23,4.408841411370027e-22,2.9970790049749403e-23,2.0998234284390083e-23,2.607366020041653e-23,3.5319311103583817e-32,2.7256343898259636e-19,2.5917854601981633e-20,9.843922439459935e-29,1.4654577305705166e-23,1.2921527815444918e-24,1.1975428631504443e-33,7.4794274053099e-24,2.4551151416194126e-25,2.3367181787670044e-34,1.5404605754055128e-31,4.477829980115704e-28,9.211059576354806e-32,9.567776715740681e-37,9.212312885029342e-32,8.132703642655865e-37,2.6828401199381203e-47,1.9538355388179413e-45,1.4257165161360467e-54,1.2263775288045799e-38,3.2724652612927495e-49,3.539997321892391e-49,2.359476833862312e-58,2.493208786477394e-58,7.958932859488581e-47
1.101905494350234e-15,0.11224537200003326,0.9,0.0,0.0,0.0,0.0,0.09999999999970381,7.585942812745207e-14,7.58424208572666e-14,5.24145443663535e-14,5.241454473056767e-14,4.5397855030164503e-14,4.539786627762985e-14,4.539662895678957e-14,4.539662898760915e-14,4.047860151968808e-14,4.047869816048008e-14,3.66500383532048e-14,3.665003862125773e-14,1.698532836996972e-17,2.1272513338002556e-20,8.998052252485323e-21,1.9499869645478925e-21,5.971694005530152e-19,9.411463438271231e-27,1.8566534971002677e-21,5.008834811870034e-23,1.434549340252056e-22,4.38076720246317e-22,1.6711907574872096e-26,1.6876178609036345e-22,8.833042276109118e-22,1.1634904292230105e-22,8.167016211856669e-23,1.016455137117375e-22,2.7557933512951486e-31,5.013733097868183e-19,9.662928267239603e-20,3.948051093519875e-28,5.433849968771528e-23,9.615018859561348e-24,1.7339556330268733e-32,2.9086576077960235e-23,1.893882357384031e-24,3.548745003541219e-33,2.9094254381088652e-31,1.7958101002231772e-27,1.7358521706988694e-31,7.677538252168156e-36,1.7360879458461026e-31,3.58266816676491e-36,4.450499500310317e-46,5.506478064573553e-44,1.1004371665687309e-52,1.8295351919074552e-37,6.780605328635898e-48,1.0041926886796967e-47,1.312118774605183e-56,1.8865285626831248e-56,4.49087881720425e-45
