Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.415661825551228e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999935,1.6630348522002147e-16,1.6630335725163944e-16,1.1490623763507307e-16,1.1490623763763945e-16,9.95238638306048e-17,9.95238639115746e-17,9.952115195605801e-17,9.952115195627948e-17,8.873956336949572e-17,8.87395641782615e-17,8.034636315655062e-17,8.03463631584438e-17,1.2781074895965303e-22,1.5325070446205042e-25,6.481092253897707e-26,1.404533244098148e-26,1.3090399071990293e-21,2.6419142906254257e-34,1.3373516529888978e-26,1.4398792832177453e-30,1.033267184298403e-27,3.155489724866611e-27,4.656781485557285e-34,1.295277532247448e-27,1.9364323448734024e-24,8.949550481061638e-28,6.25792906220461e-28,7.751753741573858e-28,8.047838015168316e-39,1.3101675730434495e-21,8.087650782916648e-25,2.8434833867552624e-33,4.601454288713413e-28,4.945318526050163e-31,4.645748084854494e-42,2.229334384391348e-28,2.1046958764718236e-31,2.242754278179232e-42,7.326832330747256e-35,1.2934735574241168e-32,4.383912087334814e-35,2.1187646368601404e-43,4.3845089051957287e-35,6.044660423477222e-43,1.7974705037588628e-57,1.8633611357509028e-56,1.1581810266495213e-67,3.8425426847611775e-47,5.971237726555036e-60,3.4183726578575994e-60,3.7117195499342904e-71,2.124010481559444e-71,1.1275808702747358e-59,5.942311208699139e-58
6.763853111543439e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999819,4.65649758621057e-16,4.656489858198107e-16,3.2173746537184886e-16,3.2173746538735135e-16,2.786668184638434e-16,2.786668189529021e-16,2.7865922547148966e-16,2.786592254728273e-16,2.484707774345853e-16,2.484707823166244e-16,2.2496981683389834e-16,2.2496981684533397e-16,7.718491332728277e-22,9.256335427502577e-25,3.914579636112757e-25,8.483380564478772e-26,3.665311753226252e-21,3.132161518817247e-33,8.077602717876257e-26,1.7091648275830893e-29,6.240933793124656e-27,1.90591547683273e-26,5.524211683327779e-33,7.821579013222528e-27,5.422010554620342e-24,5.404171178245412e-27,3.778897125851698e-27,4.681040918700374e-27,9.552370716429964e-38,3.665851714112577e-21,4.882032679415891e-24,1.7174639707100785e-32,2.7774856980676354e-27,4.7796641169283544e-30,8.026757658254974e-41,1.346198789262046e-27,1.590414623899407e-30,3.10974113741079e-41,4.04470211632697e-34,7.812580286912236e-32,2.4200932255313497e-34,2.5153973768664946e-42,2.4204226925207222e-34,8.889095241647979e-42,8.708024229028268e-56,1.1323381446406088e-54,8.930427731011916e-66,7.069145024142096e-46,3.599548590098316e-58,2.074519760697714e-58,2.839678382140997e-69,1.6355630253525115e-69,8.579712991184365e-58,2.3054388388869597e-56
1.5460235683527862e-17,0.11224537200000048,0.9,0.0,0.0,0.0,0.0,0.09999999999999586,1.0643423054431312e-15,1.0643385860386664e-15,7.353999208199774e-16,7.353999208946291e-16,6.369527266829208e-16,6.3695272903753825e-16,6.369353724804619e-16,6.369353724869021e-16,5.679332055647537e-16,5.6793322904012e-16,5.142167241708201e-16,5.142167242258869e-16,3.7148203538599505e-21,4.4565198061382984e-24,1.884701499571273e-24,4.084382329026372e-25,8.377855564706685e-21,3.067925930477549e-32,3.8890167082400793e-25,1.6775183077222452e-28,3.004740971883271e-26,9.176159365113134e-26,5.416454349403867e-32,3.763822513211624e-26,1.2393166930013489e-23,2.600494327504157e-26,1.8184683573484403e-26,2.252683136601697e-26,9.374292795317901e-37,8.366773250170215e-21,2.3475314166114653e-23,8.268849817843405e-32,1.3354173135283081e-26,4.1236913759515627e-29,1.3186908501714849e-39,6.478118961828899e-27,1.090587465692975e-29,3.999431621334032e-40,1.6433211960269708e-33,3.7614211050952133e-31,9.832588476577473e-34,2.4696320606812396e-41,9.833927065698175e-34,9.026780605536142e-41,3.2671756760148764e-54,5.09955206802067e-53,9.716487140261478e-64,1.2241794646267805e-44,1.5931940535397734e-56,9.321254818664992e-57,3.0374497064996525e-67,1.774551681713478e-67,6.768933161209921e-56,7.155645234684086e-55
3.285300082749671e-17,0.11224537200000101,0.9,0.0,0.0,0.0,0.0,0.09999999999999118,2.2617273991674136e-15,2.2617111669694027e-15,1.5627248316145425e-15,1.5627248319406872e-15,1.3535245389314758e-15,1.3535245492147997e-15,1.3534876664108407e-15,1.3534876664389681e-15,1.2068580618250475e-15,1.206858164089423e-15,1.0927105387735696e-15,1.09271053901414e-15,1.6212177140418115e-20,1.9462729180614872e-23,8.230985841207674e-24,1.7837568636999418e-24,1.7802944201910155e-20,2.7049379176154304e-31,1.6984346386224175e-24,1.4827694464707532e-27,1.312249324000734e-25,4.00746703729157e-25,4.782183026304316e-31,1.6420659280537284e-25,2.63354795043969e-23,1.134492223829581e-25,7.933762918506827e-26,9.828963417313344e-26,8.283849664053277e-36,1.7727014240599235e-20,1.022639596360373e-22,3.611224143061935e-31,5.816166741772779e-26,3.396075034123786e-28,2.1054841269277137e-38,2.826314381284827e-26,7.613241433361739e-29,5.217636694475841e-39,5.422139533061436e-33,1.642711418038124e-30,3.2442583780562515e-33,2.1843615899273506e-40,3.2447000439714576e-33,7.452875976061392e-40,1.0358563053009939e-52,1.9161928858007535e-51,7.92194713736017e-62,2.0223330907732297e-43,5.792504220476222e-55,3.4917527947969484e-55,2.3970996855239945e-65,1.4407346772709529e-65,4.9403822881541275e-54,2.0609179720693534e-53
6.76385311154344e-17,0.11224537200000205,0.9,0.0,0.0,0.0,0.0,0.09999999999998183,4.656497586937478e-15,4.656429915945881e-15,3.2173746527969044e-15,3.2173746541595042e-15,2.7866681466701944e-15,2.786668189601798e-15,2.78659225392133e-15,2.786592254038766e-15,2.4847077743454625e-15,2.4847081991321517e-15,2.249698167694691e-15,2.2496981686996892e-15,6.758740127490965e-20,8.125253218857886e-23,3.436273923898597e-23,7.446832053466717e-24,3.6653129815028334e-20,2.265911427270698e-30,7.090620840842653e-24,1.2447185749696903e-26,5.478382610628314e-25,1.673036230169999e-24,4.01195735967682e-30,6.841183450917244e-25,5.422010394755324e-23,4.726183114257542e-25,3.305550950407767e-25,4.095816856166035e-25,6.950313181404571e-35,3.628255408270289e-20,4.24783392531133e-22,1.5076153041331431e-30,2.414905609295689e-25,2.740745433225288e-27,3.33357354365486e-37,1.1775551891772285e-25,5.553802896841133e-28,7.201692991852915e-38,1.499110760720653e-32,6.857996802449741e-30,8.969652050353263e-33,1.836087533906274e-39,8.97087314982576e-33,5.289587238137067e-39,2.8857526603926644e-51,6.584428048960212e-50,5.663313536986814e-60,3.2688226529326897e-42,1.8731850807444544e-53,1.1959328102507238e-53,1.6133137187967354e-63,1.0241428464620158e-63,3.378400236584301e-52,5.825382841774508e-52
1.3720959169130978e-16,0.11224537200000413,0.9,0.0,0.0,0.0,0.0,0.09999999999996312,9.446037963771275e-15,9.445762280940879e-15,6.5266742935345544e-15,6.526674299109424e-15,5.652955295114101e-15,5.6529554705098174e-15,5.6528014275411864e-15,5.6528014280210245e-15,5.040407199385604e-15,5.040408917477858e-15,4.563673424399425e-15,4.563673428510565e-15,2.753412786495005e-19,3.3193878395146724e-22,1.4038294997770605e-22,3.0422724730062376e-23,7.43535684817716e-20,1.852366598213987e-29,2.8967422917725763e-23,1.017819955448979e-25,2.238098051439823e-24,6.834879524536157e-24,3.283873403856773e-29,2.7833751212815394e-24,1.0998935001143962e-22,1.922596420355118e-24,1.3450303894613947e-24,1.667110781172073e-24,5.677469741349971e-34,7.274538982875884e-20,1.718066208960007e-21,6.1591055330886144e-30,9.759198428031917e-25,2.1844730909103233e-26,5.245808278959659e-36,4.791393956494248e-25,4.199227905823989e-27,1.0487840909876003e-36,3.584621595695711e-32,2.801715465161424e-29,2.1447312192671112e-32,1.5053354918920722e-38,2.145023188769464e-32,3.251421911972874e-38,7.038321102040954e-50,2.1514907304932293e-48,3.787910832379876e-58,5.215247176040572e-41,5.4998138817703956e-52,3.897742145499303e-52,9.693565100911e-62,6.79940290496424e-62,2.207114366880739e-50,1.5980977810088491e-50
2.7635171284306055e-16,0.11224537200000834,0.9,0.0,0.0,0.0,0.0,0.09999999999992572,1.9025118722673996e-14,1.902401058717573e-14,1.3145273568501567e-14,1.3145273591101619e-14,1.1385529323868095e-14,1.1385530032894488e-14,1.1385219769176013e-14,1.1385219771116193e-14,1.015180604946313e-14,1.0151812858243718e-14,9.191623933258855e-15,9.19162394991987e-15,1.1067544265778448e-18,1.3417149582420897e-21,5.674499079092935e-22,1.2297340394661055e-22,1.4975498559668288e-19,1.4971104021133137e-28,1.1709033855951813e-22,8.199572062878326e-25,9.04675016324277e-24,2.7627519210998594e-23,2.6563693843723356e-28,1.1159162442414263e-23,2.2152783084975405e-22,7.705902368572827e-24,5.3936956040782194e-24,6.689405037439756e-24,4.564400407102494e-33,1.4316711686887682e-19,6.808576341319149e-21,2.4896171324658312e-29,3.8612937003315215e-24,1.7183020804762574e-25,8.156571050871376e-35,1.9213262316996384e-24,3.2405735109938446e-26,1.5806991408973267e-35,7.730874068554785e-32,1.1324981869498135e-28,4.624936198655634e-32,1.2190597095706943e-37,4.6255657448685537e-32,1.738808581835904e-37,1.4930737091276796e-48,6.765565893832733e-47,2.4293634518274947e-56,8.211880466313118e-40,1.4526211105087284e-50,1.2242849361724776e-50,5.206610758084101e-60,4.31549109267131e-60,1.3886871101750637e-48,4.101817421795776e-49
5.546359551465621e-16,0.11224537200001676,0.9,0.0,0.0,0.0,0.0,0.09999999999985092,3.818328026189002e-14,3.817887373254584e-14,2.6382472092402456e-14,2.638247218379104e-14,2.285067630884326e-14,2.285067916019212e-14,2.2850056430023034e-14,2.285005643782913e-14,2.037460374960716e-14,2.0374630091594727e-14,1.8447524932777562e-14,1.844752500011005e-14,4.400972440009036e-18,5.394702113932368e-21,2.281687735046784e-21,4.944697352359327e-22,3.005620972793536e-19,1.203576522429866e-27,4.708102202331073e-22,6.531555392676774e-24,3.6376584502414075e-23,1.1108778004565702e-22,2.1366286754803925e-27,4.414976456341193e-23,4.446047473724252e-22,3.0470292492793816e-23,2.134854488673495e-23,2.6509174264628816e-23,3.62123760162448e-32,2.7465975613876224e-19,2.6340411588179758e-20,1.0010771461637336e-28,1.4892767825662677e-23,1.3242458190470101e-24,1.2373358055385469e-33,7.604197097134603e-24,2.516729867331855e-25,2.4151266081066067e-34,1.5529262966964475e-31,4.5537254035567555e-28,9.285488529825857e-32,9.812053097224202e-37,9.286751953978636e-32,8.283022834150774e-37,2.777397515610192e-47,2.035300999146596e-45,1.4981837764992524e-54,1.267465847304256e-38,3.397097457900949e-49,3.687737775727695e-49,2.4703201857675924e-58,2.61931575889095e-58,8.360818543063028e-47,9.478072874031901e-48
1.111204439753565e-15,0.11224537200003352,0.9,0.0,0.0,0.0,0.0,0.09999999999970131,7.649960342951914e-14,7.648231417838741e-14,5.285686903607182e-14,5.2856869406523113e-14,4.578096598868182e-14,4.578097742683047e-14,4.5779729662002877e-14,4.5779729693345425e-14,4.082019914985112e-14,4.082029731166886e-14,3.6959326859014384e-14,3.695932713165295e-14,1.7266936954527152e-17,2.1633029314474238e-20,9.150561158173309e-21,1.983037468492772e-21,6.02209733262963e-19,9.65169484449209e-27,1.8881215775448894e-21,5.134973602417615e-23,1.4588637358346694e-22,4.455015803920145e-22,1.713852224137864e-26,1.7153233476504386e-22,8.907583998622024e-22,1.1825706584519707e-22,8.301204036479082e-23,1.0331952796027894e-22,2.8248328583790745e-31,5.048990897262531e-19,9.815002759362248e-20,4.0149717013335804e-28,5.518891492950245e-23,9.848561536159343e-24,1.7902558381178116e-32,2.956441884775357e-23,1.941132075214197e-24,3.6671836033034435e-33,2.9306879864716782e-31,1.8262475595903006e-27,1.748447716538292e-31,7.87355466416895e-36,1.7486851925755866e-31,3.646308628840862e-36,4.601392232414831e-46,5.730604961838734e-44,1.1554927307820682e-52,1.8898578022178752e-37,7.029339463003851e-48,1.0452085814713965e-47,1.371897866495505e-56,1.9803285562627972e-56,4.71318354333115e-45,1.9285016775851156e-46
