Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4357091553965518e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999935,1.676836207950426e-16,1.6768349069403914e-16,1.1585983272141763e-16,1.1585983272402684e-16,1.0034980217303162e-16,1.0034980225535097e-16,1.0034706779357814e-16,1.003470677938033e-16,8.947600390863959e-17,8.947600473088059e-17,8.101314938755641e-17,8.101314938948109e-17,1.2994074320817782e-22,1.5580488183926883e-25,6.589110456896138e-26,1.4279421311672219e-26,1.3199034952150436e-21,2.708198946982498e-34,1.359640845373345e-26,1.47602373206916e-30,1.0504883040366556e-27,3.2080812156951763e-27,4.7736471233823325e-34,1.3168627457562358e-27,1.9525025983589828e-24,9.098690015330001e-28,6.362214972356548e-28,7.880934902195339e-28,8.249853573772444e-39,1.321033756068779e-21,8.222402866063757e-25,2.890874776587549e-33,4.678119244743463e-28,5.0536892748153e-31,4.7827409358361253e-42,2.2664853389738335e-28,2.1443926231607745e-31,2.3026807158595733e-42,7.443023326456502e-35,1.3150314500479536e-32,4.4534334132816535e-35,2.1719538481627883e-43,4.4540396956482174e-35,6.19476845215964e-43,1.8669809720646584e-57,1.9419530217599308e-56,1.217051115374512e-67,3.9593350923970207e-47,6.222577322063072e-60,3.562501811249526e-60,3.900066621884925e-71,2.2319365838825592e-71,1.1763400742743013e-59,6.154837030895984e-58,2.6584049280555653e-65
6.819985635110345e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999817,4.695141382311996e-16,4.695133525521269e-16,3.2440753161350773e-16,3.244075316292686e-16,2.809794458182744e-16,2.8097944631548417e-16,2.8097178981645483e-16,2.8097178981781472e-16,2.5053281094418815e-16,2.505328159075446e-16,2.2683681828064047e-16,2.2683681829226665e-16,7.8471109101995915e-22,9.410607562324654e-25,3.9798226285839193e-25,8.624770236605252e-26,3.695729799999113e-21,3.210718911829677e-33,8.212229408097447e-26,1.7520667858029315e-29,6.344949356342754e-27,1.9376807293355888e-26,5.662818810566004e-33,7.951906085040536e-27,5.467007264196214e-24,5.494217391547692e-27,3.841863427421205e-27,4.7590407808655044e-27,9.792135618236395e-38,3.696233439878643e-21,4.963349968404016e-24,1.7460883703405044e-32,2.8237463565100135e-27,4.89009503419969e-30,8.273748534092992e-41,1.3686299550676858e-27,1.6224022061276538e-30,3.19591116930317e-41,4.1061477830703415e-34,7.942789958361982e-32,2.4568584114074035e-34,2.578543608524531e-42,2.4571928835385972e-34,9.107868411634923e-42,9.053253581824374e-56,1.1800866570882537e-54,9.384301809528458e-66,7.292033146190726e-46,3.7507851036852e-58,2.1619505756149194e-58,2.983568947542279e-69,1.7186440518571698e-69,8.990178688801462e-58,2.3906068935148385e-56,1.2699519349814193e-63
1.5588538594537932e-17,0.11224537200000048,0.9,0.0,0.0,0.0,0.0,0.09999999999999581,1.0731751731238502e-15,1.0731713917508407e-15,7.415029293718412e-16,7.415029294477372e-16,6.422387320439033e-16,6.422387344377645e-16,6.422212338399521e-16,6.422212338464998e-16,5.726464250152742e-16,5.7264644888140805e-16,5.184841560487387e-16,5.184841561047232e-16,3.776712495092466e-21,4.530795016238843e-24,1.91611318979338e-24,4.152455363967145e-25,8.44738253199042e-21,3.1448379779730055e-32,3.9538336320433546e-25,1.7196212325231733e-28,3.0548199880806923e-26,9.329095301078734e-26,5.552323557552299e-32,3.826520933520177e-26,1.2496016551034927e-23,2.643813040112929e-26,1.8487611388644574e-26,2.2902107020225748e-26,9.609551542966006e-37,8.436012296619881e-21,2.3866080417713692e-23,8.406663983816013e-32,1.3576441359009463e-26,4.2225524084997716e-29,1.3607521632196619e-39,6.586033852107349e-27,1.1141398219557767e-29,4.1158239496289065e-40,1.6664442139269624e-33,3.824111456847989e-31,9.970941825926546e-34,2.5316294053741624e-41,9.972299250177194e-34,9.244876776258735e-41,3.3981672799784914e-54,5.314483838184082e-53,1.0210169368314767e-63,1.2638641445214834e-44,1.6598754077900713e-56,9.713802940179291e-57,3.190892173378791e-67,1.8646379768330514e-67,7.107656429309356e-56,7.429691521334624e-55,6.612613396458716e-62
3.31256445133931e-17,0.11224537200000101,0.9,0.0,0.0,0.0,0.0,0.0999999999999911,2.2804972429906226e-15,2.2804807404461547e-15,1.5756937247851207e-15,1.5756937251167036e-15,1.3647573002357351e-15,1.364757310690449e-15,1.3647201217979219e-15,1.3647201218265183e-15,1.2168736531574027e-15,1.2168737571218827e-15,1.101778831512656e-15,1.1017788317572371e-15,1.648218990183088e-20,1.9787106940240104e-23,8.368168925847374e-24,1.8134861413330367e-24,1.7950689035662926e-20,2.772729888849468e-31,1.726741863754162e-24,1.5199762102327385e-27,1.3341201460668543e-25,4.074258107301296e-25,4.9021218746702104e-31,1.6694054843630018e-25,2.655403494536942e-23,1.1533802490154778e-25,8.065859660844737e-26,9.992628016215247e-26,8.4916778837445e-36,1.787327749783404e-20,1.0396405440834197e-22,3.671411216276089e-31,5.912837697732426e-26,3.479191916317567e-28,2.1741697102097977e-38,2.8733721614566263e-26,7.78758821827385e-29,5.3770035321251764e-39,5.4902211082490685e-33,1.6700899416731462e-30,3.284993885424145e-33,2.239197539208906e-40,3.285441096958947e-33,7.627168459113701e-40,1.0771453065364814e-52,1.9968752332841344e-51,8.324219154112589e-62,2.088953926389318e-43,6.03321113954798e-55,3.638631985842371e-55,2.51750387150758e-65,1.5138058698434963e-65,5.190344815202867e-54,2.1420492413622793e-53,2.638920419032435e-60
6.819985635110345e-17,0.11224537200000208,0.9,0.0,0.0,0.0,0.0,0.09999999999998167,4.695141383051042e-15,4.6950725858039206e-15,3.2440753151981324e-15,3.2440753165834597e-15,2.8097944195817004e-15,2.8097944632288434e-15,2.809717897357755e-15,2.809717897477148e-15,2.5053281094414853e-15,2.505328541272136e-15,2.2683681821513733e-15,2.2683681831731324e-15,6.871226350829933e-20,8.260673217066611e-23,3.493545145276895e-23,7.570945892205305e-24,3.6957310590822105e-20,2.3227047567730498e-30,7.208797696860617e-24,1.2759380955877244e-26,5.569688987467468e-25,1.700920127599203e-24,4.112583146009235e-30,6.954966974777374e-25,5.467007101666778e-23,4.804783897334956e-25,3.360532393207738e-25,4.163953601436743e-25,7.124576972031258e-35,3.6580140631918806e-20,4.318272739867064e-22,1.5327422328768537e-30,2.4549334274515323e-25,2.8084853831176743e-27,3.4435954956122548e-37,1.19714136683829e-25,5.686108362833366e-28,7.430117306685247e-38,1.515508937646782e-32,6.972296749166132e-30,9.067766148948427e-33,1.8821804533883162e-39,9.069000605180685e-33,5.407089301578891e-39,2.998229150887528e-51,6.861126526845773e-50,5.950564098227624e-60,3.3773565199544756e-42,1.9500313619232478e-53,1.2461444982044387e-53,1.693522331847238e-63,1.0760062913969323e-63,3.5494929994199934e-52,6.057479750396617e-52,9.379136486131567e-59
1.3834828002652415e-16,0.11224537200000419,0.9,0.0,0.0,0.0,0.0,0.09999999999996281,9.524429664487236e-15,9.524149399945607e-15,6.5808384943699645e-15,6.5808385000378875e-15,5.699868590122875e-15,5.699868768441956e-15,5.699713447052946e-15,5.699713447540782e-15,5.082237022008947e-15,5.0822387684479025e-15,4.601546882272341e-15,4.60154688645209e-15,2.7991729638246056e-19,3.374710245197325e-22,1.4272266493450997e-22,3.092976990595318e-23,7.497062283092788e-20,1.8988128365051335e-29,2.9450212011027745e-23,1.0433258620715188e-25,2.275399685626742e-24,6.948793857465203e-24,3.366255889769269e-29,2.829572542742692e-24,1.1090214028979815e-22,1.9545022916518327e-24,1.36735717905469e-24,1.6947926631427615e-24,5.81964393854886e-34,7.333500835989201e-20,1.7464122660300043e-21,6.261757406642611e-30,9.920079481400633e-25,2.2386035075972728e-26,5.419592157579465e-36,4.870927138866969e-25,4.3015533341182975e-27,1.08285845764247e-36,3.619040848491811e-32,2.848410722921457e-29,2.165323365053975e-32,1.543125252095654e-38,2.1656181376744734e-32,3.3188644673971863e-38,7.303033218718027e-50,2.24155628365564e-48,3.979604221218047e-58,5.388805695615472e-41,5.720642888997881e-52,4.060814557882951e-52,1.0167277306252964e-61,7.142764566981763e-62,2.3185868655073413e-50,1.6613957238742332e-50,3.159151478086897e-57
2.7864512737736555e-16,0.1122453720000084,0.9,0.0,0.0,0.0,0.0,0.09999999999992511,1.9183006232683014e-14,1.9181879732457886e-14,1.3254364846096871e-14,1.3254364869074685e-14,1.1480016658602516e-14,1.1480017379446829e-14,1.1479704540745019e-14,1.1479704542717545e-14,1.0236054847141073e-14,1.0236061767152712e-14,9.267904277888404e-15,9.267904294827827e-15,1.1250961277838278e-18,1.3640762930223354e-21,5.769073992791048e-22,1.2502295876562566e-22,1.5099780058347768e-19,1.5346654901113162e-28,1.1904183387342148e-22,8.404685962905477e-25,9.19752933260091e-24,2.8087975226023306e-23,2.7230261568154445e-28,1.1343615981812557e-23,2.233662673584484e-22,7.833238883750441e-24,5.482869430464684e-24,6.800070032319283e-24,4.6784214697930186e-33,1.4430052375814256e-19,6.919802356071796e-21,2.531110935814005e-29,3.924269850532401e-24,1.7607278920090918e-25,8.425971311784704e-35,1.9530903497245695e-24,3.320381605045091e-26,1.6326884850297032e-35,7.7978972383025e-32,1.1513731567383345e-28,4.6650195212564674e-32,1.249662837141903e-37,4.665654522214414e-32,1.7723437943484567e-37,1.5469343294453015e-48,7.046694640869524e-47,2.5517635456723315e-56,8.484512638965217e-40,1.5091282795233089e-50,1.2751549818797587e-50,5.454643919812831e-60,4.532232390155216e-60,1.458400054623024e-48,4.260535172483179e-49,1.0368651471304573e-55
5.592388220790482e-16,0.11224537200001689,0.9,0.0,0.0,0.0,0.0,0.09999999999984968,3.850015939084974e-14,3.849568024071214e-14,2.6601417523083665e-14,2.6601417616003926e-14,2.304031170515346e-14,2.3040314604031208e-14,2.3039686705332783e-14,2.3039686713269052e-14,2.054369049739411e-14,2.0543717261580675e-14,1.8600619050617045e-14,1.8600619119077373e-14,4.473500557082964e-18,5.484609230963115e-21,2.319715806854891e-21,5.027108820889817e-22,3.0305653998346535e-19,1.2337781924758014e-27,4.786569757902751e-22,6.694375143282745e-24,3.6982860910569274e-23,1.129392218099905e-22,2.190253226674272e-27,4.487362801815359e-23,4.482944755893117e-22,3.096958831599979e-23,2.1698719026635776e-23,2.69445315964449e-23,3.7112629319400785e-32,2.767355652292235e-19,2.676257203593786e-20,1.0177620579057072e-28,1.5130717693252753e-23,1.3565795088381185e-24,1.277752550464016e-33,7.728917977572547e-24,2.5788327060017856e-25,2.4948036045439367e-34,1.5652711738113154e-31,4.6296208269990555e-28,9.359193075006154e-32,1.0058373691926199e-36,9.360466515872357e-32,8.43347665055246e-37,2.8735964397397224e-47,2.1187137956324978e-45,1.5730346261350283e-54,1.3092116737834783e-38,3.524237655677765e-49,3.839018210265249e-49,2.5843644707914162e-58,2.749536897215904e-58,8.775773444623023e-47,9.831528790723223e-48,3.360023168079897e-54
1.1204262114824138e-15,0.11224537200003382,0.9,0.0,0.0,0.0,0.0,0.09999999999969883,7.713446579792453e-14,7.711689471785851e-14,5.329552277118928e-14,5.329552314787922e-14,4.616089743664205e-14,4.616090906547517e-14,4.615965094329846e-14,4.615965097516399e-14,4.115896179785537e-14,4.1159061478049055e-14,3.7266048522060385e-14,3.7266048799285595e-14,1.75483935158207e-17,2.1993544440182822e-20,9.303070052545591e-21,2.0160879693861113e-21,6.0720825578212775e-19,9.893935697287925e-27,1.9195896429007547e-21,5.262111055151304e-23,1.4831781314169536e-22,4.529264363301628e-22,1.7568705908768476e-26,1.7430073550533031e-22,8.981507084875528e-22,1.20163560526286e-22,8.435290452793152e-23,1.0499237073091426e-22,2.8944073584517076e-31,5.0838563933614075e-19,9.966812079771371e-20,4.081892456511655e-28,5.603774262732857e-23,1.0083691756199782e-23,1.847386487045276e-32,3.004189900692035e-23,1.98874440299571e-24,3.7875044151806987e-33,2.951720283932532e-31,1.8566850189584815e-27,1.7609044652432565e-31,8.071211428535373e-36,1.7611436231583928e-31,3.709976691417411e-36,4.754707264384422e-46,5.959837701236309e-44,1.2123101001864617e-52,1.951107124826291e-37,7.282756002893255e-48,1.0871665798298695e-47,1.433323664276428e-56,2.0771007045696123e-56,4.9424738364309e-45,1.9973931267099556e-46,1.2545781006891734e-52
