Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4555928253559618e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999935,1.6905248939174338e-16,1.69052357158123e-16,1.1680564296737459e-16,1.1680564297002651e-16,1.011689978232318e-16,1.0116899790690061e-16,1.0116624112260513e-16,1.0116624112283394e-16,9.020643238654897e-17,9.020643322226512e-17,8.167449219246295e-17,8.167449219441928e-17,1.32070732929125e-22,1.5835905919125416e-25,6.697128659864369e-26,1.4513510182281528e-26,1.3306783964295173e-21,2.775027997502476e-34,1.381930037712932e-26,1.5124656054092995e-30,1.0677094237749061e-27,3.260672706411436e-27,4.89147347140612e-34,1.3384478920443043e-27,1.9684416595171243e-24,9.24782906870189e-28,6.466500566463143e-28,8.010115702019383e-28,8.453531321193446e-39,1.3318111212029914e-21,8.357153918724797e-25,2.9382661664215756e-33,4.754783565592954e-28,5.1626952039274855e-31,4.92152874276078e-42,2.3036361804712476e-28,2.184202454712742e-31,2.3632192027935916e-42,7.559078664857886e-35,1.3365893426717928e-32,4.522873570436472e-35,2.2255808430583574e-43,4.523489306258467e-35,6.34605919728529e-43,1.9380096317008378e-57,2.0225004163962792e-56,1.277882811495479e-67,4.077755070150907e-47,6.480145481266404e-60,3.7102148005495444e-60,4.0946711864677564e-71,2.343456795675345e-71,1.2264474007291045e-59,6.371400302819118e-58,2.7686991639797826e-65,6.178714241150424e-71
6.8756599109966935e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999815,4.733469703020449e-16,4.733461717451996e-16,3.2705580030208117e-16,3.270558003181004e-16,2.8327319363447066e-16,2.832731941398314e-16,2.83265475137639e-16,2.832654751390213e-16,2.525780106823344e-16,2.5257801572700703e-16,2.286885781343048e-16,2.286885781461217e-16,7.975729950375946e-22,9.564879694152244e-25,4.0450656210192266e-25,8.766159908635044e-26,3.725899523730356e-21,3.289920722352834e-33,8.346856097786264e-26,1.7953217021576783e-29,6.448964919560834e-27,1.969445981705118e-26,5.802564605548906e-33,8.082232359290596e-27,5.511636635255256e-24,5.584263034282586e-27,3.904829353999668e-27,4.83704021492127e-27,1.0033872747624061e-37,3.7263664764826465e-21,5.044666035791667e-24,1.7747127699748181e-32,2.8700062620630446e-27,5.0012788405700135e-30,8.524262364106649e-41,1.3910609866970695e-27,1.6545239643621473e-30,3.283056030425733e-41,4.167463935731461e-34,8.072999629811754e-32,2.4935461041396875e-34,2.6422095768640768e-42,2.4938855708628808e-34,9.32830290068295e-42,9.406299936629143e-56,1.229022710926274e-54,9.853296059996234e-66,7.518244132191384e-46,3.905756050968199e-58,2.2515536313543496e-58,3.132228197251183e-69,1.8044903590261567e-69,9.413501394272108e-58,2.477496525910281e-56,1.3226408150127546e-63,5.899106433346354e-69
1.5715794082278156e-17,0.11224537200000048,0.9,0.0,0.0,0.0,0.0,0.09999999999999577,1.0819359321433184e-15,1.0819320888022914e-15,7.475561149452239e-16,7.475561150223645e-16,6.474815841746351e-16,6.474815866077402e-16,6.47463943145086e-16,6.47463943151741e-16,5.773211672738939e-16,5.773211915307832e-16,5.227167499996225e-16,5.22716750056525e-16,3.838604109269204e-21,4.6050702234018694e-24,1.947524879980286e-24,4.220528398812991e-25,8.516341903777022e-21,3.222380124592548e-32,4.0186505553243987e-25,1.762070388735104e-28,3.104899004278096e-26,9.482031235735301e-26,5.689308122097351e-32,3.8892185717796835e-26,1.259802654116076e-23,2.687131193281793e-26,1.879053552673208e-26,2.3277378476083885e-26,9.84674425957978e-37,8.504682919862779e-21,2.4256834713417174e-23,8.544478149865383e-32,1.379870221609169e-26,4.322150105221398e-29,1.4034528196407734e-39,6.693947426692726e-27,1.1378237472804917e-29,4.2336982065289194e-40,1.6894834208842956e-33,3.8868018086007957e-31,1.0108793701686323e-33,2.594137030622972e-41,1.0110169892796836e-33,9.464504469348507e-41,3.5321561176893216e-54,5.534755852299389e-53,1.0720289681054937e-63,1.304168614505661e-44,1.7281908253385515e-56,1.0116090257217938e-56,3.349393117421884e-67,1.9577196994725396e-67,7.457494556897352e-56,7.709628813301315e-55,6.886963302420415e-62,1.1283634589100372e-66
3.3396062424841084e-17,0.11224537200000101,0.9,0.0,0.0,0.0,0.0,0.09999999999999103,2.299113855908674e-15,2.299097083022403e-15,1.5885567441264278e-15,1.588556744463448e-15,1.3758983609257115e-15,1.3758983715518158e-15,1.3758608790694956e-15,1.3758608790985612e-15,1.2268074804569688e-15,1.2268075861214486e-15,1.1107730936567937e-15,1.1107730939053856e-15,1.6752198009727135e-20,2.0111484673927585e-23,8.505352010175722e-24,1.843215418882169e-24,1.8097227729216533e-20,2.8410769843638885e-31,1.7550490884247997e-24,1.5574886706052591e-27,1.3559909681329613e-25,4.141049176153201e-25,5.023045050591787e-31,1.6967443507469756e-25,2.67708061706888e-23,1.1722677807075037e-25,8.197953159036189e-26,1.0156288910335312e-25,8.701212461408524e-36,1.801833293542774e-20,1.0566404410108886e-22,3.731598289626672e-31,6.009502182614681e-26,3.562955906038547e-28,2.2439377998262314e-38,2.9204287808535295e-26,7.963095775917261e-29,5.5386114576406624e-39,5.5579275999984306e-33,1.697468465308196e-30,3.325504964173013e-33,2.2944848258633724e-40,3.325957690773806e-33,7.802518005867548e-40,1.1193611898102827e-52,2.0795582902810273e-51,8.739872135286088e-62,2.1566415124160837e-43,6.27973385868481e-55,3.789147421222761e-55,2.641838481578006e-65,1.5893029637287953e-65,5.448591557152732e-54,2.2249967405211856e-53,2.748406264550503e-60,1.7286054889688185e-64
6.875659910996693e-17,0.11224537200000208,0.9,0.0,0.0,0.0,0.0,0.09999999999998152,4.7334697037716355e-15,4.7333997803079634e-15,3.2705580020685073e-15,3.270558003476562e-15,2.8327318971108595e-15,2.832731941473542e-15,2.832654750556371e-15,2.832654750677722e-15,2.5257801068229406e-15,2.5257805456966822e-15,2.286885780677279e-15,2.2868857817157992e-15,6.983708676406752e-20,8.396093193547247e-23,3.5508163663934834e-23,7.695059730238133e-24,3.7259008138726194e-20,2.3799635225082023e-30,7.326974549016123e-24,1.3074136659557305e-26,5.6609953643065095e-25,1.728804024055194e-24,4.2140351372826086e-30,7.068744729324041e-25,5.511636470061408e-23,4.883380554457458e-25,3.4155111228020718e-25,4.232087247033953e-25,7.300268003040326e-35,3.6875241149445443e-20,4.388702832948769e-22,1.5578691618501156e-30,2.494955880322832e-25,2.8767618612885287e-27,3.555380439031889e-37,1.2167265737197463e-25,5.819384606619513e-28,7.661979414118386e-38,1.5317889466421406e-32,7.086596695882743e-30,9.165173181307279e-33,1.9286527491273587e-39,9.166420898038028e-33,5.5251422321947644e-39,3.1131126251842015e-51,7.144659683296028e-50,6.247350559437813e-60,3.4876472753805915e-42,2.0286879234845087e-53,1.2975947328438934e-53,1.7763035387483593e-63,1.1295871209672802e-63,3.726253211923164e-52,6.294832062902218e-52,9.768266329149552e-59,2.387228347649915e-62
1.3947767248021865e-16,0.11224537200000424,0.9,0.0,0.0,0.0,0.0,0.09999999999996251,9.602181400834604e-15,9.60189655489903e-15,6.6345605162713576e-15,6.634560522032337e-15,5.7463989002131745e-15,5.746399081455622e-15,5.746242492082293e-15,5.7462424925781296e-15,5.1237253595541715e-15,5.123727134332858e-15,4.639111153542824e-15,4.639111157791186e-15,2.8449299679998204e-19,3.4300326331867157e-22,1.4506237986985736e-22,3.14368150760577e-23,7.558263979059524e-20,1.945640258286611e-29,2.993300107288161e-23,1.0690402178141217e-25,2.3127013198135704e-24,7.062708182415316e-24,3.449315334838397e-29,2.875765282730983e-24,1.1180747884395817e-22,1.986404816184973e-24,1.3896817664273741e-24,1.722472027236958e-24,5.962976817611506e-34,7.391958900178479e-20,1.7747513502715875e-21,6.364409283948935e-30,1.008091772788421e-24,2.2931619929952333e-26,5.596167319124296e-36,4.950452442085217e-25,4.404666676389752e-27,1.1174659324118917e-36,3.6531761759632173e-32,2.8951059806816703e-29,2.1857456069449887e-32,1.5812260478755964e-38,2.1860431595510583e-32,3.3865164695515856e-38,7.573025132863058e-50,2.3338295586210004e-48,4.177636253983503e-58,5.565176584895149e-41,5.946459610903183e-52,4.227881232431714e-52,1.0655745188838712e-61,7.4974408221333494e-62,2.4337329544379525e-50,1.7260986764751175e-50,3.2902211261843155e-57,3.1174852835181886e-60
2.8091981922072205e-16,0.11224537200000849,0.9,0.0,0.0,0.0,0.0,0.09999999999992448,1.9339604800372202e-14,1.9338459937953874e-14,1.3362565537951828e-14,1.3362565561307434e-14,1.1573732629346203e-14,1.1573733362008462e-14,1.1573417969342407e-14,1.1573417971347283e-14,1.0319615865013786e-14,1.0319622896202784e-14,9.343561894572208e-15,9.343561911790052e-15,1.1434352951570365e-18,1.3864376136668853e-21,5.8636489047515595e-22,1.270725135377822e-22,1.522304699666789e-19,1.5725291691619676e-28,1.2099332893614362e-22,8.611464374179053e-25,9.348308501958353e-24,2.8548431176433455e-23,2.7902310400451215e-28,1.152803237960488e-23,2.25189695464884e-22,7.960548865637313e-24,5.572025775465438e-24,6.910715009085953e-24,4.7933626754033066e-33,1.4542382360320799e-19,7.030974636490686e-21,2.572604745187085e-29,3.9872131450945685e-24,1.8034822598213245e-25,8.69964988861606e-35,1.9848482137653335e-24,3.400815096346271e-26,1.6855051404716256e-35,7.864327260130053e-32,1.1702481265270035e-28,4.704747771149972e-32,1.280517849386872e-37,4.7053881784961776e-32,1.8059374806585714e-37,1.6017873718490053e-48,7.334613522937009e-47,2.678180002450507e-56,8.76152565481336e-40,1.566836228058126e-50,1.327254015669081e-50,5.71008160773057e-60,4.7560482804884196e-60,1.530386150801466e-48,4.422603474711863e-49,1.0798835180102609e-55,3.900210449220588e-58
5.638041127017289e-16,0.112245372000017,0.9,0.0,0.0,0.0,0.0,0.09999999999984845,3.881445162158737e-14,3.8809899870488205e-14,2.681857555441186e-14,2.6818575648864023e-14,2.322839897932842e-14,2.3228401925735202e-14,2.3227768900692484e-14,2.3227768908758947e-14,2.0711396875921626e-14,2.0711424061914802e-14,1.8752463357824152e-14,1.8752463427412466e-14,4.546008840848809e-18,5.5745162372333196e-21,2.3577438772644293e-21,5.109520285648735e-22,3.0553062150144267e-19,1.2642282231017753e-27,4.865037293804585e-22,6.858497772214716e-24,3.75891373187194e-23,1.1479066305426446e-22,2.2443189133689415e-27,4.559720441836588e-23,4.519540820478219e-22,3.146867936061636e-23,2.2048757914725472e-23,2.73797335786599e-23,3.802000733266729e-32,2.7879137436844663e-19,2.7184339823462713e-20,1.034446979168972e-28,1.536842929088229e-23,1.3891514685117065e-24,1.31879209229963e-33,7.853590479790188e-24,2.6414193259727585e-25,2.5757482643122156e-34,1.5774982020919327e-31,4.70551625044259e-28,9.432191145839445e-32,1.0306721673615643e-36,9.433474507096943e-32,8.584061871804703e-37,2.971436292935034e-47,2.204086558989896e-45,1.6503058945305287e-54,1.3516142612795456e-38,3.653891802217015e-49,3.993861925004806e-49,2.70164540648144e-58,2.883934533408068e-58,9.203993733641545e-47,1.0191919634515698e-47,3.4994267570537684e-54,4.63385813536054e-56
1.1295726996637424e-15,0.11224537200003408,0.9,0.0,0.0,0.0,0.0,0.09999999999969636,7.776414535630462e-14,7.774629259793007e-14,5.373059547972844e-14,5.373059586265852e-14,4.653772724617803e-14,4.653773906569676e-14,4.653647067068717e-14,4.65364707030757e-14,4.149495889769173e-14,4.1495060093641096e-14,3.7570266209100754e-14,3.757026649091362e-14,1.7829699440207668e-17,2.2354058722856718e-20,9.455578935695318e-21,2.0491384672530296e-21,6.121659922735299e-19,1.0138169456503158e-26,1.951057693305286e-21,5.390238062889381e-23,1.5074925269989124e-22,4.60351288095399e-22,1.800242919694518e-26,1.7706700873588673e-22,9.054826686423346e-22,1.2206854156266855e-22,8.569276421801335e-23,1.0666405301671218e-22,2.9645117945339655e-31,5.118339548771976e-19,1.011835917932473e-19,4.148813358965329e-28,5.688500077767606e-23,1.0320391523206147e-23,1.905345093961354e-32,3.051901999364498e-23,2.036715902550595e-24,3.909705111515729e-33,2.9725281996996137e-31,1.887122478327711e-27,1.7732259379583189e-31,8.270495043276713e-36,1.7734667592193975e-31,3.7736716805222426e-36,4.910440412946516e-46,6.194202262452097e-44,1.2709146278057858e-52,2.0132812582271965e-37,7.540860881118704e-48,1.130071757097999e-47,1.4964125779480784e-56,2.176886839004215e-56,5.178845594392471e-45,2.0675291018230733e-46,1.3066291375701162e-52,8.581198727953979e-54
