Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4753167793631518e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999934,1.704103625257439e-16,1.704102281595111e-16,1.1774385597477514e-16,1.1774385597746987e-16,1.0198161326898239e-16,1.0198161335400065e-16,1.0197883442648829e-16,1.0197883442672082e-16,9.093099368399739e-17,9.093099453318854e-17,8.233052274887372e-17,8.233052275086158e-17,1.3420071815917503e-22,1.6091323651821092e-25,6.805146862802645e-26,1.4747599052810048e-26,1.341366748048299e-21,2.842397017111856e-34,1.404219230008022e-26,1.5492024936313586e-30,1.0849305435131552e-27,3.313264197016299e-27,5.010252733296669e-34,1.3600329716563632e-27,1.984252689866837e-24,9.396967645074247e-28,6.570785847085354e-28,8.139296143969432e-28,8.658857788639035e-39,1.34250180882168e-21,8.491903949315604e-25,2.9856575562573398e-33,4.831447256414718e-28,5.272331160559758e-31,5.0621077229073765e-42,2.3407869097999334e-28,2.2241244547808913e-31,2.424366698319195e-42,7.674999722961708e-35,1.3581472352956342e-32,4.5922333827149057e-35,2.279642076448671e-43,4.592858561054284e-35,6.498522264591419e-43,2.010565214237502e-57,2.1050192492265024e-56,1.3407082500644758e-67,4.1978001761326985e-47,6.743992131376569e-60,3.8615407473541694e-60,4.2956350092366136e-71,2.4586299135127278e-71,1.2779206269180604e-59,6.592013672234769e-58,2.881694379506569e-65,6.51506221521761e-71,9.064038401939098e-33
6.930886982216825e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999815,4.771490150773299e-16,4.771482036427652e-16,3.296827967226968e-16,3.296827967389745e-16,2.8554851687820815e-16,2.8554851739171977e-16,2.855407363884208e-16,2.855407363898253e-16,2.5460678231518986e-16,2.546067874411776e-16,2.3052546369218093e-16,2.305254637041884e-16,8.104348457612053e-22,9.719151823009615e-25,4.110308613418973e-25,8.907549580568934e-26,3.75582690859634e-21,3.369761704237653e-33,8.481482786947039e-26,1.8389267159644213e-29,6.552980482778899e-27,2.001211233942399e-26,5.943439819768369e-33,8.212557842439512e-27,5.555907520050699e-24,5.674308111076548e-27,3.967794908627462e-27,4.915039224338385e-27,1.0277566114454394e-37,3.756256816997981e-21,5.1259808915700396e-24,1.8033371696130213e-32,2.9162654208441352e-27,5.113209418637711e-30,8.778294602102778e-41,1.4134918852380843e-27,1.686778810716759e-30,3.3711721072918917e-41,4.2286520871388864e-34,8.203209301261562e-32,2.5301572089090896e-34,2.7063910731445777e-42,2.53050165979769e-34,9.550383170576618e-42,9.767212155131457e-56,1.2791559627119025e-54,1.033765804468514e-65,7.747775042984765e-46,4.064490939779022e-58,2.34334652618451e-58,3.285733209829862e-69,1.8931471286509128e-69,9.849879260729853e-58,2.566115255822933e-56,1.3766199854119803e-63,6.223757283143819e-69,5.474679194780125e-32
1.584202738792417e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999575,1.0906263202015056e-15,1.0906224148929842e-15,7.53560678191846e-16,7.53560678270231e-16,6.526823229968896e-16,6.526823254692383e-16,6.526645402893001e-16,6.526645402960624e-16,5.819583595775636e-16,5.819583842251967e-16,5.26915345560133e-16,5.269153456179535e-16,3.900495200665631e-21,4.679345427651212e-24,1.9789365701322764e-24,4.288601433564679e-25,8.58474735818367e-21,3.300547236977238e-32,4.0834674780874516e-25,1.8048629677299368e-28,3.154978020475485e-26,9.634967169093447e-26,5.827398980137876e-32,3.951915434339254e-26,1.269921713411265e-23,2.730448791553004e-26,1.9093456017597406e-26,2.3652645767666965e-26,1.0085855245994777e-36,8.572798818415578e-21,2.464757715131652e-23,8.682292315991521e-32,1.4020955766589368e-26,4.4224784601589014e-29,1.4467923500927475e-39,6.801859696265943e-27,1.1616381735775338e-29,4.353050829235434e-40,1.7124400124160262e-33,3.94949216035363e-31,1.0246151257080093e-33,2.657150804261232e-41,1.0247546147754215e-33,9.685647612089041e-41,3.6691606020763126e-54,5.760411363941671e-53,1.1247116883162175e-63,1.3450925693236704e-44,1.798152826573871e-56,1.052819526973451e-56,3.513033238891414e-67,2.0538456782446053e-67,7.818626878075298e-56,7.995489289846658e-55,7.1680317235769715e-62,1.191673672367764e-66,2.635822367297265e-31
3.3664308199338864e-17,0.11224537200000102,0.9,0.0,0.0,0.0,0.0,0.09999999999999096,2.317580930534004e-15,2.317563887310545e-15,1.6013164410233678e-15,1.601316441365826e-15,1.3869499308351735e-15,1.386949941632667e-15,1.3869121479991148e-15,1.386912148028649e-15,1.2366615141022658e-15,1.2366616214666417e-15,1.1196951092213879e-15,1.1196951094739908e-15,1.702220150192265e-20,2.0435862381888077e-23,8.64253509419524e-24,1.8729446963480175e-24,1.824258934856808e-20,2.909974687419811e-31,1.783356312638078e-24,1.5953043434083576e-27,1.377861790199054e-25,4.2078402438566645e-25,5.144944561691359e-31,1.7240825328212891e-25,2.6985836177013544e-23,1.1911548229231726e-25,8.330043439483255e-26,1.0319946129812662e-25,8.912439511484528e-36,1.8162209662660195e-20,1.073639295818009e-22,3.791785363113679e-31,6.10616024953649e-26,3.6473616915934845e-28,2.314787899374998e-38,2.967484248922562e-26,8.139754659283835e-29,5.702457266207579e-39,5.625265628917677e-33,1.724846988943271e-30,3.3657955756685926e-33,2.3502197950363302e-40,3.3662537873210626e-33,7.97891146207735e-40,1.1625089375007015e-52,2.1642581341561474e-51,9.169124346819482e-62,2.2253955198199802e-43,6.532114397236455e-55,3.943328177880588e-55,2.7701647019443295e-65,1.66726536154866e-65,5.715257063178737e-54,2.3097714107025256e-53,2.8605732931152455e-60,1.8266832828066646e-64,1.1511328770601392e-30
6.930886982216825e-17,0.11224537200000209,0.9,0.0,0.0,0.0,0.0,0.09999999999998138,4.771490151536624e-15,4.771419101895061e-15,3.2968279662593044e-15,3.296827967690087e-15,2.8554851289154297e-15,2.8554851739936472e-15,2.8554073630509626e-15,2.8554073631742706e-15,2.5460678231514894e-15,2.5460682690674586e-15,2.3052546362453014e-15,2.3052546373005843e-15,7.09618713600706e-20,8.531513148476946e-23,3.6080875872504806e-23,7.819173567570913e-24,3.7558282300483547e-20,2.4376839463426443e-30,7.445151397340671e-24,1.3391431980270527e-26,5.752301741145432e-25,1.756687919545853e-24,4.316306633877078e-30,7.182516761757516e-25,5.555907352192438e-23,4.96197311939271e-25,3.4704871613821567e-25,4.300217818290306e-25,7.477374603359061e-35,3.716791556308548e-20,4.459124277451266e-22,1.582996091052919e-30,2.5349730125407465e-25,2.945570404623328e-27,3.668927687902064e-37,1.2363108177619777e-25,5.953623687833237e-28,7.897276440916759e-38,1.5479532682818392e-32,7.200896642599575e-30,9.261887989788786e-33,1.9755013489980407e-39,9.263148872777386e-33,5.643737578308672e-39,3.230412796285994e-51,7.435081581642154e-50,6.553827694284133e-60,3.5996944470367045e-42,2.10916647725109e-53,1.3502932766279167e-53,1.861695659019295e-63,1.1849130553918267e-63,3.908772442546786e-52,6.537470860789421e-52,1.0166925516651103e-58,2.5233385070311397e-62,4.805753160834025e-30
1.4059799306782703e-16,0.11224537200000424,0.9,0.0,0.0,0.0,0.0,0.09999999999996222,9.679308594900607e-15,9.679019167885778e-15,6.687851015022752e-15,6.687851020876788e-15,5.7925554546907385e-15,5.792555638856534e-15,5.792397791683476e-15,5.7923977921873105e-15,5.164880441249214e-15,5.164882244360726e-15,4.6763736890987446e-15,4.6763736934157204e-15,2.8906838250777966e-19,3.485355003628065e-22,1.4740209478392198e-22,3.194386024042283e-23,7.618974075389477e-20,1.99284577424673e-29,3.0415790103545545e-23,1.0949613109444752e-25,2.3500029540003026e-24,7.176622499451107e-24,3.533046254540325e-29,2.921953379935718e-24,1.127055452481995e-22,2.018304021632927e-24,1.4120041697695758e-24,1.7501488942202887e-24,6.107458811760742e-34,7.449925328725127e-20,1.8030835213703787e-21,6.46706116500729e-30,1.0241713532862544e-24,2.3481448933063991e-26,5.7755323531694935e-36,5.029969931235638e-25,4.508561423985632e-27,1.1526062216664115e-36,3.6870341609202284e-32,2.941801238442065e-29,2.2060018838410478e-32,1.6196353605179164e-38,2.2063021938363654e-32,3.4543739751343376e-38,7.848309641335936e-50,2.4283274790757824e-48,4.3821088015405016e-58,5.744358837191479e-41,6.177290475234787e-52,4.398972752557687e-52,1.1159172907029493e-61,7.863612076364339e-62,2.552611184455443e-50,1.7922138169302064e-50,3.424500519949873e-57,3.295261910096396e-60,1.9633069741220447e-29
2.8317623955914458e-16,0.11224537200000856,0.9,0.0,0.0,0.0,0.0,0.09999999999992389,1.949494548712854e-14,1.9493782265029548e-14,1.3469897105715945e-14,1.3469897129449364e-14,1.1666695824700859e-14,1.1666696569181e-14,1.1666378643063355e-14,1.1666378645100574e-14,1.0402505677441767e-14,1.0402512819754913e-14,9.418611790028091e-15,9.418611807524378e-15,1.161771949790839e-18,1.408798920293298e-21,5.958223814988538e-22,1.2912206826345963e-22,1.5345323824124967e-19,1.61069893979596e-28,1.2294482374977463e-22,8.819893440158796e-25,9.499087671315051e-24,2.900888706275229e-23,2.857979594886851e-28,1.171241194884455e-23,2.269984768468356e-22,8.087832538179122e-24,5.661164786271743e-24,7.021340135791156e-24,4.9092162824256816e-33,1.4653726086041914e-19,7.142093663616979e-21,2.614098560584136e-29,4.050123878303192e-24,1.8465622410622267e-25,8.977603101072074e-35,2.0165998764885156e-24,3.481868718248762e-26,1.7391486866849916e-35,7.930178394612596e-32,1.1891230963158218e-28,4.7441294823634046e-32,1.3116227065857135e-37,4.744775248903053e-32,1.8395883616904922e-37,1.657633753167087e-48,7.629371446641189e-47,2.808676135643937e-56,9.042916829438563e-40,1.625749513763897e-50,1.3805909167409476e-50,5.973015853877281e-60,4.987048892117471e-60,1.6046806689266792e-48,4.588034791330736e-49,1.1239553595567474e-55,4.1216089117492906e-58,7.936000695662712e-29
5.683327325417797e-16,0.11224537200001716,0.9,0.0,0.0,0.0,0.0,0.09999999999984724,3.912621929408932e-14,3.9121594961690925e-14,2.7033989259767533e-14,2.7033989355751783e-14,2.3414975438561763e-14,2.3414978432497407e-14,2.3414340322279192e-14,2.3414340330475832e-14,2.08777561498153e-14,2.0877783757226526e-14,1.8903087972776628e-14,1.890308804349305e-14,4.6184974608242016e-18,5.664423133687792e-21,2.3957719462867238e-21,5.191931746666626e-22,3.0798483252460793e-19,1.2949246030284217e-27,4.943504810204555e-22,7.02391214361381e-24,3.8195413726864067e-23,1.1664210378269066e-22,2.2988221630414727e-27,4.6320496275761593e-23,4.555842926327204e-22,3.1967567423031065e-23,2.239866273214951e-23,2.781478156040002e-23,3.8934447926574696e-32,2.808276714965448e-19,2.7605718758092844e-20,1.0511319099506096e-28,1.5605904942175828e-23,1.421959374443991e-24,1.360453435993413e-33,7.978215026403097e-24,2.70448550109692e-25,2.65795969396305e-34,1.5896102579326974e-31,4.781411673887355e-28,9.504499964279427e-32,1.0557080624852295e-36,9.505793151951813e-32,8.734775403907283e-37,3.0709164612165307e-47,2.2914317694697547e-45,1.7300343457628406e-54,1.394672870496959e-38,3.7860657228279285e-49,4.15229194959596e-49,2.8221984659361178e-58,3.0225708647727483e-58,9.645675107642188e-47,1.0559259779964366e-47,3.6422441803680737e-54,4.893983802177524e-56,3.1910309763514108e-28
1.1386457185070498e-15,0.11224537200003434,0.9,0.0,0.0,0.0,0.0,0.09999999999969393,7.838876700184477e-14,7.837063271443501e-14,5.4162173458531674e-14,5.4162173847703416e-14,4.691153016166722e-14,4.691154217187141e-14,4.6910263586509755e-14,4.691026361942129e-14,4.1828257094516065e-14,4.182835980362976e-14,3.787204026183307e-14,3.7872040548234587e-14,1.811085608020267e-17,2.271457217003574e-20,9.60808780771337e-21,2.082188962118036e-21,6.170839257629674e-19,1.0384379983837833e-26,1.9825257288925483e-21,5.519345740767829e-23,1.5318069225805136e-22,4.677761357215182e-22,1.8439663439612448e-26,1.7983117438044305e-22,9.12755734625292e-22,1.239720231932252e-22,8.703162880946984e-23,1.0833458554156885e-22,3.035141233579076e-31,5.152449932521989e-19,1.026964695261858e-19,4.215734408606643e-28,5.773070691917481e-23,1.0558643298554295e-23,1.964129203254808e-32,3.099578516181845e-23,2.0850432199941173e-24,4.033783388996228e-33,2.993117370853419e-31,1.917559937697984e-27,1.7854155167087136e-31,8.471392334431042e-36,1.7856579832451957e-31,3.8373929491510864e-36,5.068587528026883e-46,6.433724228804338e-44,1.3313315825781277e-52,2.076378323144583e-37,7.803659894990312e-48,1.1739291152802629e-47,1.5611808911958103e-56,2.2797286400695773e-56,5.422394309719509e-45,2.138910250633365e-46,1.3599548447689916e-52,9.050278351232402e-54,1.2797461442608394e-27
