Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4948848054477098e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999933,1.71757500979624e-16,1.7175736448078315e-16,1.1867465192953086e-16,1.1867465193226836e-16,1.0278780457490182e-16,1.027878046612696e-16,1.0278500376559353e-16,1.0278500376582978e-16,9.164982695460651e-17,9.164982781727255e-17,8.298136704892784e-17,8.298136705094726e-17,1.3633069893413135e-22,1.6346741382033848e-25,6.913165065711204e-26,1.498168792325843e-26,1.351970602793271e-21,2.910301686576605e-34,1.426508422258969e-26,1.586232044736328e-30,1.1021516632514031e-27,3.3658556875106526e-27,5.1299772991601124e-34,1.3816179851240995e-27,1.999938725951959e-24,9.546105748250846e-28,6.675070816722922e-28,8.268476230899053e-28,8.865819829323272e-39,1.3531078746644835e-21,8.626652965881662e-25,3.0330489460948413e-33,4.908110322238392e-28,5.382592115076981e-31,5.2044741836911716e-42,2.377937527854335e-28,2.2641577289260353e-31,2.4861202344496583e-42,7.790787843908259e-35,1.3797051279194783e-32,4.66151365376693e-35,2.3341340879902845e-43,4.6621482637950486e-35,6.6521475091016416e-43,2.0846563737523165e-57,2.189525321304945e-56,1.4055595655930068e-67,4.319468026614817e-47,7.014166784199024e-60,4.0165085373247795e-60,4.5030598363981526e-71,2.5775147311464793e-71,1.3307775332942448e-59,6.816689682273601e-58,2.997412270064498e-65,6.8640869463662785e-71,9.207912027366819e-33,9.533155898316022e-44
6.985677455253587e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999813,4.809210027482775e-16,4.809201784360462e-16,3.322890253959069e-16,3.322890254124431e-16,2.8780585253041837e-16,2.878058530520811e-16,2.877980105378243e-16,2.8779801053925114e-16,2.566195154728954e-16,2.5661952068019685e-16,2.3234782773225837e-16,2.323478277444564e-16,8.232966436158491e-22,9.873423948920449e-25,4.175551605783436e-25,9.048939252407677e-26,3.7855177022183106e-21,3.450236736891692e-33,8.616109475583959e-26,1.8828790349320943e-29,6.656996045996949e-27,2.0329764860484836e-26,6.085435425959608e-33,8.342882540799454e-27,5.59982842090529e-24,5.764352626445409e-27,4.03076009427227e-27,4.993037812504588e-27,1.052320011087464e-37,3.7859102174300655e-21,5.207294545290762e-24,1.8319615692551095e-32,2.962523838824432e-27,5.225880797254226e-30,9.035840809344941e-41,1.4359226517526092e-27,1.7191656833141094e-30,3.460255872724317e-41,4.289713711513404e-34,8.333418972711397e-32,2.5666926077960614e-34,2.771083989246292e-42,2.567042032543563e-34,9.774094058163507e-42,1.0136038633807516e-55,1.3304959908240963e-54,1.0837635318418582e-65,7.980623008786146e-46,4.227019025926323e-58,2.4373467151007704e-58,3.44416103809355e-69,1.9846595391458784e-69,1.0299510452519957e-57,2.6564705393408303e-56,1.4318998103456628e-63,6.560822248018728e-69,5.561578864538685e-32,2.1322000255208735e-42
1.5967262754865342e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999572,1.099248006306922e-15,1.099244039031424e-15,7.595177723015412e-16,7.595177723811708e-16,6.57841947324225e-16,6.578419498358174e-16,6.578240240589353e-16,6.57824024065805e-16,5.865588925094617e-16,5.865589175478266e-16,5.31080749079961e-16,5.310807491386994e-16,3.962385773454997e-21,4.7536206290101216e-24,2.0103482602496274e-24,4.356674468222953e-25,8.652612032630149e-21,3.379334304750972e-32,4.148284400336641e-25,1.847996228026795e-28,3.20505703667286e-26,9.787903101163505e-26,5.966587285701378e-32,4.014611527396208e-26,1.2799607763771164e-23,2.773765839360222e-26,1.9396372890377348e-26,2.402790892823591e-26,1.0326869178376661e-36,8.640373148515454e-21,2.5038307825189767e-23,8.820106482194414e-32,1.4243202069126172e-26,4.523531610945698e-29,1.4907702959702634e-39,6.909770671252559e-27,1.1855820582928305e-29,4.473878339810152e-40,1.735315150969502e-33,4.0121825121064945e-31,1.0383021447462897e-33,2.720666692912624e-41,1.0384434971351274e-33,9.908290527986714e-41,3.8091989464569675e-54,5.99149327379054e-53,1.1790919763162419e-63,1.386635710666384e-44,1.8697738191356724e-56,1.0950195833535871e-56,3.681893186754023e-67,2.153064735747879e-67,8.191232718300248e-56,8.287304844301817e-55,7.455872625928839e-62,1.257465227839457e-66,2.6776608175719685e-31,4.211447549451925e-41
3.3930433354088855e-17,0.11224537200000102,0.9,0.0,0.0,0.0,0.0,0.09999999999999089,2.3359020135096954e-15,2.335884699953625e-15,1.6139752660043382e-15,1.6139752663522345e-15,1.3979141324429323e-15,1.3979141434118158e-15,1.3978760510077537e-15,1.3978760510377566e-15,1.246437646582548e-15,1.2464377556467165e-15,1.128546591699532e-15,1.128546591956146e-15,1.7292200415329108e-20,2.0760240064327258e-23,8.779718177908388e-24,1.9026739737312452e-24,1.8386801810732784e-20,2.9794185895389803e-31,1.8116635363976523e-24,1.633420803852447e-27,1.3997326122651339e-25,4.274631310420833e-25,5.2678126069459485e-31,1.751420036067324e-25,2.7199166261339853e-23,1.2100413795839497e-25,8.462130527956783e-26,1.0483599704065884e-25,9.125345480385564e-36,1.8304935634732617e-20,1.090637116798927e-22,3.8519724367371088e-31,6.2028119503448e-26,3.7324040882895594e-28,2.386719522616723e-38,3.0145385748848873e-26,8.317555647223151e-29,5.868537828502658e-39,5.692241609397371e-33,1.7522255125783714e-30,3.40586955788885e-33,2.4063988792521024e-40,3.406333225101187e-33,8.156336015079086e-40,1.2065934668263787e-52,2.250990709085179e-51,9.61219402842472e-62,2.2952156261945345e-43,6.790394359965561e-55,4.101203090995015e-55,2.9025436462103067e-65,1.7477324580215736e-65,5.990475860854226e-54,2.3963840870974815e-53,2.975443041140783e-60,1.928657434792237e-64,1.1694048274897926e-30,7.488976302801807e-40
6.985677455253587e-17,0.11224537200000212,0.9,0.0,0.0,0.0,0.0,0.09999999999998123,4.80921002825824e-15,4.809137852477129e-15,3.322890252976046e-15,3.3228902544295567e-15,2.878058484804729e-15,2.8780585305984862e-15,2.877980104531771e-15,2.877980104657037e-15,2.5661951547285382e-15,2.5661956076858763e-15,2.323478276635339e-15,2.323478277707382e-15,7.20866176065654e-20,8.666933082028604e-23,3.665358807849956e-23,7.943287404209221e-24,3.785519055228653e-20,2.4958623406274784e-30,7.563328241864992e-24,1.3711246536750678e-26,5.843608117984248e-25,1.784571814078871e-24,4.4193910965030464e-30,7.29628311814956e-25,5.599828250382614e-23,5.040561625101026e-25,3.525460530608809e-25,4.368345339932793e-25,7.655885380954078e-35,3.745822141756978e-20,4.529537143073393e-22,1.6081230204852548e-30,2.57498486766906e-25,3.0149066567450298e-27,3.784236566999585e-37,1.2558941067155217e-25,6.088817855951872e-28,8.136005578762446e-38,1.5640042958632937e-32,7.315196589316616e-30,9.357924894533955e-33,2.022723254322099e-39,9.359198851489299e-33,5.762867129661251e-39,3.3501392173302886e-51,7.732445823893682e-50,6.870150239415583e-60,3.71349756994769e-42,2.191478601637792e-53,1.404249808661698e-53,1.9497369305493e-63,1.2420118053004887e-63,4.0971422288515934e-52,6.785426879426945e-52,1.0575190592425118e-58,2.6648846811381044e-62,4.88203495703883e-30,1.2614188836642008e-38
1.417094569494299e-16,0.11224537200000426,0.9,0.0,0.0,0.0,0.0,0.09999999999996191,9.755826059135766e-15,9.755532051353825e-15,6.740720225183918e-15,6.740720231131015e-15,5.838347118025892e-15,5.838347305115059e-15,5.838188210085271e-15,5.838188210597105e-15,5.205710171019782e-15,5.205712002457267e-15,4.713341645293608e-15,4.7133416496792e-15,2.936434560492659e-19,3.540677356663116e-22,1.497418096768733e-22,3.2450905399094254e-23,7.679204231526233e-20,2.040426368981542e-29,3.089857910327156e-23,1.1210874706552313e-25,2.3873045881869515e-24,7.29053680863564e-24,3.61744329552269e-29,2.9681368721210482e-24,1.1359651197821215e-22,2.0501999350122257e-24,1.434324406836463e-24,1.7778232843618597e-24,6.2530805829772806e-34,7.507411788733825e-20,1.8314088364038008e-21,6.569713049817381e-30,1.0402467252969144e-24,2.4035486421968563e-26,5.957685865494797e-36,5.109479669848534e-25,4.613231223887478e-27,1.188279037579204e-36,3.7206211336396616e-32,2.9884964962026365e-29,2.2260959835392556e-32,1.6583507315250064e-38,2.2263990288431788e-32,3.5224331683146163e-38,8.128899269333254e-50,2.525066816028503e-48,4.5931236865938044e-58,5.926351457056837e-41,6.413161544530948e-52,4.5741194265310056e-52,1.1677763893538362e-61,8.241458620928395e-62,2.6752800673678454e-50,1.8597482259253667e-50,3.562015441439761e-57,3.4801310471024604e-60,1.9944705768868126e-29,2.0663024250265954e-37
2.85414821743218e-16,0.11224537200000863,0.9,0.0,0.0,0.0,0.0,0.09999999999992329,1.964905812647912e-14,1.9647876547191437e-14,1.3576380162657485e-14,1.3576380186768746e-14,1.1758924098458834e-14,1.1758924854756959e-14,1.1758604415213702e-14,1.1758604417283268e-14,1.048474020359933e-14,1.0484747456983866e-14,9.493068377756777e-15,9.493068395531515e-15,1.1801061122741356e-18,1.4311602130163186e-21,6.052798723515716e-22,1.3117162294302818e-22,1.5466634023722042e-19,1.6491723623083448e-28,1.2489631831635453e-22,9.029959635662812e-25,9.649866840671116e-24,2.946934288549055e-23,2.9262674883041393e-28,1.1896754995095037e-23,2.287929588849184e-22,8.215090119963359e-24,5.7502866065534245e-24,7.131945576466316e-24,5.025974734556565e-33,1.4764107009096026e-19,7.253159897570406e-21,2.65559238200423e-29,4.113002337375151e-24,1.88996496356392e-25,9.25982730560511e-35,2.0483453893006876e-24,3.5635373301048214e-26,1.793618709385662e-35,7.995464330479856e-32,1.2079980661047851e-28,4.783172846734804e-32,1.3429754177833316e-37,4.783823926388443e-32,1.8732952045689279e-37,1.714474360739309e-48,7.93101683116794e-47,2.943315200304996e-56,9.328683504680733e-40,1.6858726166390939e-50,1.4351744766469708e-50,6.243538205201684e-60,5.225344222895038e-60,1.681318834005362e-48,4.756841369838424e-49,1.1690891336989162e-55,4.351770002579202e-58,8.061968960681227e-29,3.331611245511632e-36
5.728255513307941e-16,0.1122453720000173,0.9,0.0,0.0,0.0,0.0,0.09999999999984603,3.943552228403589e-14,3.943082538983512e-14,2.7247700009835948e-14,2.724770010735249e-14,2.3600076915289873e-14,2.3600079956754853e-14,2.359943680155288e-14,2.359943680987971e-14,2.1042800268746664e-14,2.1042828297191018e-14,1.905252182326962e-14,1.9052521895114283e-14,4.690966582468627e-18,5.754329921248718e-21,2.433800013932828e-21,5.274343203973293e-22,3.104196443470311e-19,1.3258653690596987e-27,5.021972307266627e-22,7.190607388153367e-24,3.880169013500419e-23,1.1849354399937981e-22,2.3537594885778163e-27,4.704350604184024e-23,4.591858045344723e-22,3.246625425655884e-23,2.2748434631741615e-23,2.8249676858466183e-23,3.9855890460734444e-32,2.828449243401806e-19,2.8026712482159725e-20,1.0678168502477294e-28,1.5843146914327643e-23,1.4550009594414344e-24,1.4027355968014466e-33,8.102792029896648e-24,2.768027106528224e-25,2.7414370100619364e-34,1.6016100988593294e-31,4.857307097333334e-28,9.576136040772e-32,1.0809434520697581e-36,9.577438963131706e-32,8.885614272120449e-37,3.1720363168863876e-47,2.3807617606701683e-45,1.8122566791793405e-54,1.438386769614728e-38,3.920765124757355e-49,4.3143310506919084e-49,2.946058882882082e-58,3.1655079555371594e-58,1.0101012797595186e-46,1.0933563270391986e-47,3.7885028594069775e-54,5.164219580979609e-56,3.2416822616975146e-28,5.308514386015209e-35
1.1476470105059464e-15,0.11224537200003466,0.9,0.0,0.0,0.0,0.0,0.09999999999969152,7.900845069453153e-14,7.899003502604002e-14,5.4590339593118286e-14,5.459033998853317e-14,4.7282377972834094e-14,4.728239017372614e-14,4.7281101478534466e-14,4.728110151196903e-14,4.215892039899431e-14,4.215902461870863e-14,3.817142863664132e-14,3.817142892763247e-14,1.8391864755827676e-17,2.3075084789078572e-20,9.760596668688448e-21,2.1152394540050497e-21,6.219630004157499e-19,1.0632551526791316e-26,2.0139937497933956e-21,5.649425417287899e-23,1.5561213181618318e-22,4.752009792415078e-22,1.8880380655787492e-26,1.8259325188180363e-22,9.19971303246591e-22,1.25874019312927e-22,8.836950745055283e-23,1.1000397877096484e-22,3.1062908615236095e-31,5.186196698902799e-19,1.0420678167709289e-19,4.28265560534843e-28,5.857487815111862e-23,1.0798429982956028e-23,2.0237363887691715e-32,3.147219778440496e-23,2.1337230823681618e-24,4.1597369680169636e-33,3.013493190233876e-31,1.947997397069289e-27,1.7974764371618299e-31,8.673890442994534e-36,1.7977205313445868e-31,3.901139875781644e-36,5.229144492330114e-46,6.678428798102333e-44,1.3935861504006845e-52,2.140396461961973e-37,8.071158711395859e-48,1.2187435869972703e-47,1.6276447642713217e-56,2.385667639525014e-56,5.673215075204795e-45,2.211537189953474e-46,1.4145654609855023e-52,9.536825420078884e-54,1.300059575129038e-27,8.343998842592796e-34
