Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5143005442291394e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999934,1.7309415538768407e-16,1.7309401675623966e-16,1.195982040056703e-16,1.195982040084506e-16,1.0358772173239884e-16,1.0358772182011614e-16,1.0358489912724241e-16,1.0358489912748232e-16,9.236306593687468e-17,9.236306681301559e-17,8.362714618181663e-17,8.362714618386757e-17,1.3846067528895515e-22,1.6602159109783195e-25,7.021183268590278e-26,1.5215776793627303e-26,1.362491933505233e-21,2.978737788352231e-34,1.448797614466122e-26,1.6235519620738265e-30,1.1193727829896504e-27,3.418447177895369e-27,5.250639738229455e-34,1.4032029329666886e-27,2.0155026861500977e-24,9.695243381945965e-28,6.779355477816764e-28,8.397655965594644e-28,9.074404605836557e-39,1.3636312944986999e-21,8.76140097644563e-25,3.0804403359340827e-33,4.984772767975254e-28,5.493473156203911e-31,5.3486245191307204e-42,2.4150880355078455e-28,2.3043014037573493e-31,2.5484769130232364e-42,7.906444338606516e-35,1.4012630205433257e-32,4.7307151679573464e-35,2.389053498770162e-43,4.731359198952347e-35,6.8069250253408985e-43,2.1602916886767738e-57,2.276034308222543e-56,1.472468892056667e-67,4.442756293752652e-47,7.290718545996941e-60,4.175146825789352e-60,4.717047394977175e-71,2.7001700395333995e-71,1.3850359034162965e-59,7.045440773913556e-58,3.1158743595579227e-65,7.226061834210002e-71,9.35178565279455e-33,9.833380477053332e-44,2.3138378161227624e-74
7.04004152384159e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.0999999999999981,4.846636350909289e-16,4.846627979010836e-16,3.348749712089914e-16,3.348749712257859e-16,2.9004562056704584e-16,2.900456210968595e-16,2.900377175503499e-16,2.9003771755179897e-16,2.586165846232462e-16,2.5861658991186035e-16,2.341560093042728e-16,2.341560093166615e-16,8.3615838901658365e-22,1.002769607190789e-24,4.240794598112896e-25,9.190328924152033e-26,3.814977428550486e-21,3.531340820356583e-33,8.75073616370116e-26,1.9271759324798e-29,6.761011609214985e-27,2.064741738024403e-26,6.228542609425534e-33,8.473206460534072e-27,5.6434075092763225e-24,5.854396584798742e-27,4.093724913831947e-27,5.0710359827278934e-27,1.0770759496323552e-37,3.8153322099489585e-21,5.288607006478249e-24,1.8605859689010854e-32,3.0087815218345712e-27,5.3392871457875985e-30,9.29689665034846e-41,1.4583532872775363e-27,1.751683545265429e-30,3.5503038824702883e-41,4.350650246345349e-34,8.463628644161263e-32,2.6031531609038725e-34,2.836284313723665e-42,2.603507549320862e-34,9.999420760607304e-42,1.051282731509803e-55,1.383052297318557e-54,1.1353475428637566e-65,8.216785226471416e-46,4.3933693191905574e-58,2.5335715132312642e-58,3.60758870933763e-69,2.0790727655842784e-69,1.0762593144879306e-57,2.7485697704022756e-56,1.4884905720412068e-63,6.910575047206634e-69,5.648478534297245e-32,2.199346070767382e-42,2.1943649731332668e-72
1.6091523483066495e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999568,1.1078025945190898e-15,1.1077985652771298e-15,7.65428505588092e-16,7.654285056689659e-16,6.629614171016566e-16,6.629614196524928e-16,6.629433543728493e-16,6.629433543798264e-16,5.911236219959777e-16,5.911236474250628e-16,5.352137355299304e-16,5.352137355895868e-16,4.024275831712343e-21,4.8278958275013104e-24,2.0417599503326125e-24,4.424747502788551e-25,8.719948553297322e-21,3.4587364356988283e-32,4.213101322076011e-25,1.8914674926599777e-28,3.2551360528702183e-26,9.940839031955588e-26,6.106864401237548e-32,4.077306857002024e-26,1.2899217107752974e-23,2.8170823410327724e-26,1.9699286173523112e-26,2.44031679902689e-26,1.0569771093499676e-36,8.707418555187044e-21,2.5429026828545453e-23,8.957920648474073e-32,1.44654411809462e-26,4.625303833174089e-29,1.5353862089874755e-39,7.017680361832796e-27,1.2096543834062494e-29,4.5961773418491645e-40,1.7581099675771244e-33,4.0748728638593855e-31,1.0519411040222568e-33,2.784680758116109e-41,1.0520843131897142e-33,1.01324179210871e-40,3.952289169462642e-54,6.228044138006888e-53,1.2351967093567156e-63,1.428797746901524e-44,1.94306610061e-56,1.138216917562125e-56,3.8560535591592374e-67,2.2554256886342904e-67,8.575491394369596e-56,8.585107090879404e-55,7.750539548820909e-62,1.3257948270572906e-66,2.719499267846673e-31,4.344060705797842e-41,4.133477610012072e-70
3.41944874015163e-17,0.11224537200000102,0.9,0.0,0.0,0.0,0.0,0.0999999999999908,2.3540805134622333e-15,2.3540629295780968e-15,1.6265355742361267e-15,1.626535574589461e-15,1.4087930056321456e-15,1.4087930167724196e-15,1.4087546279229857e-15,1.4087546279534572e-15,1.2561376967413936e-15,1.2561378075052516e-15,1.1373291879042272e-15,1.1373291881648518e-15,1.7562194785989582e-20,2.1084617721446032e-23,8.916901261317568e-24,1.9324032510325018e-24,1.8529891946343163e-20,3.0494043862601008e-31,1.8399707597070958e-24,1.6718356842117935e-27,1.4216034343312004e-25,4.341422375854648e-25,5.391641569184444e-31,1.7787568658374695e-25,2.7410836113603174e-23,1.228927454519016e-25,8.594214449621176e-26,1.0647249661821258e-25,9.339917133477505e-36,1.8446537722275712e-20,1.1076339122235346e-22,3.9121595104969584e-31,6.299457335666365e-26,3.8180780334529626e-28,2.459732193089787e-38,3.0615917677446763e-26,8.496489735583742e-29,6.036850087742049e-39,5.7588617607268406e-33,1.779604036213497e-30,3.4457306320753116e-33,2.463018594986502e-40,3.446199725862305e-33,8.334779179980573e-40,1.2516196315573036e-52,2.339771829219199e-51,1.0069299393816104e-61,2.3661015155103758e-43,7.054614947094911e-55,4.26280075974627e-55,3.0390363561137272e-65,1.8307436400491098e-65,6.274382456316994e-54,2.484845501484345e-53,3.0930368747742007e-60,2.034618603777643e-64,1.1876767779194491e-30,7.72475409291663e-40,6.124814516211273e-68
7.040041523841591e-17,0.11224537200000212,0.9,0.0,0.0,0.0,0.0,0.09999999999998108,4.846636351696894e-15,4.84656304981428e-15,3.34874971109153e-15,3.3487497125677697e-15,2.9004561645381993e-15,2.900456211047497e-15,2.9003771746438e-15,2.9003771747710234e-15,2.5861658462320397e-15,2.5861663062298963e-15,2.3415600923447444e-15,2.3415600934335503e-15,7.321132580650771e-20,8.802352994371069e-23,3.7226300281939295e-23,8.067401240158507e-24,3.8149788133657677e-20,2.554495104655272e-30,7.681505082619108e-24,1.4033560427401356e-26,5.934914494822954e-25,1.8124557076617613e-24,4.523282139918502e-30,7.410043843487705e-25,5.643407336089233e-23,5.119146103767048e-25,3.5804312516330988e-25,4.436469836106487e-25,7.835789211886471e-35,3.774621403193603e-20,4.599941499303332e-22,1.6332499501471144e-30,2.6149914882460517e-25,3.0847663638272423e-27,3.9013064115129496e-37,1.2754764481485172e-25,6.224959542850149e-28,8.378164081739126e-38,1.579944340743334e-32,7.42949653603387e-30,9.453297725399833e-33,2.0703155369875584e-39,9.45458466591361e-33,5.882522907147935e-39,3.4723012862637185e-51,8.036805561724509e-50,7.196472894793517e-60,3.829056186088868e-42,2.2756357450014786e-53,1.4594739266860732e-53,2.04046551055291e-63,1.3009110718311511e-63,4.291454077779574e-52,7.038730516652419e-52,1.0993137495104759e-58,2.8119940527137676e-62,4.958316753243664e-30,1.3011188781352345e-38,7.932971091929959e-66
1.4281227091221512e-16,0.11224537200000431,0.9,0.0,0.0,0.0,0.0,0.0999999999999616,9.831748029568357e-15,9.83144944132896e-15,6.793177983039677e-15,6.7931779890798395e-15,5.8837824097306504e-15,5.883782599743193e-15,5.883622266567541e-15,5.8836222670873744e-15,5.246222145212585e-15,5.246224004969249e-15,4.750021899993477e-15,4.750021904447687e-15,2.982182199079953e-19,3.5959996924302856e-22,1.5208152454887707e-22,3.295795055211666e-23,7.738965653189226e-20,2.0883790981049437e-29,3.138136807230573e-23,1.1474170654669085e-25,2.4246062223735122e-24,7.404451110030504e-24,3.7025012304686603e-29,3.0143157961622823e-24,1.14480544797844e-22,2.082092582703505e-24,1.4566424949653085e-24,1.805495217453711e-24,6.399833013026782e-34,7.564429498759455e-20,1.8597273522658835e-21,6.67236493837892e-30,1.0563179236434281e-24,2.4593697573650453e-26,6.142626477600434e-36,5.18898171995891e-25,4.718669872606451e-27,1.2244840979084012e-36,3.753943190358154e-32,3.035191753963384e-29,2.2460315537982856e-32,1.6973697602537566e-38,2.246337312826788e-32,3.5906903548588935e-38,8.414806279489811e-50,2.6240641914686586e-48,4.810782684134806e-58,6.111153459953217e-41,6.654098526007227e-52,4.7533512940714756e-52,1.2211720865718711e-61,8.631160633504669e-62,2.801798076375731e-50,1.9287088893076107e-50,3.7027914688770245e-57,3.6722578303770396e-60,2.0256341796516034e-29,2.131289550785804e-37,9.237245707437925e-64
2.8763598225981356e-16,0.11224537200000868,0.9,0.0,0.0,0.0,0.0,0.09999999999992268,1.9801971390987927e-14,1.980077145698341e-14,1.3682034519885321e-14,1.3682034544374451e-14,1.1850434609637277e-14,1.1850435377753402e-14,1.1850112444343031e-14,1.1850112446444945e-14,1.0566334743170689e-14,1.0566342107574319e-14,9.566945510361737e-15,9.566945528414951e-15,1.1984378027111485e-18,1.4535214919479923e-21,6.147373630346504e-22,1.3322117757684961e-22,1.5587000164625746e-19,1.687947054423728e-28,1.268478126378754e-22,9.24164975400071e-25,9.800646010026497e-24,2.992979864514695e-23,2.9950904892448028e-28,1.2081061816723834e-23,2.305734754415302e-22,8.342321824429536e-24,5.83939137659703e-24,7.242531491280357e-24,5.1436306534310564e-33,1.4873547694130543e-19,7.36417379682735e-21,2.6970862094464465e-29,4.175848802736587e-24,1.9336876230659635e-25,9.546318894456314e-35,2.080084802397841e-24,3.6458159123247435e-26,1.848914800330263e-35,8.060198238885995e-32,1.226873035893894e-28,4.821885746385941e-32,1.3745740388766906e-37,4.8225420941473085e-32,1.9070568203015895e-37,1.77231005356686e-48,8.239597620170028e-47,3.0821603936367248e-56,9.618823047960806e-40,1.7472099413868782e-50,1.4910134014179048e-50,6.52173973201443e-60,5.471044141421529e-60,1.7603358263030584e-48,4.929035248816288e-49,1.2152932354656691e-55,4.590894210799528e-58,8.187937225699928e-29,3.436250873787917e-36,9.57224330916704e-62
5.772834049550104e-16,0.1122453720000174,0.9,0.0,0.0,0.0,0.0,0.09999999999984482,3.974241813706247e-14,3.9737648700394645e-14,2.745974756537405e-14,2.7459747664423088e-14,2.3783737847540188e-14,2.378374093653465e-14,2.3783092775602563e-14,2.3783092784059578e-14,2.1206559939074953e-14,2.1206588388171123e-14,1.9200792711381425e-14,1.9200792784354473e-14,4.763416367342647e-18,5.844236600816561e-21,2.4718280802135366e-21,5.356754657597854e-22,3.1283550992234156e-19,1.3570486042049666e-27,5.100439785150897e-22,7.358572892790382e-24,3.940796654313937e-23,1.2034498370834618e-22,2.4091274849308747e-27,4.7766236110251355e-23,4.627592878125759e-22,3.296474157313251e-23,2.3098074739134923e-23,2.8684420758600596e-23,4.078427572539752e-32,2.8484358322068693e-19,2.844732462267615e-20,1.0845018000574625e-28,1.608015742032444e-23,1.4882740105180694e-24,1.4456376000315808e-33,8.227321893023589e-24,2.8320401147467323e-25,2.826179338897958e-34,1.6135003795992434e-31,4.933202520780524e-28,9.647115270420975e-32,1.1063767713318882e-36,9.648427837905476e-32,9.036575614633202e-37,3.274795219344491e-47,2.4720887232786145e-45,1.8970095301210652e-54,1.4827552341015022e-38,4.057995601229023e-49,4.480001738570762e-49,3.0732616565909585e-58,3.31280773841411e-58,1.057020157353585e-46,1.131484382931256e-47,3.938229998760789e-54,5.444788250605718e-56,3.292333547043796e-28,5.474796937143321e-35,8.639023396352271e-60
1.1565782503454042e-15,0.1122453720000349,0.9,0.0,0.0,0.0,0.0,0.0999999999996891,7.962331172614317e-14,7.960461482323451e-14,5.5015173543541395e-14,5.501517394520089e-14,4.765033967572666e-14,4.765035206730766e-14,4.764905334092919e-14,4.76490533748868e-14,4.248701033083572e-14,4.24871160586145e-14,3.846848703455349e-14,3.846848733013524e-14,1.8672726755887965e-17,2.3435596587169896e-20,9.913105518707176e-21,2.148289942937432e-21,6.268041236539394e-19,1.0882668703593268e-26,2.0454617561355782e-21,5.780468626265601e-23,1.5804357137428354e-22,4.826258186875792e-22,1.9324553522984077e-26,1.8535326022075727e-22,9.271307169599301e-22,1.2777454348635976e-22,8.970640907222452e-23,1.1167224292210612e-22,3.177955978609896e-31,5.2195886736333e-19,1.0571455578273471e-19,4.349576949104308e-28,5.941753115095782e-23,1.1039734898966541e-23,2.0841642530526266e-32,3.194826105662352e-23,2.1827522944596972e-24,4.287563592068928e-33,3.0336608567069417e-31,1.978434856441622e-27,1.8094118187120817e-31,8.877976812566924e-36,1.809657523337547e-31,3.9649118629913356e-36,5.39210722092004e-46,6.928340793529927e-44,1.4577034352478412e-52,2.205333838175533e-37,8.34336287166271e-48,1.264520037370687e-47,1.695820236773966e-56,2.49474522250346e-56,5.931402589852333e-45,2.2854105069859318e-46,1.4704711439719483e-52,1.0041191824801935e-53,1.3203730059974165e-27,8.603996693127831e-34,1.1428186521122492e-57
