Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.533567496824989e-18,0.1122453720000001,0.9,0.0,0.0,0.0,0.0,0.09999999999999933,1.7442056678037143e-16,1.7442042601632782e-16,1.2051467874150632e-16,1.2051467874432935e-16,1.0438150898548248e-16,1.0438150907454928e-16,1.0437866475151338e-16,1.04378664751757e-16,9.307083924468291e-17,9.307084013429853e-17,8.426797659681237e-17,8.426797659889488e-17,1.4059064725779727e-22,1.6857576835088156e-25,7.129201471440103e-26,1.544986566391729e-26,1.3729326374292925e-21,3.047701202655043e-34,1.471086806629818e-26,1.6611600022041557e-30,1.1365939027278963e-27,3.4710386681712885e-27,5.372232791945429e-34,1.4247878156912768e-27,2.030947377011904e-24,9.844380549787797e-28,6.883639832751238e-28,8.526835350778046e-28,9.284599578198448e-39,1.3740739683752107e-21,8.896147988789649e-25,3.1278317257750635e-33,5.061434598422791e-28,5.604969486454508e-31,5.494555206505793e-42,2.4522384336136212e-28,2.344554626119549e-31,2.6114339030068855e-42,8.02197048678991e-35,1.4228209131671753e-32,4.79983869099749e-35,2.444397008161082e-43,4.800492132341755e-35,6.9628451380799584e-43,2.2374796635705757e-57,2.364561763035753e-56,1.541468362898889e-67,4.567662703428186e-47,7.573696126967813e-60,4.337484043122872e-60,4.937699392975681e-71,2.8266546268604126e-71,1.4407135238557998e-59,7.278279288366112e-58,3.23710200437219e-65,7.601261960956697e-71,9.495659278222285e-33,1.0138259161037995e-43,2.433780456112666e-74,1.3938411034320548e-74
7.093988991109969e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.0999999999999981,4.883775869905369e-16,4.883767369231294e-16,3.3744110046922636e-16,3.374411004862792e-16,2.922682248713159e-16,2.9226822540928055e-16,2.9226026129821744e-16,2.922602612996888e-16,2.6059834988510925e-16,2.605983552550347e-16,2.359503344661869e-16,2.359503344787662e-16,8.490200823688491e-22,1.0181968191994528e-24,4.306037590407627e-25,9.331718595802723e-26,3.844211399879149e-21,3.6130690706450484e-33,8.885362851302651e-26,1.971814745198045e-29,6.865027172433005e-27,2.096506989871162e-26,6.372752759823551e-33,8.603529607664205e-27,5.68665264350563e-24,5.944439990443958e-27,4.156689370137203e-27,5.149033738239676e-27,1.102022938334771e-37,3.8445281146900685e-21,5.3699182843714056e-24,1.8892103685509506e-32,3.055038475570097e-27,5.4534227686961384e-30,9.56145788890246e-41,1.4807837928257327e-27,1.7843313837055756e-30,3.6413127720000023e-41,4.411463093625917e-34,8.59383831561116e-32,2.639539707095363e-34,2.901988128072062e-42,2.6398990491066302e-34,1.0226348821439169e-41,1.0897625698148945e-55,1.436834309709085e-54,1.1885425915452456e-65,8.456258957009603e-46,4.5635705890808375e-58,2.6320380991055992e-58,3.7760932255559194e-69,2.1764319797296476e-69,1.1239325523432062e-57,2.8424202822488594e-56,1.5464024727001602e-63,7.273291185342242e-69,5.735378204055815e-32,2.2675329175758587e-42,2.3092089460792563e-72,1.3320660328662454e-72
1.621483197967993e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999565,1.1162916274328726e-15,1.1162875362249614e-15,7.712939438967011e-16,7.712939439788194e-16,6.680416554908429e-16,6.680416580809229e-16,6.680234543675452e-16,6.680234543746295e-16,5.956533711659499e-16,5.956533969857438e-16,5.393150501853849e-16,5.393150502459592e-16,4.086165379418305e-21,4.90217102314697e-24,2.073171640381498e-24,4.492820537262191e-25,8.786769062553621e-21,3.538748851194992e-32,4.277918243309502e-25,1.9352741466851479e-28,3.305215069067564e-26,1.0093774961479563e-25,6.248221889560583e-32,4.1400014290679776e-26,1.2998063127982269e-23,2.860398300799679e-26,2.0002195894826663e-26,2.4778422985491685e-26,1.0814546374821069e-36,8.773947198670271e-21,2.5819734252089765e-23,9.095734814830487e-32,1.4687673157967243e-26,4.7277895350677005e-29,1.5806396507832047e-39,7.125588777951013e-27,1.2338541544841696e-29,4.719944517336749e-40,1.7808255629631338e-33,4.137563215612309e-31,1.0655326621402006e-33,2.8491891526606066e-41,1.0656777216331343e-33,1.03580148611429e-40,4.0984490997698e-54,6.470106176270546e-53,1.2930527630986273e-63,1.471578392818504e-44,2.0180418611161448e-56,1.1824191908888134e-56,4.0355949039004044e-67,2.360977347668205e-67,8.971582214318543e-56,8.888927371220814e-55,8.05208561490515e-62,1.3967195739232175e-66,2.7613377181213845e-31,4.478729001598032e-41,4.3533991795640045e-70,2.5509936840558457e-70
3.4456517956819855e-17,0.11224537200000106,0.9,0.0,0.0,0.0,0.0,0.09999999999999075,2.3721197084057035e-15,2.3721018541980062e-15,1.6389996306397893e-15,1.6389996309985613e-15,1.4195885121213378e-15,1.4195885234330019e-15,1.4195498404098787e-15,1.4195498404408188e-15,1.2657634137275842e-15,1.2657635261910303e-15,1.1460444815455773e-15,1.1460444818102129e-15,1.7832184649112055e-20,2.1408995353440615e-23,9.054084344425135e-24,1.96213252825242e-24,1.86718855579304e-20,3.119927873109372e-31,1.8682779825698967e-24,1.7105466716165455e-27,1.4434742563972545e-25,4.408213440166839e-25,5.51642400797515e-31,1.8060930273601058e-25,2.76208839028924e-23,1.247813051468835e-25,8.726295229057793e-26,1.0810896031139491e-25,9.556141542762093e-36,1.8587041765189843e-20,1.1246296901140058e-22,3.972346584393227e-31,6.396096454954873e-26,3.9043785817168273e-28,2.5338254437459434e-38,3.1086438362974803e-26,8.676548128833221e-29,6.207391056888649e-39,5.825132114466976e-33,1.8069825598486484e-30,3.485382407144481e-33,2.5200755394248967e-40,3.485856899012238e-33,8.514228786609641e-40,1.297592223656594e-52,2.4306171817160945e-51,1.0540658630895404e-61,2.4380528778785337e-43,7.324816963941676e-55,4.428149552834509e-55,3.1797038022398957e-65,1.9163382867917527e-65,6.567111334385075e-54,2.5751662846811174e-53,3.213375993871375e-60,2.1446581142717075e-64,1.2059487283491092e-30,7.964184224557965e-40,6.452702402355749e-68,3.900301743418927e-68
7.09398899110997e-17,0.11224537200000215,0.9,0.0,0.0,0.0,0.0,0.09999999999998094,4.883775870705117e-15,4.883701442758746e-15,3.3744110036785205e-15,3.3744110051774883e-15,2.922682206948096e-15,2.9226822541729353e-15,2.9226026121092497e-15,2.92260261223843e-15,2.605983498850663e-15,2.6059839658881957e-15,2.359503343953147e-15,2.3595033450587153e-15,7.433599625583392e-20,8.937772885669275e-23,3.7799012482843755e-23,8.191515075424094e-24,3.844212816744064e-20,2.613578721290769e-30,7.799681919632347e-24,1.4358354211699416e-26,6.026220871661556e-25,1.840339600301862e-24,4.6279735269682884e-30,7.523798981717128e-25,5.686652467654123e-23,5.1977265868297e-25,3.635399345116022e-25,4.504591330397025e-25,8.017075229958775e-35,3.803194660088986e-20,4.670337413549512e-22,1.65837688003849e-30,2.6549929158240997e-25,3.155145370633755e-27,4.020136566684805e-37,1.2950578494537506e-25,6.3620413557565025e-28,8.623749263951318e-38,1.595775635582451e-32,7.543796482751345e-30,9.548019841371139e-33,2.1182753367236837e-39,9.549319676853717e-33,6.002697153137385e-39,3.596908250316612e-51,8.348213506963394e-50,7.53295032395828e-60,3.946369844149877e-42,2.3616492288496143e-53,1.515975148979418e-53,2.1339194764936802e-63,1.3616385467156863e-63,4.491799465880347e-52,7.297411841031055e-52,1.1420841572298205e-58,2.9647947393302153e-62,5.034598549448525e-30,1.3414333233221754e-38,8.356106926325476e-66,5.359410142302207e-66
1.439066338196594e-16,0.11224537200000437,0.9,0.0,0.0,0.0,0.0,0.09999999999996133,9.907088196727784e-15,9.906785028338164e-15,6.845233747966203e-15,6.8452337540994335e-15,5.928869522864733e-15,5.928869715800652e-15,5.928708153966751e-15,5.92870815449458e-15,5.286423669096062e-15,5.2864255571651686e-15,4.786421067517026e-15,4.7864210720398554e-15,3.0279267650997616e-19,3.6513220110647755e-22,1.5442123940009512e-22,3.34649956995337e-23,7.798269116714737e-20,2.1367010854971785e-29,3.186415701088847e-23,1.1739485016971723e-25,2.4619078565599877e-24,7.518365403695865e-24,3.788214953220814e-29,3.0604901880801983e-24,1.1535780311917228e-22,2.113981990476063e-24,1.478958451091623e-24,1.833164712829254e-24,6.547707194972197e-34,7.620989245576116e-20,1.8880391241498838e-21,6.775016830691634e-30,1.0723849823409593e-24,2.515604837295792e-26,6.330352826245857e-36,5.268476142164222e-25,4.824871310408739e-27,1.2612211257909445e-36,3.787006201883459e-32,3.081887011724308e-29,2.26581210749097e-32,1.7366901016814082e-38,2.266120559138276e-32,3.659141956608583e-38,8.706042680552875e-50,2.7253360818387606e-48,5.035187521802496e-58,6.298763871936771e-41,6.900126781006667e-52,4.936698132643752e-52,1.2761245835517781e-61,9.032898179218756e-62,2.9322236463831597e-50,1.9991027005734062e-50,3.8468539814112237e-57,3.871808571362675e-60,2.056797782416417e-29,2.1972807890346783e-37,9.723346727468278e-64,6.941473610549654e-64
2.8984012163677877e-16,0.11224537200000875,0.9,0.0,0.0,0.0,0.0,0.0999999999999221,1.995371285453814e-14,1.9952494568269012e-14,1.378687922938245e-14,1.3786879254249471e-14,1.194124385975084e-14,1.1941244639684986e-14,1.194091923151634e-14,1.19409192336506e-14,1.0647304009583832e-14,1.0647311484954705e-14,9.640256509639745e-15,9.640256527971449e-15,1.2167670407401399e-18,1.4758827571977682e-21,6.241948535494014e-22,1.3527073216527736e-22,1.5706443951191065e-19,1.7270206890716134e-28,1.2879930671628318e-22,9.454950894480584e-25,9.951425179381215e-24,3.0390254342208717e-23,3.0644444646957485e-28,1.2265332705180363e-23,2.32340347586066e-22,8.469527860068012e-24,5.928479233436495e-24,7.35309803668904e-24,5.262176831750613e-33,1.4982069833258306e-19,7.475135806169145e-21,2.7385800429098775e-29,4.2386635482854185e-24,1.9777274805900637e-25,9.83707429473903e-35,2.1118181648121425e-24,3.728699561701265e-26,1.905036557113753e-35,8.124392785654423e-32,1.2457480056831484e-28,4.8602757610500465e-32,1.4064166708055635e-37,4.8609373329449046e-32,1.940872061609923e-37,1.8311416634026643e-48,8.55516129291082e-47,3.225274855463545e-56,9.913332851631272e-40,1.8097658196592452e-50,1.5481163135946227e-50,6.807711036149768e-60,5.724258388304993e-60,1.8417667817424318e-48,5.1046282640817856e-49,1.2625759945480023e-55,4.839183338809972e-58,8.313905490718838e-29,3.54250180379251e-36,1.0064337827034443e-61,8.572466381143327e-62
5.817070972710175e-16,0.11224537200001757,0.9,0.0,0.0,0.0,0.0,0.09999999999984364,4.004696219375975e-14,4.004212023380243e-14,2.7670170163578495e-14,2.7670170264160226e-14,2.396599135373721e-14,2.3965994490261303e-14,2.3965341361950298e-14,2.3965341370537503e-14,2.136906469054724e-14,2.1369093559917435e-14,1.9347927373865015e-14,1.934792744796656e-14,4.835846973258514e-18,5.934143173270896e-21,2.5098561451393973e-21,5.439166107568747e-22,3.152328648476445e-19,1.3884724358892345e-27,5.178907244013755e-22,7.527798290558223e-24,4.001424295126971e-23,1.22196422913511e-22,2.464922825945885e-27,4.8488688819029786e-23,4.663053868510612e-22,3.3463031044901926e-23,2.3447584153812942e-23,2.911901451668807e-23,4.171954588617754e-32,2.8682408087163466e-19,2.886755869793249e-20,1.1011867593769646e-28,1.6316938621047608e-23,1.5217763667932141e-24,1.4891584807974147e-33,8.351805009180113e-24,2.8965205917979066e-25,2.9121858162067862e-34,1.6252836513164622e-31,5.009097944228914e-28,9.717452928420474e-32,1.1320064917427335e-36,9.718775053547858e-32,9.187656676657147e-37,3.379192515854473e-47,2.565424708498722e-45,1.9843294705106537e-54,1.527777546538095e-38,4.1977626352673416e-49,4.649326273451461e-49,3.203841556611215e-58,3.4645320160954895e-58,1.1053435749337063e-46,1.1703114871309005e-47,4.091452591288492e-54,5.735913799335724e-56,3.3429848323902595e-28,5.643622882163856e-35,9.069550581340439e-60,9.975229924375952e-60
1.1654410485394951e-15,0.11224537200003515,0.9,0.0,0.0,0.0,0.0,0.09999999999968673,8.023346097068542e-14,8.021448297876568e-14,5.5436751917424937e-14,5.543675232533049e-14,4.801548162258909e-14,4.801549420486018e-14,4.801418552413012e-14,4.801418555861077e-14,4.2812586052425554e-14,4.281269328575928e-14,3.876326902223489e-14,3.876326932240822e-14,1.8953443339179037e-17,2.3796107571327182e-20,1.006561435785417e-20,2.1813404289380004e-21,6.316081681275528e-19,1.113471648884546e-26,2.076929748043879e-21,5.9124670984105e-23,1.6047501093235302e-22,4.900506540911973e-22,1.9772155351741814e-26,1.8811121793396213e-22,9.342352667786095e-22,1.2967360896051626e-22,9.104234239656796e-23,1.1333938797354025e-22,3.2501319949622322e-31,5.252634329997924e-19,1.072198185384328e-19,4.416498439788647e-28,6.025868219083926e-23,1.128254177444432e-23,2.145410426637901e-32,3.242397809895729e-23,2.2321277357914066e-24,4.417261027153904e-33,3.0536253614566104e-31,2.0088723158149757e-27,1.821224656287408e-31,9.083639177666532e-36,1.8214719545606102e-31,4.0287083361697205e-36,5.557471660800636e-46,7.183484673142635e-44,1.5237084600627248e-52,2.2711886358690092e-37,8.620277796126416e-48,1.3112632658189243e-47,1.7657232303205398e-56,2.6070026295487694e-56,6.197051163847145e-45,2.3605307605404332e-46,1.5276819724236211e-52,1.056373049252136e-53,1.3406864368659733e-27,8.867919597447736e-34,1.1976025281194097e-57,1.8017501690028466e-57
