Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.552689032221734e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999931,1.7573696709172028e-16,1.7573682419508176e-16,1.2142423639024834e-16,1.214242363931142e-16,1.0516930513443843e-16,1.0516930522485472e-16,1.0516643943490997e-16,1.0516643943515725e-16,9.377327063806483e-17,9.377327154115506e-17,8.490397034842869e-17,8.490397035054274e-17,1.4272061487402934e-22,1.7112994557967304e-25,7.237219674260882e-26,1.568395453412896e-26,1.3832945402091241e-21,3.1171879037441798e-34,1.4933759987503856e-26,1.699053972875015e-30,1.1538150224661402e-27,3.52363015833924e-27,5.49474936740738e-34,1.4463726337934385e-27,2.046275499169696e-24,9.993517255321771e-28,6.9879238838562934e-28,8.656014389109002e-28,9.496392492546648e-39,1.384437724637565e-21,9.03089401051828e-25,3.1752231156177825e-33,5.138095818269027e-28,5.7170764178045845e-31,5.6422628031931596e-42,2.4893887230053496e-28,2.3849165623233406e-31,2.6749884379435414e-42,8.137367538258987e-35,1.4443788057910263e-32,4.868884970688749e-35,2.500161390844486e-43,4.869547811866465e-35,7.119898393572678e-43,2.3162287308279107e-57,2.455123119084292e-56,1.6125901110352895e-67,4.694185033208361e-47,7.86314785035825e-60,4.503548399923071e-60,5.165117519529301e-71,2.957027278570226e-71,1.497828184121652e-59,7.515217469371066e-58,3.361116397225278e-65,7.98996407833421e-71,9.639532903650012e-33,1.0447791937968483e-43,2.558027803812827e-74,1.4650941070418468e-74,7.294786446364854e-44
7.147529290220854e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999809,4.92063507862397e-16,4.92062644917479e-16,3.3998786188559817e-16,3.399878619029094e-16,2.944740540840284e-16,2.9447405463014413e-16,2.9446603041163675e-16,2.9446603041313036e-16,2.6256515778657855e-16,2.6256516323781434e-16,2.3773111697063855e-16,2.3773111698340844e-16,8.618817240688341e-22,1.0336240309202437e-24,4.371280582667885e-25,9.473108267360452e-26,3.873224728006568e-21,3.695416715329494e-33,9.019989538392344e-26,2.016792870447015e-29,6.969042735651008e-27,2.1282722415897417e-26,6.518057463393013e-33,8.733851988073304e-27,5.729571385363693e-24,6.0344828475901694e-27,4.219653465954152e-27,5.227031082197574e-27,1.1271595224173042e-37,3.873503051008436e-21,5.4512283879983355e-24,1.9178347682047024e-32,3.1012947055965984e-27,5.568282100391017e-30,9.829520384303526e-41,1.5032141693869532e-27,1.8171082088794273e-30,3.7332792534753385e-41,4.472153621279902e-34,8.72404798706108e-32,2.675853064850196e-34,2.9681916031932876e-42,2.6762173504919554e-34,1.0454864117352441e-41,1.1290480849139164e-55,1.491851382681972e-54,1.24337343117032e-65,8.699041523031949e-46,4.7376513703732524e-58,2.7327635178004615e-58,3.949751563655558e-69,2.2767823500682496e-69,1.172990578380763e-57,2.9380293488227887e-56,1.605645636338216e-63,7.649247938531139e-69,5.822277873814381e-32,2.3367605608752756e-42,2.428225787201767e-72,1.4008885547881923e-72,1.631557114537768e-42
1.6337209806219096e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999562,1.124716589426089e-15,1.1247124362527327e-15,7.771151128479087e-16,7.771151129312715e-16,6.730835508136119e-16,6.730835534429359e-16,6.73065212340645e-16,6.730652123478365e-16,6.001489320835939e-16,6.00148958294085e-16,5.433854101952111e-16,5.433854102567034e-16,4.1480544204626786e-21,4.976446215968766e-24,2.1045833303965397e-24,4.560893571644565e-25,8.853085244518341e-21,3.619366881879787e-32,4.342735164040965e-25,1.979413634821959e-28,3.355294085264893e-26,1.0246710889745073e-25,6.390651506226212e-32,4.2026952493704624e-26,1.3096163108505869e-23,2.9037137227934646e-26,2.0305102081445847e-26,2.5153673944906072e-26,1.1061180739296908e-36,8.83997078028008e-21,2.6210430184459228e-23,9.233548981263666e-32,1.490989805483119e-26,4.830983252437559e-29,1.6265301925470645e-39,7.233495929324663e-27,1.2581803997825016e-29,4.8451766236666115e-40,1.8034630088138525e-33,4.200253567365257e-31,1.0790774603299564e-33,2.9141881171147973e-41,1.0792243637825185e-33,1.058506676957485e-40,4.247696380647668e-54,6.7177212795216e-53,1.3526870116259386e-63,1.5149773693867881e-44,2.09471318579584e-56,1.2276340046291263e-56,4.2205977188677956e-67,2.4697685177872232e-67,9.379684477375193e-56,9.198796760692339e-55,8.360563539721366e-62,1.4702969713398775e-66,2.8031761683960955e-31,4.615452416828049e-41,4.5814748093180856e-70,2.6852768400448767e-70,3.2225698916281655e-41
3.471657083821558e-17,0.11224537200000106,0.9,0.0,0.0,0.0,0.0,0.09999999999999068,2.3900227526429704e-15,2.3900046281161853e-15,1.6513696146589736e-15,1.6513696150231841e-15,1.4303025395943933e-15,1.430302551077448e-15,1.4302635761008797e-15,1.4302635761322892e-15,1.2753164806775767e-15,1.2753165948405103e-15,1.1546939965649676e-15,1.1546939968336146e-15,1.8102170039101164e-20,2.1733372960502722e-23,9.19126742723337e-24,1.9918618053916166e-24,1.8812807474246247e-20,3.1909849417934136e-31,1.8965852049894627e-24,1.7495515059688606e-27,1.465345078463295e-25,4.475004503365932e-25,5.642152652899892e-31,1.8334285257443173e-25,2.782934635780702e-23,1.2666981740885228e-25,8.85837289028712e-26,1.097453883944104e-25,9.77400607521571e-36,1.8726472628173714e-20,1.1416244583094598e-22,4.032533658425909e-31,6.492729356535544e-26,3.99130090056002e-28,2.608998816605014e-38,3.155694789138159e-26,8.857722232124597e-29,6.380157816007919e-39,5.891058522919796e-33,1.8343610834838244e-30,3.524828384755505e-33,2.5775663873928604e-40,3.525308246686842e-33,8.694672967167904e-40,1.3445159748568208e-52,2.5235423296646354e-51,1.1026489901967417e-61,2.511069409326124e-43,7.601040830189728e-55,4.5972776137969855e-55,3.324606884721824e-65,2.004555769746818e-65,6.868796958704748e-54,2.6673569689037356e-53,3.336481435820408e-60,2.258867951088445e-64,1.2242206787787717e-30,8.207266626456335e-40,6.792817344002684e-68,4.107778863794229e-68,5.730422054931599e-40
7.147529290220855e-17,0.11224537200000217,0.9,0.0,0.0,0.0,0.0,0.0999999999999808,4.920635079435861e-15,4.920559525463194e-15,3.3998786178268793e-15,3.399878619348577e-15,2.9447404984424183e-15,2.944740546382798e-15,2.9446603032302158e-15,2.9446603033613536e-15,2.62565157786535e-15,2.625652051941721e-15,2.3773111689869253e-15,2.3773111701092574e-15,7.546062924372797e-20,9.073192756084379e-23,3.837172468123218e-23,8.315628910011174e-24,3.8732261771639344e-20,2.6731097537900112e-30,7.91785875293335e-24,1.4685608892698753e-26,6.117527248500044e-25,1.86822349200634e-24,4.73345916294977e-30,7.63754857578026e-25,5.729571206847776e-23,5.276303105010523e-25,3.6903648312471367e-25,4.572709845851869e-25,8.199732816913084e-35,3.831547031148495e-20,4.740724951681886e-22,1.683503810159371e-30,2.6949891910071674e-25,3.226039616768938e-27,4.140726387472426e-37,1.3146383178553213e-25,6.500056070584407e-28,8.872758497269721e-38,1.6115003382541757e-32,7.658096429469021e-30,9.642104153951629e-33,2.166599858521011e-39,9.64341679757115e-33,6.123382322329259e-39,3.723969210288128e-51,8.666721941743233e-50,7.879737154339738e-60,4.065438099310395e-42,2.449530250927744e-53,1.5737629161913703e-53,2.2301368269886075e-63,1.4242219123678746e-63,4.6982698395671204e-52,7.561500599793028e-52,1.185837759417767e-58,3.123415785573997e-62,5.11088034565341e-30,1.3823621952544005e-38,8.794895484492267e-66,5.645718964107978e-66,9.65183558925892e-39
1.449927370301945e-16,0.1122453720000044,0.9,0.0,0.0,0.0,0.0,0.09999999999996104,9.981859734467185e-15,9.981551986232211e-15,6.896896622345792e-15,6.896896628572096e-15,5.9736163412843635e-15,5.973616537143659e-15,5.973453755924294e-15,5.973453756460123e-15,5.326321772240127e-15,5.326323688614989e-15,4.822545512560623e-15,4.822545517152075e-15,3.073668282258579e-19,3.7066443126987056e-22,1.567609542306853e-22,3.397204084138796e-23,7.857124991743262e-20,2.185389520708753e-29,3.2346945919254603e-23,1.200680222029665e-25,2.4992094907463736e-24,7.632279689690488e-24,3.8745794741735684e-29,3.1066600830735378e-24,1.1622844033811259e-22,2.145868183511105e-24,1.5012722917644353e-24,1.8608317893807075e-24,6.696694425137927e-34,7.67710140878624e-20,1.9163442059883158e-21,6.877668726755221e-30,1.0884479346275368e-24,2.5722505581871602e-26,6.520863563009637e-36,5.347962995679032e-25,4.931829615848416e-27,1.2984898495472033e-36,3.819815825899011e-32,3.1285822694854045e-29,2.285441029966699e-32,1.7763094642903372e-38,2.2857521535879245e-32,3.727784506283213e-38,9.00262023565493e-50,2.828898821413013e-48,5.266439880303176e-58,6.489181729356602e-41,7.151271334082875e-52,5.1241894635301874e-52,1.332654011919002e-61,9.446851211672697e-62,3.066615174343934e-50,2.070936463257124e-50,3.994228163695593e-57,4.0789507465196564e-60,2.0879613851812524e-29,2.2642760616305726e-37,1.0227035223428244e-63,7.312068907271882e-64,1.580947478928897e-37
2.9202762528616636e-16,0.11224537200000882,0.9,0.0,0.0,0.0,0.0,0.09999999999992151,2.010430905038326e-14,2.010307241428256e-14,1.3890932624116029e-14,1.3890932649360968e-14,1.2031367727552198e-14,1.2031368519304381e-14,1.2031040655053616e-14,1.2031040657220224e-14,1.0727662160986603e-14,1.0727669747273303e-14,9.713014194627143e-15,9.713014213237356e-15,1.2350938455511304e-18,1.4982440088725949e-21,6.336523438971032e-22,1.3732028670865638e-22,1.5824986268655544e-19,1.7663909922881426e-28,1.307508005534791e-22,9.669850450872141e-25,1.0102204348735256e-23,3.085070997715183e-23,3.1343253759557454e-28,1.2449567945259101e-23,2.3409388427086275e-22,8.596708430608228e-24,6.017550310976841e-24,7.46364536557612e-24,5.3816062267764944e-33,1.5089694299279186e-19,7.586046360186327e-21,2.780073882393611e-29,4.301446841639886e-24,2.022081859954631e-25,1.013208996756021e-34,2.143545524456192e-24,3.8121834869829126e-26,1.961983582977059e-35,8.188060161535604e-32,1.2646229754725449e-28,4.89835018617731e-32,1.4385014578395654e-37,4.8990169392247414e-32,1.97473982089658e-37,1.8909699957859296e-48,8.877754875229434e-47,3.372721668777096e-56,1.021221033235341e-39,1.8735445122084e-50,1.6064917541876101e-50,7.101542258897388e-60,5.985096577414996e-60,1.9256467923450713e-48,5.283632054578166e-49,1.3109456768012706e-55,5.0968404887784436e-58,8.439873755737927e-29,3.650363786265091e-36,1.057360076732181e-61,9.027455036358504e-62,2.548732251716795e-36
5.860974017981101e-16,0.1122453720000177,0.9,0.0,0.0,0.0,0.0,0.09999999999984246,4.034920770618198e-14,4.0344293241958494e-14,2.787900459858617e-14,2.7879004700700786e-14,2.414686930242652e-14,2.414687248648039e-14,2.414621442827327e-14,2.414621443699067e-14,2.1530342938467245e-14,2.153037222773711e-14,1.9493951538436682e-14,1.9493951613666872e-14,4.908258554422737e-18,6.024049639471191e-21,2.5478842087207095e-21,5.521577553913749e-22,3.1761212828059305e-19,1.420135034265285e-27,5.257374684008006e-22,7.698273451366524e-24,4.0620519359395183e-23,1.2404786161870583e-22,2.5211422613614112e-27,4.9210866452712076e-23,4.698247217151083e-22,3.3961124305747916e-23,2.379696395010466e-23,2.9553459359891633e-23,4.2661644431715505e-32,2.8878683364401506e-19,2.928741814479103e-20,1.117871728203415e-28,1.6553492627263365e-23,1.555505917501332e-24,1.5332972837819992e-33,8.476241762761882e-24,2.9614646937321904e-25,2.9994555869061525e-34,1.6369623686312922e-31,5.084993367678493e-28,9.787163712065677e-32,1.1578311196490369e-36,9.788495309355955e-32,9.338854804911522e-37,3.4852275422634964e-47,2.660781631493979e-45,2.0742530095323582e-54,1.5734529964469922e-38,4.340071603351411e-49,4.822326671584156e-49,3.337833127347708e-58,3.620742462724014e-58,1.1550909187999965e-46,1.2098389512398532e-47,4.248197422985867e-54,6.037821409075137e-56,3.393636117736899e-28,5.814991444115773e-35,9.514408948990843e-60,1.0497685903007358e-59,4.060103897819587e-35
1.1742369548219976e-15,0.11224537200003544,0.9,0.0,0.0,0.0,0.0,0.09999999999968437,8.083900511781402e-14,8.081974618105933e-14,5.5855148431245263e-14,5.585514884539833e-14,4.837786766155282e-14,4.837788043451507e-14,4.8376561874528806e-14,4.8376561909532515e-14,4.3135704493379286e-14,4.31358132297845e-14,3.905582614476176e-14,3.9055826449527616e-14,1.9234015735629164e-17,2.415661774840695e-20,1.0218123186212104e-20,2.2143909120290507e-21,6.363759735518446e-19,1.138868019997922e-26,2.1083977256402143e-21,6.045412754081996e-23,1.6290645049039164e-22,4.974754854831086e-22,2.0223160061562524e-26,1.9086714313087797e-22,9.41286194993495e-22,1.315712286769062e-22,9.237731594474936e-23,1.1500542367424844e-22,3.322814426398509e-31,5.285341817785761e-19,1.0872259600366144e-19,4.483420077316541e-28,6.109834715325953e-23,1.1526834726897951e-23,2.2074725673505517e-32,3.289935196000251e-23,2.2818463577727182e-24,4.5488270612230295e-33,3.0733915049597805e-31,2.039309775189342e-27,1.8329178305134534e-31,9.290865552666653e-36,1.8331667060324359e-31,4.092528742318103e-36,5.725233790498488e-46,7.443884539825959e-44,1.5916261678044416e-52,2.3379590592092858e-37,8.901908788489775e-48,1.3589780077858957e-47,1.837369551121739e-56,2.7224809586093975e-56,6.47025472410643e-45,2.436898482186991e-46,1.5862079477964516e-52,1.1104795363545099e-53,1.3609998677347063e-27,9.135765217484733e-34,1.2541057257214258e-57,1.8935035622843667e-57,6.378712045502264e-34
