Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.571668394152369e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999931,1.7704357963283183e-16,1.770434346036028e-16,1.2232703124715026e-16,1.2232703125005887e-16,1.0595124381918184e-16,1.0595124391094762e-16,1.0594835681370564e-16,1.0594835681395664e-16,9.447047927585577e-17,9.447048019242051e-17,8.553523532517321e-17,8.553523532731884e-17,1.4485057817027334e-22,1.7368412278438848e-25,7.345237877052851e-26,1.5918043404262931e-26,1.3935793996139172e-21,3.187193956398353e-34,1.5156651908281504e-26,1.7372317311042613e-30,1.1710361422043836e-27,3.576221648400032e-27,5.618182531167303e-34,1.4679573877576126e-27,2.0614896528506388e-24,1.0142653502013638e-27,7.092207633409536e-28,8.785193083187484e-28,9.709771370419189e-39,1.394724323654439e-21,9.1656390490652e-25,3.2226145054622395e-33,5.214756432096628e-28,5.829789367591459e-31,5.791743943668346e-42,2.5265389044979904e-28,2.4253863974162487e-31,2.7391378135332905e-42,8.252636714010804e-35,1.4659366984148814e-32,4.937854737598341e-35,2.5563434939894584e-43,4.938526968193158e-35,7.27807555125309e-43,2.396547252319304e-57,2.547733692702529e-56,1.6858662688579198e-67,4.822321110410549e-47,8.159121661234541e-60,4.673367891990534e-60,5.3994034450600345e-71,3.091346777386202e-71,1.5563976765848242e-59,7.756267465404745e-58,3.487938570874116e-65,8.392446594814308e-71,9.783406529077749e-33,1.076197879563764e-43,2.6866681340203773e-74,1.5388718936076133e-74,7.115401213751193e-44,4.025336021131132e-45
7.200671503626634e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999806,4.957220229775926e-16,4.957211471552155e-16,3.4251568748481746e-16,3.4251568750238717e-16,2.966634823969458e-16,2.9666348295121245e-16,2.966553990721733e-16,2.9665539907368936e-16,2.645173419723931e-16,2.64517347504938e-16,2.3949865890544913e-16,2.394986589184097e-16,8.747433145038249e-22,1.0490512423553208e-24,4.436523574893934e-25,9.614497938825928e-26,3.902022334686455e-21,3.7783790893613945e-33,9.154616224974093e-26,2.062107764080629e-29,7.073058298868997e-27,2.1600374931811016e-26,6.664448495589703e-33,8.864173607512618e-27,5.77217101548658e-24,6.1245251603519116e-27,4.28261720398676e-27,5.3050280176882705e-27,1.1524842797980666e-37,3.902261947929606e-21,5.532537326184242e-24,1.9464591678623428e-32,3.1475502173545817e-27,5.6838597003683185e-30,1.0101080087786772e-40,1.525644417928713e-27,1.8500130532762018e-30,3.826200112877619e-41,4.532723164469794e-34,8.854257658511033e-32,2.7120940330451484e-34,3.034890996046478e-42,2.712463252462373e-34,1.0684952845690816e-41,1.1691439411217134e-55,1.5481127997455924e-54,1.299864814301756e-65,8.945130306528408e-46,4.915639968439587e-58,2.8357646839660274e-58,4.128640675666596e-69,2.380169041840417e-69,1.2234532131255795e-57,3.0354041861114617e-56,1.6662301105557594e-63,8.038724340739103e-69,5.909177543572954e-32,2.4070289956335156e-42,2.551502610092187e-72,1.4721841798851938e-72,1.5230453652898123e-42,1.5842032570975646e-43
1.645867772257516e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999558,1.1330789096897864e-15,1.1330746945514882e-15,7.828929999313393e-16,7.828930000159466e-16,6.780879583654204e-16,6.780879610339883e-16,6.780694835642988e-16,6.780694835715976e-16,6.046110673654557e-16,6.046110939666326e-16,5.474255060458576e-16,5.474255061082679e-16,4.2099429586478556e-21,5.050721405987899e-24,2.135995020377994e-24,4.6289666059363615e-25,8.918908348914046e-21,3.700585963562489e-32,4.407552084274175e-25,2.0238834592199685e-28,3.4053731014622084e-26,1.0399646816761543e-25,6.53414519230756e-32,4.2653883235560555e-26,1.319353369077763e-23,2.9470286110537807e-26,2.0608004759928194e-26,2.5528920898817183e-26,1.1309660224889464e-36,8.905500566294103e-21,2.660111471229829e-23,9.371363147773602e-32,1.5132115924951882e-26,4.9348796439027427e-29,1.6730574146651254e-39,7.341401825452812e-27,1.282632169396752e-29,4.971870490819352e-40,1.826023348934897e-33,4.262943919118234e-31,1.092576123139303e-33,2.9796739765389683e-41,1.0927248642706708e-33,1.0813559406172236e-40,4.4000484743321184e-54,6.970931017408632e-53,1.414126327458286e-63,1.558994403526885e-44,2.173092057207977e-56,1.2738689014463246e-56,4.4111424524906284e-67,2.581847998160862e-67,9.79997747391166e-56,9.514746074443457e-55,8.676025640916452e-62,1.5465849181137265e-66,2.8450146186708114e-31,4.754230931617255e-41,4.81787939993033e-70,2.824501295744867e-70,2.7495565933466735e-41,5.715895059519715e-42
3.4974690160472216e-17,0.11224537200000106,0.9,0.0,0.0,0.0,0.0,0.0999999999999906,2.4077926832050093e-15,2.407774288363576e-15,1.6636476247091316e-15,1.6636476250787801e-15,1.4409369055541573e-15,1.440936917208603e-15,1.4408976524493082e-15,1.4408976524811863e-15,1.2847985181515318e-15,1.2847986340138526e-15,1.163279200246101e-15,1.163279200518759e-15,1.8372150989588334e-20,2.205775054281981e-23,9.328450509744522e-24,2.021591082450698e-24,1.8952681600949486e-20,3.2625715765905993e-31,1.924892426969127e-24,1.7888479779676548e-27,1.4872159005293227e-25,4.541795565460266e-25,5.768820397179605e-31,1.8607633659843604e-25,2.8036258841436476e-23,1.2855828259510485e-25,8.990447456789791e-26,1.1138178113530098e-25,9.993498381739803e-36,1.8864854251485123e-20,1.1586182244728252e-22,4.092720732595005e-31,6.589356087647424e-26,4.078840266079962e-28,2.685251862427443e-38,3.202744634668407e-26,9.040003643778731e-29,6.555147509762244e-39,5.956646666816268e-33,1.8617396071190245e-30,3.5640719639100754e-33,2.6354878884478326e-40,3.564557168350548e-33,8.876100144542146e-40,1.39239555817444e-52,2.6185627148974495e-51,1.1527011343948175e-61,2.585150811583607e-43,7.8833265888079e-55,4.770212866122209e-55,3.4738064339231378e-65,2.0954354528235866e-65,7.17957377189229e-54,2.7614279900349323e-53,3.462374079220782e-60,2.3773407541173503e-64,1.2424926292084374e-30,8.454001227890591e-40,7.145422345044344e-68,4.322987604707858e-68,4.168005691960924e-40,1.7377220497844525e-40
7.200671503626634e-17,0.11224537200000217,0.9,0.0,0.0,0.0,0.0,0.09999999999998065,4.9572202305999576e-15,4.957143550638171e-15,3.4251568738037126e-15,3.4251568753481393e-15,2.9666347809387872e-15,2.966634829594709e-15,2.966553989822356e-15,2.966553989955451e-15,2.645173419723489e-15,2.645173900837868e-15,2.394986588324293e-15,2.3949865894633873e-15,7.658522505287437e-20,9.208612605773924e-23,3.894443687712345e-23,8.439742743924836e-24,3.9020238163772574e-20,2.733084842784748e-30,8.036035582550132e-24,1.5015305900440333e-26,6.208833625338425e-25,1.896107382782207e-24,4.839733090272483e-30,7.751292667654385e-25,5.772170834306246e-23,5.3548756883405865e-25,3.745327729762226e-25,4.640825405000499e-25,8.383751593143363e-35,3.85968344476261e-20,4.811104178089563e-22,1.70863074050975e-30,2.7349803534863524e-25,3.2974451331248345e-27,4.263075238225085e-37,1.3342178604149616e-25,6.638996625613481e-28,9.125189209194219e-38,1.627120535346309e-32,7.772396376186905e-30,9.735563148113339e-33,2.2152863701867173e-39,9.736888514737641e-33,6.244571073114083e-39,3.853493124652712e-51,8.992382728262093e-50,8.236987977557046e-60,4.186260513026966e-42,2.5392898881873507e-53,1.6328465931063016e-53,2.32915548268971e-63,1.4886888419683457e-63,4.91095661536407e-52,7.831026226466789e-52,1.2305819766555805e-58,3.2879871554090867e-62,5.18716214185832e-30,1.4239054701463965e-38,9.249666557256241e-66,5.942744225994009e-66,5.4185813788598685e-39,4.528653924006357e-39
1.4607076478785458e-16,0.11224537200000442,0.9,0.0,0.0,0.0,0.0,0.09999999999996073,1.005607532685711e-14,1.0055762999079326e-14,6.948175370148857e-15,6.948175376468235e-15,6.018030455736717e-15,6.018030654519396e-15,6.017866662980505e-15,6.017866663524332e-15,5.365923222866622e-15,5.365925167540607e-15,4.8584013631915e-15,4.858401367851576e-15,3.1194067737300595e-19,3.761966597461225e-22,1.591006690408023e-22,3.447908597772111e-23,7.915543262388586e-20,2.234441656498866e-29,3.282973479763378e-23,1.227610704156024e-25,2.5365111249326746e-24,7.74619396807185e-24,3.961589915905627e-29,3.152825515549815e-24,1.1709260414756777e-22,2.1777511864237792e-24,1.5235840331607714e-24,1.8884964655756286e-24,6.8467861954955184e-34,7.732775982016223e-20,1.9446426505001853e-21,6.98032062656941e-30,1.1045068129931781e-24,2.629303671038535e-26,6.71415735386937e-36,5.427442338386835e-25,5.039539000587088e-27,1.3362900024956366e-36,3.8523775176381777e-32,3.1752775272466727e-29,2.304921585438333e-32,1.8162256080637938e-38,2.3052353608329935e-32,3.79661464258562e-38,9.304550470209113e-50,2.934768605544935e-48,5.504641393815529e-58,6.682406078567191e-41,7.407556881717927e-52,5.315854557670256e-52,1.3907804346748462e-61,9.873199573943896e-62,3.2050310195966393e-50,2.1442168932250756e-50,4.144939010291511e-57,4.293852986982442e-60,2.1191249879461088e-29,2.332275291039092e-37,1.0748664984561288e-63,7.696503976621238e-64,6.097515277153272e-38,1.0196468508223432e-37
2.94198864291031e-16,0.11224537200000888,0.9,0.0,0.0,0.0,0.0,0.09999999999992092,2.0253785525313258e-14,2.0252530541795275e-14,1.399421235546309e-14,1.3994212381085974e-14,1.2120821501447631e-14,1.2120822305017876e-14,1.2120492002944543e-14,1.2120492005143499e-14,1.0807422829149766e-14,1.0807430526301297e-14,9.785230907769208e-15,9.78523092665794e-15,1.2534182359026964e-18,1.5206052470770186e-21,6.431098340790081e-22,1.3936984120732427e-22,1.5942647225775435e-19,1.806055741226358e-28,1.3270229415132206e-22,9.886336100444663e-25,1.0252983518088637e-23,3.131116555044167e-23,3.204729275102177e-28,1.2633767815348922e-23,2.358343829619081e-22,8.723863735197105e-24,6.106604740111422e-24,7.574173627387222e-24,5.501911954164571e-33,1.519644118834114e-19,7.696905883660743e-21,2.8215677278967536e-29,4.364198944374073e-24,2.0667481454197685e-25,1.0431362407177845e-34,2.17526692816498e-24,3.896263004679572e-26,2.0197554866241533e-35,8.251212106751052e-32,1.2834979452620835e-28,4.93611604762155e-32,1.4708265859550551e-37,4.93678793979725e-32,2.0086590283391966e-37,1.9517958310245408e-48,9.207424950068755e-47,3.5245638602629844e-56,1.0515452930499926e-39,1.9385502109453554e-50,1.6661481845607583e-50,7.403323088695331e-60,6.25366819710223e-60,2.0120109066589692e-48,5.466058068015495e-49,1.3604104856907791e-55,5.364070049408831e-58,8.565842020757211e-29,3.759836573916717e-36,1.1100353326596738e-61,9.499265201124282e-62,6.070025956067225e-37,2.0200982323696607e-36
5.90455063297384e-16,0.11224537200001783,0.9,0.0,0.0,0.0,0.0,0.09999999999984129,4.0649205946557993e-14,4.064421899694095e-14,2.8086286296587334e-14,2.8086286400235033e-14,2.432640237733261e-14,2.4326405608916412e-14,2.4325742657459867e-14,2.4325742666307453e-14,2.1690422041703564e-14,2.1690451750502106e-14,1.9638889976297784e-14,1.9638890052656734e-14,4.9806512615712255e-18,6.113956000257583e-21,2.585912270967548e-21,5.603988996660028e-22,3.1997370379508653e-19,1.4520346106130392e-27,5.335842105283027e-22,7.869988473235416e-24,4.1226795767515893e-23,1.258992998276763e-22,2.577782613966354e-27,4.993277124434182e-23,4.733178894168742e-22,3.4459022952716887e-23,2.4146215178127402e-23,2.998775648772915e-23,4.361051612409086e-32,2.907322423601508e-19,2.9706906321747834e-20,1.1345567065340151e-28,1.6789821501508343e-23,1.5894606001064792e-24,1.5780530630107325e-33,8.600632529501422e-24,3.026868663231385e-25,3.0879878048430743e-34,1.6485388946490918e-31,5.160888791129256e-28,9.856261770850723e-32,1.1838491949667565e-36,9.857602756751236e-32,9.490167442468235e-37,3.5928996236790506e-47,2.7581712746862486e-45,2.166816594287923e-54,1.6197808801284808e-38,4.4849277788968615e-49,4.999024711102147e-49,3.475270692486891e-58,3.781500625326147e-58,1.2062815306767807e-46,1.2500680579916677e-47,4.4084910776700397e-54,6.350737439913758e-56,3.4442874030837147e-28,5.988901852374644e-35,9.973843010302444e-60,1.103904776662744e-59,5.547158862664967e-36,3.6311278867675276e-35
1.1829674613100897e-15,0.11224537200003569,0.9,0.0,0.0,0.0,0.0,0.09999999999968201,8.144004689063542e-14,8.14205071520199e-14,5.6270434060819106e-14,5.627043448122112e-14,4.873755926697875e-14,4.873757223063327e-14,4.873624386481104e-14,4.873624390033784e-14,4.345642046676117e-14,4.345653070377985e-14,3.934620803084759e-14,3.934620834020693e-14,1.951444514738211e-17,2.451712712511087e-20,1.0370632003861806e-20,2.2474413922323804e-21,6.4110834842163305e-19,1.1644545484413125e-26,2.1398656890437528e-21,6.179297696349521e-23,1.6533789004839996e-22,5.049003128933695e-22,2.067754215809891e-26,1.9362105350981004e-22,9.482846977090825e-22,1.3346741528303107e-22,9.371133804456289e-23,1.1667035955226305e-22,3.3959988904618534e-31,5.317718980218422e-19,1.1022291362619248e-19,4.550341861603835e-28,6.193654154589124e-23,1.1772598248659957e-23,2.270348359644131e-32,3.337438561916795e-23,2.3319051810004252e-24,4.68225950363806e-33,3.092963906968932e-31,2.0697472345647132e-27,1.8444941136937167e-31,9.49964422131238e-36,1.8447445504347718e-31,4.156372548929094e-36,5.895389619647518e-46,7.709564150783126e-44,1.6614814224554176e-52,2.4056433319614844e-37,9.188261039960588e-48,1.4076689363996533e-47,1.910774892465132e-56,2.841221166977257e-56,6.751106819629633e-45,2.5145141773491383e-46,1.6460589960561404e-52,1.1664741368363542e-53,1.3813132986036164e-27,9.407531235353991e-34,1.3123542449860324e-57,1.9884316081744337e-57,4.83932578690881e-35,6.0952669975457875e-34
