Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5905087075204583e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999931,1.7834061953413042e-16,1.7834047237231514e-16,1.2322321195508392e-16,1.2322321195803535e-16,1.0672745378392418e-16,1.0672745387703943e-16,1.0672454562860375e-16,1.0672454562885844e-16,9.516257995168081e-17,9.516258088171996e-17,8.616187546321529e-17,8.616187546539242e-17,1.4698053717842858e-22,1.7623829996520562e-25,7.45325607981622e-26,1.615213227431977e-26,1.4037889090195485e-21,3.25771551257461e-34,1.5379543828634284e-26,1.775691181361094e-30,1.1882572619426248e-27,3.628813138354459e-27,5.742525503344552e-34,1.489542078057509e-27,2.0765923430263644e-24,1.029178929325239e-27,7.19649108363811e-28,8.914371435555883e-28,9.924724498590377e-39,1.4049354613059555e-21,9.300383111699469e-25,3.2700058953084344e-33,5.291416444386785e-28,5.9431038546254115e-31,5.942995336662177e-42,2.563688978888447e-28,2.4659633344910964e-31,2.80387938533949e-42,8.367779207309705e-35,1.4874945910387376e-32,5.006748705699984e-35,2.6129402345774648e-43,5.007430315392746e-35,7.437367575861565e-43,2.4784435209722817e-57,2.6424086858290454e-56,3.152455326764478e-67,4.952068810267877e-47,8.461665134926818e-60,4.8469703051234997e-60,5.640658821425448e-71,3.2296719033366255e-71,1.6164397964056104e-59,8.001441331806045e-58,3.617589401683093e-65,8.808989563120541e-71,9.927280154505486e-33,1.1080819721927862e-43,2.8197902298511634e-74,1.6152257204203203e-74,7.323360354291044e-44,4.1730539913935074e-45,1.4891878316069224e-61
7.253424381057284e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999806,4.993537347013121e-16,4.993528460015265e-16,3.450249934669259e-16,3.4502499348475407e-16,2.988368702938601e-16,2.9883687085627776e-16,2.988287277537968e-16,2.988287277553352e-16,2.6645522386470325e-16,2.66455229478556e-16,2.4125325129189293e-16,2.41253251305044e-16,8.876048540525302e-22,1.0644784535067945e-24,4.501766567086026e-25,9.755887610199832e-26,3.930608961371244e-21,3.8619516311066964e-33,9.289242911051649e-26,2.1077569382867913e-29,7.17707386208697e-27,2.1918027446461832e-26,6.811917814100942e-33,8.99449447160603e-27,5.814458547794859e-24,6.214566932752604e-27,4.345580586879102e-27,5.383024547730094e-27,1.1779958198840148e-37,3.930809553911331e-21,5.613845107558906e-24,1.9750835675238693e-32,3.1938050161640855e-27,5.800150248592597e-30,1.037613303914101e-40,1.5480745393970991e-27,1.8830449708084932e-30,3.9200722072837235e-41,4.593173026831749e-34,8.984467329961012e-32,2.7482633916936367e-34,3.102082646472033e-42,2.7486375351374917e-34,1.091660151258363e-41,1.2100547614066614e-55,1.6056277748176022e-54,1.7494650015842585e-65,9.194522746662956e-46,5.0975644643777114e-58,2.941058384739727e-58,4.312837488946793e-69,2.486637217071105e-69,1.2753402780270475e-57,3.134551953442021e-56,1.7281658682425654e-63,8.442001170482812e-69,5.996077213331529e-32,2.4783382168554106e-42,2.67912705061372e-72,1.546004197247688e-72,1.5670894116167618e-42,1.6419041152864738e-43,2.250458859913635e-60
1.6579255728130937e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999555,1.141379965058681e-15,1.14137568795594e-15,7.886285564613735e-16,7.886285565472251e-16,6.830557021092223e-16,6.830557048170337e-16,6.830370919790081e-16,6.830370919864146e-16,6.090405116907356e-16,6.090405386825868e-16,5.514360029288085e-16,5.514360029921366e-16,4.271830997692019e-21,5.124996593225088e-24,2.1674067103261088e-24,4.697039640138249e-25,8.984249213346117e-21,3.7824016333359294e-32,4.472369004012813e-25,2.068681177337225e-28,3.4554521176595073e-26,1.0552582742538195e-25,6.678695067544398e-32,4.328080657146305e-26,1.3290190906616e-23,2.99034296953083e-26,2.0910903956233337e-26,2.5904163876859043e-26,1.1559971178719986e-36,8.97054741026506e-21,2.699178792033281e-23,9.509177314360293e-32,1.535432682056039e-26,5.0394734863579513e-29,1.7202209063838002e-39,7.449306475624181e-27,1.3072085344560016e-29,5.100023018685677e-40,1.848507600346556e-33,4.325634270871239e-31,1.1060292590893683e-33,3.045643137366716e-41,1.1061798317015623e-33,1.1043478856483468e-40,4.555522666234786e-54,7.229776645450653e-53,1.5610565317813962e-63,1.6036292278931008e-44,2.2531903576340667e-56,1.3211313666827897e-56,4.60730950416884e-67,2.6972645822477326e-67,1.0232640485386605e-55,9.836805873239543e-55,8.998523847120704e-62,1.6256417059260794e-66,2.8868530689455308e-31,4.895064526241087e-41,5.062788953806402e-70,2.968773089525164e-70,2.827446848142025e-41,5.92081020047293e-42,2.4209368319395873e-59
3.523091842227824e-17,0.11224537200000108,0.9,0.0,0.0,0.0,0.0,0.09999999999999054,2.4254324258655922e-15,2.425413760713916e-15,1.6758356823333228e-15,1.6758356827084092e-15,1.4514933609219073e-15,1.451493372747743e-15,1.4514538203287302e-15,1.4514538203610773e-15,1.2942110873427508e-15,1.2942112049043595e-15,1.1718015061208814e-15,1.1718015063975499e-15,1.8642127533460288e-20,2.2382128100575142e-23,9.465633591960788e-24,2.051320359430256e-24,1.9091530967949933e-20,3.334683850929019e-31,1.953199648512148e-24,1.8284339272305488e-27,1.5090867225953375e-25,4.6085866264579985e-25,5.896420291629461e-31,1.8880975529639086e-25,2.8241655421395e-23,1.3044670105502646e-25,9.122518951526513e-26,1.1301813879617332e-25,1.021460638668221e-35,1.9002209698354314e-20,1.1756109960973356e-22,4.15290780690051e-31,6.685976694483457e-26,4.166992058983812e-28,2.7625841404034674e-38,3.2497933811038824e-26,9.223384148155187e-29,6.732357345034549e-39,6.021902062572831e-33,1.8891181307542503e-30,3.6031164452942835e-33,2.6938368641210257e-40,3.6036069651387964e-33,9.058499021229182e-40,1.441235589365577e-52,2.715693660692423e-51,1.2175879440447473e-61,2.6602967918828218e-43,8.171713914634451e-55,4.9469830181735426e-55,3.62736321110502e-65,2.1890166924165017e-65,7.499576195654567e-54,2.857389689808351e-53,3.591074647425672e-60,2.500169813206118e-64,1.2607645796381066e-30,8.70438795866045e-40,7.510782017798566e-68,4.546096659411089e-68,4.282219601885203e-40,1.7984221199532456e-40,2.225252441283386e-58
7.253424381057285e-17,0.1122453720000022,0.9,0.0,0.0,0.0,0.0,0.09999999999998051,4.9935373478492946e-15,4.993459541935286e-15,3.4502499336094374e-15,3.450249935176595e-15,2.9883686592751267e-15,2.9883687086465895e-15,2.988287276625365e-15,2.9882872767604176e-15,2.664552238646583e-15,2.6645527267981463e-15,2.4125325121779922e-15,2.4125325133338498e-15,7.770978395969816e-20,9.344032434891967e-23,3.9517149070535996e-23,8.563856577170051e-24,3.93061047583468e-20,2.793500703422822e-30,8.154212408510082e-24,1.5347427076137566e-26,6.3001400021767005e-25,1.923991272636316e-24,4.946789483393854e-30,7.865031298387249e-25,5.814458363950112e-23,5.433444366185944e-25,3.8002880599600603e-25,4.708938029873492e-25,8.569121408887538e-35,3.8876086487680855e-20,4.88147515573547e-22,1.733757671089618e-30,2.7749664420735627e-25,3.3693580385118e-27,4.387182492377107e-37,1.3537964840380336e-25,6.7788561154970935e-28,9.381038880826678e-38,1.642638245452141e-32,7.886696322905e-30,9.828408901989254e-33,2.2643322000262692e-39,9.829746908130487e-33,6.366256259400663e-39,3.985488813497619e-51,9.325247318133268e-50,8.597993463300987e-60,4.3088366528301087e-42,2.630939099641141e-53,1.6932354703410848e-53,2.431013287144303e-63,1.5550669995474014e-63,5.129951180122416e-52,8.106017848224109e-52,1.2763241743475533e-58,3.458639724697556e-62,5.2634439380632544e-30,1.4660631243884997e-38,9.720751724988828e-66,6.25072068014503e-66,5.560459920481307e-39,4.681287769972493e-39,1.9037689395483214e-57
1.4714089458716207e-16,0.11224537200000445,0.9,0.0,0.0,0.0,0.0,0.09999999999996045,1.0129747193305668e-14,1.012943028628535e-14,6.999078434290533e-15,6.999078440702989e-15,6.062119178893011e-15,6.0621193805990745e-15,6.061954187607334e-15,6.061954188159162e-15,5.4052345412534555e-15,5.405236514219982e-15,4.893994522984079e-15,4.893994527712781e-15,3.165142262174682e-19,3.817288865478623e-22,1.614403838305972e-22,3.498613110857394e-23,7.973533547010805e-20,2.2838548065010928e-29,3.33125236462505e-23,1.2547384594746712e-25,2.5738127591188903e-24,7.860108238896139e-24,4.049241509038139e-29,3.1989865191545094e-24,1.1795043682992671e-22,2.209631023284072e-24,1.5458936910993859e-24,1.916158759472584e-24,6.997974186442748e-34,7.788022592714264e-20,1.972934509235792e-21,7.082972530133918e-30,1.1205616492075016e-24,2.686760998889155e-26,6.91023287880022e-36,5.506914226889176e-25,5.14799380448116e-27,1.374621322776832e-36,3.884696539880437e-32,3.2219727850081145e-29,2.3242569229634034e-32,1.8564363425851818e-38,2.324573330359735e-32,3.865629105587574e-38,9.61184467944921e-50,3.042961493762808e-48,5.709952715750628e-58,6.878435975653424e-41,7.669007800697466e-52,5.5117224412823656e-52,1.4505238471169149e-61,1.0312122999560388e-61,3.34752950415831e-50,2.2189506208801057e-50,4.299011329909124e-57,4.5166850684130023e-60,2.1502885907109876e-29,2.401278400303719e-37,1.1288591288106969e-63,8.095079823366543e-64,6.249370077201543e-38,1.052670644534283e-37,1.5744764540997277e-56
2.9635419614034045e-16,0.11224537200000896,0.9,0.0,0.0,0.0,0.0,0.09999999999992035,2.04021668902487e-14,2.0400893561709355e-14,1.4096735428168191e-14,1.4096735454169047e-14,1.2209619909774944e-14,1.2209620725163265e-14,1.2209288003125591e-14,1.2209288005356898e-14,1.0886599146464032e-14,1.0886606954429817e-14,9.856918539363707e-15,9.856918558530987e-15,1.2717402301378902e-18,1.5429664719132686e-21,6.525673240963396e-22,1.414193956616111e-22,1.6059446194650255e-19,1.8460127622692803e-28,1.3465378751162946e-22,1.0104395793355457e-24,1.040376268744136e-23,3.17716210625333e-23,3.275652301640347e-28,1.2817932587669559e-23,2.375621302279569e-22,8.850993968568172e-24,6.195642648833091e-24,7.684682968256703e-24,5.623087282118639e-33,1.5302329859787548e-19,7.807714791927909e-21,2.863061579418414e-29,4.426920112241207e-24,2.1117237794539823e-25,1.0734888140192097e-34,2.2069824217356583e-24,3.980933535084766e-26,2.0783518820479305e-35,8.313859933932004e-32,1.302372915051764e-28,4.973580115366294e-32,1.503390281295885e-37,4.974257105567738e-32,2.0426286501009432e-37,2.0136199251285635e-48,9.544217667413512e-47,3.626495729545069e-56,1.0823058109581278e-39,2.0047870409117663e-50,1.7270939882447038e-50,7.713142768597112e-60,6.530082611389665e-60,2.1008941301336898e-48,5.651917566276647e-49,1.4109785636835965e-55,5.641077682920695e-58,8.691810285776683e-29,3.870919921331618e-36,1.1644917526710498e-61,9.988254901956528e-62,6.214873484543084e-37,2.083236160867077e-36,1.2857014668538155e-55
5.947807992466972e-16,0.11224537200001795,0.9,0.0,0.0,0.0,0.0,0.09999999999984013,4.094700630883324e-14,4.0941946892547846e-14,2.8292049385985408e-14,2.8292049491166382e-14,2.4504620138126463e-14,2.4504623417240335e-14,2.4503955608375583e-14,2.450395561735337e-14,2.1849328356872508e-14,2.1849358484832002e-14,1.97827665511928e-14,1.978276662868065e-14,5.053025242097386e-18,6.2038622564515744e-21,2.6239403318897618e-21,5.686400435834147e-22,3.223179801805396e-19,1.4841694158216204e-27,5.414309507984878e-22,8.042933673638751e-24,4.183307217563183e-23,1.2775073754408511e-22,2.634840776903845e-27,5.0654405377371397e-23,4.767854650978457e-22,3.4956728547381166e-23,2.4495338864680964e-23,3.0421907073094066e-23,4.456610695179498e-32,2.926606931112522e-19,3.0126026511835965e-20,1.1512416943659895e-28,1.7025927259877503e-23,1.6236383985143553e-24,1.6234248816329393e-33,8.724977676788038e-24,3.0927288264093734e-25,3.1777816325520867e-34,1.6600155056573845e-31,5.2367842145811975e-28,9.924760734582124e-32,1.210059289942142e-36,9.926111027396746e-32,9.641592123928481e-37,3.702208075105759e-47,2.85760529081156e-45,2.198281642979695e-54,1.6667605005030134e-38,4.632336335577796e-49,5.179441937651949e-49,3.616188359276255e-58,3.946867925210493e-58,1.2589347081608102e-46,1.291000062194845e-47,4.572359941489711e-54,6.674889414838949e-56,3.4949386884307064e-28,6.165353342338316e-35,1.0448097473407286e-59,1.1599700520640189e-59,5.675901496405877e-36,3.741600332754614e-35,1.1022139394549505e-54
1.191634005459411e-15,0.11224537200003597,0.9,0.0,0.0,0.0,0.0,0.09999999999967969,8.203668524914489e-14,8.201686485046732e-14,5.668267718186758e-14,5.668267760851997e-14,4.9094615661204207e-14,4.909462881555207e-14,4.90932907157004e-14,4.909329075175027e-14,4.377478677763875e-14,4.3774898512837674e-14,3.9634462491130286e-14,3.963446280508407e-14,1.979473274982376e-17,2.4877635707991495e-20,1.0523140810882309e-20,2.2804918695693023e-21,6.4580607161257065e-19,1.1902298307374196e-26,2.1713336383710067e-21,6.314114203871472e-23,1.6776932960637826e-22,5.123251363513703e-22,2.113527671152153e-26,1.9637296637312241e-22,9.55231927212323e-22,1.3536218114326453e-22,9.504441683758456e-23,1.1833420492283863e-22,3.4696811026574487e-31,5.349773369758244e-19,1.1172079626498438e-19,4.617263792567062e-28,6.277328051563746e-23,1.2019817192832258e-23,2.3340355139607648e-32,3.3849081989234683e-23,2.3823012926989144e-24,4.817556184653948e-33,3.1123470158335333e-31,2.1001846939410847e-27,1.8559561753942052e-31,9.709963726779045e-36,1.856208157697869e-31,4.2202392429397155e-36,6.067935188576392e-46,7.980546925990527e-44,1.6454609251967067e-52,2.4742396970225228e-37,9.479339633185913e-48,1.4573406640657563e-47,1.985954837110026e-56,2.9632640731759593e-56,7.039700626139703e-45,2.5933783263409903e-46,1.7072449693622126e-52,1.2243924404315058e-53,1.4016267294727011e-27,9.683215352358174e-34,1.3723740519020723e-57,2.0865932100158472e-57,4.950253759517725e-35,6.277035145177303e-34,1.8746523138930396e-53
