Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6092129844066787e-18,0.1122453720000001,0.9,0.0,0.0,0.0,0.0,0.09999999999999931,1.7962829415887736e-16,1.7962814486448002e-16,1.2411292179025405e-16,1.2411292179324825e-16,1.074980591246395e-16,1.0749805921910432e-16,1.0749512997219687e-16,1.0749512997245527e-16,9.584968331460564e-17,9.58496842581191e-17,8.678399094616723e-17,8.678399094837595e-17,1.4911049192969845e-22,1.7879247712229835e-25,7.56127428255119e-26,1.638622114430003e-26,1.4139247006635117e-21,3.3287488082372824e-34,1.5602435748565278e-26,1.814430273840559e-30,1.2054783816808663e-27,3.6814046282032905e-27,5.867771652040256e-34,1.511126705156501e-27,2.0915859842279122e-24,1.0440924632353086e-27,7.30077423672059e-28,9.04354944870112e-28,1.0141240419424374e-38,1.4150727722434285e-21,9.435126205531526e-25,3.31739728515637e-33,5.368075859522907e-28,6.057015495499207e-31,6.096013762462137e-42,2.600838946956243e-28,2.506646594029715e-31,2.8692105666117166e-42,8.482796184703444e-35,1.5090524836625973e-32,5.075567572981884e-35,2.6699485968633333e-43,5.076258551548461e-35,7.597765629972172e-43,2.561925762294132e-57,2.7391631885217257e-56,3.270729242969433e-67,5.083426054187998e-47,8.770825485164019e-60,5.024383219737056e-60,5.8889852820645865e-71,3.3720614337784243e-71,1.677972341464042e-59,8.250751032824559e-58,3.7500896130617617e-65,1.1171473826817723e-63,1.0071153779933232e-32,1.1404314704810881e-43,2.957483378819357e-74,1.6942071421547886e-74,7.534253815414959e-44,4.323940353943312e-45,1.5216784840081965e-61,1.540675185175323e-57
7.3057963563387e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999803,5.029592236506866e-16,5.029583220735432e-16,3.4751618100529635e-16,3.475161810233829e-16,3.00994565243499e-16,3.009945658140677e-16,3.009863639157664e-16,3.0098636391732696e-16,2.683791132808926e-16,2.683791189760522e-16,2.4299517464408424e-16,2.42995174657426e-16,9.004663430853972e-22,1.0799056643767296e-24,4.567009559244407e-25,9.897277281482823e-26,3.9589891783258955e-21,3.946129878583163e-33,9.423869596628677e-26,2.1537379595391908e-29,7.28108942530493e-27,2.2235679959859038e-26,6.960457552216384e-33,9.124814585854702e-27,5.856440742975439e-24,6.304608168727868e-27,4.408543617217566e-27,5.46102067527551e-27,1.2036927824257198e-37,3.959150445970843e-21,5.695151740563811e-24,2.003707967189284e-32,3.240059107229057e-27,5.9171485411155084e-30,1.0654675363496154e-40,1.570504534717558e-27,1.9162030360331177e-30,4.0148924622809206e-41,4.653504481647994e-34,9.11467700141102e-32,2.7843619026472105e-34,3.16976297417728e-42,2.7847409604725753e-34,1.1149796921686037e-41,1.251785128312072e-55,1.6644054537551577e-54,1.8207585944389565e-65,9.447216337700013e-46,5.283452719953917e-58,3.0486612825532306e-58,4.5024189063818803e-69,2.596232034599772e-69,1.3286715954236528e-57,3.2354797547284686e-56,1.791462809220063e-63,6.427646465487478e-62,6.082976883090109e-32,2.5506882195826495e-42,2.8111872627456633e-72,1.622400210437631e-72,1.6117386434993856e-42,1.7008236632713729e-43,2.2995586816795987e-60,4.84412348363481e-56
1.6698963100202744e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999551,1.1496210826576441e-15,1.1496167435909561e-15,7.943226994057207e-16,7.943226994928169e-16,6.879875762592513e-16,6.879875790063066e-16,6.879688317773655e-16,6.879688317848793e-16,6.134379732134539e-16,6.134380005959688e-16,5.554175420191825e-16,5.554175420834285e-16,4.333718541232225e-21,5.199271777700604e-24,2.198818400241125e-24,4.76511267425088e-25,9.049118284134282e-21,3.864809525889089e-32,4.537185923260479e-25,2.1138043999299645e-28,3.5055311338567935e-26,1.0705518667084045e-25,6.824293423841351e-32,4.3907722555422643e-26,1.3386150209019633e-23,3.033656802088618e-26,2.1213799695754482e-26,2.62794029080191e-26,1.1812100245824812e-36,9.035121773883038e-21,2.738244989143983e-23,9.646991481023745e-32,1.557653079274804e-26,5.144759670671875e-29,1.7680202654907785e-39,7.557209888924817e-27,1.3319085863579287e-29,5.229631174525879e-40,1.870916754321482e-33,4.388324622624269e-31,1.1194374612955197e-33,3.1120920844454657e-41,1.1195898592713071e-33,1.1274811519851659e-40,4.7141360689959826e-54,7.494299111947006e-53,1.628593852557439e-63,1.6488815806673072e-44,2.335019871299062e-56,1.369428829623263e-56,4.809179224695183e-67,2.8160670578513754e-67,1.0677852784305946e-55,1.0165006469080655e-54,9.328109706499048e-62,2.875894540935128e-60,2.928691519220253e-31,5.037953181120666e-41,5.316380565749593e-70,3.118198963396697e-70,2.9063533482164555e-41,6.129918933420767e-42,2.4737560626905416e-59,1.0806936586665286e-54
3.548529658793083e-17,0.11224537200000108,0.9,0.0,0.0,0.0,0.0,0.09999999999999046,2.4429448007650706e-15,2.442925865307527e-15,1.6879357360879287e-15,1.6879357364684535e-15,1.46197359340289e-15,1.4619736054001163e-15,1.461933767398404e-15,1.4619337674312198e-15,1.3035556930785265e-15,1.3035558123393246e-15,1.1802622766864355e-15,1.1802622769671155e-15,1.891209970288613e-20,2.270650563394802e-23,9.602816673884304e-24,2.081049636330867e-24,1.9229377773675364e-20,3.407317924138909e-31,1.981506869621713e-24,1.8683072405169025e-27,1.5309575446613389e-25,4.675377686367103e-25,6.024945538922015e-31,1.9154310914600623e-25,2.8445568935304686e-23,1.3233507313037838e-25,9.254587396956959e-26,1.146544616334147e-25,1.0437318277892057e-35,1.913856119931586e-20,1.1926027805127077e-22,4.21309488134242e-31,6.782591222228534e-26,4.255751760783821e-28,2.8409952178578714e-38,3.2968410364809646e-26,9.407855708886087e-29,6.911784588672731e-39,6.086830069146482e-33,1.9164966543894984e-30,3.641965035380275e-33,2.7526102052997936e-40,3.64246084396026e-33,9.241858568833626e-40,1.4910406283262682e-52,2.814950374382882e-51,1.2709792090644356e-61,2.736507062765125e-43,8.466242122644979e-55,5.127615567932114e-55,3.7853379090778755e-65,2.285338837476566e-65,7.828938630928735e-54,2.9552523179122943e-53,3.722603711954504e-60,1.0770892540611605e-58,1.2790365300677773e-30,8.958426749085024e-40,7.889162567752701e-68,4.7772758750259486e-68,4.3978040428106445e-40,1.860302932084564e-40,2.2738023014870002e-58,2.024006040177329e-53
7.305796356338701e-17,0.1122453720000022,0.9,0.0,0.0,0.0,0.0,0.09999999999998035,5.0295922373551814e-15,5.0295133055255835e-15,3.4751618089777813e-15,3.4751618105676694e-15,3.009945608138711e-15,3.009945658225716e-15,3.009863638231833e-15,3.0098636383688436e-15,2.6837911328084706e-15,2.6837916279963993e-15,2.429951745689168e-15,2.4299517468617887e-15,7.883430623459239e-20,9.4794522435892e-23,4.008986126148783e-23,8.687970409751676e-24,3.958990725799405e-20,2.8543541226543364e-30,8.272389230839989e-24,1.5681954657258836e-26,6.391446379014868e-25,1.9518751615753715e-24,5.054622644012976e-30,7.978764508130847e-25,5.856440556466278e-23,5.512009167271827e-25,3.8552458407182627e-25,4.777047742020695e-25,8.755832335868163e-35,3.915327219574705e-20,4.9518379462082115e-22,1.7588846018989674e-30,2.8149474947334997e-25,3.441774536460735e-27,4.513047532155734e-37,1.3733741954792076e-25,6.919627785575077e-28,9.640305044946395e-38,1.6580554222669788e-32,8.000996269623296e-30,9.920653105401077e-33,2.3137347346431487e-39,9.922003669162837e-33,6.48843092287965e-39,4.119964962300779e-51,9.665366761445997e-50,8.975684180336651e-60,4.433166092131173e-42,2.7244887291116348e-53,1.754938765980569e-53,2.5357480076348226e-63,1.6233840400658602e-63,5.355344891260653e-52,8.386504292951779e-52,1.323071663933886e-58,3.696183231151578e-57,5.339725734268217e-30,1.5088351345463938e-38,1.0208484337432692e-65,6.569884677547739e-66,5.703857280823214e-39,4.8366948300468554e-39,1.9453056259411106e-57,3.495920390892475e-52
1.4820329751429936e-16,0.11224537200000446,0.9,0.0,0.0,0.0,0.0,0.09999999999996015,1.0202887112046088e-14,1.0202565626081305e-14,7.049613952859235e-15,7.049613959364773e-15,6.105889559404574e-15,6.105889764034021e-15,6.105723378264039e-15,6.105723378823864e-15,5.444262012267554e-15,5.444264013520093e-15,4.929330682367539e-15,4.92933068716487e-15,3.210874769758408e-19,3.872611116874434e-22,1.6378009860021777e-22,3.549317623398628e-23,8.03110511670432e-20,2.333626343007998e-29,3.3795312465324415e-23,1.2820620318709002e-25,2.6111143933050198e-24,7.974022502218322e-24,4.1375295883038475e-29,3.2451431267987775e-24,1.1880207553055234e-22,2.2415077176366232e-24,1.5682012810537881e-24,1.943818688736024e-24,7.150250259950421e-34,7.842850520661459e-20,2.00121983261924e-21,7.18562443744847e-30,1.1366124743459336e-24,2.744619434197288e-26,7.109088831391069e-36,5.586378716552268e-25,5.257188490919289e-27,1.413483553186317e-36,3.9167779723214596e-32,3.2686680427697246e-29,2.3434500820506803e-32,1.8969395252341425e-38,2.343769102090727e-32,3.9348247323761153e-38,9.924513935634955e-50,3.15349341278642e-48,5.960214994701182e-58,7.077270486167555e-41,7.935648156161215e-52,5.711821901279303e-52,1.5119041777358976e-61,1.076380111345367e-61,3.4941689130492367e-50,2.295144193281482e-50,4.456469749492647e-57,1.2080952806211202e-55,2.1814521934758864e-29,2.4712853130441344e-37,1.1847170878043205e-63,8.508099417812111e-64,6.402662802079603e-38,1.0862520174584677e-37,1.6088410060600458e-56,5.808369714988875e-51
2.9849396541612405e-16,0.11224537200000902,0.9,0.0,0.0,0.0,0.0,0.09999999999991975,2.0549476867546648e-14,2.0548185196363954e-14,1.419851823302914e-14,1.4198518259407987e-14,1.229777714911357e-14,1.2297777976319982e-14,1.2297442851789346e-14,1.2297442854053e-14,1.0965203771182507e-14,1.0965211689912374e-14,9.9280885504159e-15,9.928088569861738e-15,1.290059846199355e-18,1.5653276834813432e-21,6.620248139502945e-22,1.4346895007183954e-22,1.6175401847958986e-19,1.8862599292390932e-28,1.3660528063617926e-22,1.032401774282115e-24,1.0554541856793427e-23,3.223207651387184e-23,3.347090679323422e-28,1.3002062528495962e-23,2.392774022913599e-22,8.978099321202125e-24,6.284664162339688e-24,7.795173531128113e-24,5.745125625841517e-33,1.5407378973414266e-19,7.918473491220912e-21,2.9045554369577053e-29,4.4896105953856294e-24,2.1570062606146836e-25,1.1042663724768527e-34,2.238692049965288e-24,4.06619059850049e-26,2.1377723883643525e-35,8.376014549579194e-32,1.321247884841584e-28,5.010748916365945e-32,1.5361908087125358e-37,5.011430964379295e-32,2.0766476866491866e-37,2.076443010697938e-48,9.888178754081592e-47,3.784541716076113e-56,1.1135023355694652e-39,2.0722590621698446e-50,1.7893374726833492e-50,8.031090103522873e-60,6.814449061136488e-60,2.1923314255344298e-48,5.8412216306012625e-49,1.4626579935893939e-55,3.80752963352061e-54,8.817778550796341e-29,3.983613584961569e-36,1.2207616198795005e-61,1.0494784272625144e-61,6.3609640797595855e-37,2.1473752480508883e-36,1.313921013579691e-55,9.468610933895924e-50
5.990753012197734e-16,0.11224537200001806,0.9,0.0,0.0,0.0,0.0,0.09999999999983895,4.124265640361245e-14,4.12375245392398e-14,2.8496326762996955e-14,2.84963268697114e-14,2.4681551077243717e-14,2.46815544038878e-14,2.4680881772679662e-14,2.468088178178764e-14,2.2007087288999552e-14,2.2007117835755493e-14,1.9925604265279123e-14,1.992560434389599e-14,5.1253806401737435e-18,6.293768408856718e-21,2.6619683914969837e-21,5.768811871462082e-22,3.246453321892049e-19,1.5165377389487224e-27,5.492776892256428e-22,8.21709958167445e-24,4.2439348583743066e-23,1.296021747715149e-22,2.6923137111124308e-27,5.137577098746649e-23,4.802280031343493e-22,3.5454242617130035e-23,2.484433601409609e-23,3.085591226322419e-23,4.552836408510023e-32,2.9457255800309876e-19,3.0544781925380736e-20,1.1679266916965828e-28,1.7261811873720854e-23,1.658037341375586e-24,1.6694118117116996e-33,8.849277563971424e-24,3.1590415897757983e-25,3.268836241023843e-34,1.6713943955177868e-31,5.312679638034299e-28,9.992673739665234e-32,1.2364600079759057e-36,9.994033259487205e-32,9.793126470905361e-37,3.813152202044991e-47,2.9590952059933514e-45,2.293044403754105e-54,1.714391166959513e-38,4.782302350498342e-49,5.3635996698129985e-49,3.7606200226648924e-58,4.116905659333123e-58,1.3130697052157742e-46,1.3326361916333365e-47,4.7398302072702493e-54,1.15214766026138e-52,3.5455899737778717e-28,6.344345155407634e-35,1.0937417236340793e-59,1.2180030974762137e-59,5.8056884221517004e-36,3.8537448255644594e-35,1.1282774382553973e-54,1.5290256998592054e-48
1.2002379728270723e-15,0.11224537200003622,0.9,0.0,0.0,0.0,0.0,0.09999999999967736,8.262901558044253e-14,8.260891466235222e-14,5.709194370144479e-14,5.709194413434897e-14,4.944909392837726e-14,4.944910727341954e-14,4.944775950978942e-14,4.9447759546362406e-14,4.409085432458219e-14,4.409096755555247e-14,3.992063561007153e-14,3.992063592862068e-14,2.0074879692556535e-17,2.5238143503457636e-20,1.067564960735092e-20,2.3135423440606646e-21,6.504698938783474e-19,1.216192494033931e-26,2.2028015737359343e-21,6.44985472474328e-23,1.702007691643268e-22,5.197499558858594e-22,2.1596339335987597e-26,1.991228986416751e-22,9.621289941874941e-22,1.3725553834917842e-22,9.637656028596153e-23,1.1999696889620712e-22,3.5438568728812287e-31,5.38151226288594e-19,1.1321626821189791e-19,4.6841858701234475e-28,6.360857886196515e-23,1.226847675995268e-23,2.3985317661158536e-32,3.432344391878528e-23,2.4330318442908863e-24,4.954714954921709e-33,3.1315451172146937e-31,2.1306221533184485e-27,1.8673065876640667e-31,9.921812862236926e-36,1.8675601002218272e-31,4.284128329752269e-36,6.242866567899304e-46,8.256855957060784e-44,1.714998125093908e-52,2.5437464159722214e-37,9.775149545995854e-48,1.50799774399885e-47,2.0629248595986295e-56,3.088650358800546e-56,7.336128951241984e-45,2.673491385351809e-46,1.7697756476903958e-52,3.2944273267337475e-51,1.4219401603419609e-27,9.962815288918524e-34,1.4341910783973545e-57,2.1880474112020443e-57,5.062066967906053e-35,6.461456339520381e-34,1.9447984594840092e-53,2.4572997967965e-47
