Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6277841296905456e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.0999999999999993,1.8090680349019196e-16,1.8090665206321699e-16,1.249962989296076e-16,1.2499629893264456e-16,1.0826317952067646e-16,1.0826317961649075e-16,1.0826022952057235e-16,1.0826022952083439e-16,9.653189607565122e-17,9.653189703263895e-17,8.740167839206638e-17,8.740167839430669e-17,1.512404424546152e-22,1.8134665425583678e-25,7.669292485257971e-26,1.662031001420427e-26,1.4239883486913091e-21,3.400290160346076e-34,1.582532766807752e-26,1.853447002824316e-30,1.2226995014191055e-27,3.733996117947287e-27,5.993914488032058e-34,1.5327112695079957e-27,2.106472905052192e-24,1.0590059522559473e-27,7.4050570947886755e-28,9.172727125056624e-28,1.0359307921712793e-38,1.4251378329402667e-21,9.569868337518905e-25,3.364788675006042e-33,5.4447346817941235e-28,6.171520001082787e-31,6.250796070349081e-42,2.63798880946413e-28,2.5474354132795843e-31,2.935128826217966e-42,8.597688786988134e-35,1.530610376286458e-32,5.1443120220241e-35,2.7273656299636364e-43,5.145012359333286e-35,7.759261066895014e-43,2.647002135839558e-57,2.8380121813813593e-56,3.3918370758282695e-67,5.216390808099179e-47,9.086649571914723e-60,5.205634015315368e-60,6.144484442140657e-71,3.5185741434203495e-71,1.741013112292627e-59,8.504208443594762e-58,3.8854597787784615e-65,1.1574637260480678e-63,1.0215027405360976e-32,1.173246373234541e-43,3.0998373690026617e-74,1.7758680086802084e-74,7.748079507371945e-44,4.478015923240682e-45,1.554402048991841e-61,1.585008880150605e-57,4.000088321562904e-71
7.357795563133528e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999802,5.065390497784508e-16,5.065381353239999e-16,3.499896369953803e-16,3.4998963701372514e-16,3.031369023480381e-16,3.031369029267578e-16,3.0312864265112643e-16,3.031286426527093e-16,2.7028930901182025e-16,2.702893147882855e-16,2.4472469949252785e-16,2.447246995060602e-16,9.133277819649035e-22,1.0953328749671455e-24,4.632252551369316e-25,1.0038666952675552e-25,3.987167393157803e-21,4.030909465886599e-33,9.558496281708764e-26,2.200048446651116e-29,7.385104988522873e-27,2.255333247201161e-26,7.110060012531595e-33,9.25513395564149e-27,5.898124121099668e-24,6.3946488721286844e-27,4.471506297532912e-27,5.539016403213485e-27,1.229573836429617e-37,3.9872890382273656e-21,5.7764572334588735e-24,2.0323323668585847e-32,3.2863124956415214e-27,6.0348494859143485e-30,1.0936703268271703e-40,1.5929344047956294e-27,1.949486343411068e-30,4.110657869511433e-41,4.713718772959718e-34,9.244886672861049e-32,2.820390310261435e-34,3.237928475873417e-42,2.8207742729245255e-34,1.1384526163484941e-41,1.2943395848442156e-55,1.724454915829298e-54,1.8939501395715142e-65,9.703208627034863e-46,5.473332382366652e-58,3.1585899178380157e-58,4.697461806581369e-69,2.708998650109556e-69,1.3834669885086712e-57,3.3381946396737415e-56,1.856130761824272e-63,6.659563368624384e-62,6.169876552848689e-32,2.6240789988927976e-42,2.9477719145186476e-72,1.7014241351594242e-72,1.656992309590813e-42,1.7609693803870674e-43,2.349010480197207e-60,4.983515504456852e-56,3.41050834868348e-69
1.681781843001949e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999548,1.157803542378642e-15,1.1577991413484983e-15,7.999763130968416e-16,7.999763131851824e-16,6.928843467633384e-16,6.928843495496377e-16,6.9286546888633e-16,6.928654688939511e-16,6.178041348841457e-16,6.178041626573123e-16,5.593707416724187e-16,5.59370741737583e-16,4.395605592827304e-21,5.273546959434277e-24,2.230230090123281e-24,4.833185708274893e-25,9.113525635809548e-21,3.947805370004851e-32,4.6020028420207035e-25,2.159250789141686e-28,3.555610150054064e-26,1.0858454590407916e-25,6.970932719092539e-32,4.453463124028836e-26,1.3481426501008753e-23,3.076970112508043e-26,2.151669200333872e-26,2.6654638020661275e-26,1.2066034358475739e-36,9.099233746501197e-21,2.7773100706713875e-23,9.784805647763951e-32,1.5798727891507273e-26,5.250733197601468e-29,1.816455098011907e-39,7.66511207424534e-27,1.3567314360422236e-29,5.360691990556798e-40,1.8932517773684984e-33,4.451014974377329e-31,1.1328013080560123e-33,3.1790173782254985e-41,1.1329555253568876e-33,1.1507544098053357e-40,4.8759056263893465e-54,7.764539064632677e-53,1.6980497463530217e-63,1.69475120536302e-44,2.418592286511813e-56,1.418768664712414e-56,5.016831916667861e-67,2.9383042071747166e-67,1.1135793634180226e-55,1.0499377930617196e-54,9.664834394993384e-62,2.979612192391877e-60,2.9705299694949787e-31,5.182896876818943e-41,5.578832413814774e-70,3.272886357730975e-70,2.986273850866504e-41,6.343243551276984e-42,2.526953932446547e-59,1.1117911202477981e-54,5.1092130693206743e-67
3.573786416379142e-17,0.11224537200000109,0.9,0.0,0.0,0.0,0.0,0.0999999999999904,2.4603325276738727e-15,2.4603133219148046e-15,1.699949665179429e-15,1.699949665565392e-15,1.4723792306362465e-15,1.4723792428048636e-15,1.4723391212531181e-15,1.4723391212864025e-15,1.3128337866287455e-15,1.3128339075886346e-15,1.1886628259480723e-15,1.1886628262327635e-15,1.918206752934308e-20,2.3030883143113857e-23,9.739999755517174e-24,2.110778913153098e-24,1.936624342650262e-20,3.4804700383682484e-31,2.00981409030094e-24,1.9084658500373528e-27,1.5528283667273283e-25,4.742168745195384e-25,6.154389488138455e-31,1.9427639861471831e-25,2.8648031052083534e-23,1.3422339915557137e-25,9.38665281505775e-26,1.1629074989789799e-25,1.0661622497273832e-35,1.9273930193700356e-20,1.2095935848909983e-22,4.273281955920735e-31,6.879199715095631e-26,4.34511495018362e-28,2.9204846699693213e-38,3.343887608663194e-26,9.593410462449607e-29,7.093426565347212e-39,6.151435894515806e-33,1.943875178024772e-30,3.68062085030409e-33,2.811804869741365e-40,3.681121921375205e-33,9.426168018101404e-40,1.5418151804400031e-52,2.9163479498697046e-51,1.3259070433948314e-61,2.8137813418989902e-43,8.766950175919858e-55,5.3121378075681675e-55,3.947791152838223e-65,2.3844412295809713e-65,8.167795458009395e-54,3.05502603401718e-53,3.8569816957822746e-60,1.1158981692537502e-58,1.2973084804974517e-30,9.216117529989113e-40,8.280831778649737e-68,5.016696243674293e-68,4.514754105530165e-40,1.923369347933522e-40,2.3227001970966987e-58,2.0822476541715438e-53,6.500397092571905e-65
7.357795563133527e-17,0.11224537200000224,0.9,0.0,0.0,0.0,0.0,0.09999999999998023,5.065390498644971e-15,5.065310440936144e-15,3.499896368863261e-15,3.4998963704758797e-15,3.0313689785512995e-15,3.0313690293538464e-15,3.0312864255722088e-15,3.0312864257111757e-15,2.7028930901177413e-15,2.7028935923412234e-15,2.4472469941628658e-15,2.4472469953522503e-15,7.995879214213441e-20,9.614872032013079e-23,4.0662573449996607e-23,8.812084241674474e-24,3.987168973877115e-20,2.9156419566541827e-30,8.390566049566071e-24,1.6018871263313562e-26,6.48275275585293e-25,1.9797590496059322e-24,5.163226996505752e-30,8.092492336173574e-25,5.898123931926097e-23,5.59057011970562e-25,3.91020109050843e-25,4.845154562528442e-25,8.943874659352612e-35,3.942843570707323e-20,5.022192609771357e-22,1.784011532937788e-30,2.8549235486140377e-25,3.5146909121858205e-27,4.640669748302818e-37,1.3929510013478727e-25,7.061305026471909e-28,9.902985284181631e-38,1.6733739575039946e-32,8.1152962163418e-30,1.0012307077305893e-32,2.3634914168489972e-39,1.0013670118332739e-32,6.611088285694254e-39,4.2569301255575283e-51,1.0012791715472758e-49,9.364251058410492e-60,4.55924841003829e-42,2.819949507878506e-53,1.8179656271539194e-53,2.6433973359989537e-63,1.693667609493963e-63,5.587229076985554e-52,8.672514096063956e-52,1.3708317040597625e-58,3.829119520029381e-57,5.4160075304732004e-30,1.5522214773564822e-38,1.0713199494001497e-65,6.900474155111235e-66,5.8487657347261845e-39,4.9948826706096696e-39,1.9871401180562455e-57,3.5965166112277555e-52,8.001824191890914e-63
1.4925813856642297e-16,0.11224537200000452,0.9,0.0,0.0,0.0,0.0,0.09999999999995988,1.0275506442119568e-14,1.0275180377506212e-14,7.099789774305556e-15,7.0997897809041776e-15,6.1493483950584024e-15,6.149348602611237e-15,6.149181032552384e-15,6.1491810331202084e-15,5.483011697094918e-15,5.4830137266269854e-15,4.964415329246401e-15,4.964415334112362e-15,3.256604318170413e-19,3.927933351769535e-22,1.661198133498087e-22,3.6000221353997143e-23,8.088266912601348e-20,2.3837536948670198e-29,3.4278101255070414e-23,1.3095799965507985e-25,2.6484160274910662e-24,8.087936758092178e-24,4.226449588813598e-29,3.2912953706857932e-24,1.1964765251374918e-22,2.2733812925195754e-24,1.5905068181646218e-24,1.9714762706504153e-24,7.303606453053142e-34,7.897268715296889e-20,2.029498669988825e-21,7.288276348512789e-30,1.1526593188146053e-24,2.802875936350969e-26,7.310723918477263e-36,5.665835861551287e-25,5.367117642393854e-27,1.4528764410155917e-36,3.9486267203644017e-32,3.3153633005315033e-29,2.3625039979204294e-32,1.9377330594731603e-38,2.362825611645846e-32,4.004198452942615e-38,1.0242569094941853e-49,3.2663801594176156e-48,6.2176514856498914e-58,7.278908684877475e-41,8.207501709345858e-52,5.916181490487801e-52,1.5749412890895747e-61,1.1228413432889786e-61,3.645007494592134e-50,2.372804076184474e-50,4.6173387181581495e-57,1.2513916495850419e-55,2.212615796240808e-29,2.5422959534410197e-37,1.2424761944377618e-63,8.935867678489081e-64,6.557384525587391e-38,1.1203918106144999e-37,1.643452568238351e-56,5.975506282155351e-51,9.862591827129039e-61
3.006185044365984e-16,0.11224537200000909,0.9,0.0,0.0,0.0,0.0,0.0999999999999192,2.0695738335276e-14,2.0694428323810384e-14,1.429957657748867e-14,1.4299576604245536e-14,1.2385306910780986e-14,1.2385307749805512e-14,1.2384970239880206e-14,1.2384970242176208e-14,1.1043248911046009e-14,1.1043256940490176e-14,9.998751994029258e-15,9.998752013753667e-15,1.3083771016436795e-18,1.5876888818790894e-21,6.714823036420443e-22,1.4551850443832552e-22,1.629053219381085e-19,1.926795161696228e-28,1.38556773526711e-22,1.0545190415663103e-24,1.0705321026144846e-23,3.2692531904892826e-23,3.4190407131320105e-28,1.318615789837151e-23,2.409804655436037e-22,9.105179979479306e-24,6.3736694031342626e-24,7.905645455868602e-24,5.868020542264633e-33,1.551160652433932e-19,8.029182378997064e-21,2.946049300513753e-29,4.552270638544101e-24,2.202593141535121e-25,1.135468574989161e-34,2.2703958566867035e-24,4.1520298116515613e-26,2.198016629654353e-35,8.437686474158574e-32,1.3401228546315432e-28,5.047628746570703e-32,1.5692264703745718e-37,5.048315813039358e-32,2.1107151711743734e-37,2.1402657977671968e-48,1.0239353523052188e-46,3.9470731847965182e-56,1.145134617699426e-39,2.1409702716148103e-50,1.852886870916956e-50,8.357253467303454e-60,7.10687666517573e-60,2.2863577133235445e-48,6.033981166559675e-49,1.5154567998528632e-55,3.9430687884436344e-54,8.943746815816189e-29,4.097917323076678e-36,1.2788772967736955e-61,1.1019215532428044e-61,6.508289423153839e-37,2.2125161614446193e-36,1.3423512730113993e-55,9.741067834471358e-50,1.2163426334152933e-58
6.033392361769493e-16,0.11224537200001819,0.9,0.0,0.0,0.0,0.0,0.09999999999983782,4.1536202147019926e-14,4.153099785300001e-14,2.869915015304902e-14,2.869915026129712e-14,2.4857222673062816e-14,2.485722604723725e-14,2.4856548628001777e-14,2.4856548637239953e-14,2.2163723338935144e-14,2.216375430412616e-14,2.0067425302058135e-14,2.0067425381804143e-14,5.1977175968674334e-18,6.3836744582592594e-21,2.6999964497986434e-21,5.851223303569261e-22,3.2695612123561967e-19,1.5491379058522828e-27,5.57124425823747e-22,8.392476930437995e-24,4.3045624991849634e-23,1.3145361151347133e-22,2.750198442895701e-27,5.209687016422079e-23,4.836460381722357e-22,3.595156665639616e-23,2.519320760904064e-23,3.128977318062205e-23,4.6497235833669554e-32,2.964681958539107e-19,3.09631757026165e-20,1.1846116985230633e-28,1.7497477271254888e-23,1.6926555004743335e-24,1.7160129340214942e-33,8.973532542650088e-24,3.22580343735218e-25,3.3611508094835406e-34,1.682677679776531e-31,5.388575061488564e-28,1.0060013453706828e-31,1.2630499825064065e-36,1.00613821223549e-31,9.944768187789067e-37,3.9257313010598104e-47,3.0626524226380235e-45,2.3904460483954163e-54,1.7626721952093059e-38,4.934830807222591e-49,5.551519004317796e-49,3.908599369311405e-58,4.291675001630973e-58,1.3687057326273925e-46,1.3749776479268938e-47,4.91092787870183e-54,1.1926625732245659e-52,3.5962412591252127e-28,6.525876538828299e-35,1.1442047380076005e-59,1.2780427718910452e-59,5.9365126352061763e-36,3.967561554087731e-35,1.1546272094712361e-54,1.5730219224680162e-48,1.481936468231819e-56
1.208780699657651e-15,0.11224537200003648,0.9,0.0,0.0,0.0,0.0,0.09999999999967507,8.321712987676335e-14,8.319674857878489e-14,5.749829718094638e-14,5.749829762010373e-14,4.980104912099827e-14,4.9801062656736004e-14,4.979970529807834e-14,4.979970533517444e-14,4.440467219466124e-14,4.4404786919017687e-14,4.020477183196851e-14,4.0204772155113935e-14,2.03548871003248e-17,2.559865051777956e-20,1.0828158393343297e-20,2.346592815726868e-21,6.55100539251973e-19,1.2423411950056683e-26,2.234269495250033e-21,6.586511870356518e-23,1.7263220872224602e-22,5.271747715249685e-22,2.2060706170140242e-26,2.0187086686853784e-22,9.68976969789175e-22,1.3914749872935026e-22,9.770777617886094e-23,1.216586603849432e-22,3.618522102027976e-31,5.412942673928569e-19,1.1470935321231565e-19,4.751108094190902e-28,6.444245104956457e-23,1.2518562485335793e-23,2.4638348767056645e-32,3.479747419451117e-23,2.4840940490901415e-24,5.0937336850104395e-33,3.1505623422391896e-31,2.1610596126968e-27,1.878547829920758e-31,1.0135180661889489e-35,1.8788028577624251e-31,4.348039332317665e-36,6.4201798581105126e-46,8.538514015405575e-44,1.7864063084727758e-52,2.6141617686410526e-37,1.0075695654968592e-47,1.5596446716956603e-47,2.141700328487535e-56,3.2174205703105128e-56,7.640484239140762e-45,2.75485378738135e-46,1.8336607403964082e-52,3.408000882788413e-51,1.4422535912113946e-27,1.024632878407061e-33,1.497831222364634e-57,2.2928533919112627e-57,5.174759689104019e-35,6.648529616351655e-34,2.0168604048613962e-53,2.5280023651820725e-47,2.9906655720174066e-54
