Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.646224946317034e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999928,1.821763404936266e-16,1.8217618693407812e-16,1.2587347670135207e-16,1.258734767044318e-16,1.0902293045173958e-16,1.0902293054890336e-16,1.0901995975028809e-16,1.0901995975055384e-16,9.720932120126376e-17,9.720932217172561e-17,8.801503102854613e-17,8.80150310308179e-17,1.5337038878306355e-22,1.8390083136598738e-25,7.777310687936752e-26,1.6854398884033003e-26,1.4339813720104229e-21,3.4723359639931993e-34,1.6048219587173956e-26,1.8927394051225692e-30,1.239920621157343e-27,3.7865876075871834e-27,6.120947659731391e-34,1.554295771555787e-27,2.1212553523837887e-24,1.0739193967046522e-27,7.509339659928865e-28,9.301904467004217e-28,1.0578916031965796e-38,1.4351321645501562e-21,9.704609514471582e-25,3.4121800648574516e-33,5.52139291539862e-28,6.286613173191437e-31,6.407339176160766e-42,2.675138567158688e-28,2.588329045661324e-31,3.0016316866791586e-42,8.712458130125257e-35,1.55216826891032e-32,5.212982720547221e-35,2.7851884455644383e-43,5.213692406558714e-35,7.921845423930032e-43,2.733680736626066e-57,2.938970537889264e-56,3.5158109276410865e-67,5.350961080878221e-47,9.409183908949172e-60,5.390749874705584e-60,6.407257898680685e-71,3.669268804345679e-71,1.8055799120116872e-59,8.761825352039962e-58,4.023720326156002e-65,1.1986404545087366e-63,1.0358901030788709e-32,1.2065266792675261e-43,3.246942485290147e-74,1.860260462917803e-74,7.964835357828079e-44,4.635301340169304e-45,1.587356880425333e-61,1.6299714211728943e-57,4.177972751568393e-71,2.5689683189743994e-74
7.409429849687695e-18,0.1122453720000002,0.9,0.0,0.0,0.0,0.0,0.09999999999999802,5.100937533881514e-16,5.100928260564428e-16,3.5244573475615897e-16,3.524457347747623e-16,3.052642049506508e-16,3.0526420553752148e-16,3.052558872942394e-16,3.0525588729584453e-16,2.721860993635354e-16,2.721861052213051e-16,2.464420868745971e-16,2.4644208688831995e-16,9.261891710458422e-22,1.1107600852800203e-24,4.697495543460993e-25,1.0180056623778663e-25,4.0151478588079e-21,4.116286119793938e-33,9.693122966295435e-26,2.246686068925731e-29,7.489120551740803e-27,2.287098498292836e-26,7.260717660963205e-33,9.385452586235112e-27,5.939514973444387e-24,6.484689046724383e-27,4.534468630302236e-27,5.6170117343717315e-27,1.2556376791240783e-37,4.015229589905052e-21,5.857761594328876e-24,2.060956766531774e-32,3.332565186385534e-27,6.153248098936496e-30,1.122221304027601e-40,1.6153641505176531e-27,1.982894006604078e-30,4.207365484338471e-41,4.773817116624328e-34,9.375096344311112e-32,2.8563493420284846e-34,3.306575722554137e-42,2.8567382000845576e-34,1.1620776605134698e-41,1.3377226353286082e-55,1.7857851751469692e-54,1.9690643551683493e-65,9.962497213321374e-46,5.667230888840594e-58,3.2708607116345814e-58,4.898043044070145e-69,2.8249822161557963e-69,1.4397462812972986e-57,3.4427036049289825e-56,1.922179484432423e-63,6.896427527261655e-62,6.256776222607272e-32,2.698510549898534e-42,3.0889701840375583e-72,1.783128196980998e-72,1.702849665479035e-42,1.8223486768646666e-43,2.3988117678312553e-60,5.124884713392786e-56,3.56277169701541e-69,2.9944554437763127e-72
1.693583965642902e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999545,1.165928579201208e-15,1.1659241162080972e-15,8.0559025083526515e-16,8.055902509248502e-16,6.9774675269159345e-16,6.977467555171366e-16,6.977277423558726e-16,6.977277423636009e-16,6.221396556880656e-16,6.221396838518735e-16,5.632961985453706e-16,5.6329619861145275e-16,4.457492155960623e-21,5.347822138445526e-24,2.2616417799728086e-24,4.9012587422109185e-25,9.177480989379577e-21,4.0313849852311497e-32,4.666819760296935e-25,2.205018056687076e-28,3.60568916625132e-26,1.1011390512518447e-25,7.118605571311867e-32,4.5161532677788525e-26,1.3576034162644705e-23,3.1202829044898367e-26,2.1819580903306215e-26,2.702986924254813e-26,1.23217607260289e-36,9.162893063428128e-21,2.816374044552992e-23,9.922619814580915e-32,1.6020918165770498e-26,5.35738917390838e-29,1.8655250179230004e-39,7.773013040287849e-27,1.3816762132999547e-29,5.493202561658094e-40,1.915513612166019e-33,4.513705326130414e-31,1.1461213634104849e-33,3.24641565208809e-41,1.1462773940747317e-33,1.174166358450203e-40,5.0408481170856597e-54,8.040536857097681e-53,1.7694510190985248e-63,1.7412378506391105e-44,2.5039191977291516e-56,1.4691581927290073e-56,5.2303478348941485e-67,3.064024806873259e-67,1.1606642289486822e-55,1.0839950088372606e-54,1.0008748724271637e-61,3.08554031460719e-60,3.0123684197697077e-31,5.329895594037663e-41,5.850323750360941e-70,3.432943406092939e-70,3.0672061378716275e-41,6.560806103091692e-42,2.580527765128808e-59,1.1433296788152291e-54,5.340260653256126e-67,7.749543122364291e-70
3.598865926991166e-17,0.11224537200000109,0.9,0.0,0.0,0.0,0.0,0.09999999999999033,2.477598230923507e-15,2.477578754867226e-15,1.7118792828714466e-15,1.711879283262848e-15,1.48271184314596e-15,1.4827118554859674e-15,1.4826714523740602e-15,1.4826714524078133e-15,1.3220467683370746e-15,1.3220468909959576e-15,1.1970044218016046e-15,1.1970044220903072e-15,1.945203104364092e-20,2.335526062824435e-23,9.87718283686145e-24,2.140508189897504e-24,1.950214858357145e-20,3.5541365156511353e-31,2.0381213105528834e-24,1.948907731847516e-27,1.5746991887933044e-25,4.80895980295048e-25,6.284745629589616e-31,1.970096241600513e-25,2.8849072329361903e-23,1.3611167945792532e-25,9.518715227339514e-26,1.1792700383517656e-25,1.0887507731808769e-35,1.9408337368505228e-20,1.2265834162521792e-22,4.3334690306354545e-31,6.975802216360167e-26,4.435077299643333e-28,3.001052079503343e-38,3.3909331053473673e-26,9.780040712061396e-29,7.277280655514256e-39,6.215724601813129e-33,1.971253701660069e-30,3.719086919534766e-33,2.8714178797096e-40,3.7195932272650966e-33,9.611416849454365e-40,1.5935636978752732e-52,3.019901370044742e-51,1.3823931554860507e-61,2.8921193519064584e-43,9.073876693326135e-55,5.5005768278493755e-55,4.114783500191385e-65,2.4863632030010437e-65,8.516281036675691e-54,3.1567209097305087e-53,3.9942288765117917e-60,1.1555326796499545e-58,1.3155804309271288e-30,9.477460232692385e-40,8.686058997904216e-68,5.26452989379829e-68,4.633064946745599e-40,1.9876261636885916e-40,2.371943668425365e-58,2.14131538355475e-53,6.792925600295059e-65,1.9058738136127516e-67
7.409429849687695e-17,0.11224537200000224,0.9,0.0,0.0,0.0,0.0,0.09999999999998009,5.10093753475412e-15,5.100856351202174e-15,3.5244573464556876e-15,3.5244573480910376e-15,3.0526420039446227e-15,3.052642055462712e-15,3.0525588719901117e-15,3.052558872131037e-15,2.721860993634886e-15,2.721861502893115e-15,2.46442086797282e-15,2.464420869178968e-15,8.108324194129148e-20,9.750291800307921e-23,4.123528563607958e-23,8.936198072943094e-24,4.015149473007059e-20,2.977361128372228e-30,8.508742864713984e-24,1.635815988235044e-26,6.574059132690889e-25,2.00764293673442e-24,5.272597083586058e-30,8.206214820970701e-25,5.939514781606402e-23,5.669127250998692e-25,3.965153827410472e-25,4.913258512035941e-25,9.133238870606135e-35,3.9701619608083166e-20,5.092539205410254e-22,1.8091384642060727e-30,2.8948946400750808e-25,3.5881035296975194e-27,4.770048539809489e-37,1.4125269081132665e-25,7.203881368962172e-28,1.0169077229271084e-37,1.6885956836422034e-32,8.229596163060503e-30,1.0103381782238424e-32,2.4135997436771685e-39,1.0104757221667619e-32,6.734221743491328e-39,4.3963927302641713e-51,1.0367572453071575e-49,9.763847221076514e-60,4.687083191180838e-42,2.9173320572297396e-53,1.8823251315547323e-53,2.75399888943077e-63,1.7659453448884265e-63,5.825695036511257e-52,8.964075507068135e-52,1.4196115017028156e-58,3.964873590582215e-57,5.4922893266782106e-30,1.5962221297222434e-38,1.1235234024536316e-65,7.242728623065894e-66,5.995177683764728e-39,5.1558587324540516e-39,2.0292703128526498e-57,3.698539704578191e-52,8.346069059851924e-63,4.650784466685048e-65
1.5030557695080754e-16,0.11224537200000453,0.9,0.0,0.0,0.0,0.0,0.09999999999995961,1.0347616143969467e-14,1.0347285501001315e-14,7.149613471671683e-15,7.149613478363391e-15,6.19250224510172e-15,6.1925024555779454e-15,6.1923337095408564e-15,6.192333710116681e-15,5.521489444229681e-15,5.521491502034846e-15,4.9992537589502386e-15,4.9992537638848325e-15,3.302330928639939e-19,3.983255570282239e-22,1.6845952807951144e-22,3.6507266468644685e-23,8.145027562082448e-20,2.4342343454805047e-29,3.4760890015698837e-23,1.3372909589343173e-25,2.685717661677028e-24,8.20185100657035e-24,4.31599704250762e-29,3.337443282335751e-24,1.2048729540256162e-22,2.3052517704824615e-24,1.612810317251431e-24,1.9991315221336657e-24,7.458034971662128e-34,7.951285811948276e-20,2.0577710696354122e-21,7.3909282633266e-30,1.168702212374008e-24,2.861527529301898e-26,7.5151368597889e-36,5.745285714912468e-25,5.477775956291544e-27,1.4927997379008526e-36,3.980247523375535e-32,3.36205855829345e-29,2.3814215064441592e-32,1.9788148932189544e-38,2.3817456952826837e-32,4.0737472862978264e-38,1.0566020804053036e-49,3.381637403331159e-48,6.482361938032747e-58,7.483349655525481e-41,8.484591925035962e-52,6.124829532681871e-52,1.6396549786549328e-61,1.1706139368379454e-61,3.8001034607084815e-50,2.4519366560036964e-50,4.781642510991145e-57,1.2955993041127092e-55,2.2437793990057503e-29,2.6143102462240774e-37,1.3021724102966543e-63,9.378691455223921e-64,6.713526490847175e-38,1.1550908484643443e-37,1.6783094184523141e-56,6.145013502040916e-51,1.0236093293718052e-60,1.13933211859143e-62
3.027281338586687e-16,0.11224537200000916,0.9,0.0,0.0,0.0,0.0,0.09999999999991864,2.084097336869592e-14,2.0839645019290644e-14,1.439992571429373e-14,1.4399925741428635e-14,1.2472222405655405e-14,1.2472223256498067e-14,1.2471883377916394e-14,1.2471883380244747e-14,1.1120746345415966e-14,1.1120754485525055e-14,1.006891953544503e-14,1.0068919555448028e-14,1.3266920136550433e-18,1.6100500672022783e-21,6.809397931727352e-22,1.4756805876137815e-22,1.6404854608394512e-19,1.9676164233226144e-28,1.405082661849274e-22,1.0767902523344e-24,1.085610019549563e-23,3.315298723602257e-23,3.4914987864032e-28,1.3370218952310532e-23,2.426715770282849e-22,9.232236125824631e-24,6.462658491120334e-24,8.016098879377645e-24,5.991765725038406e-33,1.5615029875669478e-19,8.139841844248344e-21,2.9875431700856846e-29,4.614900481237128e-24,2.248482027010958e-25,1.1670950834646853e-34,2.3020938848025913e-24,4.238446884277375e-26,2.259084234813016e-35,8.498885860937339e-32,1.3589978244216415e-28,5.084225682197754e-32,1.60249560445175e-37,5.08491772859244e-32,2.1448301681018496e-37,2.2050889746097896e-48,1.0597786882481288e-46,4.114150927794455e-56,1.1772024103181775e-39,2.2109246047140235e-50,1.9177503432049643e-50,8.691720809525906e-60,7.407474421426592e-60,2.383007872038272e-48,6.230206908827947e-49,1.5693829498001288e-55,4.081422831560766e-54,9.069715080836226e-29,4.2138308957265155e-36,1.338871223710903e-61,1.156191296495199e-61,6.656841366120072e-37,2.278659552786756e-36,1.3709910497447692e-55,1.0017389118621346e-49,1.2492567895201646e-58,2.780414205802543e-60
6.075732476743911e-16,0.11224537200001833,0.9,0.0,0.0,0.0,0.0,0.09999999999983669,4.182768784394642e-14,4.1822411138581196e-14,2.890055016829805e-14,2.890055027808e-14,2.5031661439723942e-14,2.5031664861428884e-14,2.503098268775963e-14,2.5030982697128005e-14,2.2319260147775304e-14,2.2319291531043088e-14,2.0208251066594438e-14,2.0208251147469723e-14,5.270036250249983e-18,6.473580405428751e-21,2.738024506803966e-21,5.933634732180562e-22,3.292506960518671e-19,1.5819682778898612e-27,5.649711606064827e-22,8.569056649810583e-24,4.3651901399951595e-23,1.3330504777338577e-22,2.808492061612153e-27,5.281770495278483e-23,4.870400860962056e-22,3.6448702127821035e-23,2.5541954611285527e-23,3.172349092392941e-23,4.747267160626387e-32,2.9834795284810077e-19,3.138121091617355e-20,1.2012967148427176e-28,1.773292533909402e-23,1.727490989196795e-24,1.7632273378532496e-33,9.097742956945455e-24,3.293010927930765e-25,3.454724525178516e-34,1.6938673995153346e-31,5.464470484943981e-28,1.0126792098563629e-31,1.2898278759480875e-36,1.0128169839521364e-31,1.0096515057773265e-36,4.0399446603075906e-47,3.1682882222381227e-45,2.490520650593761e-54,1.811602907145372e-38,5.0899265986709524e-49,5.7432208210823966e-49,4.06015988146513e-58,4.47123700432451e-58,1.4258619584535982e-46,1.418025607353558e-47,5.085678774378514e-54,1.2339988454128083e-52,3.6468925444727255e-28,6.709946745565767e-35,1.1962233161809088e-59,1.3401281099673119e-59,6.068367277699765e-36,4.0830506964202827e-35,1.1812646345976849e-54,1.617642125524e-48,1.491125409791551e-56,6.637600573730884e-58
1.2172634753058356e-15,0.11224537200003674,0.9,0.0,0.0,0.0,0.0,0.09999999999967281,8.380111690226132e-14,8.378045536281872e-14,5.790179895134784e-14,5.790179939675976e-14,5.0150534359731356e-14,5.0150548086165625e-14,5.014918119978379e-14,5.0149181237403015e-14,4.4716287752441075e-14,4.4716403967821684e-14,4.0486914041532536e-14,4.0486914369275187e-14,2.0634756073894537e-17,2.59591567570939e-20,1.0980667168933471e-20,2.3796432845878793e-21,6.596987063585425e-19,1.2686746188110602e-26,2.265737403022421e-21,6.724078409620397e-23,1.750636482801362e-22,5.345995832962313e-22,2.2528353858572395e-26,2.0461688725202156e-22,9.757768875842748e-22,1.410380738586843e-22,9.903807213859834e-23,1.2331928811096503e-22,3.693672778767429e-31,5.444071368011271e-19,1.1620007448473365e-19,4.818030464687987e-28,6.527491122037715e-23,1.2770060227044821e-23,2.529942630536605e-32,3.52711755434055e-23,2.5354851801086367e-24,5.2346102649474194e-33,3.169402675136808e-31,2.1914970720761317e-27,1.8896822935256953e-31,1.0350056392455025e-35,1.8899388220073975e-31,4.4119717902764e-36,6.599871189182922e-46,8.825543560161217e-44,1.85970755960767e-52,2.6854840526936297e-37,1.0380982738827242e-47,1.6122858863524173e-47,2.222296508503298e-56,3.3496151207779614e-56,7.952858575300079e-45,2.837465943129016e-46,1.8989098877240835e-52,3.5237901985699026e-51,1.4625670220810014e-27,1.0533753595063917e-33,1.563320347695088e-57,2.401070465936568e-57,5.288326320510519e-35,6.838254011788238e-34,2.090871436890654e-53,2.599707547394029e-47,2.8968894147688105e-54,2.574650791087645e-55
