Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6645381402351293e-18,0.1122453720000001,0.9,0.0,0.0,0.0,0.0,0.0999999999999993,1.8343709145715535e-16,1.8343693576503744e-16,1.2674458381986885e-16,1.267445838229913e-16,1.0977742340135532e-16,1.0977742349986858e-16,1.0977443214183264e-16,1.0977443214210211e-16,9.788205809473268e-17,9.788205907866852e-17,8.86241388570948e-17,8.862413885939818e-17,1.5550033094430365e-22,1.8645500845291342e-25,7.885328890587742e-26,1.708848775378679e-26,1.4439052369665009e-21,3.5448826896801975e-34,1.6271111505857508e-26,1.93230555859203e-30,1.2571417408955797e-27,3.8391790971237134e-27,6.248864948386792e-34,1.575880211734393e-27,2.135935495353785e-24,1.0888327968922835e-27,7.613621934184059e-28,9.431081476875954e-28,1.0800054006128006e-38,1.4450572355872104e-21,9.839349743057177e-25,3.4595714547106024e-33,5.598050564446811e-28,6.402290901416501e-31,6.565640059974214e-42,2.7122882207708913e-28,2.6293267602050834e-31,3.068716722299555e-42,8.827105306113821e-35,1.5737261615341864e-32,5.281580321934216e-35,2.8434142157408412e-43,5.282299346696664e-35,8.085510415950085e-43,2.8219695964996346e-57,3.042053026662735e-56,3.642682900126805e-67,5.487134922855062e-47,9.738474671135507e-60,5.579757788260848e-60,6.677407230712112e-71,3.824204186034389e-71,1.8716905462669473e-59,9.023613460709397e-58,4.164891539155138e-65,1.2406835938146757e-63,1.0502774656216462e-32,1.2402723874027604e-43,3.3988895057097228e-74,1.9474369387439452e-74,8.184519311495606e-44,4.79581707573316e-45,1.6205413665935973e-61,1.6755628082277582e-57,4.362834347939763e-71,2.686645479293146e-74,7.597567977927162e-55
7.460706792658362e-18,0.11224537200000022,0.9,0.0,0.0,0.0,0.0,0.099999999999998,5.13623856086115e-16,5.13622915877198e-16,3.548848346878999e-16,3.548848347067615e-16,3.073767852052107e-16,3.0737678580023225e-16,3.0736840999047287e-16,3.0736840999210034e-16,2.7406976266524814e-16,2.7406976860432123e-16,2.4814758879445935e-16,2.481475888083729e-16,9.39050510675588e-22,1.1261872953172895e-24,4.762738535519671e-25,1.0321446294792781e-25,4.042934681043977e-21,4.2022556565320955e-33,9.827749650392133e-26,2.2936485443965874e-29,7.593136114958718e-27,2.31886374926179e-26,7.412423121056073e-33,9.515770482794124e-27,5.980619373576621e-24,6.574728696205471e-27,4.5974306179508476e-27,5.695006671518837e-27,1.2818830349759243e-37,4.042976212837363e-21,5.9390648310895554e-24,2.0895811662088504e-32,3.378817184340941e-27,6.272339500336829e-30,1.1511201042946902e-40,1.6377937727514387e-27,2.0164251578055113e-30,4.305012423626143e-41,4.8338007013205085e-34,9.505306015761196e-32,2.892239709178512e-34,3.375701356907005e-42,2.892633453279651e-34,1.1858535880789296e-41,1.3819387462361415e-55,1.8484051820231357e-54,2.046125958561546e-65,1.022507974469093e-45,5.86517547105933e-58,3.3854899681100286e-58,5.104239449475924e-69,2.9442278821939247e-69,1.497529298595055e-57,3.549013595212111e-56,1.9896186669359825e-63,7.1382735325426755e-62,6.343675892365859e-32,2.7739828677469087e-42,3.2348717555890537e-72,1.8675649291032809e-72,1.7493099735363562e-42,1.88496889533192e-43,2.4489601089581666e-60,5.268231110365891e-56,3.72216955456562e-69,3.1423282472003397e-72,2.3726569100673477e-53
1.705304409750483e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999541,1.1739973853683748e-15,1.173992860412782e-15,8.111653363930304e-16,8.111653364838602e-16,7.025755075385847e-16,7.025755104033716e-16,7.025563656611191e-16,7.025563656689546e-16,6.264451718062661e-16,6.264452003607039e-16,5.671944886475638e-16,5.671944887145639e-16,4.519378234042722e-21,5.422097314753351e-24,2.293053469789935e-24,4.969331776059566e-25,9.240993729456298e-21,4.115544278714632e-32,4.731636678092557e-25,2.251103962124542e-28,3.655768182448562e-26,1.1164326433424095e-25,7.267304753049794e-32,4.578842691856996e-26,1.3669987076366402e-23,3.163595181657349e-26,2.2122466419468698e-26,2.740509660086173e-26,1.2579266825268804e-36,9.226109123080692e-21,2.8554369185603344e-23,1.0060433981474624e-31,1.6243101663447e-26,5.464722808664859e-29,1.915229646875652e-39,7.880912795572507e-27,1.406742066116634e-29,5.6271600431904404e-40,1.937703178448306e-33,4.5763956778835245e-31,1.159398177670245e-33,3.3142836098039784e-41,1.1595560158110654e-33,1.1977157253980663e-40,5.208980158282753e-54,8.3223325549811695e-53,1.8428244748220507e-63,1.788341270122568e-44,2.591012107547383e-56,1.5206046819188126e-56,5.44980718678522e-67,3.193277628107015e-67,1.209057799563536e-55,1.1186752539782529e-54,1.0359903149397766e-61,3.193694306394721e-60,3.054206870044438e-31,5.478949313614454e-41,6.131034893295252e-70,3.59847893018363e-70,3.1491480149347237e-41,6.782628399625679e-42,2.634474940610311e-59,1.1753093343320608e-54,5.5860029319678245e-67,8.157016051926282e-70,5.214866755141491e-52
3.623771870719776e-17,0.11224537200000109,0.9,0.0,0.0,0.0,0.0,0.09999999999999025,2.494744444030419e-15,2.4947246976812057e-15,1.7237263396795663e-15,1.7237263400764057e-15,1.4929729471079868e-15,1.4929729596193856e-15,1.492932276895873e-15,1.4929322769300951e-15,1.3311959900882494e-15,1.3311961144460299e-15,1.2052882882672747e-15,1.205288288559988e-15,1.9721990275945253e-20,2.3679638089507625e-23,1.0014365917919141e-23,2.170237466564625e-24,1.9637113187180685e-20,3.6283137551193504e-31,2.0664285303805296e-24,1.9896309043200697e-27,1.5965700108592683e-25,4.875750859639868e-25,6.416007589889835e-31,1.9974278622996348e-25,2.9048722267322487e-23,1.3799991435791631e-25,9.650774654863114e-26,1.1956322368566984e-25,1.1114962905014372e-35,1.9541802694844137e-20,1.243572281469435e-22,4.39365610548657e-31,7.072398768392655e-26,4.525634572112248e-28,3.082697036558113e-38,3.4379775340693543e-26,9.967738921864065e-29,7.463344293478578e-39,6.279701115130947e-33,1.9986322252953896e-30,3.757366189348533e-33,2.931446319727047e-40,3.75787770830727e-33,9.797594783994479e-40,1.6462905808356048e-52,3.125625509129201e-51,1.4404592506968827e-61,2.9715208201978863e-43,9.387059956928039e-55,5.69295952239419e-55,4.2863754423604684e-65,2.5911440847685527e-65,8.874529706316493e-54,3.2603469304829017e-53,4.1343653894345864e-60,1.1959984944810754e-58,1.3338523813568085e-30,9.742454788998983e-40,9.105115122336223e-68,5.52095008166559e-68,4.752731787412243e-40,2.053078111619835e-40,2.421530307215836e-58,2.2012092281850984e-53,7.1136602728804e-65,2.0093848216001682e-67,9.484655530861462e-51
7.460706792658361e-17,0.11224537200000224,0.9,0.0,0.0,0.0,0.0,0.09999999999997994,5.1362385617459e-15,5.136156252386684e-15,3.5488483457577368e-15,3.548848347415818e-15,3.0737678058574155e-15,3.0737678580910487e-15,3.0736840989392195e-15,3.0736840990821027e-15,2.7406976266520066e-15,2.7406981429441824e-15,2.481475887160704e-15,2.4814758883836163e-15,8.220765588561615e-20,9.885711548615038e-23,4.1807997819753665e-23,9.060311903562097e-24,4.0429363289553876e-20,3.0395086252031745e-30,8.62691967630885e-24,1.66998038581144e-26,6.6653655095287425e-25,2.0355268229671213e-24,5.382727562178693e-30,8.31993200017344e-25,5.980619179074224e-23,5.747680588087168e-25,4.0201040691262598e-25,4.981359610750851e-25,9.32391565971311e-35,3.9972865011415496e-20,5.162877790876583e-22,1.8342653957038126e-30,2.934860804716034e-25,3.662008829056461e-27,4.901183313663039e-37,1.4321019221093594e-25,7.347350479086496e-28,1.0438578557409699e-37,1.7037223765183303e-32,8.343896109779409e-30,1.0193887845819208e-32,2.464057264493194e-39,1.0195275606234588e-32,6.857824858828338e-39,4.538361079265881e-51,1.0729758870793382e-49,1.0174625748576542e-59,4.8166700255419515e-42,3.0166468909214116e-53,1.9480262889077412e-53,2.8675902112635985e-63,1.840244874467716e-63,6.070834040273865e-52,9.26121649589686e-52,1.4694182132610186e-58,4.1034646464516464e-57,5.5685711228832425e-30,1.6408370687107074e-38,1.177492647050207e-65,7.596889152630827e-66,6.143085652651034e-39,5.319630334357986e-39,2.0716941512973322e-57,3.801989670449237e-52,8.747310410271536e-63,4.907958632237096e-65,1.5485946171997227e-49
1.5134576636535533e-16,0.11224537200000458,0.9,0.0,0.0,0.0,0.0,0.09999999999995932,1.041922679875271e-14,1.0418891577721451e-14,7.199092355934471e-15,7.199092362719271e-15,6.235357441798821e-15,6.23535765519844e-15,6.235187741321201e-15,6.235187741905023e-15,5.5597008997786825e-15,5.559702985850557e-15,5.0338510835635925e-15,5.033851088566823e-15,3.348054621952318e-19,4.038577772528383e-22,1.7079924278946465e-22,3.701431157796631e-23,8.201395393977239e-20,2.4850658309033908e-29,3.524367874741564e-23,1.3651935536023466e-25,2.723019295862907e-24,8.315765247704381e-24,4.406167574780017e-29,3.383586892609685e-24,1.2132112740363517e-22,2.3371191736032405e-24,1.6351117928238457e-24,2.0267844597499007e-24,7.613528184679951e-34,8.004910147051567e-20,2.086037078838953e-21,7.49358018188963e-30,1.1847411841615046e-24,2.920571299314823e-26,7.722326387613884e-36,5.82472832855314e-25,5.5891582408893186e-27,1.533253199678942e-36,4.011644962443627e-32,3.4087538160555625e-29,2.4002053487874353e-32,2.0201830172933277e-38,2.4005320945399957e-32,4.1434683367977944e-38,1.089487950647009e-49,3.499280689767515e-48,6.754446045846194e-58,7.690592490597126e-41,8.76694197873784e-52,6.3377941274392e-52,1.70606497965921e-61,1.2197158224568141e-61,3.9595149872085462e-50,2.5325482417040844e-50,4.9494052327109385e-57,1.340724279015578e-55,2.2749430017707123e-29,2.6873281166604578e-37,1.3638418375841936e-63,9.836879512570918e-64,6.871080104954366e-38,1.1903499394393387e-37,1.713409871015994e-56,6.316891373009278e-51,1.0732980795276767e-60,1.2028981555066116e-62,2.3186346371284127e-48
3.048231632428988e-16,0.11224537200000921,0.9,0.0,0.0,0.0,0.0,0.09999999999991806,2.098520327915061e-14,2.098385659413211e-14,1.4499580368369525e-14,1.44995803958825e-14,1.2558536387452229e-14,1.2558537250113041e-14,1.255819501926579e-14,1.255819502162649e-14,1.1197707446028682e-14,1.119771569675368e-14,1.0138601470833494e-14,1.0138601491115095e-14,1.3450045990581946e-18,1.6324112395446765e-21,6.903972825434895e-22,1.496176130413001e-22,1.6518385866593598e-19,2.0087217203838399e-28,1.4245975861249553e-22,1.099214301344184e-24,1.1006879364845772e-23,3.361344250767847e-23,3.564461358099679e-28,1.3554245939991065e-23,2.4435098489399897e-22,9.35926793884546e-24,6.551631543692479e-24,8.126533935690465e-24,6.116354999767064e-33,1.571766578913162e-19,8.250452267796724e-21,3.029037045672633e-29,4.677500357950982e-24,2.2946705721802694e-25,1.1991455627530088e-34,2.333786176317909e-24,4.3254376158899515e-26,2.3209748374055938e-35,8.559622513655516e-32,1.3778727942118761e-28,5.120545590305671e-32,1.6359965838594719e-37,5.121242578895952e-32,2.1789917716900296e-37,2.2709132085044663e-48,1.0963523344399075e-46,4.285835671970413e-56,1.2097054685015972e-39,2.2821259371767304e-50,1.9839359785915325e-50,9.034579662188575e-60,7.716351207982372e-60,2.4823167386602764e-48,6.429909425774481e-49,1.624444354841413e-55,4.2226093957897846e-54,9.195683345856441e-29,4.331354064702628e-36,1.4007759174539339e-61,1.2123242897303058e-61,6.8066119242898136e-37,2.3458060585772002e-36,1.3998391793125722e-55,1.029757478110884e-49,1.3100362118413941e-58,2.9358621812387397e-60,3.153835091156651e-47
6.117779569979857e-16,0.11224537200001845,0.9,0.0,0.0,0.0,0.0,0.09999999999983554,4.2117156266110736e-14,4.211180716756698e-14,2.910055636156599e-14,2.910055647288196e-14,2.5204892973844716e-14,2.5204896443080298e-14,2.5204209547873345e-14,2.5204209557371924e-14,2.2473720538515263e-14,2.2473752339504524e-14,2.0348102223229777e-14,2.0348102305234456e-14,5.3423367355017394e-18,6.563486251118629e-21,2.7760525625219858e-21,6.016046157320351e-22,3.315293933020233e-19,1.615027250681484e-27,5.728178935872462e-22,8.746829859599238e-24,4.425817780804895e-23,1.3515648355461778e-22,2.867191717477784e-27,5.353827735541618e-23,4.9041064493875505e-22,3.6945650463363704e-23,2.5890577962433478e-23,3.215706656875926e-23,4.845462187241603e-32,3.002121631492702e-19,3.1798890573443586e-20,1.2179817406528525e-28,1.796815792370722e-23,1.7625419610745817e-24,1.8110541208264363e-33,9.221909143762588e-24,3.3606606924671417e-25,3.549556583174568e-34,1.7049655249623793e-31,5.5403659084005375e-28,1.019302147195512e-31,1.3167923786817126e-36,1.019440821031313e-31,1.0248364939123325e-36,4.155791560042472e-47,3.27601376807527e-45,2.5933022158182232e-54,1.861182630706674e-38,5.2475945298906036e-49,5.9387257880567915e-49,4.215334840726289e-58,4.6556525991908e-58,1.4845575084645845e-46,1.461781221636418e-47,5.26410853169556e-54,1.2761611124716829e-52,3.697543829820409e-28,6.896555034184597e-35,1.2498220008484496e-59,1.4042983197339972e-59,6.20124563352434e-36,4.200212420287638e-35,1.2081911325953331e-54,1.6628863073995172e-48,1.5633066770093825e-56,7.007069735062275e-58,3.820431174918742e-46
1.2256875445081595e-15,0.11224537200003698,0.9,0.0,0.0,0.0,0.0,0.09999999999967052,8.438106234940444e-14,8.436012070584406e-14,5.830250822126451e-14,5.830250867293232e-14,5.049760092699859e-14,5.0497614844130444e-14,5.049623849593042e-14,5.0496238534072807e-14,4.502574672343478e-14,4.5025864427500276e-14,4.076710363944828e-14,4.076710397178907e-14,2.091448769088997e-17,2.6319662227408272e-20,1.1133175934193936e-20,2.4126937506632482e-21,6.642650696462273e-19,1.2951914780995286e-26,2.2972052971599237e-21,6.862547263465408e-23,1.7749508783799754e-22,5.420243912266064e-22,2.2999259534195387e-26,2.0736097564807645e-22,9.825297453730903e-22,1.4292727506727727e-22,1.0036745562646749e-22,1.2497886061219295e-22,3.76930497647785e-31,5.474904873199643e-19,1.17688454739391e-19,4.884952981533912e-28,6.610597320503201e-23,1.3022956154455082e-23,2.5968528360751477e-32,3.574455063484894e-23,2.5872025679706663e-24,5.3773426037754446e-33,3.1880699604003545e-31,2.2219345314564367e-27,1.900712286074005e-31,1.0566429545063951e-35,1.9009703008667685e-31,4.4759252591528583e-36,6.7819367201711764e-46,9.117966745819336e-44,1.934923883394388e-52,2.75771158322725e-37,1.0691015481679007e-47,1.6659257722295267e-47,2.304728562625739e-56,3.4852742915925406e-56,8.273343690990517e-45,2.9213282418396898e-46,1.9655326622605656e-52,3.6418057730376245e-51,1.4828804529507808e-27,1.0825087496975668e-33,1.6306842843187858e-57,2.5127580776079126e-57,5.402761375714433e-35,7.030628562443125e-34,2.1668650008828033e-53,2.67241533820687e-47,3.0347933192035073e-54,2.71588303886126e-55,4.085414572578008e-45
