Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6827263250329455e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999928,1.8468923631027298e-16,1.8468907848558974e-16,1.2760974460619217e-16,1.2760974460935742e-16,1.1052676604783554e-16,1.1052676614769831e-16,1.1052375437058377e-16,1.105237543708569e-16,9.855020276646195e-17,9.855020376387177e-17,8.922908880722291e-17,8.922908880955784e-17,1.5763026896699203e-22,1.8900918551677436e-25,7.993347093211122e-26,1.7322576623466125e-26,1.453761359855108e-21,3.6179268807257992e-34,1.649400342413099e-26,1.9721435807251246e-30,1.2743628606338156e-27,3.891770586557581e-27,6.377660263517997e-34,1.5974645904693659e-27,2.1505154290553408e-24,1.10374615312329e-27,7.717903919555005e-28,9.56025815695577e-28,1.1022711321693023e-38,1.4549144644414373e-21,9.974089029805806e-25,3.5069628445654904e-33,5.674707632964343e-28,6.518549160108595e-31,6.725695763899537e-42,2.749437771016637e-28,2.670427841014057e-31,3.136381557387107e-42,8.941631383820365e-35,1.595284054158055e-32,5.350105465727049e-35,2.9020401708814836e-43,5.350833819376166e-35,8.25024792929279e-43,2.9118766854529973e-57,3.1472743136324006e-56,3.7724850944263304e-67,5.624910424389268e-47,1.0074567701483789e-59,5.772684557840011e-60,6.955033999396633e-71,3.983439055384873e-71,1.9393628231693484e-59,9.289584388551705e-58,4.3089935613514105e-65,1.2835991278444553e-63,1.0646648281644216e-32,1.2744834964710813e-43,3.555769697832497e-74,2.0374501589371457e-74,8.407129329774611e-44,4.959583434624786e-45,1.6539539290160967e-61,1.7217830413008803e-57,4.55323498639879e-71,2.8081582114540998e-74,7.80671054522485e-55,5.621350241995172e-44
7.511633710092247e-18,0.11224537200000022,0.9,0.0,0.0,0.0,0.0,0.09999999999999798,5.171298616749277e-16,5.171289085888513e-16,3.573072848894992e-16,3.5730728490861937e-16,3.0947494461099117e-16,3.094749452141638e-16,3.0946651223088475e-16,3.0946651223253455e-16,2.7594056774609014e-16,2.759405737664655e-16,2.49841448654744e-16,2.498414486688481e-16,9.519118011943522e-22,1.1416145050808491e-24,4.827981527545572e-25,1.0462835965718511e-25,4.070531825493602e-21,4.2888139787023256e-33,9.962376334002218e-26,2.3409336381526878e-29,7.697151678176618e-27,2.3506290001088652e-26,7.56516916856443e-33,9.646087650370714e-27,6.021443187757226e-24,6.664767824186374e-27,4.660392262854042e-27,5.7730012173663016e-27,1.3083086547542672e-37,4.070532878510402e-21,6.02036695149343e-24,2.1182055658898142e-32,3.425068494286966e-27,6.392118910896218e-30,1.1803663713725042e-40,1.660223272346899e-27,2.0500789471034468e-30,4.403595863626183e-41,4.893670689504428e-34,9.635515687211315e-32,2.928062107251778e-34,3.445302090849409e-42,2.928460728144754e-34,1.2097791882400303e-41,1.4269923469805158e-55,1.9123238243053055e-54,2.1251596662343485e-65,1.0490953917057038e-45,6.06719315944455e-58,3.5024938769884584e-58,5.316127829712757e-69,3.06678079460672e-69,1.556835865967329e-57,3.6571315043876815e-56,2.0584579321627034e-63,7.385135734453836e-62,6.430575562124451e-32,2.8504959476184905e-42,3.385566815830721e-72,1.95478717017637e-72,1.79637250277401e-42,1.9488373122610577e-43,2.499453118178422e-60,5.413554695299996e-56,3.886424603921301e-69,3.2954686883248784e-72,2.437858845363872e-53,1.2010753261153823e-42
1.716944848021085e-17,0.1122453720000005,0.9,0.0,0.0,0.0,0.0,0.09999999999999538,1.1820111124289115e-15,1.1820065255113182e-15,8.167023654247582e-16,8.167023655168326e-16,7.073713004455092e-16,7.073713033495398e-16,7.073520279244877e-16,7.073520279324307e-16,6.307212977053332e-16,6.307213266503904e-16,5.710661683278654e-16,5.710661683957833e-16,4.581263830413815e-21,5.496372488376373e-24,2.3244651595748845e-24,5.037404809821439e-25,9.30407292033113e-21,4.200279242186764e-32,4.796453595410875e-25,2.2975063112116447e-28,3.7058471986457903e-26,1.1317262353133132e-25,7.417023186078844e-32,4.6415314012235135e-26,1.376329865077009e-23,3.206906947559224e-26,2.242534857514687e-26,2.778032012222367e-26,1.2838540391217108e-36,9.288891003083023e-21,2.894498700304696e-23,1.0198248148445096e-31,1.6465278431458142e-26,5.572729409737408e-29,1.9655686139361828e-39,7.988811348443788e-27,1.4319281600468868e-29,5.7625616489186305e-40,1.9598213738475624e-33,4.639086029636665e-31,1.1726322879221218e-33,3.382618023114157e-41,1.1727919277258348e-33,1.2214012652870867e-40,5.38031820920811e-54,8.609965941950368e-53,1.918196915662535e-63,1.8360612222397545e-44,2.67988242862469e-56,1.573115349088258e-56,5.675290132742582e-67,3.32611143659125e-67,1.2587779988935107e-55,1.1539814654059383e-54,1.0718347776236376e-61,3.3040894584352713e-60,3.0960453203191727e-31,5.630058016519476e-41,6.421147217501964e-70,3.7696024348888786e-70,3.232097311142316e-41,7.00873201872537e-42,2.6887928927928204e-59,1.2077300867617896e-54,5.839544687397659e-67,8.580102604488423e-70,5.357640347855573e-52,2.1606363795528863e-41
3.648507802044806e-17,0.11224537200000113,0.9,0.0,0.0,0.0,0.0,0.0999999999999902,2.5117736140357417e-15,2.5117535973978484e-15,1.7354925263698564e-15,1.7354925267721345e-15,1.5031640069473728e-15,1.5031640196301617e-15,1.5031230592036959e-15,1.5031230592383866e-15,1.3402827576237662e-15,1.3402828836803481e-15,1.213515607586425e-15,1.2135156078831496e-15,1.9991945255799664e-20,2.4004015527068343e-23,1.015154899869223e-23,2.199966743154995e-24,1.977115649894812e-20,3.7029982303482667e-31,2.094735749786809e-24,2.030633426690023e-27,1.6184408329252196e-25,4.942541915270877e-25,6.548169127268007e-31,2.02475885263176e-25,2.92470093592323e-23,1.3988810416941217e-25,9.782831118255149e-26,1.2119940968483947e-25,1.1343977168814848e-35,1.9674345462156952e-20,1.2605601872742116e-22,4.4538431804740846e-31,7.168989412689834e-26,4.616782617918741e-28,3.165419138322275e-38,3.4850209022096357e-26,1.0156497711396264e-28,7.651614965549027e-39,6.343370225023999e-33,2.026010748930734e-30,3.79546152612092e-33,2.9918873344351743e-40,3.795978231267477e-33,9.984691774948139e-40,1.7000001787644617e-52,3.233535134930573e-51,1.5001270313166947e-61,3.051985478814516e-43,9.706537919139302e-55,5.889312591777722e-55,4.46262740458213e-65,2.69882319474048e-65,9.242675786052141e-54,3.365913997348577e-53,4.277411230485891e-60,1.2373012823140405e-58,1.352124331786491e-30,1.0011101131185848e-39,9.538272584212226e-68,5.786131183052709e-68,4.873749911144653e-40,2.1197298616650237e-40,2.4714577548733236e-58,2.2619291879217347e-53,7.4449344546267814e-65,2.1170182499462676e-67,9.742461285708098e-51,3.256111437002006e-40
7.511633710092249e-17,0.1122453720000023,0.9,0.0,0.0,0.0,0.0,0.09999999999997981,5.1712986176461744e-15,5.1712151825152914e-15,3.573072847758372e-15,3.573072849439186e-15,3.0947493992824184e-15,3.0947494522315934e-15,3.0946651213301133e-15,3.0946651214749533e-15,2.7594056774604197e-15,2.759406200785748e-15,2.4984144857528126e-15,2.4984144869924894e-15,8.333203422343256e-20,1.0021131277072825e-22,4.2380710001035434e-23,9.184425733535959e-24,4.0705335073480616e-20,3.1020814967686603e-30,8.74509648437528e-24,1.704378687781746e-26,6.756671886366492e-25,2.0634107083101945e-24,5.493613199491101e-30,8.433643910656578e-25,6.021442990590414e-23,5.826230157351711e-25,4.0750518329926304e-25,5.049457878464129e-25,9.51589590874376e-35,4.0242211626352737e-20,5.233208422730773e-22,1.859392327431e-30,2.9748220774019454e-25,3.736403323759461e-27,5.034073484605266e-37,1.451676049539507e-25,7.491706153502567e-28,1.0711486990673638e-37,1.7187557577733627e-32,8.458196056498516e-30,1.0283835569393293e-32,2.514861579196178e-39,1.028523557478111e-32,6.981891354913438e-39,4.682843354475895e-51,1.1099400496706029e-49,1.0596739678157223e-59,4.9480085082985784e-42,3.117904417550553e-53,2.0150780423846727e-53,2.9842087717352596e-63,1.9165938176856022e-63,6.322737330140147e-52,9.563964759016796e-52,1.5202589456029355e-58,4.2449117507104413e-57,5.6448529190883e-30,1.6860662715486593e-38,1.2332617066608395e-65,7.963198363940617e-66,6.292482285783238e-39,5.486204676509882e-39,2.1144096168531227e-57,3.9068665083498116e-52,9.162041460184534e-63,5.17559574913581e-65,1.59012653078996e-49,4.196394191098449e-39
1.5237885526187133e-16,0.1122453720000046,0.9,0.0,0.0,0.0,0.0,0.09999999999995904,1.0490348626464613e-14,1.0490008827659904e-14,7.248233488528678e-15,7.248233495406572e-15,6.277920101277831e-15,6.277920317600844e-15,6.2777492438548824e-15,6.277749244446703e-15,5.5976515171328774e-15,5.597653631465123e-15,5.068212240682657e-15,5.068212245754523e-15,3.3937754184642355e-19,4.093899958621421e-22,1.731389574798042e-22,3.752135668199862e-23,8.257378452831172e-20,2.5362457380324717e-29,3.5726467450422535e-23,1.393286443294e-25,2.7603209300487038e-24,8.429679481544756e-24,4.496956901265738e-29,3.4297262317321115e-24,1.221492675182613e-22,2.3689835235045065e-24,1.6574112590922397e-24,2.0544350997216267e-24,7.770078618398428e-34,8.058149772435349e-20,2.114296743903235e-21,7.596232104201617e-30,1.2007762627127505e-24,2.98000439282521e-26,7.932291246474847e-36,5.904163753319836e-25,5.701259411543052e-27,1.5742365862500767e-36,4.042823467679075e-32,3.455449073817844e-29,2.4188581757773065e-32,2.0618354639485594e-38,2.4191874606057264e-32,4.2133587906665127e-38,1.1229155448558e-49,3.6193254421311304e-48,7.034003448075969e-58,7.900636291099446e-41,9.054574763590158e-52,6.555103154829094e-52,1.774190961890667e-61,1.2701649201106624e-61,4.12330021407398e-50,2.6146450666230868e-50,5.120650821208136e-57,1.3867725626317292e-55,2.3061066045356957e-29,2.7613494905427e-37,1.4275207172026987e-63,1.0310742513595755e-63,7.030036933861872e-38,1.2261698764434976e-37,1.7487522754886073e-56,6.491139893435746e-51,1.1246761778867496e-60,1.2690762912131756e-62,2.3793820311019334e-48,4.6664105217535466e-38
3.0690389158376903e-16,0.11224537200000925,0.9,0.0,0.0,0.0,0.0,0.0999999999999175,2.1128448650574326e-14,2.1127083632252555e-14,1.4598554762042406e-14,1.4598554789933473e-14,1.264426117457036e-14,1.2644262049049342e-14,1.2643917481991623e-14,1.2643917484384675e-14,1.1274143196474392e-14,1.1274151557766673e-14,1.0207807744930636e-14,1.0207807765490865e-14,1.3633148743308065e-18,1.6547723989981204e-21,6.998547717554071e-22,1.5166716727838793e-22,1.6631142170721139e-19,2.050109100265311e-28,1.4441125081104818e-22,1.1217901061529648e-24,1.1157658534195284e-23,3.4073897720269345e-23,3.6379249602102778e-28,1.373823910593831e-23,2.460189288194038e-22,9.486275593462848e-24,6.640588675822592e-24,8.236950756076535e-24,6.241782319472792e-33,1.5819530453821606e-19,8.361014022575266e-21,3.070530927273743e-29,4.74007049831093e-24,2.341156480791153e-25,1.2316196805782527e-34,2.365472772370749e-24,4.4129978926880255e-26,2.3836880755299726e-35,8.619905903119773e-32,1.3967477640022482e-28,5.1565941387239e-32,1.6697278150646177e-37,5.157296032551063e-32,2.2131991047088436e-37,2.3377391464659587e-48,1.1336607033100167e-46,4.462188079591138e-56,1.2426435493840542e-39,2.3545780865580144e-50,2.0514517964165556e-50,9.385917146173363e-60,8.033615784174824e-60,2.5843191089762798e-48,6.6330991238680635e-49,1.680648871632095e-55,4.366645965738344e-54,9.321651610876842e-29,4.45048659350057e-36,1.4646239697501075e-61,1.270357367978999e-61,6.9575932720756004e-37,2.413956300597025e-36,1.4288945271558887e-55,1.0581624816734574e-49,1.3728842207244762e-58,3.097705504331862e-60,3.233509547421794e-47,4.569266692373566e-37
6.159539642275643e-16,0.11224537200001859,0.9,0.0,0.0,0.0,0.0,0.09999999999983443,4.240464872532495e-14,4.239922725163705e-14,2.929919727696232e-14,2.9299197389812516e-14,2.5376941998365603e-14,2.5376945515131964e-14,2.537625393060971e-14,2.537625394023849e-14,2.262712655514383e-14,2.2627158773502214e-14,2.0486998730979742e-14,2.0486998814113943e-14,5.414619185011273e-18,6.65339199606677e-21,2.8140806169615533e-21,6.098457579012491e-22,3.337925381588501e-19,1.648313252932018e-27,5.806646247791566e-22,8.925787863002998e-24,4.4864454216141775e-23,1.370079188604578e-22,2.9262946194744203e-27,5.425858933295466e-23,4.937581957332744e-22,3.7442413065356257e-23,2.6239078584612702e-23,3.2590501168487884e-23,4.944303812594965e-32,3.020611494755109e-19,3.2216217618831276e-20,1.2346667759507983e-28,1.8203176832804475e-23,1.7978066083983404e-24,1.8594923887078582e-33,9.3460314330384e-24,3.4287494315983747e-25,3.645646186160517e-34,1.7159739588814148e-31,5.616261331858234e-28,1.0258712967748482e-31,1.3439422080931916e-36,1.026010863014942e-31,1.0400315761668687e-36,4.273271273089645e-47,3.3858401078261617e-45,2.6988246819888595e-54,1.9114106997473083e-38,5.407839320706989e-49,6.138054365903911e-49,4.374157331690373e-58,4.8449825988080265e-58,1.5448114665723617e-46,1.506245618696645e-47,5.446242610611895e-54,1.31915396533686e-52,3.748195115168265e-28,7.085700668728746e-35,1.3050253510548608e-59,1.4705927803474094e-59,6.33514112350642e-36,4.3190468834462465e-35,1.2354081589275895e-54,1.708754466479046e-48,1.6379214392524194e-56,7.391624381994147e-58,3.912433653519768e-46,4.0686108678786635e-36
1.234054109515155e-15,0.11224537200003724,0.9,0.0,0.0,0.0,0.0,0.09999999999966828,8.495704898576042e-14,8.493582737437346e-14,5.870048217837224e-14,5.870048263629736e-14,5.084229835482356e-14,5.0842312462654e-14,5.0840926717192095e-14,5.084092675585764e-14,4.5333093272428317e-14,4.53332124628616e-14,4.1045380613290556e-14,4.104538095023037e-14,2.1194083006590068e-17,2.6680166934605795e-20,1.1285684689195702e-20,2.4457442139721234e-21,6.688002805416317e-19,1.3218905120666396e-26,2.3286731777671527e-21,7.001911499608248e-23,1.799265273958306e-22,5.494491953424969e-22,2.347340080145571e-26,2.101031475820904e-22,9.892365068984761e-22,1.4481511344885782e-22,1.0169593394828924e-22,1.2663738624888748e-22,3.845414850327324e-31,5.505449491893638e-19,1.1917451619599757e-19,4.951875644648534e-28,6.693565053372823e-23,1.327723673737208e-23,2.664563324917372e-32,3.621760208259508e-23,2.6392435989275244e-24,5.521928629126475e-33,3.2065679095042406e-31,2.252371990837712e-27,1.911640035419884e-31,1.0784289827545958e-35,1.9118995224987628e-31,4.5398993095988976e-36,6.966372638819419e-46,9.415805429572817e-44,2.0120772063087988e-52,2.830842692384674e-37,1.1005798476105623e-47,1.7205686599661286e-47,2.3890115541022842e-56,3.6244382341248173e-56,8.602030967722027e-45,3.00644105210884e-46,2.0335385703411554e-52,3.762057985912575e-51,1.503193883820731e-27,1.1120328282332682e-33,1.6999488282516078e-57,2.627975798802519e-57,5.518059480513793e-35,7.2256523055662206e-34,2.2448746980114165e-53,2.7461257324362455e-47,3.1772194743149515e-54,2.8627533675877388e-55,4.1789621110676564e-45,3.3907396085005665e-35
