Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.700792026291892e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999927,1.8593294892375315e-16,1.8593278896650893e-16,1.2846907919512513e-16,1.284690791983332e-16,1.1127106244366726e-16,1.1127106254487954e-16,1.1126803048619309e-16,1.1126803048646988e-16,9.921384799392122e-17,9.921384900480488e-17,8.982996488128489e-17,8.982996488365138e-17,1.5976020287920266e-22,1.9156336255772703e-25,8.101365295807082e-26,1.7556665493071514e-26,1.4635511092812417e-21,3.691465150796838e-34,1.6716895341997208e-26,2.0122516273063947e-30,1.29158398037205e-27,3.9443620758894874e-27,6.507327638566831e-34,1.6190489081776037e-27,2.1649971780340634e-24,1.1186594656959264e-27,7.822185618001754e-28,9.68943450948115e-28,1.1246877670192288e-38,1.464705221741743e-21,1.0108827381114757e-24,3.554354234422114e-33,5.751364124894982e-28,6.63538400550402e-31,6.887503389978481e-42,2.7865872185972596e-28,2.7116315867534636e-31,3.204623864558292e-42,9.056037409769458e-35,1.6168419467819242e-32,5.418558778099669e-35,2.9610635977115243e-43,5.419296450856417e-35,8.416050015942432e-43,3.003409912898948e-57,3.25464896414556e-56,3.905249611105922e-67,5.76428571451411e-47,1.0417508517949062e-59,5.969556800670679e-60,7.240239748161101e-71,4.147032176735179e-71,2.0086145532371e-59,9.55974967262786e-58,4.456046398810274e-65,1.327392999461875e-63,1.079052190707197e-32,1.3091600053113906e-43,3.717674815251378e-74,2.1303531331674272e-74,8.63266339040796e-44,5.126620558671944e-45,1.6875930213200963e-61,1.7686321203780238e-57,4.749264335446719e-71,2.9335835377595375e-74,8.01868387102041e-55,5.77215008736844e-44,5.911215950021055e-44
7.562217673617298e-18,0.11224537200000022,0.9,0.0,0.0,0.0,0.0,0.09999999999999798,5.206122569927557e-16,5.2061129102956895e-16,3.5971342173840573e-16,3.5971342175778425e-16,3.1155897451495577e-16,3.1155897512627944e-16,3.1155048535449956e-16,3.115504853561716e-16,2.7779877438297605e-16,2.7779878048465264e-16,2.5152390166204343e-16,2.5152390167633833e-16,9.647730429354268e-22,1.1570417145725571e-24,4.89322451953892e-25,1.0604225636556457e-25,4.097943124250752e-21,4.3759570723506196e-33,1.0097003017129e-25,2.38853916074351e-29,7.801167241394504e-27,2.382394250834889e-26,7.718948726290272e-33,9.776404093914292e-27,6.061992084713898e-24,6.754806434207975e-27,4.723353567338797e-27,5.850995374570468e-27,1.3349133146387823e-37,4.0979034246792956e-21,6.10166796313531e-24,2.1468299655746647e-32,3.471319120905609e-27,6.512581648609983e-30,1.209959756155162e-40,1.6826526501366587e-27,2.0838545418739926e-30,4.5031130379649546e-41,4.953428218319992e-34,9.765725358661456e-32,2.9638172166432843e-34,3.515374703181461e-42,2.9642207051674984e-34,1.2338532750952117e-41,1.4728878306883354e-55,1.9775499286532184e-54,2.206190193826841e-65,1.0760117472500159e-45,6.273310787289058e-58,3.6218885158983764e-58,5.533784968160714e-69,3.192686096730998e-69,1.6176858097103433e-57,3.7670641765098407e-56,2.1287068372501304e-63,7.637048246763659e-62,6.517475231883046e-32,2.928049784727083e-42,3.5411460500590704e-72,2.0448480621607904e-72,1.8440365287021324e-42,2.013961139367119e-43,2.550288458613795e-60,5.5608554681194345e-56,4.055618035107967e-69,3.4539945806857633e-72,2.503939539861947e-53,1.2329430114205023e-42,1.3220946652596002e-42
1.728506896826811e-17,0.11224537200000054,0.9,0.0,0.0,0.0,0.0,0.09999999999999537,1.1899708731557688e-15,1.1899662242766536e-15,8.222021067931882e-16,8.222021068865069e-16,7.121347973482829e-16,7.121348002915575e-16,7.121153950637485e-16,7.12115395071799e-16,6.349686271610723e-16,6.349686564967376e-16,5.749117752013436e-16,5.749117752701796e-16,4.6431489483461674e-21,5.570647659332827e-24,2.3558768493278727e-24,5.105477843497122e-25,9.366727321075851e-21,4.285585949093081e-32,4.86127051225513e-25,2.3442229543394087e-28,3.755926214843004e-26,1.147019827165368e-25,7.567753936331484e-32,4.704219400737752e-26,1.385598184294765e-23,3.250218205671915e-26,2.2728227393187054e-26,2.815553983271397e-26,1.309956940837758e-36,9.351247475389634e-21,2.93355939724253e-23,1.0336062315492317e-31,1.6687448515770808e-26,5.681404380437355e-29,2.0165415553369102e-39,8.096708707076421e-27,1.4572336776188078e-29,5.899404649033224e-40,1.9818690746945888e-33,4.70177638138983e-31,1.1858242185075264e-33,3.4514157294254786e-41,1.1859856542318364e-33,1.2452217589847817e-40,5.554878574500189e-54,8.903476525478354e-53,1.9955951418831745e-63,1.884397470055609e-44,2.7705414855377637e-56,1.6266973606606904e-56,5.906876786536343e-67,3.462574992646062e-67,1.3098427496569356e-55,1.1899165576890633e-54,1.1084132368604517e-61,3.416740955491616e-60,3.1378837705939105e-31,5.783221683854124e-41,6.720843146449768e-70,3.9464241034303035e-70,3.316051878444827e-41,7.23913831051093e-42,2.7434791077751345e-59,1.24059193606816e-54,6.101025932134186e-67,9.019185537190159e-70,5.502320332467241e-52,2.216752759361744e-41,2.6112829693398124e-41
3.6730771557569734e-17,0.11224537200000113,0.9,0.0,0.0,0.0,0.0,0.09999999999999014,2.5286881055819956e-15,2.5286678186596458e-15,1.7471794767756378e-15,1.7471794771833542e-15,1.5132864377779382e-15,1.5132864506321178e-15,1.5132452143727893e-15,1.5132452144079492e-15,1.349308332717211e-15,1.3493084604724994e-15,1.2216875221910757e-15,1.2216875224918124e-15,2.026189601214676e-20,2.432839294108778e-23,1.028873207918263e-23,2.2296960196691324e-24,1.9904297131899824e-20,3.7781864868288433e-31,2.1230429687745862e-24,2.0719133976701818e-27,1.6403116549911591e-25,5.00933296985068e-25,6.681224127101318e-31,2.0520892168948543e-25,2.944396113891158e-23,1.4177624919989587e-25,9.914884637722619e-26,1.2283556206335757e-25,1.1574539895797424e-35,1.980598431034602e-20,1.2775471402610163e-22,4.514030255597993e-31,7.265574189904261e-26,4.708517371807795e-28,3.2492179888440424e-38,3.5320632169985543e-26,1.0346309850324277e-28,7.842090208281652e-39,6.406736593726613e-33,2.0533892725661024e-30,3.833375719448478e-33,3.052738126556157e-40,3.833897586122042e-33,1.0172697999523483e-39,1.7546967915071967e-52,3.34364491102428e-51,1.5614181965876468e-61,3.1335130642783446e-43,1.0032348209629546e-54,6.089662547497177e-55,4.643599746689582e-65,2.8094398456622637e-65,9.620853574859317e-54,3.473431928803377e-53,4.4233862590987477e-60,1.2794466718845445e-58,1.3703962822161763e-30,1.0283399191997013e-39,9.985805337582187e-68,6.0602486851004875e-68,4.9961146626841e-40,2.18758602295821e-40,2.521723700781726e-58,2.3234752626247644e-53,7.78694797170849e-65,2.228880372010691e-67,1.00036478746146e-50,3.3378294980967314e-40,4.643236355948788e-40
7.562217673617298e-17,0.1122453720000023,0.9,0.0,0.0,0.0,0.0,0.09999999999997969,5.206122570836601e-15,5.2060380099694135e-15,3.597134216232078e-15,3.597134217935623e-15,3.1155896976892606e-15,3.115589751353979e-15,3.115504852553034e-15,3.1155048526998316e-15,2.7779877438292736e-15,2.7779882741869636e-15,2.5152390158150692e-15,2.5152390170715113e-15,8.445637719801344e-20,1.0156550985816862e-22,4.295342217994108e-23,9.30853956286904e-24,4.0979448402774764e-20,3.165076852804737e-30,8.863273288937364e-24,1.739009296050276e-26,6.847978263204139e-25,2.0912945927696687e-24,5.605248869271583e-30,8.54735058854477e-25,6.061991884882673e-23,5.9047759846363235e-25,4.129997135993742e-25,5.117553334564139e-25,9.709170685245192e-35,4.0509697824981165e-20,5.303531156382363e-22,1.8845192593876263e-30,3.014778492288389e-25,3.8112835982496056e-27,5.168718474901608e-37,1.4712492964808726e-25,7.636942315056752e-28,1.0987800294519534e-37,1.7336974971636735e-32,8.572496003217821e-30,1.0373234943858602e-32,2.5660103365055596e-39,1.0374647119565269e-32,7.106415109657671e-39,4.829847619972533e-51,1.147654649795928e-49,1.1030342004388003e-59,5.0810982396686176e-42,3.2211149428452617e-53,2.0834892699716823e-53,3.103891968736288e-63,1.99501978530306e-63,6.5814961196166614e-52,9.872347725325673e-52,1.5721407570821111e-58,4.3892338287457245e-57,5.721134715293382e-30,1.7319097156202075e-38,1.2908647722839681e-65,8.341900414222196e-66,6.443360343936636e-39,5.65558884380068e-39,2.1574147340381806e-57,4.013170217792221e-52,9.590526431050449e-63,5.453972992306803e-65,1.6321850768705708e-49,4.296894046255709e-39,7.82004666613157e-39
1.5340498709337945e-16,0.11224537200000465,0.9,0.0,0.0,0.0,0.0,0.09999999999995877,1.0560991502965113e-14,1.0560647126674621e-14,7.297043693111114e-15,7.297043700082102e-15,6.3201961337200025e-15,6.3201963529664115e-15,6.320024127162105e-15,6.320024127761925e-15,5.635346566052536e-15,5.63534870863886e-15,5.102342001641168e-15,5.1023420067816735e-15,3.439493338118254e-19,4.149222128672493e-22,1.7547867215066292e-22,3.8028401780777456e-23,8.312984512307533e-20,2.587771702881656e-29,3.620925612491708e-23,1.4215683179524977e-25,2.797622564234419e-24,8.543593708140913e-24,4.5883608247800753e-29,3.475861329312615e-24,1.2297183074063062e-22,2.400844841368919e-24,1.6797087299778704e-24,2.082083457941304e-24,7.927678951162436e-34,8.111012468739358e-20,2.142550110188985e-21,7.698884030262288e-30,1.2168074759820975e-24,3.0398240143986285e-26,8.145030192819157e-36,5.9835920390246065e-25,5.814074487057087e-27,1.615749661446943e-36,4.073787325085715e-32,3.5021443315802865e-29,2.4373825520140517e-32,2.103770305462784e-38,2.4377143584293045e-32,4.2834159127024113e-38,1.1568858685338732e-49,3.741786964502449e-48,7.32113372912202e-58,8.113480166348109e-41,9.347512897024218e-52,6.776784279940066e-52,1.844052532489804e-61,1.3219791393502869e-61,4.291517245737471e-50,2.6982332902274455e-50,5.295403050961395e-57,1.4337500977827752e-55,2.3372702073006996e-29,2.8363742941790733e-37,1.4932454268822152e-63,1.0800593003998075e-63,7.190388697492143e-38,1.262551437335721e-37,1.7843350154826408e-56,6.667759061706955e-51,1.1777771622550941e-60,1.3379365192147518e-62,2.4408557223253937e-48,4.772525031333295e-38,1.2807006706552017e-37
3.0897060780779243e-16,0.11224537200000932,0.9,0.0,0.0,0.0,0.0,0.09999999999991696,2.1270729373783557e-14,2.1269346024452332e-14,1.4696862638733828e-14,1.4696862667003012e-14,1.2729408670614304e-14,1.2729409556911468e-14,1.2729062669374029e-14,1.2729062671799426e-14,1.1350064210495617e-14,1.1350072682306905e-14,1.0276547967605821e-14,1.0276547988444683e-14,1.3816228556152413e-18,1.6771335456525726e-21,7.0931226080956435e-22,1.5371672147293194e-22,1.6743139177512206e-19,2.0917766500779108e-28,1.4636274278218472e-22,1.1445166063442443e-24,1.1308437703544167e-23,3.453435287419562e-23,3.7118861952739077e-28,1.3922198689699283e-23,2.4767564041251687e-22,9.613259261036506e-24,6.729530000142022e-24,8.347349469133294e-24,6.368041760275145e-33,1.592063951321025e-19,8.471527473895858e-21,3.1120248148881584e-29,4.8026111272462446e-24,2.387937503551611e-25,1.2645171074750157e-34,2.3971537132617227e-24,4.501123684617577e-26,2.4472235916851786e-35,8.679745182798682e-32,1.4156227337927556e-28,5.192376805384753e-32,1.703687736948042e-37,5.193083568235951e-32,2.2474513171928386e-37,2.4055674159420336e-48,1.1717081693247479e-46,4.643268748832945e-56,1.2760164121129009e-39,2.428284813800353e-50,2.1203057477747783e-50,9.745819977542317e-60,8.359376791615796e-60,2.6890497379314617e-48,6.8397862519163465e-49,1.7380043031941125e-55,4.513549880796416e-54,9.447619875897428e-29,4.571228247284048e-36,1.5304480459505315e-61,1.3303275666044683e-61,7.109777737466516e-37,2.483110886404486e-36,1.4581559876439749e-55,1.08695392203363e-49,1.4378417522503549e-58,3.266115315065397e-60,3.314052934803351e-47,4.668518542473493e-37,2.0640347411222283e-36
6.201018492366183e-16,0.11224537200001872,0.9,0.0,0.0,0.0,0.0,0.09999999999983333,4.269020514231868e-14,4.268471131139137e-14,2.9496500497437846e-14,2.9496500611822443e-14,2.5547832403737593e-14,2.554783596803487e-14,2.5547139725768693e-14,2.5547139735527682e-14,2.2779499499367997e-14,2.2779532134746026e-14,2.0624959876784936e-14,2.0624959961048776e-14,5.486883728470054e-18,6.743297640996025e-21,2.8521086701313345e-21,6.180868997280356e-22,3.3604044484553102e-19,1.6818247453094385e-27,5.8851135419506585e-22,9.105922140376465e-24,4.54707306242301e-23,1.3885935369412898e-22,2.9857980333573207e-27,5.497864280622737e-23,4.970832033154349e-22,3.793899130750876e-23,2.65874573811375e-23,3.3023795755009004e-23,5.04378728502295e-32,3.038952236398043e-19,3.263319493589841e-20,1.2513518207339012e-28,1.843798383665711e-23,1.8332831608973065e-24,1.9085412552367898e-33,9.470110147978044e-24,3.4972739132789557e-25,3.742992544260501e-34,1.7268945397553854e-31,5.69215675531706e-28,1.0323877595013745e-31,1.3712761076583523e-36,1.0325282109599916e-31,1.0552365523502924e-36,4.392384475502553e-47,3.4977781774726266e-45,3.712424315484087e-54,1.9622864539112468e-38,5.570665610528717e-49,6.3412268150680065e-49,6.018354001111815e-58,6.67663422081808e-58,1.6066428758808183e-46,1.5514204001350854e-47,6.536197198420694e-54,1.363572471067211e-52,3.7988464005162925e-28,7.277382918596375e-35,2.3536431059542113e-59,2.6565715185256443e-59,6.470047300798331e-36,4.439554234058993e-35,1.2927072340283772e-54,1.75521704980569e-48,2.9642454592803196e-56,1.3443344358725845e-57,4.005326527608148e-46,4.1539994216935145e-36,3.285937685859652e-35
1.2423643320942702e-15,0.1122453720000375,0.9,0.0,0.0,0.0,0.0,0.09999999999966606,8.552915679188507e-14,8.550765534792914e-14,5.909577608468038e-14,5.909577654886415e-14,5.118467450735022e-14,5.1184688805880287e-14,5.1183293726408507e-14,5.118329376559722e-14,4.563837007705765e-14,4.563849075156334e-14,4.1321783604142424e-14,4.1321783945682164e-14,2.1473543054687025e-17,2.7040670884449216e-20,1.1438193434008319e-20,2.4787946745332603e-21,6.733049685351159e-19,1.3487704855540976e-26,2.3601410449465788e-21,7.142164327530489e-23,1.823579669536354e-22,5.568739956697678e-22,2.395075572034849e-26,2.128434182601275e-22,9.958981034514119e-22,1.4670159986882329e-22,1.0302351425969618e-22,1.282948732096863e-22,3.9219986344937137e-31,5.53571131152857e-19,1.206582806006132e-19,5.018798453952312e-28,6.776395644659569e-23,1.3532888735670165e-23,2.733071951277131e-32,3.6690332446661375e-23,2.6916057129665045e-24,5.668366286810724e-33,3.2249001072143387e-31,2.282809450219949e-27,1.9224676934571877e-31,1.1003627157083593e-35,1.922728639090908e-31,4.6038935266831017e-36,7.153175176063964e-46,9.719081178456494e-44,2.0983555074588366e-52,2.9048757289805605e-37,1.1325336226175562e-47,1.7762188278660575e-47,2.479323077432101e-56,3.779517005781706e-56,8.939011441688942e-45,3.092804737545316e-46,2.111977962417535e-52,3.8845986739166824e-51,1.5235073146908532e-27,1.1419473760692871e-33,1.7738346518363886e-57,2.7551282490752546e-57,5.634215369096049e-35,7.42332427914073e-34,2.3326282846394494e-53,2.820835770689844e-47,3.3349671711384717e-54,3.0307510934485396e-55,4.27330910013561e-45,3.460092230137887e-35,5.156205136187301e-34
