Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7187376856804257e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999928,1.8716839739147817e-16,1.8716823530167672e-16,1.2932270372996772e-16,1.2932270373321857e-16,1.1201041318417243e-16,1.1201041328673423e-16,1.1200736108124135e-16,1.1200736108152184e-16,9.987308347202992e-17,9.98730844963873e-17,9.042684829064009e-17,9.042684829303814e-17,1.6189013270844552e-22,1.941175395759243e-25,8.209383498375814e-26,1.7790754362603461e-26,1.473275808377723e-21,3.7654941815548002e-34,1.693978725945887e-26,2.0526278911315493e-30,1.3088051001102833e-27,3.99695356512011e-27,6.637861226751718e-34,1.6406331652676423e-27,2.1793826995696264e-24,1.1335727349024657e-27,7.926467031445037e-28,9.81861053664469e-28,1.1472542950035688e-38,1.474430832577599e-21,1.0243564803252932e-24,3.601745624280482e-33,5.828020044103352e-28,6.752791572985746e-31,7.051060098181333e-42,2.8237365642000225e-28,2.7529373101634633e-31,3.273441363122352e-42,9.170324408897012e-35,1.638399839405798e-32,5.486940872308745e-35,3.0204818374082454e-43,5.487687854477572e-35,8.582908887984514e-43,3.0965771289006833e-57,3.3641914449983674e-56,4.0410085501602337e-67,5.905258959644105e-47,1.0767342320005723e-59,6.170400953082261e-60,7.533126002825937e-71,4.31504231188384e-71,2.079463549339616e-59,9.834120769766519e-58,4.606069922865496e-65,1.372071111344681e-63,1.0934395532499729e-32,1.344301912770424e-43,3.884697094131424e-74,2.226199156026632e-74,8.86111948714673e-44,5.2969484301672006e-45,1.7214571281666707e-61,1.8161100454450575e-57,4.951012341901542e-71,3.0629991281199286e-74,8.233487661923063e-55,5.924903648611341e-44,6.069891286147437e-44,1.595446417542548e-74
7.612465519905192e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999795,5.240715127024688e-16,5.2407053386222e-16,3.6210357043585897e-16,3.62103570455496e-16,3.1362915658400606e-16,3.1362915720348073e-16,3.136206110205436e-16,3.136206110222379e-16,2.7964463372168034e-16,2.7964463990465694e-16,2.5319517520816396e-16,2.5319517522264937e-16,9.776342362254136e-22,1.1724689237942329e-24,4.958467511499938e-25,1.0745615307307212e-25,4.125172282087305e-21,4.463681004175316e-33,1.0231629699775715e-25,2.4364629666582028e-29,7.905182804612378e-27,2.4141595014406728e-26,7.873754859163497e-33,9.906719818274955e-27,6.102271544829716e-24,6.844844529740113e-27,4.786314533685388e-27,5.9289891457343666e-27,1.3616958153697448e-37,4.1250915615888884e-21,6.182967873457602e-24,2.1754543652634035e-32,3.517569068784919e-27,6.633723125436185e-30,1.2398999164483364e-40,1.705081906936634e-27,2.11775112620302e-30,4.603561235724764e-41,5.013074400466008e-34,9.89593503011163e-32,2.9995057031216413e-34,3.5859160373488264e-42,2.999914050207131e-34,1.2580746868108263e-41,1.5196295549431975e-55,2.0440922617750242e-54,2.2892422561411964e-65,1.1032568197728295e-45,6.483554994750492e-58,3.7436898526409926e-58,5.757287624841877e-69,3.3219889288837156e-69,1.6800989568229222e-57,3.878818406830197e-56,2.2003748749728552e-63,7.894044951795664e-62,6.604374901641642e-32,3.0066443743188413e-42,3.7017006385536866e-72,2.137801048232322e-72,1.892301333194104e-42,2.0803475249583444e-43,2.6014638402843646e-60,5.710133428749058e-56,4.2298313336414207e-69,3.618024878158517e-72,2.5708988281762453e-53,1.2652123307533498e-42,1.3575822748485933e-42,1.358526252018737e-72
1.7399921188354725e-17,0.11224537200000054,0.9,0.0,0.0,0.0,0.0,0.09999999999999531,1.1978777433497918e-15,1.1978730325096303e-15,8.276653038154391e-16,8.276653039100022e-16,7.168666420569668e-16,7.168666450394851e-16,7.168471108714191e-16,7.168471108795768e-16,6.391877342209675e-16,6.391877639472304e-16,5.787318290206986e-16,5.7873182909045265e-16,4.705033591046379e-21,5.6449228276405835e-24,2.3872885390491162e-24,5.1735508770871975e-25,9.428965399740302e-21,4.371460551856983e-32,4.926087428628504e-25,2.3912517850391278e-28,3.8060052310402055e-26,1.1623134188993693e-25,7.719490209075134e-32,4.766906695161537e-26,1.3948049179488966e-23,3.293528959402108e-26,2.30311028959771e-26,2.8530755757889303e-26,1.3362342102391125e-36,9.413187020504101e-21,2.97261901668065e-23,1.0473876482616293e-31,1.6909611961429393e-26,5.790743216328292e-29,2.0681481142390418e-39,8.204604879481087e-27,1.4826578177662126e-29,6.037686368264846e-40,2.003847136780584e-33,4.764466733143023e-31,1.1989744814782714e-33,3.520673629614176e-41,1.1991377074505908e-33,1.2691760127013206e-40,5.732677407474359e-54,9.202903542424344e-53,2.0750459518840118e-63,1.9333497811203718e-44,2.8630005165757724e-56,1.68135783369704e-56,6.144647215675661e-67,3.602717051244874e-67,1.3622699736568343e-55,1.2264834234978746e-54,1.1457306355182693e-61,3.53166387854878e-60,3.179722220868651e-31,5.938440296847834e-41,7.030306143971693e-70,4.129054792615268e-70,3.401009591153786e-41,7.473868402381955e-42,2.7985311221071524e-59,1.273894882215164e-54,6.370587346439603e-67,9.474651900085779e-70,5.648906001614999e-52,2.273539401722183e-41,2.68136842391725e-41,2.0313845626161917e-70
3.697483252525379e-17,0.11224537200000113,0.9,0.0,0.0,0.0,0.0,0.09999999999999006,2.5454902047459768e-15,2.545469647543366e-15,1.7587887704457894e-15,1.758788770858944e-15,1.5233416076960626e-15,1.5233416207216327e-15,1.5233001104622537e-15,1.5233001104978822e-15,1.3582739352194873e-15,1.3582740646733877e-15,1.2298051365557148e-15,1.2298051368604624e-15,2.0531842573348322e-20,2.465277033172402e-23,1.0425915159392245e-23,2.259425296107549e-24,2.003655308064032e-20,3.8538751395581837e-31,2.1513501873466736e-24,2.113468954130575e-27,1.662182477057086e-25,5.076124023386313e-25,6.815166597658317e-31,2.0794189593006323e-25,2.9639604225363857e-23,1.4366434975067985e-25,1.0046935233067003e-25,1.244716810472669e-25,1.1806640671831317e-35,1.99367372599905e-20,1.294533146892004e-22,4.574217330858296e-31,7.362153139872572e-26,4.800834850117291e-28,3.3340931988109357e-38,3.5791044855213507e-26,1.053716825342035e-28,8.034767606804958e-39,6.469804760103545e-33,2.0807677962014945e-30,3.871111485111069e-33,3.1139959549501213e-40,3.8716384890205515e-33,1.0361603851155675e-39,1.8103846704321388e-52,3.455969398860544e-51,1.6243544427258676e-61,3.216103317448918e-43,1.0364528141996605e-54,6.294035715803571e-55,4.829352763683294e-65,2.9230333432296e-65,1.0009197351690314e-53,3.5829104624233314e-53,4.572310200961984e-60,1.322440252902155e-58,1.388668232645865e-30,1.0559348904633835e-39,1.0447988844902771e-67,6.343479178335801e-68,5.119821446419931e-40,2.256651145301612e-40,2.5723258806988e-58,2.385847452155248e-53,8.139901762268044e-65,2.3450787566598525e-67,1.0268212871652123e-50,3.4204426258856808e-40,4.767835208352188e-40,2.5607400221398586e-68
7.612465519905192e-17,0.1122453720000023,0.9,0.0,0.0,0.0,0.0,0.09999999999997954,5.240715127945878e-15,5.2406294413775076e-15,3.62103570319125e-15,3.621035704917529e-15,3.136291517746959e-15,3.136291572127221e-15,3.1362061092002473e-15,3.1362061093490024e-15,2.796446337216309e-15,2.7964468746055783e-15,2.531951751265536e-15,2.531951752538743e-15,8.558068504774922e-20,1.0291970674979998e-22,4.352613435648651e-23,9.432653391565635e-24,4.1251740325139666e-20,3.228491861148413e-30,8.981450090018738e-24,1.7738706445951372e-26,6.939284640041688e-25,2.119178476351457e-24,5.717629548242947e-30,8.661052069237663e-25,6.102271342334078e-23,5.98331809526634e-25,4.184939994772893e-25,5.185645998050126e-25,9.90373123603728e-35,4.0775360704393877e-20,5.373846046128524e-22,1.9096461915736833e-30,3.0547300828452187e-25,3.886646305542979e-27,5.3051177141204785e-37,1.4908216688886532e-25,7.7830530085631505e-28,1.1267516276353629e-37,1.7485492147458615e-32,8.68679594993732e-30,1.0462095662738729e-32,2.6175012323281106e-39,1.046351993543033e-32,7.231390150019994e-39,4.9793818249802087e-51,1.1861245688093787e-49,1.1475585679471083e-59,5.215938824764775e-42,3.326288671876086e-53,2.1532687857906926e-53,3.2266771285417695e-63,2.075550379458579e-63,6.847201594054107e-52,1.0186392561847373e-51,1.6250706585173063e-58,4.536449671045048e-57,5.7974165114984895e-30,1.7783673784642126e-38,1.350336200688035e-65,8.733240986213682e-66,6.595712701085004e-39,5.8277898089848984e-39,2.200707567052965e-57,4.120900798292107e-52,1.0033031125350977e-62,5.743371060448598e-65,1.6747695512600893e-49,4.398371959813278e-39,8.029815736749322e-39,3.0787359084977824e-66
1.5442430054664818e-16,0.11224537200000466,0.9,0.0,0.0,0.0,0.0,0.09999999999995848,1.0631164975986712e-14,1.063081602249615e-14,7.345529566621211e-15,7.3455295736853e-15,6.362191252939625e-15,6.362191475109434e-15,6.362018104901464e-15,6.362018105509282e-15,5.672791141209079e-15,5.672793312043231e-15,5.1362449792443335e-15,5.136244984453479e-15,3.485208400456673e-19,4.2045442827905124e-22,1.7781838680217114e-22,3.853544687433798e-23,8.368221087787903e-20,2.639641408938053e-29,3.669204477109295e-23,1.4500378938175234e-25,2.8349241984200535e-24,8.657507927541326e-24,4.6803752324015936e-29,3.521992214366419e-24,1.2378892824422827e-22,2.43270314795393e-24,1.7020042191225532e-24,2.1097295499823962e-24,8.086322008283667e-34,8.163505758030446e-20,2.1707972221454272e-21,7.801535960071378e-30,1.2328348513620497e-24,3.1000274247857106e-26,8.360541994721408e-36,6.063013234479618e-25,5.927598586223806e-27,1.657792192909793e-36,4.104540683035568e-32,3.5488395893428915e-29,2.455780959745334e-32,2.1459856528011683e-38,2.456115270596335e-32,4.3536370431567803e-38,1.1913999086046996e-49,3.866680444069936e-48,7.615936419222566e-58,8.329123233763061e-41,9.645778727186278e-52,7.002864957254679e-52,1.9156692367217828e-61,1.3751763793955889e-61,4.464224151362092e-50,2.7833189998077445e-50,5.473685536339138e-57,1.4816627826985151e-55,2.3684338100657255e-29,2.912402454387612e-37,1.5610524793544976e-63,1.1306745396561708e-63,7.352127265067964e-38,1.2994953853927087e-37,1.8201565075277766e-56,6.846748876220673e-51,1.2326347742683282e-60,1.409549734517503e-62,2.5030540126096502e-48,4.879547289772571e-38,1.315029467093517e-37,3.614845697384203e-64
3.1102359124184073e-16,0.11224537200000938,0.9,0.0,0.0,0.0,0.0,0.09999999999991639,2.1412064678718402e-14,2.1410663000655734e-14,1.4794517285237304e-14,1.4794517313884624e-14,1.2813990383688884e-14,1.2813991281804255e-14,1.2813642089204254e-14,1.2813642091662e-14,1.1425480749191127e-14,1.1425489331473518e-14,1.0344831429438548e-14,1.0344831450556064e-14,1.399928558729772e-18,1.6994946795961935e-21,7.187697497070169e-22,1.557662756252168e-22,1.6854392023502312e-19,2.1337224953289755e-28,1.483142345274726e-22,1.1673927627963727e-24,1.145921687289243e-23,3.499480796984979e-23,3.7863417340194893e-28,1.4106124926009425e-23,2.493213435861324e-22,9.740219109483984e-24,6.818455627019882e-24,8.457730200875596e-24,6.49512751727288e-33,1.60210080905337e-19,8.581992979704432e-21,3.153518708515036e-29,4.8651224651474846e-24,2.435011436556764e-25,1.297837516726648e-34,2.4288290384819913e-24,4.589811042570082e-26,2.511581032645619e-35,8.739149203491927e-32,1.434497703583397e-28,5.22789888710125e-32,1.7378748197203588e-37,5.228610483484841e-32,2.2817475852639072e-37,2.4743986254788918e-48,1.2104990697759792e-46,4.829138214334277e-56,1.309823817804621e-39,2.5032498247160266e-50,2.19050571692549e-50,1.0114374473665677e-59,8.693742755217e-60,2.796543339988761e-48,7.049980905143518e-49,1.796518399999622e-55,4.6633383381240956e-54,9.573588140918193e-29,4.6935787928722475e-36,1.598280883668124e-61,1.3922721193565115e-61,7.263157797094765e-37,2.5532704098201133e-36,1.4876224831397753e-55,1.1161317986788052e-49,1.5049499820602842e-58,3.4412649305554014e-60,3.3954620432471407e-47,4.768530203268243e-37,2.119279363142421e-36,4.073402097353349e-62
6.242221726322258e-16,0.11224537200001881,0.9,0.0,0.0,0.0,0.0,0.09999999999983221,4.297386411144725e-14,4.296829794105817e-14,2.969249268949419e-14,2.969249280541337e-14,2.5717587286646597e-14,2.5717590898474925e-14,2.5716890029406874e-14,2.571689003929607e-14,2.2930859965141262e-14,2.2930893017192293e-14,2.0762004306773456e-14,2.0762004392167047e-14,5.559130492962697e-18,6.833203186614712e-21,2.8901367220398246e-21,6.263280412146851e-22,3.382734171450092e-19,1.715560219375644e-27,5.963580818475678e-22,9.287224343407765e-24,4.6077007032313916e-23,1.4071078805879016e-22,3.0456992797561133e-27,5.569843965738817e-23,5.003861170766486e-22,3.843538653586761e-23,2.693571523713807e-23,3.345695133945287e-23,5.143907948504036e-32,3.0571468705807486e-19,3.304982534940785e-20,1.2680368749995276e-28,1.867258066935632e-23,1.8689698844808457e-24,1.9581998419561914e-33,9.594145605280245e-24,3.566230970527525e-25,3.841594874853675e-34,1.737729044779661e-31,5.76805217877701e-28,1.0388525995939377e-31,1.3987928460689604e-36,1.0389939292302768e-31,1.0704512287876977e-36,4.513127652960978e-47,3.611838798229231e-45,3.8593195094653816e-54,2.013809238506347e-38,5.736077951801069e-49,6.548263190027035e-49,6.238897766839969e-58,6.940762563294326e-58,1.6700707366166557e-46,1.5973056724831994e-47,6.756254004288611e-54,1.408267159611313e-52,3.8494976858644864e-28,7.471601058512964e-35,2.454504375943548e-59,2.7782862440420534e-59,6.60595784656923e-36,4.561734611109388e-35,1.3218932607038296e-54,1.8023321724459308e-48,3.101779742991131e-56,1.416055539806729e-57,4.099103833752057e-46,4.23998940440075e-36,3.3736324948820466e-35,7.389589144415661e-60
1.2506193354129958e-15,0.11224537200003773,0.9,0.0,0.0,0.0,0.0,0.09999999999966383,8.609746309096422e-14,8.607568194868412e-14,5.948844336610693e-14,5.94884438365507e-14,5.1524775658426645e-14,5.152479014765737e-14,5.1523385796166843e-14,5.152338583587874e-14,4.594161839698567e-14,4.594174055328974e-14,4.1596349969229176e-14,4.1596350315369735e-14,2.1752868848009376e-17,2.7401174082585024e-20,1.1590702168699947e-20,2.5118451323650405e-21,6.777797422012096e-19,1.3758301881918982e-26,2.3916088987986066e-21,7.283299093913605e-23,1.847894065114124e-22,5.642987922337662e-22,2.4431302791179738e-26,2.155818025796403e-22,1.0025154353805456e-21,1.4858674497190132e-22,1.0435020357117035e-22,1.2995132951735808e-22,3.9990526395149965e-31,5.565696214633963e-19,1.2213976924173196e-19,5.08572140936632e-28,6.85909039035676e-23,1.3789899189420502e-23,2.802376591492032e-32,3.7162744235131583e-23,2.7442864020085803e-24,5.8166535404205246e-33,3.2430700175195257e-31,2.313246909603143e-27,1.9331973396731879e-31,1.1224431653208281e-35,1.9334597304142763e-31,4.667907509222418e-36,7.342340546494271e-46,1.0027815275997405e-43,2.179721296634715e-52,2.9798090581403593e-37,1.1649633150018445e-47,1.8328805030439191e-47,2.567484851183562e-56,3.9262790409276996e-56,9.28437580758865e-45,3.180419598374552e-46,2.1830827822792596e-52,4.00935670090572e-51,1.5438207455611454e-27,1.1722521758581926e-33,1.8470792726917628e-57,2.877951971215993e-57,5.751223880569747e-35,7.62364352219259e-34,2.4151221363418693e-53,2.89655125779474e-47,3.48717196276278e-54,3.1901355117701057e-55,4.3684506478751746e-45,3.529900703263613e-35,5.293039606493956e-34,6.876656871695894e-58
