Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7365656648061722e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999927,1.8839574429563336e-16,1.8839558007327891e-16,1.3017073054575132e-16,1.3017073054904492e-16,1.1274491556621333e-16,1.127449156701246e-16,1.1274184344993964e-16,1.1274184345022386e-16,1.0052799595466528e-16,1.0052799699249636e-16,9.101981758377659e-17,9.101981758620622e-17,1.6402005848168653e-22,1.9667171657151678e-25,8.317401700917482e-26,1.802484323206244e-26,1.4829367368926443e-21,3.840010720411136e-34,1.7162679176518654e-26,2.093270600785704e-30,1.3260262198485152e-27,4.049545054250117e-27,6.769255297113827e-34,1.6622173621399195e-27,2.1936738867636825e-24,1.148485961029388e-27,8.03074816176754e-28,9.947786240595533e-28,1.1699697259682966e-38,1.4840925785895925e-21,1.0378301302365092e-24,3.649137014140584e-33,5.904675394377526e-28,6.870768074470959e-31,7.216363104496341e-42,2.8608858084985756e-28,2.7943443375945686e-31,3.342831817540148e-42,9.284493385268707e-35,1.6599577320296724e-32,5.555252349123513e-35,3.0802922838037036e-43,5.55600863109066e-35,8.750816912316606e-43,3.1913861253612016e-57,3.475916126400305e-56,4.17979401101524e-67,6.047828362342221e-47,1.1124113995002972e-59,6.375243274114788e-60,7.833794271730788e-71,4.48752822011021e-71,2.1519276266432895e-59,1.0112709058164202e-57,4.759083872805151e-65,1.4176393267857183e-63,1.1078269157927487e-32,1.3799092177025193e-43,4.056929249829464e-74,2.3250418050982657e-74,9.092495629426748e-44,5.470586875086467e-45,1.7555447642263643e-61,1.8642168164879396e-57,5.158569229027785e-71,3.196483298727113e-74,8.451121626543063e-55,6.079609593271951e-44,6.230668019318261e-44,1.662283323845603e-74,9.46493061264045e-75
7.662383861457282e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999795,5.275080840341868e-16,5.275070923169238e-16,3.6447804551994716e-16,3.6447804553984253e-16,3.156857632493565e-16,3.156857638769822e-16,3.1567716165280766e-16,3.156771616545243e-16,2.814783886730593e-16,2.814783949373349e-16,2.548554892288721e-16,2.5485548924354815e-16,9.904953813844482e-22,1.1878961327476613e-24,5.023710503428833e-25,1.0887004977971334e-25,4.1522228822979126e-21,4.551981918863761e-33,1.0366256381945532e-25,2.4847029528749426e-29,8.009198367830236e-27,2.4459247519270066e-26,8.029580769549406e-33,1.0037034828206739e-26,6.142286868789322e-24,6.934882114183904e-27,4.849275164128945e-27,6.006982533409488e-27,1.388654981437346e-37,4.1521008778272384e-21,6.26426668975531e-24,2.204078764956031e-32,3.563818342422076e-27,6.755538844194076e-30,1.2701865167417367e-40,1.7275110435465838e-27,2.151767900334609e-30,4.704937799613788e-41,5.07261032502279e-34,1.0026144701561825e-31,3.0351282183236453e-34,3.6569229993089265e-42,3.0355414149891604e-34,1.28244228482441e-41,1.5672218425049208e-55,2.1119595316222645e-54,2.374340567146731e-65,1.1308303922608397e-45,6.697952232712199e-58,3.867913747383086e-58,5.986712536592744e-69,3.454734428387512e-69,1.7440951349792113e-57,3.9924009427721457e-56,2.2734714750256653e-63,8.15615950504259e-62,6.691274571400245e-32,3.086279711671256e-42,3.8673222529949707e-72,2.2336998707289234e-72,1.9411662043553424e-42,2.1480035552411384e-43,2.6529770185605156e-60,5.861388577114217e-56,4.4091462785361925e-69,3.7876796725940033e-72,2.638736546072728e-53,1.297882807169595e-42,1.3935398105534e-42,1.4160488543343878e-72,8.083549305126747e-73
1.7514020254759502e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.0999999999999953,1.2057327635369684e-15,1.205727990736232e-15,8.330926754357125e-16,8.330926755315202e-16,7.215674572714796e-16,7.21567460293242e-16,7.215477980304499e-16,7.215477980387149e-16,6.433791741098335e-16,6.433792042266832e-16,5.825268324962535e-16,5.825268325669257e-16,4.766917761657541e-21,5.719197993317159e-24,2.4187002287388224e-24,5.241623910592223e-25,9.490795346712103e-21,4.4578992792700026e-32,4.990904344534106e-25,2.43859073855772e-28,3.856084247237392e-26,1.1776070105160954e-25,7.872225344310188e-32,4.829593289162395e-26,1.403951277624466e-23,3.336839212089027e-26,2.3333975105461464e-26,2.890596792280022e-26,1.3626846932076428e-36,9.474717840858484e-21,3.0116775657811604e-23,1.0611690649817022e-31,1.7131768812586194e-26,5.900741502181015e-29,2.1203879405064427e-39,8.312499873509818e-27,1.5081997952871224e-29,6.17740418408556e-40,2.0257563960824317e-33,4.827157084896239e-31,1.2120835770305275e-33,3.5903886859309003e-41,1.2122485876463658e-33,1.293262857143986e-40,5.913730713278669e-54,9.50828596442664e-53,2.1565761422138934e-63,1.9829179273233242e-44,2.9572706754745453e-56,1.737103836882494e-56,6.388681441771489e-67,3.7465863620618014e-67,1.416077591778194e-55,1.2636849340429966e-54,1.183791883619614e-61,3.6488732068831536e-60,3.2215606711433965e-31,6.095713836853838e-41,7.34972070621136e-70,4.317606028182264e-70,3.486968345455616e-41,7.712943203850105e-42,2.8539465211245906e-59,1.3076389251670302e-54,6.648370273716748e-67,9.946893030410346e-70,5.797396653078159e-52,2.330994894860712e-41,2.7523817343168884e-41,2.1197661988050273e-70,1.2169810486875796e-70
3.721729304136394e-17,0.11224537200000113,0.9,0.0,0.0,0.0,0.0,0.09999999999999,2.5621821226454097e-15,2.5621612951667036e-15,1.7703219351367384e-15,1.770321935555332e-15,1.5333308399390736e-15,1.5333308531360345e-15,1.5332890706733583e-15,1.5332890707094556e-15,1.3671807449833268e-15,1.3671808761357444e-15,1.2378695189397789e-15,1.2378695192485378e-15,2.0801784967204442e-20,2.4977147699131973e-23,1.0563098239322914e-23,2.289154572470741e-24,2.0167941749741883e-20,3.930060870741517e-31,2.179657405505824e-24,2.1552982698375185e-27,1.6840532991230006e-25,5.142915075884664e-25,6.949990666038765e-31,2.106748083977395e-25,2.983396436477167e-23,1.455524061171091e-25,1.0178982923697622e-25,1.261077668581336e-25,1.2040269289027803e-35,2.0066621740777277e-20,1.311518213501341e-22,4.634404406254986e-31,7.458726301642407e-26,4.893731148084747e-28,3.420044385339501e-38,3.6261447147229505e-26,1.0729065975773098e-28,8.229644793222421e-39,6.53257914435109e-33,2.1081463198369094e-30,3.908671467884697e-33,3.1756581327621673e-40,3.9092035850990635e-33,1.0551399932116715e-39,1.867068019512747e-52,3.570523059798925e-51,1.6889574629412633e-61,3.2997559833865793e-43,1.0703114720215405e-54,6.502458241405792e-55,5.019946686289757e-65,3.039642986148835e-65,1.0407841375583807e-53,3.694359256526491e-53,4.724202650686564e-60,1.3662875768286355e-58,1.4069401830755556e-30,1.0838950202738803e-39,1.0925100063936928e-67,6.636000348853884e-68,5.244865724960933e-40,2.3269297205829645e-40,2.6232620752254863e-58,2.449045756375165e-53,8.503997868755476e-65,2.465722267191574e-67,1.0536153869938924e-50,3.5039477682458937e-40,4.89408285159663e-40,2.674825053235781e-68,1.5540208780717291e-68
7.662383861457282e-17,0.11224537200000231,0.9,0.0,0.0,0.0,0.0,0.09999999999997941,5.275080841275202e-15,5.274994029040537e-15,3.644780454016771e-15,3.644780455765783e-15,3.156857583767659e-15,3.1568576388634654e-15,3.156771615509662e-15,3.1567716156603747e-15,2.8147838867300923e-15,2.814784431150162e-15,2.5485548914618786e-15,2.5485548927518512e-15,8.670495800630917e-20,1.0427390344692459e-22,4.409884653068728e-23,9.556767219629938e-24,4.1522246673506663e-20,3.2923237458173185e-30,9.099626887642543e-24,1.8089611984066032e-26,7.030591016879134e-25,2.1470623590613514e-24,5.830750312700973e-30,8.774748387433825e-25,6.142286663629271e-23,6.061856514065511e-25,4.239880425643758e-25,5.253735887545061e-25,1.009956898129522e-34,4.103923614522229e-20,5.444153145190767e-22,1.9347731239891623e-30,3.09467688187919e-25,3.962488164965028e-27,5.4432706389221225e-37,1.5103931726001053e-25,7.930032396777693e-28,1.155063278416665e-37,1.7633124829436854e-32,8.801095896657024e-30,1.0550427134550204e-32,2.6693320082003926e-39,1.0551863432173706e-32,7.35681064662704e-39,5.131453806740088e-51,1.2253546534083618e-49,1.193262361352478e-59,5.352529873454704e-42,3.43343571119227e-53,2.22442534137673e-53,3.352601506527296e-63,2.1582131937369316e-63,7.119944910834214e-52,1.0506126179234485e-51,1.6790556141401527e-58,4.6865779358897954e-57,5.8736983077036166e-30,1.8254392377683556e-38,1.4117105126921444e-65,9.137467276816699e-66,6.749532341333224e-39,6.002814435706863e-39,2.24428621847065e-57,4.230058249368351e-52,1.048982291537978e-62,6.044074173812094e-65,1.7178792560506047e-49,4.5008231994041505e-39,8.24235807258819e-39,3.2178984355005805e-66,1.915471387238142e-66
1.5543692976099058e-16,0.1122453720000047,0.9,0.0,0.0,0.0,0.0,0.09999999999995822,1.0700878280197555e-14,1.0700524749790715e-14,7.39369748968876e-15,7.39369749684595e-15,6.403910985398479e-15,6.403911210491691e-15,6.403736703384145e-15,6.403736703999964e-15,5.709990170222739e-15,5.709992369298511e-15,5.169925635046274e-15,5.1699256403240625e-15,3.53092062463474e-19,4.259866421082232e-22,1.8015810143445654e-22,3.9042491962714634e-23,8.423095448228881e-20,2.6918525855940577e-29,3.7174833389139906e-23,1.4786939125515483e-25,2.872225832605606e-24,8.771422139793482e-24,4.7729960926898305e-29,3.568118915334006e-24,1.2460066755722848e-22,2.4645584636058104e-24,1.7242977398978875e-24,2.1373733911098963e-24,8.24600075718937e-34,8.21563691567384e-20,2.1990381233403714e-21,7.904187893628624e-30,1.2488584157018092e-24,3.160611939067002e-26,8.578825431597546e-36,6.142427387530164e-25,6.041826924523124e-27,1.7003639519671754e-36,4.135087558374174e-32,3.59553484710566e-29,2.4740558025193255e-32,2.1884796543389329e-38,2.4743926009822186e-32,4.424019594773059e-38,1.226458633946055e-49,3.9940209534604026e-48,7.918510994832691e-58,8.547564618672057e-41,9.949394339133064e-52,7.233372434878662e-52,1.9890605587306556e-61,1.4297745292171994e-61,4.641478965091284e-50,2.8699082121136823e-50,5.65552173479149e-57,1.5305164719108074e-55,2.39959741283077e-29,2.989433898474987e-37,1.6309785205706484e-63,1.1829515955921171e-63,7.515244650601826e-38,1.3370024697454098e-37,1.8562151999872795e-56,7.028109335385555e-51,1.2892829578639038e-60,1.4839877329868257e-62,2.5659752218709454e-48,4.987471898814551e-38,1.349811273679019e-37,3.7788323918065564e-64,2.3591929628353836e-64
3.130631120538261e-16,0.11224537200000945,0.9,0.0,0.0,0.0,0.0,0.09999999999991585,2.1552473164780904e-14,2.155105316024928e-14,1.489153155268043e-14,1.489153158170592e-14,1.2898017444555158e-14,1.2898018354488749e-14,1.2897666871940042e-14,1.2897666874430144e-14,1.1500402737204496e-14,1.1500411429910423e-14,1.0412667116375851e-14,1.0412667137772035e-14,1.4182319991792754e-18,1.721855800915393e-21,7.282272384487988e-22,1.578158297355214e-22,1.6964915348907795e-19,2.1759447986546845e-28,1.5026572604844804e-22,1.1904175569693277e-24,1.1609996042240067e-23,3.545526300761647e-23,3.861288313114909e-28,1.4290018044951465e-23,2.5095625491108e-22,9.867155303394303e-24,6.907365664637733e-24,8.568093074820925e-24,6.623033900616035e-33,1.6120650812684941e-19,8.692410890824346e-21,3.195012608153532e-29,4.927604728016507e-24,2.4823761197887744e-25,1.3315805843057096e-34,2.460498786739979e-24,4.679056095710195e-26,2.5767600493406905e-35,8.798126527139661e-32,1.4533726733741728e-28,5.263165507830491e-32,1.7722875638878158e-37,5.263881902952504e-32,2.3160871100188435e-37,2.5442333653566897e-48,1.2500377055277484e-46,5.019856947679652e-56,1.3440655295025151e-39,2.5794767714132595e-50,2.2620595226550517e-50,1.049166655918749e-59,9.036822084188474e-60,2.906834589444694e-48,7.26369302911501e-49,1.856198861018625e-55,4.8160283955396037e-54,9.699556405939142e-29,4.8175379986670664e-36,1.6681552914727894e-61,1.4562284564665759e-61,7.417726071427108e-37,2.6244354513573125e-36,1.5172929631082212e-55,1.1456961110999394e-49,1.5742503233642756e-58,3.623329842583984e-60,3.477733704919492e-47,4.869296684684722e-37,2.1752503393006048e-36,4.256808746634127e-62,2.9030964325298e-62
6.283154766394972e-16,0.11224537200001894,0.9,0.0,0.0,0.0,0.0,0.09999999999983111,4.325566296158044e-14,4.325002446938268e-14,2.9887199645254595e-14,2.988719976270854e-14,2.5886228986452218e-14,2.588623264581174e-14,2.5885527180275105e-14,2.5885527190294513e-14,2.308122787115386e-14,2.3081261339533996e-14,2.0898150055678146e-14,2.0898150142201622e-14,5.631359603053046e-18,6.92310863361709e-21,2.928164772695348e-21,6.345691823634427e-22,3.404917488792611e-19,1.7495181965666732e-27,6.042048077490063e-22,9.469686289285596e-24,4.668328344039334e-23,1.4256222195753748e-22,3.1059957323634634e-27,5.641798173119513e-23,5.036673716730562e-22,3.893160006972933e-23,2.728385302016113e-23,3.388996891287206e-23,5.24466123949965e-32,3.0751983122722866e-19,3.346611162727251e-20,1.2847219387450622e-28,1.8906969030013368e-23,1.904865080038271e-24,2.0084672780496758e-33,9.718138115352218e-24,3.635617499277725e-25,3.941452402400829e-34,1.7484791926785073e-31,5.843947602238071e-28,1.0452668462690172e-31,1.4264912164023113e-36,1.0454090471824774e-31,1.0856754180271621e-36,4.635501422877044e-47,3.728032687056275e-45,4.009970638283293e-54,2.065978404392655e-38,5.9040808256839416e-49,6.759183358517601e-49,6.464412951059378e-58,7.21164409703835e-58,1.7351140102070549e-46,1.643902975994533e-47,6.98069721270281e-54,1.4538068026485119e-52,3.900148971212851e-28,7.668354368288833e-35,2.558249208675254e-59,2.9038517645674643e-59,6.742866565696314e-36,4.6855881446649683e-35,1.3514191019474643e-54,1.850071248208445e-48,3.2437566583072013e-56,1.490583039574288e-57,4.193761829388154e-46,4.326576640666856e-36,3.462472002523962e-35,7.716199388950405e-60,6.114181407446102e-60
1.2588202058108391e-15,0.11224537200003797,0.9,0.0,0.0,0.0,0.0,0.09999999999966162,8.666204267080307e-14,8.66399819634511e-14,5.987853569676635e-14,5.987853617347145e-14,5.1862646564609544e-14,5.1862661244541927e-14,5.186124768180419e-14,5.1861247722039277e-14,4.6242878138996e-14,4.6243001774845134e-14,4.1869115840855306e-14,4.1869116191597575e-14,2.2032061379211527e-17,2.776167653454723e-20,1.1743210893337397e-20,2.54489558748548e-21,6.822251901587961e-19,1.4030684335801157e-26,2.423076739421639e-21,7.425309277816907e-23,1.8722084606916176e-22,5.717235850593361e-22,2.4915020940032502e-26,2.183183151396849e-22,1.0090893735126394e-21,1.504705591894556e-22,1.0567600875284722e-22,1.3160676303429033e-22,4.07657324976215e-31,5.595409888296703e-19,1.2361900296561761e-19,5.152644510812236e-28,6.941650559379225e-23,1.4048255409478892e-23,2.872475143546291e-32,3.7634839905874554e-23,2.7972832081894446e-24,5.966788370948097e-33,3.2610809892110826e-31,2.3436843689872873e-27,1.9438309844918928e-31,1.1446693631123181e-35,1.9440948071672584e-31,4.73194086915304e-36,7.53386503611116e-46,1.0342028729049627e-43,2.2630959310277024e-52,3.055641060952475e-37,1.1978693582883025e-47,1.890557862715728e-47,2.65754447091191e-56,4.07667663990861e-56,9.638214423340512e-45,3.26928596014949e-46,2.2556049378218607e-52,4.136381873491356e-51,1.5641341764316064e-27,1.202947011870747e-33,1.922304046384418e-57,3.004496088272262e-57,5.86907995528945e-35,7.82660907461505e-34,2.499744822989594e-53,2.973269331072255e-47,3.6441626696882396e-54,3.3556215856710865e-55,4.464382023822366e-45,3.600161664910857e-35,5.431635197165538e-34,7.17175209994743e-58,7.149267628271709e-58
