Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.754278248843631e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999926,1.8961514695645262e-16,1.896149806015492e-16,1.3101326834179846e-16,1.3101326834513485e-16,1.1347466373765183e-16,1.1347466384291263e-16,1.1347157173758443e-16,1.1347157173787227e-16,1.011786693879265e-16,1.011786704392312e-16,9.160894876697056e-17,9.160894876943177e-17,1.6614998022536384e-22,1.992258935446517e-25,8.42541990343227e-26,1.8258932101448922e-26,1.4925351331552203e-21,3.915011578384964e-34,1.7385571093179177e-26,2.1341780123889088e-30,1.3433106076190328e-27,4.10213654328017e-27,6.901504230743524e-34,1.683801499187052e-27,2.2078725714478956e-24,1.1633991443575772e-27,8.135029010815134e-28,1.0076961623440848e-27,1.1928892725125287e-38,1.4936916999381637e-21,1.0513036884475855e-24,3.696528404002426e-33,5.981330179431553e-28,6.989309795917803e-31,7.383409679106303e-42,2.898034952153399e-28,2.835852008564259e-31,3.4127930359533544e-42,9.39264232776739e-35,1.6815156246535497e-32,5.623493797235833e-35,3.1406403013916533e-43,5.624259369467777e-35,8.919766605600506e-43,3.2878446371736424e-57,3.5898372719507724e-56,4.321757882570815e-67,6.191992160143382e-47,1.148786812431215e-59,6.584109849009591e-60,8.142729556918895e-71,4.664768362195683e-71,2.225528025219564e-59,1.0395525838933102e-57,4.915570880456633e-65,1.4641034704678257e-63,1.1222142783355249e-32,1.4159819142663678e-43,4.234464473580817e-74,2.426934939065647e-74,9.326789811077695e-44,5.647555547443853e-45,1.789854473201246e-61,1.912952433492727e-57,5.372025476860296e-71,3.333372338075767e-74,8.671993914117038e-55,6.236266578465362e-44,6.393546123158419e-44,1.7310176866298655e-74,9.856485929772564e-75,6.32681004003748e-32
7.711979096762168e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999794,5.30922411484564e-16,5.30921406890335e-16,3.6683715134877326e-16,3.6683715136892707e-16,3.1772905812502017e-16,3.1772905876079685e-16,3.177204008581218e-16,3.177204008598606e-16,2.833002742861908e-16,2.8330028063176427e-16,2.56505056541741e-16,2.56505056556608e-16,1.0033564787264073e-21,1.2033233414345911e-24,5.088953495325814e-25,1.1028394648549406e-25,4.179098392204353e-21,4.64085603655052e-33,1.050088306364156e-25,2.533257044174384e-29,8.113596069963082e-27,2.4776900022946706e-26,8.186419792770309e-33,1.0167349128370762e-26,6.1820431857213684e-24,7.024919190873986e-27,4.912235460860897e-27,6.084975540097439e-27,1.4158563451420377e-37,4.178934845838123e-21,6.345564419180839e-24,2.2327031646525443e-32,3.6100669462263604e-27,6.878024395604135e-30,1.300819227991976e-40,1.749940060750631e-27,2.185904080144658e-30,4.807240124219472e-41,5.1262107580288726e-34,1.0156354373012048e-31,3.0706854002258812e-34,3.7285681657887405e-42,3.0711034375772015e-34,1.306954953084346e-41,1.6156689820051303e-55,2.1811603771611892e-54,2.4616021725981727e-65,1.1587322518764831e-45,6.916528766517484e-58,3.994575954777947e-58,6.222429484873202e-69,3.5911368670699536e-69,1.8094421777889697e-57,4.107818484873255e-56,2.348227196424083e-63,8.423425339629331e-62,6.778174241158849e-32,3.1669557757357876e-42,4.0381030529530965e-72,2.332598569138386e-72,1.9906304261060984e-42,2.216936244225055e-43,2.7048257926837793e-60,6.014620913140752e-56,4.593644918897702e-69,3.9625195973772733e-72,2.7075800536422253e-53,1.3309539609292916e-42,1.429967262870028e-42,1.475231055293113e-72,8.421698616432835e-73,3.8213965432683788e-31
1.7627380792599243e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.09999999999999527,1.2135369405667955e-15,1.2135321058059534e-15,8.38484917329673e-16,8.384849174267252e-16,7.26237845538137e-16,7.262378485991433e-16,7.262180590707379e-16,7.262180590791103e-16,6.475434840827054e-16,6.475435145901314e-16,5.8629727206817545e-16,5.862972721397672e-16,4.828801463261319e-21,5.793473156379729e-24,2.4501119183971976e-24,5.309696944012761e-25,9.552225087298023e-21,4.54489843400125e-32,5.055721259974995e-25,2.486237771779653e-28,3.906347246872441e-26,1.1929006020163108e-25,8.0259528123781e-32,4.8922791873166194e-26,1.4130384356937358e-23,3.3801489670066256e-26,2.363684404315571e-26,2.928117635200761e-26,1.3893726956749322e-36,9.535847873413245e-21,3.050735051566151e-23,1.0749504817094508e-31,1.7353919112530515e-26,6.011394909067392e-29,2.1732606904896926e-39,8.420393696861176e-27,1.533858840326951e-29,6.318555524992246e-40,2.0435751979215156e-33,4.889847436649485e-31,1.2251519939180512e-33,3.6607303352295566e-41,1.2253187836396652e-33,1.3174811467103998e-40,6.09805435194474e-54,9.81966242968741e-53,2.24031288641419e-63,2.0331016847531902e-44,3.053363033093801e-56,1.7939423914808046e-56,6.639372145942548e-67,3.8944150909682377e-67,1.4712030311288028e-55,1.301523939499913e-54,1.2227170327658644e-61,3.7683838200637855e-60,3.263399121418144e-31,6.255042239000732e-41,7.679272353730652e-70,4.512190000238857e-70,3.5739260324207595e-41,7.956383352672528e-42,2.9097229373520927e-59,1.3418240648882265e-54,6.934516668611966e-67,1.0435670683198553e-69,5.948071735452865e-52,2.389117823612072e-41,2.8243228712475126e-41,2.2107993994632676e-70,1.2693400644406959e-70,1.8398405052526155e-30
3.745818418427339e-17,0.11224537200000113,0.9,0.0,0.0,0.0,0.0,0.09999999999998994,2.5787659988354747e-15,2.578744901084814e-15,1.7817804491592725e-15,1.781780449583305e-15,1.5432554149178918e-15,1.5432554282862438e-15,1.5432133753821347e-15,1.5432133754187008e-15,1.3760299036756783e-15,1.3760300365265212e-15,1.2458817030286184e-15,1.2458817033413964e-15,2.107172322097186e-20,2.530152504346357e-23,1.070028131897647e-23,2.318883848759203e-24,2.0298479980480057e-20,4.00674042759917e-31,2.2079646232547383e-24,2.1973995350632617e-27,1.7060044715898922e-25,5.209706127352493e-25,7.0856905742988665e-31,2.1340765949727567e-25,3.0027066470045643e-23,1.4744041858875594e-25,1.031102772864444e-25,1.2774381971319319e-25,1.2275993920995986e-35,2.0195654618275546e-20,1.3285023462993588e-22,4.6945914817880665e-31,7.55529371349811e-26,4.987202437276935e-28,3.507071171774468e-38,3.673183911412534e-26,1.0921996208216342e-28,8.426719445087758e-39,6.575034690225292e-33,2.135524843472348e-30,3.9460582442126206e-33,3.2378745249707476e-40,3.94659545115321e-33,1.0742077046468387e-39,1.9247509963726745e-52,3.6873202250006436e-51,1.7553306608731113e-61,3.3844708112218537e-43,1.1048144644874014e-54,6.714956091053135e-55,5.215687333015389e-65,3.159456872152207e-65,1.0816746758311106e-53,3.807787891760681e-53,4.879542702698845e-60,1.4109941576307423e-58,1.42521213350525e-30,1.1122202924091765e-39,1.1417417434920852e-67,6.937990970656102e-68,5.371242971185283e-40,2.398426163450374e-40,2.6745301084283773e-58,2.5130701751474164e-53,8.879439356113051e-65,2.590870229018998e-67,1.0807977521736574e-50,3.588341880099074e-40,5.021979212435271e-40,2.7924424928204054e-68,1.6226076118837278e-68,8.03508136490571e-30
7.711979096762169e-17,0.11224537200000231,0.9,0.0,0.0,0.0,0.0,0.09999999999997929,5.309224115791124e-15,5.309136177924826e-15,3.668371512289673e-15,3.668371514061418e-15,3.177290531891493e-15,3.177290587702843e-15,3.1772040075495773e-15,3.1772040077022475e-15,2.8330027428614012e-15,2.833003294311499e-15,2.5650505645798003e-15,2.5650505658865716e-15,8.782919630279533e-20,1.0562809995081946e-22,4.4671558702558726e-23,9.680881047066076e-24,4.179100212107873e-20,3.3565697851770766e-30,9.217803681831477e-24,1.8442794379189567e-26,7.12223284082352e-25,2.1749462409050344e-24,5.944606335268188e-30,8.888439577153563e-25,6.182042977896906e-23,6.140391265372367e-25,4.2948184446011355e-25,5.321823021307903e-25,1.0297160490616987e-34,4.1301358866757623e-20,5.514452505749831e-22,1.9599000566340577e-30,3.1346189215555696e-25,4.038805959990213e-27,5.583176692856593e-37,1.529963813338383e-25,8.077874756555852e-28,1.1837147705230538e-37,1.7706784362266332e-32,8.91539584337692e-30,1.0638238494502625e-32,2.721628634666808e-39,1.0639686746256744e-32,7.482670908651085e-39,5.2860712932759154e-51,1.2653497062990995e-49,1.2402191089810533e-59,5.4908710002271234e-42,3.5425660708864557e-53,2.296967626913334e-53,3.481866278853464e-63,2.2431414620310286e-63,7.399790615460921e-52,1.083157523708733e-51,1.734265901613493e-58,4.8396371519598655e-57,5.949980103908772e-30,1.8731252564956127e-38,1.4750223914835908e-65,9.554827985974844e-66,6.904812301250303e-39,6.180669432262857e-39,2.288148830147385e-57,4.340642570543044e-52,1.096117064200715e-62,6.3563386589758204e-65,1.7615964681849508e-49,4.6042430683548405e-39,8.457673506415876e-39,3.361445021196134e-66,2.0015467601700748e-66,3.354494652561139e-29
1.5644300453431828e-16,0.11224537200000474,0.9,0.0,0.0,0.0,0.0,0.09999999999995797,1.0770140351386927e-14,1.0769782244345724e-14,7.441553636435282e-15,7.441553643685578e-15,6.445360678695119e-15,6.4453609067117344e-15,6.445185270062985e-15,6.445185270686803e-15,5.74694842123195e-15,5.7469506485431805e-15,5.2033882862033496e-15,5.2033882915499214e-15,3.576630029433259e-19,4.315188543652321e-22,1.8249781604764464e-22,3.95495370459412e-23,8.477614627328066e-20,2.744403006650998e-29,3.765762197924398e-23,1.507535131874473e-25,2.9096645078796113e-24,8.88533634494397e-24,4.866219453030001e-29,3.6142414600998396e-24,1.2540715272766975e-22,2.4964108082730557e-24,1.746589305414057e-24,2.1650149962903754e-24,8.40710426552864e-34,8.267412981512772e-20,2.227272856488804e-21,8.006839830933764e-30,1.2648781953249868e-24,3.221574924882453e-26,8.79987929393021e-36,6.221834545086155e-25,6.1567548109725195e-27,1.743464713521982e-36,4.1449444411130207e-32,3.6422301048685913e-29,2.492209408629291e-32,2.2313555883391546e-38,2.492548678199959e-32,4.494561049976877e-38,1.2620629959017089e-49,4.123823429378389e-48,8.229344157082039e-58,8.768803454121868e-41,1.0258381560811498e-51,7.468333758631108e-52,2.0643431499226986e-61,1.4858614495920103e-61,4.823336574046722e-50,2.9580068749328746e-50,5.841485188382672e-57,1.5803169771176592e-55,2.4307610155958366e-29,3.0674685364295302e-37,1.7030603279609495e-63,1.2369222783634397e-63,7.679732964529221e-38,1.3750734177752112e-37,1.8925096040150537e-56,7.211840437620923e-51,1.3477558490387135e-60,1.561321686968013e-62,2.6297415448498032e-48,5.096293525859254e-38,1.3850460497689746e-37,3.947994284232234e-64,2.4662902329569534e-64,1.3704228638355452e-28
3.150894316677115e-16,0.1122453720000095,0.9,0.0,0.0,0.0,0.0,0.09999999999991532,2.169197282940582e-14,2.1690534500652538e-14,1.4987917876265722e-14,1.4987917905669392e-14,1.2981500623728521e-14,1.2981501545480354e-14,1.298114778780331e-14,1.298114779032576e-14,1.1574839777969465e-14,1.1574848581051721e-14,1.048006372353519e-14,1.0480063745210613e-14,1.4365331921654496e-18,1.7442169096948973e-21,7.3768472703592475e-22,1.5986538380411934e-22,1.7074723320114944e-19,2.2184417586102937e-28,1.522172173466168e-22,1.2135899860878447e-24,1.1761329153577422e-23,3.5915717987872877e-23,3.93672273301871e-28,1.4473878272106953e-23,2.5258058394890195e-22,9.994068004136398e-24,6.996260219060872e-24,8.678438212070803e-24,6.752073344874562e-33,1.6219581832713034e-19,8.802781551187607e-21,3.2365065138028133e-29,4.990058127609622e-24,2.5300294356852353e-25,1.3657459888165458e-34,2.4921629959868858e-24,4.768855048925378e-26,2.642760296739486e-35,8.8089822786733e-32,1.4722476431650825e-28,5.298181626451786e-32,1.80700960686545e-37,5.298902786200549e-32,2.350469116477452e-37,2.6150722081968734e-48,1.2903283372508614e-46,5.215730950272797e-56,1.3787413121358795e-39,2.656969253668976e-50,2.3349749195944853e-50,1.0878294124123325e-59,9.389165289439855e-60,3.019957814866887e-48,7.480932423516946e-49,1.9172339284992504e-55,4.971636974308541e-54,9.825524670960271e-29,4.9431056170016196e-36,1.7401041476223736e-61,1.5222342027822675e-61,7.57347529393129e-37,2.696606568972377e-36,1.5471668171527731e-55,1.1756468587914712e-49,1.6457844180483186e-58,3.8124871093916343e-60,3.5610325127911057e-47,4.970813073643685e-37,2.2319475577684013e-36,4.4459226787645125e-62,3.0353504898667703e-62,5.539477219718406e-28
6.323822859344979e-16,0.11224537200001906,0.9,0.0,0.0,0.0,0.0,0.09999999999983003,4.353563781344397e-14,4.3529927016968504e-14,3.008064632208354e-14,3.008064644107243e-14,2.6053779119503533e-14,2.6053782826394393e-14,2.6053072794133442e-14,2.605307280428306e-14,2.3230622491430166e-14,2.3230656375798247e-14,2.1033414574537836e-14,2.1033414662193542e-14,5.703571180866319e-18,7.013013982683845e-21,2.966192822106069e-21,6.428103231765106e-22,3.4269572436064746e-19,1.7836972272194403e-27,6.120515319114784e-22,9.653299937599737e-24,4.72917872248441e-23,1.4441365539340663e-22,3.1666848162063835e-27,5.713727083622976e-23,5.069273876932078e-22,3.9427633202512686e-23,2.7631871580743184e-23,3.432284944689587e-23,5.346294486857657e-32,3.0931093817531936e-19,3.3882056482407086e-20,1.3014070119679094e-28,1.9141150583904857e-23,1.940967082293518e-24,2.059342700183982e-33,9.842087982514783e-24,3.705430456327136e-25,4.042564358277666e-34,1.749262239744615e-31,5.919843025700246e-28,1.0516314953267543e-31,1.4544385373261993e-36,1.051774560753927e-31,1.1009089385636932e-36,4.759505032604693e-47,3.8463704462535386e-45,4.164618271409086e-54,2.1187933078645977e-38,6.074678635473118e-49,6.974006995696416e-49,6.695257837253432e-58,7.48971156827643e-58,1.801791588846623e-46,1.6912133503028642e-47,7.210234755427654e-54,1.5001958365941876e-52,3.950800256561384e-28,7.867642117431934e-35,2.6649195089339037e-59,3.0333362977856744e-59,6.880767369961631e-36,4.8111149468042907e-35,1.381293798040357e-54,1.8984342754061698e-48,3.3902584183699508e-56,1.5679877240287235e-57,4.289498162003848e-46,4.413757027905899e-36,3.552455878948235e-35,8.052670899679477e-60,6.392014692078238e-60,2.2274036985955274e-27
1.2669679944680704e-15,0.11224537200003824,0.9,0.0,0.0,0.0,0.0,0.09999999999965944,8.722296789870934e-14,8.720062775856465e-14,6.026610307834706e-14,6.026610356131478e-14,5.219833053391538e-14,5.2198345404550436e-14,5.21969226901569e-14,5.2196922730915197e-14,4.654218791829424e-14,4.6542313031455623e-14,4.2140116181898995e-14,4.2140116537252775e-14,2.2311121621431987e-17,2.8122178245761115e-20,1.1895719607986172e-20,2.577946039912246e-21,6.866418819753545e-19,1.4304840585080132e-26,2.4545445669121034e-21,7.568188479571764e-23,1.896612184023367e-22,5.791483741708374e-22,2.5401889504896315e-26,2.210529702506711e-22,1.0156207604902586e-21,1.523530527464589e-22,1.0700093653910045e-22,1.3326118146772652e-22,4.154752604005776e-31,5.62485783307097e-19,1.2509600219087111e-19,5.219567758212309e-28,7.024077394461257e-23,1.43079449685065e-23,2.943365526609754e-32,3.810662186818486e-23,2.850593722219086e-24,6.118768776416753e-33,3.2601472868613846e-31,2.3741218283723796e-27,1.95437057241895e-31,1.1670953280739673e-35,1.9546358141238916e-31,4.7959932309378725e-36,7.727744943594869e-46,1.0661742263876465e-43,2.3486117099808147e-52,3.1323701341312066e-37,1.2312521779473866e-47,1.949255035262155e-47,2.749646131110999e-56,4.230948828194812e-56,1.0000617284828016e-44,3.359404116186048e-46,2.3297731761647536e-52,4.2656841219890056e-51,1.5844476073022374e-27,1.2340316687744973e-33,1.9995346545312314e-57,3.1348208197585553e-57,5.987778626119471e-35,8.032219969505648e-34,2.586605624512945e-53,3.050989985482529e-47,3.806022990157035e-54,3.527357319908596e-55,4.561313389695048e-45,3.670871814685941e-35,5.57199093591705e-34,7.475362188749316e-58,7.470572384938984e-58,8.93291033766419e-27
