Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.771877649953228e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999927,1.908267576675993e-16,1.90826589180151e-16,1.318504223443578e-16,1.3185042234773694e-16,1.141997488382125e-16,1.1419974894482277e-16,1.141966370814166e-16,1.1419663708170816e-16,1.0182518503573407e-16,1.0182518610051224e-16,9.219431541800657e-17,9.219431542049933e-17,1.6827989796540606e-22,2.0178007049547356e-25,8.533438105920357e-26,1.8493020970763406e-26,1.5020721959285553e-21,3.99049362805724e-34,1.7608463009443018e-26,2.1753484366645616e-30,1.3605325384858816e-27,4.154728032210905e-27,7.034602517176713e-34,1.705385576794079e-27,2.2219805269247082e-24,1.1783122851624982e-27,8.239309580398114e-28,1.020613668724714e-27,1.215900699572414e-38,1.5032293971591355e-21,1.0647771555493694e-24,3.7439197938660065e-33,6.05798440290782e-28,7.108413094944328e-31,7.55219714464718e-42,2.9351839958122387e-28,2.8774596753335594e-31,3.4833228687798526e-42,9.506472591783964e-35,1.7030735172774285e-32,5.691665793652238e-35,3.201230398508357e-43,5.692440646693817e-35,9.089750629441893e-43,3.385960343334385e-57,3.7059690877266904e-56,4.4666973485503234e-67,6.337748624430821e-47,1.1858648989274757e-59,6.797026592586693e-60,8.459281219149666e-71,4.846390638591093e-71,2.301260355733031e-59,1.0682582337598747e-57,5.074639368201672e-65,1.5114693292136383e-63,1.1366016408783017e-32,1.4525200105921395e-43,4.417396429250803e-74,2.5319326958570207e-74,9.5640001329907e-44,5.827874006641742e-45,1.824384826892488e-61,1.9623168964455597e-57,5.591471890960491e-71,3.4752019178028253e-74,8.895297877112153e-55,6.394873332893735e-44,6.558525634377855e-44,1.801678625504886e-74,1.0259025090976818e-74,6.4078875049203e-32,3.552376031664327e-37
7.761257419869038e-18,0.11224537200000022,0.9,0.0,0.0,0.0,0.0,0.09999999999999791,5.34314921475858e-16,5.343139040047105e-16,3.691811825558334e-16,3.691811825762455e-16,3.197592964022258e-16,3.1975929704615345e-16,3.1975058382076054e-16,3.197505838225218e-16,2.851105181000519e-16,2.8511052452692215e-16,2.581440831645677e-16,2.581440831796253e-16,1.016217528559112e-21,1.218750549856738e-24,5.15419648719109e-25,1.1169784319041974e-25,4.205802168343302e-21,4.7302996503900043e-33,1.0635509744866853e-25,2.582123244717341e-29,8.217616532397771e-27,2.509455252544428e-26,8.344265392828742e-33,1.0297662723338206e-26,6.221545460872689e-24,7.114955763080659e-27,4.975195426030398e-27,6.162968168251574e-27,1.4431666927982285e-37,4.2055968271164755e-21,6.4268610687486534e-24,2.261327564352944e-32,3.6563148845219795e-27,7.001175455461272e-30,1.331797727415192e-40,1.772368959317773e-27,2.220158896638191e-30,4.910465654340578e-41,5.1854311668615775e-34,1.0286564044462292e-31,3.106177873595691e-34,3.800500729085084e-42,3.1066007428233006e-34,1.3316115973238042e-41,1.6649752286202124e-55,2.2517034146157038e-54,2.550870715030957e-65,1.1869621898240772e-45,7.139310679582816e-58,4.123692126017602e-58,6.463940400195174e-69,3.730909684493465e-69,1.876656366870865e-57,4.225077687697126e-56,2.4242161218409408e-63,8.695875670631411e-62,6.865073910917457e-32,3.2486725940757245e-42,4.2141356824457695e-72,2.434551478125351e-72,2.040693318920621e-42,2.2871525799653743e-43,2.757008004362929e-60,6.169830436754987e-56,4.783409656857256e-69,4.1437661976083146e-72,2.7771774204311363e-53,1.3644253367353892e-42,1.4668646442440566e-42,1.5360991112760695e-72,8.769495039774596e-73,3.8703466720968627e-31,4.217363480838553e-36
1.7740016959700658e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.09999999999999523,1.2212912491187179e-15,1.221286352398236e-15,8.438427029453109e-16,8.438427030436075e-16,7.308783901511758e-16,7.308783932514258e-16,7.308584772706252e-16,7.308584772791049e-16,6.516811842286734e-16,6.516812151266649e-16,5.900436186342872e-16,5.90043618706797e-16,4.890684698879909e-21,5.867748316845134e-24,2.4815236080244424e-24,5.377769977349346e-25,9.61326229358174e-21,4.6324543902189806e-32,5.120538174954161e-25,2.5341909364018554e-28,3.956428621831622e-26,1.2081941934007645e-25,8.180666209767204e-32,4.9549643941122053e-26,1.4220675270702682e-23,3.4234582273656846e-26,2.3939709730160225e-26,2.9656381069598485e-26,1.4161674949277612e-36,9.596584801532545e-21,3.089791480922293e-23,1.0887318984448734e-31,1.757606290371638e-26,6.12269919158503e-29,2.226766026819808e-39,8.528286357085177e-27,1.559634197884954e-29,6.461137868867248e-40,2.0652885377243696e-33,4.9525377884027545e-31,1.2381802098471283e-33,3.731354152426912e-41,1.238348773201395e-33,1.341829758718245e-40,6.285664041338358e-54,1.013707153921301e-52,2.3260861268538288e-63,2.083900833564765e-44,3.1512885790399203e-56,1.8518804722576335e-56,6.896185944529177e-67,4.0458922686385454e-67,1.5278229286903389e-55,1.3400032694196762e-54,1.262284308687794e-61,3.8902104998889203e-60,3.305237571692894e-31,6.416425576269257e-41,8.019147623772993e-70,4.712919558788891e-70,3.6618806429235735e-41,8.204209451554009e-42,2.965858049015652e-59,1.376450301343447e-54,7.229169280339724e-67,1.0942627737627489e-69,6.1003774383273286e-52,2.447906839556456e-41,2.8971918676619245e-41,2.3045290623778492e-70,1.3232546827201425e-70,1.8633868254227344e-30,4.14059416021611e-35
3.7697536039363897e-17,0.11224537200000113,0.9,0.0,0.0,0.0,0.0,0.09999999999998986,2.5952439045099916e-15,2.5952225364914894e-15,1.7931657435903713e-15,1.7931657440198414e-15,1.5531165721327702e-15,1.5531165856725125e-15,1.5530742640550596e-15,1.5530742640920941e-15,1.3848225164858594e-15,1.3848226510350334e-15,1.2538426894801154e-15,1.2538426897969052e-15,2.1341657361381362e-20,2.5625902364867755e-23,1.083746439835468e-23,2.348613124973412e-24,2.0428184076031313e-20,4.083910620272317e-31,2.2362718405960654e-24,2.239771031822796e-27,1.7278763237891272e-25,5.276497177796425e-25,7.222260675751037e-31,2.1614044962562267e-25,3.021893465809892e-23,1.4932838744960515e-25,1.0443069666570214e-25,1.2937983982548953e-25,1.2512659535144098e-35,2.0323852219171407e-20,1.3454855513766119e-22,4.754778557457527e-31,7.65185541298527e-26,5.081244963135199e-28,3.5951731874967495e-38,3.7202220822678955e-26,1.1115952272963745e-28,8.625989283948712e-39,6.636978195969114e-33,2.162903367107808e-30,3.983274324752992e-33,3.3003404914902644e-40,3.983816598179733e-33,1.0933626193337988e-39,1.9834377132954354e-52,3.80637522461051e-51,1.82333547495638e-61,3.470247554030568e-43,1.1399654319206332e-54,6.93155505700146e-55,5.416152946303659e-65,3.282222456316553e-65,1.1236389492024965e-53,3.923205872639573e-53,5.037445314108299e-60,1.456565472508779e-58,1.4434840839349458e-30,1.1409107193292443e-39,1.192522086798929e-67,7.2496308981378644e-68,5.498948852107925e-40,2.4711448947767627e-40,2.726127846116246e-58,2.5779207083357887e-53,9.266430598373607e-65,2.7207338123429753e-67,1.1082676314105054e-50,3.673622046244721e-40,5.151524347128302e-40,2.9136551177809058e-68,1.693303475082439e-68,8.13772914549971e-30,3.662237109777887e-34
7.761257419869037e-17,0.11224537200000236,0.9,0.0,0.0,0.0,0.0,0.09999999999997913,5.34314921571621e-15,5.3430601522527135e-15,3.691811824344913e-15,3.691811826139392e-15,3.1975929140307446e-15,3.1975929705576385e-15,3.197505837162739e-15,3.1975058373173662e-15,2.8511051810000046e-15,2.8511057394793604e-15,2.581440830797328e-15,2.581440832120865e-15,8.895340016188896e-20,1.069822962627365e-22,4.5244270872115755e-23,9.804994873878081e-24,4.2058040233208047e-20,3.421227310191244e-30,9.335980472607809e-24,1.87982391603661e-26,7.213543518264694e-25,2.202830121888074e-24,6.0591928817938785e-30,9.002125671760736e-25,6.22154525038381e-23,6.218922373055802e-25,4.349754067331187e-25,5.389907417245288e-25,1.0495536894018646e-34,4.1561762478901935e-20,5.584744178979801e-22,1.985026989508356e-30,3.1745562334187613e-25,4.115596536178894e-27,5.724835326170175e-37,1.5495335967162096e-25,8.226574475183345e-28,1.2127058964853462e-37,1.785193582876259e-32,9.029695790096998e-30,1.0725538615622639e-32,2.7741350433795236e-39,1.0726998751897977e-32,7.608965378930673e-39,5.443241906059877e-51,1.3061145266318879e-49,1.2883298719738434e-59,5.630961824063517e-42,3.6536896665910505e-53,2.3709042724278773e-53,3.614186811326719e-63,2.3301555616707225e-63,7.686882353118553e-52,1.1162766149097684e-51,1.790386962832233e-58,4.995645720856102e-57,6.026261900113945e-30,1.9214254420186681e-38,1.5403066809709967e-65,9.985573305770477e-66,7.061545884859072e-39,6.361361549719476e-39,2.33229357349094e-57,4.452653761341399e-52,1.1447344961113575e-62,6.680517446741341e-65,1.805756644392534e-49,4.708627049026723e-39,8.675762071522064e-39,3.5094552903153177e-66,2.0903304330175724e-66,3.3971932300428724e-29,3.0782056592591752e-33
1.5744265051734333e-16,0.11224537200000477,0.9,0.0,0.0,0.0,0.0,0.09999999999995768,1.0838959839834894e-14,1.0838597156439406e-14,7.489103983711687e-15,7.48910399105509e-15,6.486545509565893e-15,6.486545740505912e-15,6.486368981533268e-15,6.486368982165083e-15,5.783670510027389e-15,5.783672765567954e-15,5.2366371119339804e-15,5.236637117349197e-15,3.622336633270625e-19,4.370510650603426e-22,1.8483753064185785e-22,4.005658212405076e-23,8.531785434047792e-20,2.797290488890174e-29,3.8140410541587773e-23,1.5365603588075025e-25,2.9469678990020347e-24,8.999250543038444e-24,4.9600414370972716e-29,3.66035987601024e-24,1.2620848447913044e-22,2.528260201519165e-24,1.7688789285282325e-24,2.192654380201579e-24,8.568841463399605e-34,8.318840770405056e-20,2.25550146348086e-21,8.109491771986524e-30,1.2808942160465031e-24,3.282913800740612e-26,9.023702383004484e-36,6.3012347531522025e-25,6.272377645118873e-27,1.7870942559425e-36,4.1749177161139e-32,3.688925362631678e-29,2.510244034380129e-32,2.2744035144993725e-38,2.5105857588561455e-32,4.565258958207343e-38,1.2982139287728372e-49,4.2561027686955346e-48,8.547775709210203e-58,8.992838880696515e-41,1.057276196883258e-51,7.707775776001911e-52,2.1413455458040394e-61,1.5433177513898778e-61,5.009861100353315e-50,3.047620868615798e-50,6.030516378783038e-57,1.6310700680215063e-55,2.4619246183609215e-29,3.146506331743417e-37,1.7773348087353247e-63,1.292618580355122e-63,7.845584585188496e-38,1.4137089674451559e-37,1.9290381660661356e-56,7.39794218135662e-51,1.4080878090276978e-60,1.6416281864736748e-62,2.6941066537870403e-48,5.206007017694236e-38,1.4207337788791017e-37,4.1224248946191306e-64,2.576798198433904e-64,1.3877400593253594e-28,2.523488462929108e-32
3.171028031546493e-16,0.11224537200000957,0.9,0.0,0.0,0.0,0.0,0.09999999999991475,2.1830581094988205e-14,2.182912444424566e-14,1.5083688293875984e-14,1.5083688323657865e-14,1.3064450347593444e-14,1.3064451281163532e-14,1.3064095262894407e-14,1.3064095265449206e-14,1.1648801168078527e-14,1.1648810081490224e-14,1.0547029668216188e-14,1.0547029690170316e-14,1.4548321525965555e-18,1.766578006017789e-21,7.471422154693886e-22,1.6191493783127868e-22,1.7183829650875715e-19,2.261211608514824e-28,1.5416870842345718e-22,1.236909079056224e-24,1.1912115424744217e-23,3.637617291098879e-23,4.0126418559284805e-28,1.4657705828701064e-23,2.5419453356539696e-22,1.0120957369962693e-23,7.085139394306359e-24,8.788765731388436e-24,6.881610454003992e-33,1.6317814851028019e-19,8.913105298061052e-21,3.2780004254620455e-29,5.052482871574302e-24,2.577969307772041e-25,1.400333411439833e-34,2.523821703441027e-24,4.8592041803903045e-26,2.709581433740278e-35,8.866791024129362e-32,1.4911226129561216e-28,5.332952044135507e-32,1.8418709335534021e-37,5.33367793503892e-32,2.3848928525871815e-37,2.6869157095428928e-48,1.3313752040301323e-46,5.416338831129823e-56,1.4138509324805828e-39,2.735730820250744e-50,2.4092595994941016e-50,1.1273336226293174e-59,9.750013114268797e-60,3.135948216751724e-48,7.701708745797201e-49,1.979275857917163e-55,5.1301808618600567e-54,9.951492935981571e-29,5.0702814543368235e-36,1.8141603988279517e-61,1.59032717593994e-61,7.730398411702347e-37,2.7697843370519518e-36,1.5772422373453888e-55,1.2059840412512676e-49,1.719594162326909e-58,4.0089177561331853e-60,3.645023897125549e-47,5.073074599969229e-37,2.2893709311576102e-36,4.640843701382296e-62,3.1718295503471626e-62,5.608453002725104e-28,2.043241771362606e-31
6.364231084292612e-16,0.1122453720000192,0.9,0.0,0.0,0.0,0.0,0.09999999999982892,4.381382363366291e-14,4.380804055032096e-14,3.0272856879927624e-14,3.027285700045165e-14,2.6220258611481276e-14,2.6220262365903593e-14,2.621954779609239e-14,2.6219547806372217e-14,2.337906248416629e-14,2.3379096784183792e-14,2.1167814756816222e-14,2.116781484560207e-14,5.775765346167549e-18,7.1029192344825e-21,3.004220870279992e-21,6.5105146365604655e-22,3.4488561881730625e-19,1.8180958896422857e-27,6.198982543468631e-22,9.83805745623539e-24,4.789809218902205e-23,1.4626508836937439e-22,3.227764005995364e-27,5.785630874606109e-23,5.101665722873426e-22,3.992348720259143e-23,2.7979771752957795e-23,3.4755593894355304e-23,5.448304501787197e-32,3.1108828088579655e-19,3.4297662574537856e-20,1.3180920946654892e-28,1.9375126963566385e-23,1.977274258711506e-24,2.1108252523566758e-33,9.965995505198196e-24,3.775666857378542e-25,4.144929980614262e-34,1.7597865830598443e-31,5.995738449163513e-28,1.0579475106533433e-31,1.4824979658975091e-36,1.0580914339590516e-31,1.1161516145787016e-36,4.88513772407711e-47,3.966862595956785e-45,4.322921946881044e-54,2.172253310541938e-38,6.247875710931259e-49,7.19275359053033e-49,6.930855554416763e-58,7.774352714973188e-58,1.8701224095174443e-46,1.73923781455976e-47,7.443558852742491e-54,1.5474386577236141e-52,4.0014515419100807e-28,8.069463626249991e-35,2.7745571960487884e-59,3.166808322506416e-59,7.019654325620796e-36,4.93831514957076e-35,1.411506858713185e-54,1.947421252363924e-48,3.5413676559366207e-56,1.6483412679808344e-57,4.385909000200347e-46,4.5015265665851095e-36,3.643583817255188e-35,8.399165598029504e-60,6.678672286550854e-60,2.2543161812581305e-27,1.644022039698748e-30
1.275063718978485e-15,0.11224537200003849,0.9,0.0,0.0,0.0,0.0,0.09999999999965725,8.778030882976801e-14,8.775768938815562e-14,6.065119391492327e-14,6.065119440415495e-14,5.253186949061735e-14,5.253188455195607e-14,5.253045274435576e-14,5.253045278563728e-14,4.683958511628376e-14,4.683971170454451e-14,4.2409384838158764e-14,4.2409385198116114e-14,2.2590050528921735e-17,2.848267922154661e-20,1.2048228312710506e-20,2.6109964896626593e-21,6.910303690191963e-19,1.45807592220831e-26,2.486012381364686e-21,7.71193044444273e-23,1.9209277248279347e-22,5.865731595921578e-22,2.589188822242068e-26,2.237857819436718e-22,1.0221104120325242e-21,1.5423423566815063e-22,1.0832499353292002e-22,1.3491459237476696e-22,4.233199555940442e-31,5.654045371373928e-19,1.2657078692264923e-19,5.286491151489366e-28,7.106372113013756e-23,1.4568955692398275e-23,3.0150456805922807e-32,3.857809248434905e-23,2.904215581815258e-24,6.272592771524588e-33,3.277746282115949e-31,2.4045592877584085e-27,1.9648179850198285e-31,1.1896112523623629e-35,1.965084633100491e-31,4.8600642310078886e-36,7.92397659443056e-46,1.0986976372577076e-43,2.436073138195352e-52,3.2099946896913424e-37,1.2651121916477077e-47,2.0089761013450274e-47,2.8435498449646626e-56,4.388744125215497e-56,1.0371674144935824e-44,3.4507743426446525e-46,2.4051649271409223e-52,4.3972732704042735e-51,1.6047610381730343e-27,1.2655059364495737e-33,2.0787967450068243e-57,3.268986499096262e-57,6.10731503758741e-35,8.24047526494088e-34,2.675592585854851e-53,3.129713216023111e-47,3.9728369274146736e-54,3.705492281751332e-55,4.658815087746029e-45,3.7420279262395084e-35,5.714105873999735e-34,7.787614884123931e-58,7.80189889109224e-58,9.034251818007191e-27,1.3183302236536517e-29
