Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7893660105062086e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999926,1.920307239181801e-16,1.9203055329819063e-16,1.3268229446000267e-16,1.326822944634246e-16,1.1492025913234597e-16,1.149202592403057e-16,1.149171277434818e-16,1.1491712774377703e-16,1.0246762159829624e-16,1.0246762267654781e-16,9.27759887934388e-17,9.277598879596311e-17,1.7040981172724732e-22,2.0433424742412397e-25,8.641456308381903e-26,1.872710984000631e-26,1.511549086157208e-21,4.0664538016158495e-34,1.783135492531268e-26,2.216780195860085e-30,1.3777544693527286e-27,4.207319521042957e-27,7.1685447509514465e-34,1.7269695953387047e-27,2.235999470552457e-24,1.1932253837143647e-27,8.343589872292248e-28,1.0335311434041531e-27,1.239058179687363e-38,1.5127068329138416e-21,1.0782505321214417e-24,3.791311183731324e-33,6.134638068379319e-28,7.228074398553303e-31,7.722722874544082e-42,2.972332940110492e-28,2.919166702502424e-31,3.5544192073715445e-42,9.620187248720037e-35,1.7246314099013096e-32,5.759768904067438e-35,3.2622052010959502e-43,5.760553028540596e-35,9.260761785784047e-43,3.485740868020499e-57,3.8243256538494934e-56,4.6147597507992615e-67,6.485096059362407e-47,1.2236500576960486e-59,7.014019252514464e-60,8.783919697852829e-71,5.0326651700997e-71,2.378660957192749e-59,1.0973889705549879e-57,5.236757020200027e-65,1.559742652711438e-63,1.1509890034210775e-32,1.4895235009961032e-43,4.605819250149062e-74,2.640089490826518e-74,9.804124619774985e-44,6.01156160990602e-45,1.8591344243065173e-61,2.012310205332673e-57,5.816999496029963e-71,3.621338126618554e-74,9.121431284536884e-55,6.555428534256186e-44,6.725606527312965e-44,1.8742953454994426e-74,1.0672714900846313e-74,6.488999817625657e-32,3.620039106696994e-37,1.0595628270583697e-44
7.810224829417384e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999791,5.376860269775676e-16,5.376849966295487e-16,3.7151042447953326e-16,3.715104245002038e-16,3.2177672522143535e-16,3.2177672587351394e-16,3.21767957674452e-16,3.217679576762355e-16,2.869093404752259e-16,2.8690934698339203e-16,2.5977276861570395e-16,2.5977276863095214e-16,1.0290785311845203e-21,1.2341777580157847e-24,5.219439479024862e-25,1.131117398944958e-25,4.232337461359512e-21,4.8203091242370546e-33,1.0770136425624404e-25,2.6312995578961e-29,8.321636994832445e-27,2.5412205026770266e-26,8.503111158320822e-33,1.042797561759318e-26,6.260798502846633e-24,7.204991834011925e-27,5.038155061745659e-27,6.240960420278495e-27,1.4706503223575285e-37,4.2320900771087825e-21,6.5081566453395324e-24,2.2899519640572318e-32,3.702562161550768e-27,7.124987781933749e-30,1.3631216982888821e-40,1.794797740002358e-27,2.2545315954690142e-30,5.014611883393353e-41,5.2445441377386805e-34,1.0416773715912572e-31,3.1416062504201412e-34,3.872890014716463e-42,3.142033942798017e-34,1.3564111443669965e-41,1.7151448047226968e-55,2.323597171477762e-54,2.6422597352355815e-65,1.2155200012219063e-45,7.366323876895527e-58,4.255277810819436e-58,6.711603933435591e-69,3.8742607320473435e-69,1.9455129507481728e-57,4.344185160716135e-56,2.5016616696115503e-63,8.973543499255423e-62,6.951973580676062e-32,3.331430146185027e-42,4.39551326656267e-72,2.539613225596474e-72,2.0913541788638434e-42,2.358659458813873e-43,2.8095215364154597e-60,6.327017147883708e-56,4.978523119858486e-69,4.331003805067131e-72,2.8476527721365746e-53,1.3982964629731313e-42,1.5042319454164473e-42,1.5986793680916355e-72,9.127089841243492e-73,3.9193381719175396e-31,4.297692635631285e-36,6.4579207654256045e-44
1.7851942467239736e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.0999999999999952,1.228996633123019e-15,1.2289916744433602e-15,8.491666844846969e-16,8.49166684584238e-16,7.354896560030808e-16,7.354896591425748e-16,7.35469617507204e-16,7.354696175157911e-16,6.557927782290711e-16,6.557928095176178e-16,5.937663282365353e-16,5.937663283099632e-16,4.952567471477947e-21,5.9420234747299006e-24,2.5129352976207566e-24,5.445843010602518e-25,9.673914395608247e-21,4.7205635913180316e-32,5.185355089474545e-25,2.5824482665907196e-28,4.006509996790791e-26,1.2234877846701925e-25,8.336359255105041e-32,5.0176489139516603e-26,1.4310396508634007e-23,3.466766996315831e-26,2.4242572187173525e-26,3.0031582099201056e-26,1.443132185874417e-36,9.656936066185101e-21,3.128846860604998e-23,1.1025133151879714e-31,1.7798200227789107e-26,6.234650185205366e-29,2.2809036182111088e-39,8.636177861588027e-27,1.5855251273426318e-29,6.605148741411889e-40,2.0869354097690607e-33,5.015228140156052e-31,1.2511686918512566e-33,3.802426382321118e-41,1.2513390234288398e-33,1.3663075926694162e-40,6.476575360014528e-54,1.0460551428696013e-52,2.4140192263176922e-63,2.1353151578514745e-44,3.251058223236745e-56,1.910925008374386e-56,7.159503639360119e-67,4.201243098655823e-67,1.585876944862837e-55,1.3791257331264955e-54,1.3026100448494e-61,4.0143679322605603e-60,3.3470760219676474e-31,6.579863785319166e-41,8.369534062677576e-70,4.91990820934631e-70,3.7508301102133843e-41,8.45644172715152e-42,3.0223495785472887e-59,1.4115176344976175e-54,7.532471370046611e-67,1.1467558605218038e-69,6.2545861363296995e-52,2.5073605557798325e-41,2.970988694960268e-41,2.4010002827531868e-70,1.3787510866086619e-70,1.886973763277655e-30,4.2194608077416936e-35,3.166760382376872e-43
3.793537774288444e-17,0.11224537200000115,0.9,0.0,0.0,0.0,0.0,0.0999999999999898,2.611617845520813e-15,2.611596207238557e-15,1.8044792043594345e-15,1.8044792047943438e-15,1.56291551198024e-15,1.5629155256913733e-15,1.5628729370559543e-15,1.5628729370934577e-15,1.3935596537367037e-15,1.3935597899841178e-15,1.2617534473834022e-15,1.2617534477042032e-15,2.1611587414654608e-20,2.5950279663490694e-23,1.0974647477459308e-23,2.3783424011138418e-24,2.0557069825239964e-20,4.161568319822e-31,2.264579057532405e-24,2.282411018758466e-27,1.7497481759883526e-25,5.343288227222968e-25,7.359695431428209e-31,2.1887317917217077e-25,3.0409592285004956e-23,1.512163129782324e-25,1.0575108755782221e-25,1.3101582740400852e-25,1.275082360912308e-35,2.0451230355069517e-20,1.3624678347075673e-22,4.814965633263374e-31,7.748411436934213e-26,5.175855042629923e-28,3.6843500677398753e-38,3.767259233839631e-26,1.131092761943756e-28,8.827452073955538e-39,6.698640965379611e-33,2.190281890743292e-30,4.02032215678692e-33,3.3632030739620048e-40,4.020869473794502e-33,1.1126038560498613e-39,2.0431322382003473e-52,3.9277022002350825e-51,1.8930722061637084e-61,3.5570859687144517e-43,1.1757679854930536e-54,7.152280760368606e-55,5.621640013661603e-65,3.408122188213868e-65,1.1666735078001215e-53,4.040622629029496e-53,5.198374741231054e-60,1.5030069626015875e-58,1.4617560343646454e-30,1.169966285145526e-39,1.244879173085097e-67,7.571101058722163e-68,5.627978951481065e-40,2.545090220659477e-40,2.7780531949923914e-58,2.6435973558049507e-53,9.66517683536279e-65,2.8553768198217943e-67,1.136074415630373e-50,3.759785296033936e-40,5.282718183934531e-40,3.0385260192657866e-68,1.7661459435342977e-68,8.2407361761564e-30,3.7319919131523195e-34,1.433237837432425e-42
7.810224829417385e-17,0.11224537200000236,0.9,0.0,0.0,0.0,0.0,0.09999999999997901,5.376860270745455e-15,5.376770081718973e-15,3.715104243566554e-15,3.715104245383766e-15,3.2177672015900367e-15,3.217767258832476e-15,3.2176795756864273e-15,3.2176795758430118e-15,2.8690934047517396e-15,2.869093970259591e-15,2.5977276852979525e-15,2.5977276866382556e-15,9.007756980399156e-20,1.0833649238390422e-22,4.5816983039373113e-23,9.929108700069926e-24,4.232339351632784e-20,3.486293702749169e-30,9.454157259993383e-24,1.9155931705987713e-26,7.304854195705781e-25,2.230714002015938e-24,6.174505308391925e-30,9.11580670398365e-25,6.260798289693343e-23,6.297449860530023e-25,4.404687309221268e-25,5.457989092922748e-25,1.069516579631634e-34,4.1820479531169093e-20,5.655028215079113e-22,2.0101539226120563e-30,3.2144888484120314e-25,4.192856799205966e-27,5.868245995620009e-37,1.5691025282393883e-25,8.376126046869996e-28,1.242036452518998e-37,1.7996250626717173e-32,9.14399573681728e-30,1.0812336119220628e-32,2.826974831697943e-39,1.0813808071589484e-32,7.735688629319791e-39,5.602973162583567e-51,1.3476538514270295e-49,1.3376659665987244e-59,5.772801968315235e-42,3.766816321409367e-53,2.4462438489486914e-53,3.7497580627474856e-63,2.4193847158570248e-63,7.98128523340446e-52,1.1499725088025534e-51,1.847583801762448e-58,5.154621919537928e-57,6.102543696319148e-30,1.970339757938235e-38,1.6075983841718927e-65,1.0429954909733325e-65,7.219726335879767e-39,6.544897293641001e-39,2.376718660976252e-57,4.566091821291715e-52,1.1948617802963918e-62,7.016875021715386e-65,1.8504400182983244e-49,4.813970584246422e-39,8.896623603554008e-39,3.6620092775472305e-66,2.181872142041053e-66,3.440193765752019e-29,3.136835544568738e-33,6.402284968074566e-42
1.5843598939675267e-16,0.11224537200000478,0.9,0.0,0.0,0.0,0.0,0.09999999999995741,1.0907345122922729e-14,1.0906977863451223e-14,7.536354319811358e-15,7.536354327247873e-15,6.527470491431604e-15,6.5274707252950334e-15,6.527292851079189e-15,6.527292851719003e-15,5.8201609067808915e-15,5.820163190544712e-15,5.26967615961032e-15,5.2696761650941876e-15,3.6680404542143487e-19,4.425832742036243e-22,1.87177245217217e-22,4.0563627197075876e-23,8.585614462541292e-20,2.850512890707477e-29,3.862319907635029e-23,1.5657683980581585e-25,2.984271290124382e-24,9.113164734121721e-24,5.054458242433749e-29,3.7064741898904904e-24,1.2700476035756448e-22,2.5601066625348838e-24,1.7911666218526213e-24,2.2202915572416052e-24,8.731594110587339e-34,8.369926882161309e-20,2.283723985407221e-21,8.212143716786673e-30,1.2969065031887534e-24,3.3446260344030204e-26,9.250293510653807e-36,6.380628056856381e-25,6.388690914164079e-27,1.8312523609582142e-36,4.2046968685664206e-32,3.7356206203949295e-29,2.5281618671485603e-32,2.3177247654022165e-38,2.5285060306280305e-32,4.636110933381018e-38,1.3349123502902372e-49,4.390873690714941e-48,8.874277637537721e-58,9.219670046342494e-41,1.0892556894048983e-51,7.951725139982638e-52,2.2201807387735333e-61,1.6022286376806778e-61,5.201107429195975e-50,3.138756007549412e-50,6.223171084793657e-57,1.682781473136331e-55,2.4930882211260287e-29,3.2265471957344135e-37,1.8538389982230725e-63,1.3500726747468634e-63,8.012791892632409e-38,1.4529098200881093e-37,1.965799454557916e-56,7.58641456503273e-51,1.4703133714369465e-60,1.724980254498221e-62,2.759189780030771e-48,5.316607223828923e-38,1.4568744209669408e-37,4.3022181928901164e-64,2.6907804687601215e-64,1.405304797611376e-28,2.5715513901645545e-32,2.957018389176671e-41
3.191034716019103e-16,0.11224537200000964,0.9,0.0,0.0,0.0,0.0,0.09999999999991423,2.1968314834281908e-14,2.1966839863767853e-14,1.5178854463623253e-14,1.5178854493783362e-14,1.314687671360311e-14,1.3146877658991471e-14,1.314651939439137e-14,1.314651939697852e-14,1.1722295910835525e-14,1.1722304934530117e-14,1.0613573102168125e-14,1.0613573124400972e-14,1.4731288950967437e-18,1.7889390899655757e-21,7.565997037501673e-22,1.6396449181726278e-22,1.7292247622299772e-19,2.3042526153471434e-28,1.5612019928041789e-22,1.2603738710968517e-24,1.2062901695910417e-23,3.683662777732713e-23,4.089042603820461e-28,1.484150093174102e-23,2.5579830022635967e-22,1.0247823556108109e-23,7.17400329240813e-24,8.899075749273064e-24,7.01195181146292e-33,1.641536313540144e-19,9.02338246225182e-21,3.319494343130412e-29,5.114879163579833e-24,2.6261936993570883e-25,1.4353425358790558e-34,2.5554749456111313e-24,4.9500998392396153e-26,2.7772231230646035e-35,8.924199482250031e-32,1.5099975827472943e-28,5.367481411227046e-32,1.876953605704239e-37,5.368212000453248e-32,2.419357588280648e-37,2.759764408415791e-48,1.373182497375874e-46,5.621977258374157e-56,1.449394159121001e-39,2.815764970190411e-50,2.4849211924571874e-50,1.1677371816369416e-59,1.0119899273263285e-59,3.254840051263187e-48,7.926031514675048e-49,2.0425070614396646e-55,5.291676714380967e-54,1.0077461201003058e-28,5.1990652664205904e-36,1.8903570590522033e-61,1.660545384574211e-61,7.88848842445675e-37,2.843969289257154e-36,1.607518645284661e-55,1.2367076579805366e-49,1.7957216639512975e-58,4.2128031983317507e-60,3.729868614705114e-47,5.1760765306994e-37,2.3475203491817277e-36,4.84167201881991e-62,3.3126124926625022e-62,5.679433114923594e-28,2.082155576995474e-31,1.4702665854532185e-40
6.404384360122256e-16,0.11224537200001933,0.9,0.0,0.0,0.0,0.0,0.09999999999982785,4.409025428573621e-14,4.4084398932821486e-14,3.046385471653621e-14,3.046385483859552e-14,2.638568772790335e-14,2.638569152985727e-14,2.6384972451117655e-14,2.6384972461527693e-14,2.3526565918930085e-14,2.3526600634261105e-14,2.1301366963016006e-14,2.1301367052932114e-14,5.847942216436567e-18,7.192824389667837e-21,3.042248917224972e-21,6.592926038041693e-22,3.4706169879438735e-19,1.8527127892268593e-27,6.277449750667975e-22,1.0023951110176383e-23,4.850439715319571e-23,1.4811652088836145e-22,3.2892308245468956e-27,5.857509720035848e-23,5.133853197609363e-22,4.0419163314090475e-23,2.832755435493896e-23,3.51882031898805e-23,5.55093400821242e-32,3.128521236976442e-19,3.471293251184944e-20,1.3347771868352426e-28,1.9608899769837515e-23,2.0137850084532372e-24,2.1629140857488844e-33,1.0089860976129389e-23,3.8463237751683677e-25,4.248548514140586e-34,1.770231866094292e-31,6.071633872627888e-28,1.0642158256230758e-31,1.510735552553805e-36,1.0643606003008221e-31,1.1314032756939766e-36,5.012398734146049e-47,4.0895195330800726e-45,4.4851147903739896e-54,2.2263577792633686e-38,6.42367631034942e-49,7.415442449604544e-49,7.171553055445754e-58,8.065986908062085e-58,1.9401252856956134e-46,1.7879773680200987e-47,7.681355510943645e-54,1.5955396229669963e-52,4.052102827258947e-28,8.273818174367476e-35,2.887204203079183e-59,3.3043365753207938e-59,7.159521572915354e-36,5.067188849079015e-35,1.4420671095357224e-54,1.9970321774180658e-48,3.697167382340924e-56,1.7317160992824687e-57,4.483187626131685e-46,4.589881308573848e-36,3.7358554921755425e-35,8.755845832713884e-60,6.974316435307393e-60,2.282841379700044e-27,1.6753290648978474e-30,8.106519072685492e-40
1.2831083648328561e-15,0.11224537200003873,0.9,0.0,0.0,0.0,0.0,0.0999999999996551,8.833413330896825e-14,8.831123469627725e-14,6.103385508351893e-14,6.103385557901585e-14,5.286330403636286e-14,5.286331928840625e-14,5.286187844494186e-14,5.286187848674659e-14,4.7135105935060414e-14,4.713523399622728e-14,4.267695458764086e-14,4.267695495220264e-14,2.2868849037644857e-17,2.884317946712183e-20,1.2200737007573433e-20,2.644046936753716e-21,6.953911852633032e-19,1.485842905644601e-26,2.5174801828721305e-21,7.856529017050623e-23,1.9452432656322365e-22,5.939979413467327e-22,2.6384997215257836e-26,2.2651676397931913e-22,1.0285591181242744e-21,1.5611411778639978e-22,1.0964818621009612e-22,1.3656700316714827e-22,4.312102707118603e-31,5.682977655402995e-19,1.2804337676563152e-19,5.353414690566804e-28,7.188535907942983e-23,1.4831275652095668e-23,3.08751356571285e-32,3.904925407114278e-23,2.9581464702067415e-24,6.428258387300497e-33,3.295196621407654e-31,2.4349967471453756e-27,1.975175043699148e-31,1.2122701372937565e-35,1.9754430857532643e-31,4.92415351723517e-36,8.122556340547605e-46,1.1317751259000692e-43,2.5256083457716895e-52,3.2885131546333893e-37,1.2994498094921815e-47,2.0697250949681468e-47,2.939395295957041e-56,4.5502940571174665e-56,1.0751474345872074e-44,3.543396899136514e-46,2.482001853306111e-52,4.5311590386557455e-51,1.6250744690440016e-27,1.2973696027099795e-33,2.160115932022701e-57,3.40705357108068e-57,6.22768440948976e-35,8.451373996711379e-34,2.7668120879344656e-53,3.20943901772787e-47,4.144688764729035e-54,3.890177541926739e-55,4.757092886816557e-45,3.8136268248835367e-35,5.8579790533357115e-34,8.108638066416314e-58,8.143424562644907e-58,9.148525613962447e-27,1.3434293678274548e-29,4.9849960644416306e-39
