Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.806745406128674e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999924,1.9322718860230838e-16,1.9322701584978188e-16,1.3350898342042795e-16,1.3350898342389265e-16,1.1563628013464181e-16,1.1563628024395114e-16,1.1563312923603936e-16,1.1563312923633834e-16,1.0310605532393222e-16,1.0310605641565706e-16,9.335403792983808e-17,9.335403793239397e-17,1.7253972153584395e-22,2.0688842433074236e-25,8.749474510817072e-26,1.8961198709178083e-26,1.5209669286167413e-21,4.142889088986543e-34,1.8054246840790648e-26,2.258471650569575e-30,1.3949764002195754e-27,4.2599110097769414e-27,7.303325628315519e-34,1.7485535551915306e-27,2.249931066185529e-24,1.2081384402783119e-27,8.44786988823993e-28,1.0464485865813035e-27,1.2623607964481895e-38,1.522125133641136e-21,1.0917238187324888e-24,3.8387025735983805e-33,6.211291179351841e-28,7.348290200956895e-31,7.894984291420298e-42,3.0094817856716112e-28,2.9609724666228995e-31,3.626079982731102e-42,9.733787230628226e-35,1.7461893025251932e-32,5.827803683222445e-35,3.32356229708901e-43,5.828597069824652e-35,9.432793012504218e-43,3.5871937816331757e-57,3.9449209725845547e-56,4.765977188011442e-67,6.634032800844107e-47,1.2621466585743511e-59,7.235113412476049e-60,9.116746437431261e-71,5.223650708887082e-71,2.457747652330309e-59,1.1269459021442393e-57,5.401943074526345e-65,1.6089291542180976e-63,1.1653763659638543e-32,1.5269923843618607e-43,4.7998275359045726e-74,2.751460014969798e-74,1.0047161340583106e-43,6.19863758808839e-45,1.8941018908031686e-61,2.0629323601403807e-57,6.048699603144403e-71,3.771861842927322e-74,9.350393852610833e-55,6.717930890036968e-44,6.894788796922905e-44,1.9488971365089553e-74,1.1097722654978032e-74,6.5701121267762e-32,3.6881264059197685e-37,1.072847609626446e-44,6.213046349796953e-48
7.858887137160286e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.0999999999999979,5.410361280932101e-16,5.410350848683665e-16,3.738251535686182e-16,3.7382515358954706e-16,3.237815840234997e-16,3.237815846837294e-16,3.237727618535221e-16,3.237727618553279e-16,2.8869695490700656e-16,2.8869696149646726e-16,2.613913061975479e-16,2.6139130621298675e-16,1.0419394868989098e-21,1.2496049659133825e-24,5.2846824708273245e-25,1.145256365977275e-25,4.258707420624544e-21,4.91088089042933e-33,1.0904763105917142e-25,2.6807840374098976e-29,8.425657457267107e-27,2.5729857526932023e-26,8.662950798528897e-33,1.0558287815535451e-26,6.299806970435484e-24,7.295027406815442e-27,5.101114370075237e-27,6.318952298539554e-27,1.498306145859974e-37,4.258417749838669e-21,6.589451155704849e-24,2.318576363765407e-32,3.7488087814747635e-27,7.249457212980617e-30,1.3947908297624158e-40,1.8172264035445444e-27,2.2890214364804457e-30,5.119676351887642e-41,5.303550677303745e-34,1.0546983387362873e-31,3.176971130317632e-34,3.945733159078804e-42,3.1774036372013774e-34,1.3813525414659205e-41,1.7661819005119843e-55,2.3968501318678968e-54,2.735793945065337e-65,1.2444054849799116e-45,7.597594088400965e-58,4.3893484593500985e-58,6.965496733955446e-69,4.0212351374475565e-69,2.0160317592207197e-57,4.4651474691662685e-56,2.5805730299950444e-63,9.256461616887639e-62,7.038873250434678e-32,3.4152284274619176e-42,4.582329408154337e-72,2.6478387308024706e-72,2.1426123177443446e-42,2.4314637307873906e-43,2.862364311485444e-60,6.486181046454177e-56,5.179068241770821e-69,4.524357033371459e-72,2.9190059489025567e-53,1.4325668785566425e-42,1.5420691643093714e-42,1.6629982603894613e-72,9.4946348078498e-73,3.968329667344809e-31,4.378525423576991e-36,6.539254701862998e-44,1.3240205530623963e-46
1.7963170599223513e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.09999999999999518,1.2366540071020236e-15,1.2366489864636479e-15,8.544574938306774e-16,8.54457493931463e-16,7.400721903872257e-16,7.400721935659634e-16,7.400520270589345e-16,7.400520270676287e-16,6.598787540731408e-16,6.598787857522323e-16,5.974658427089724e-16,5.974658427833181e-16,5.014449783964296e-21,6.016298630050234e-24,2.544346987186332e-24,5.513916043772797e-25,9.734188591940969e-21,4.809222547747007e-32,5.250172003539026e-25,2.6310078514627378e-28,4.056591371749947e-26,1.2387813758253149e-25,8.49302578532645e-32,5.080332751154671e-26,1.4399558719399402e-23,3.5100752769474374e-26,2.4545431434504677e-26,3.040677946399902e-26,1.4702657003536106e-36,9.716908876516918e-21,3.16790119724263e-23,1.1162947319387442e-31,1.8020331125610588e-26,6.347243803738094e-29,2.335673139272659e-39,8.744068217636606e-27,1.6115309020128093e-29,6.750585714648645e-40,2.108516579440782e-33,5.077918491909374e-31,1.2641178966507592e-33,3.8739442134087097e-41,1.2642899911044988e-33,1.3909135695466166e-40,6.670803749980958e-54,1.0790140059435145e-52,2.504138975333428e-63,2.1873444455234508e-44,3.3526827974465925e-56,1.971082884253773e-56,7.429405075698994e-67,4.3605163122459866e-67,1.6453829968344685e-55,1.418894120102739e-54,1.3436990265995581e-61,4.1408707089999725e-60,3.3889144722424045e-31,6.745356847981017e-41,8.730620218439306e-70,5.133270108632644e-70,3.8407724134443963e-41,8.713100262618131e-42,3.079195291228268e-59,1.4470260643158806e-54,7.844566890139517e-67,1.2010871708890877e-69,6.410697146787483e-52,2.567477616082109e-41,3.0457133449385433e-41,2.500258351880721e-70,1.4358555768320974e-70,1.9105606965930755e-30,4.298821912344697e-35,3.2070014279913386e-43,2.3704554815677823e-45
3.817173752334997e-17,0.11224537200000115,0.9,0.0,0.0,0.0,0.0,0.09999999999998975,2.6278897652278805e-15,2.62786785668593e-15,1.8157221742175118e-15,1.815722174657859e-15,1.5726533974587187e-15,1.572653411341243e-15,1.5726105573515453e-15,1.5726105573895175e-15,1.4022423524053511e-15,1.4022424903509136e-15,1.2696149156358403e-15,1.2696149159606528e-15,2.1881513406519935e-20,2.6274656939475758e-23,1.111183055629206e-23,2.408071677180953e-24,2.0685152525051996e-20,4.239710456316016e-31,2.2928862740663043e-24,2.3253178057321346e-27,1.7716200281875653e-25,5.410079275638494e-25,7.497989406703131e-31,2.2160584851898466e-25,3.05990619791834e-23,1.5310419544797248e-25,1.0707145014243343e-25,1.3265178265380446e-25,1.2990476695318755e-35,2.0577804344959763e-20,1.3794492021543187e-22,4.8751527092056e-31,7.844961821482369e-26,5.271029062017901e-28,3.7746014534142586e-38,3.814295372555106e-26,1.150691582028037e-28,9.031105620530348e-39,6.760026986461801e-33,2.2176604143787978e-30,4.057204126526384e-33,3.4264597856429935e-40,4.057756464534352e-33,1.1319305518236077e-39,2.103838595586192e-52,4.051315231956135e-51,1.9645625369042603e-61,3.6449858158868026e-43,1.2122257077901447e-54,7.377158654383559e-55,5.8322085169082724e-65,3.5371953410206224e-65,1.210791769692701e-53,4.160047517589005e-53,5.362350081138258e-60,1.5503240336695715e-58,1.4800279847943479e-30,1.199386983392466e-39,1.2988412836705446e-67,7.902583445633713e-68,5.75832895153027e-40,2.6202664145460233e-40,2.8303041010611067e-58,2.7101001174204233e-53,1.0075884453171973e-64,2.9949132815845434e-67,1.1642178713854737e-50,3.84682872477951e-40,5.415560693660207e-40,3.1671186004536306e-68,1.8411726893718256e-68,8.343743164888879e-30,3.802184034170901e-34,1.4517566208714104e-42,3.547738130455744e-44
7.858887137160288e-17,0.11224537200000237,0.9,0.0,0.0,0.0,0.0,0.09999999999997888,5.410361281914029e-15,5.41026996735856e-15,3.7382515344420435e-15,3.7382515362819905e-15,3.237815788977877e-15,3.237815846935861e-15,3.237727617463902e-15,3.2377276176224445e-15,2.886969549069539e-15,2.886970121605129e-15,2.613913061105653e-15,2.613913062462722e-15,9.120170544535839e-20,1.0969068831552775e-22,4.638969520434521e-23,1.0053222525645492e-23,4.258709346413972e-20,3.5517663940672776e-30,9.572334044009616e-24,1.9515857809911722e-26,7.396164873146764e-25,2.2585978812939857e-24,6.2905390586083315e-30,9.229482705934902e-25,6.299806754617784e-23,6.3759737507687455e-25,4.459618185369257e-25,5.5260680655753665e-25,1.0896039256728384e-34,4.2077541558937423e-20,5.725304663301761e-22,2.0352808559451465e-30,3.2544167968963404e-25,4.270583712975979e-27,6.01340816429616e-37,1.5886706133101463e-25,8.5265240693974e-28,1.2717062384102831e-37,1.8139742719743886e-32,9.258295683537749e-30,1.0898639384897191e-32,2.8801459093647534e-39,1.0900123086072659e-32,7.86283535625188e-39,5.765272478838089e-51,1.3899723953746501e-49,1.3882426680467757e-59,5.916391060585485e-42,3.8819557677841464e-53,2.5229948696255506e-53,3.8886170134961256e-63,2.5108564859167664e-63,8.283090303789316e-52,1.1842477990515524e-51,1.9058632058023195e-58,5.31658390268813e-57,6.1788254925243726e-30,2.0198681825165916e-38,1.6769326616334895e-65,1.0888225942353567e-65,7.379347050678859e-39,6.731283119352242e-39,2.4214223367157395e-57,4.6809567499252836e-52,1.246526271149783e-62,7.36570966863773e-65,1.89564591581487e-49,4.920269219289383e-39,9.120258004359941e-39,3.819187424346199e-66,2.2762219045141742e-66,3.4831942653469586e-29,3.1958329803053984e-33,6.487469200174726e-42,4.535862012731498e-43
1.594231390681087e-16,0.11224537200000481,0.9,0.0,0.0,0.0,0.0,0.09999999999995715,1.0975304317036063e-14,1.0974932481765033e-14,7.583310252694558e-15,7.583310260224186e-15,6.568140481520944e-15,6.568140718307783e-15,6.567961735797077e-15,6.567961736444891e-15,5.8564239423969845e-15,5.856426254378023e-15,5.302509350509587e-15,5.302509356062107e-15,3.713741509992038e-19,4.481154818049568e-22,1.895169597738401e-22,4.1070672265048363e-23,8.639108101522119e-20,2.904068110807937e-29,3.910598758370716e-23,1.5951580850736856e-25,3.021574681246649e-24,9.227078918237753e-24,5.149466138131389e-29,3.75258442806115e-24,1.277960748699009e-22,2.5919502101498693e-24,1.8134523977621274e-24,2.247926541537658e-24,8.89535569840112e-34,8.420677710925748e-20,2.3119404625847067e-21,8.314795665333931e-30,1.3129150815970464e-24,3.4067091413394896e-26,9.479651499015146e-36,6.460014500477683e-25,6.505690190216743e-27,1.875938813560036e-36,4.2342854262124896e-32,3.782315878158337e-29,2.545965028303688e-32,2.3613176273284547e-38,2.546311615173527e-32,4.707114651480235e-38,1.3721591620682557e-49,4.528150831816955e-48,9.208949212023164e-58,9.44929610620026e-41,1.121778742694423e-51,8.20020831277607e-52,2.3008679765984932e-61,1.6626119580621672e-61,5.397133457250379e-50,3.2314180415816616e-50,6.419472168240915e-57,1.7354568805735447e-55,2.5242518238911542e-29,3.307591057597346e-37,1.9326100582503e-63,1.409316914106292e-63,8.181347438892057e-38,1.492676672321094e-37,2.0027920352991544e-56,7.777257587099404e-51,1.534467274772576e-60,1.8114532840914782e-62,2.8249893120374156e-48,5.428089109426171e-38,1.49346794406202e-37,4.487468594858098e-64,2.8083010217890987e-64,1.4228695060099557e-28,2.6199155890297507e-32,2.9982333277821893e-41,5.0112625070056643e-42
3.210916744611203e-16,0.1122453720000097,0.9,0.0,0.0,0.0,0.0,0.0999999999999137,2.210519039437346e-14,2.210369710629132e-14,1.5273427680413397e-14,1.5273427710951764e-14,1.3228789504626555e-14,1.322879046183321e-14,1.3228429964896663e-14,1.3228429967516165e-14,1.1795332729048157e-14,1.1795341862979424e-14,1.0679701923174684e-14,1.067970194568627e-14,1.4914234340149543e-18,1.8113001616182254e-21,7.660571918792169e-22,1.6601404576232956e-22,1.7399990101725255e-19,2.347563078690475e-28,1.5807168991892042e-22,1.2839834196068732e-24,1.2213687967076013e-23,3.7297082587243836e-23,4.165921956574703e-28,1.502526379414822e-23,2.573920742767316e-22,1.0374666714884626e-23,7.262852013479121e-24,9.00936838003084e-24,7.143092151511758e-33,1.6512239539844805e-19,9.133613368314294e-21,3.3609882668070895e-29,5.177247203442183e-24,2.6747006122813137e-25,1.4707730483087592e-34,2.58712275831857e-24,5.041538443342747e-26,2.8456850311555556e-35,8.981215139469157e-32,1.528872552538597e-28,5.401774233815511e-32,1.9122562355036977e-37,5.402509489146186e-32,2.453862614582544e-37,2.833618827845961e-48,1.4157543795529215e-46,5.832706459313445e-56,1.4853707624132087e-39,2.8970751540113374e-50,2.561967268134444e-50,1.2090485308689225e-59,1.0498931727497316e-59,3.376667835349387e-48,8.1539101135252e-49,2.1069350425470883e-55,5.456141059361878e-54,1.0203429466024715e-28,5.329456827774306e-36,1.96872720833936e-61,1.7329270265631224e-61,8.047738484724325e-37,2.9191619570582002e-36,1.6379950907118306e-55,1.2678177084837723e-49,1.874209267395308e-58,4.4243276024886693e-60,3.8155636566145635e-47,5.279814235723453e-37,2.4063957100309833e-36,5.04850822764431e-62,3.457778643796103e-62,5.750412984470392e-28,2.1213132492389422e-31,1.4920852178074622e-40,4.898726580974552e-41
6.444287452471435e-16,0.11224537200001945,0.9,0.0,0.0,0.0,0.0,0.09999999999982678,4.436496257815222e-14,4.435903497284325e-14,3.0653662500706347e-14,3.0653662624301154e-14,2.6550086102919528e-14,2.6550089952405176e-14,2.654936639282397e-14,2.6549366403364228e-14,2.3673150302335614e-14,2.3673185432646796e-14,2.143408704393381e-14,2.14340871349803e-14,5.920101906939653e-18,7.282729448882318e-21,3.0802769629487135e-21,6.675337436229564e-22,3.4922422253278416e-19,1.887546557598965e-27,6.355916940827044e-22,1.0210973327413606e-23,4.9110702117365075e-23,1.4996795295323299e-22,3.3510828412747845e-27,5.929363790595492e-23,5.165840121349559e-22,4.09146627576464e-23,2.8675220189380836e-23,3.562067825047139e-23,5.654178783498051e-32,3.1460272268305417e-19,3.512786885264048e-20,1.3514622884746256e-28,1.984247057286061e-23,2.050497761376833e-24,2.215608358582754e-33,1.0213684682510825e-23,3.91739833767719e-25,4.353419210037529e-34,1.7805995899057997e-31,6.147529296093346e-28,1.0704373444365623e-31,1.539150180261432e-36,1.0705829641030244e-31,1.1466637567391484e-36,5.141287294903132e-47,4.2143515619766464e-45,4.651240983791774e-54,2.281106085983504e-38,6.602084622526468e-49,7.642092700807796e-49,7.41739258287701e-58,8.364693697128564e-58,2.0118190195848376e-46,1.8374329906044585e-47,7.923652948733982e-54,1.6445030507088587e-52,4.102754112607977e-28,8.480705061259964e-35,3.002902476027084e-59,3.445990047329844e-59,7.300363373629672e-36,5.197736143072849e-35,1.472977076599945e-54,2.047267048916347e-48,3.8577410080796596e-56,1.8181854837695109e-57,4.58132985704368e-46,4.678817387458863e-36,3.8292705874033353e-35,9.122874373214175e-60,7.279110230341259e-60,2.3113663827941687e-27,1.706832196578426e-30,8.23531747558105e-40,4.390836084019892e-40
1.29110288681919e-15,0.11224537200003896,0.9,0.0,0.0,0.0,0.0,0.09999999999965295,8.888450706760211e-14,8.886132941330347e-14,6.141413200071354e-14,6.1414132502477e-14,5.3192673507863126e-14,5.319268895061212e-14,5.3191239127554425e-14,5.3191239169882417e-14,4.742878544885101e-14,4.7428914980749906e-14,4.2942857187167765e-14,4.294285755633484e-14,2.3147518065852628e-17,2.9203678987606066e-20,1.2353245692636771e-20,2.6770973812020904e-21,6.99724848044083e-19,1.5137839108300523e-26,2.548947971525466e-21,8.001978165270066e-23,1.9695588064362727e-22,6.014227194575537e-22,2.688119697995693e-26,2.292459298563082e-22,1.0349676441385257e-21,1.5799270874578604e-22,1.109705209232175e-22,1.3821842111581068e-22,4.391458714025186e-31,5.711659674607477e-19,1.2951379093702084e-19,5.420338375368557e-28,7.270569948433001e-23,1.5094893155761734e-23,3.160767162082649e-32,3.952010890126147e-23,3.012384114702313e-24,6.585763670771437e-33,3.312501225129557e-31,2.4654342065332714e-27,1.9854435123523944e-31,1.2350710865189885e-35,1.9857129362184678e-31,4.988260748435325e-36,8.323480559964286e-46,1.1654086884253241e-43,2.6172387995681546e-52,3.3679239706389554e-37,1.3342654342440678e-47,2.1315060045024239e-47,3.0371969076621024e-56,4.715638015318388e-56,1.1140106936653445e-44,3.6372720293028816e-46,2.56029307269588e-52,4.6673510448773013e-51,1.645387899915134e-27,1.3296224580835107e-33,2.2435177962097312e-57,3.5490825894154706e-57,6.348882056207687e-35,8.664915209828866e-34,2.8602989515715132e-53,3.290167385666526e-47,4.3216630751081697e-54,4.081565703348619e-55,4.8561423576046236e-45,3.885665399183591e-35,6.003609528100614e-34,8.438559746849209e-58,8.495327580602248e-58,9.262797843927414e-27,1.3686855888308565e-29,5.0689327104686664e-39,3.7324950997097206e-39
