Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8240178485770066e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999926,1.944162902170594e-16,1.9441611533199987e-16,1.3433058491922567e-16,1.3433058492273314e-16,1.1634789472829455e-16,1.163478948389533e-16,1.1634472444002526e-16,1.163447244403279e-16,1.0374056011470114e-16,1.0374056121989921e-16,9.39285297394299e-17,9.392852974201737e-17,1.7466962741568827e-22,2.0944260121546496e-25,8.85749271322604e-26,1.9195287578279207e-26,1.5303268134719115e-21,4.219796536044862e-34,1.827713875587935e-26,2.3004211918429478e-30,1.41219833108642e-27,4.3125024984134684e-27,7.438939944077195e-34,1.7701374567162704e-27,2.2637769264793467e-24,1.2230514551145475e-27,8.552149629951175e-28,1.0593659984513696e-27,1.2858076504701647e-38,1.5314853911178718e-21,1.105197015940629e-24,3.8860939634671775e-33,6.287943739266048e-28,7.46905706149564e-31,8.068978865575262e-42,3.0466305331074604e-28,3.0028763558290442e-31,3.6983031642843344e-42,9.84727345172698e-35,1.767747195149079e-32,5.895770675246531e-35,3.385299319231893e-43,5.896573314749332e-35,9.605837379200598e-43,3.6903266018085754e-57,4.0677689585240487e-56,4.9203817583269186e-67,6.784557215547864e-47,1.3013590430705283e-59,7.460334495236945e-60,9.457862865399246e-71,5.419406004695455e-71,2.5385382659421206e-59,1.1569301292559715e-57,5.5702166493837706e-65,1.65903451124013e-63,1.1797637285066317e-32,1.564926659579974e-43,4.999516349399749e-74,2.866099233173243e-74,1.0293108378788048e-43,6.389121030322247e-45,1.9292858772794678e-61,2.1141833608550914e-57,6.286663791009169e-71,3.926854585060916e-74,9.582185299370117e-55,6.882379117230469e-44,7.06607243819826e-44,2.0255133727534114e-74,1.1534216136873984e-74,6.651224432392743e-32,3.756635302397702e-37,1.0861331351711123e-44,6.365101383692767e-48,3.419316859983021e-48
7.907249976015619e-18,0.11224537200000022,0.9,0.0,0.0,0.0,0.0,0.09999999999999788,5.443656126145963e-16,5.443645565129749e-16,3.761256377651456e-16,3.76125637786333e-16,3.25774104881363e-16,3.257741055497437e-16,3.257652284245912e-16,3.257652284264193e-16,2.904735683211594e-16,2.904735749919138e-16,2.629998832643309e-16,2.629998832799604e-16,1.0548003959930538e-21,1.2650321735511519e-24,5.34992546259867e-25,1.1593953330012016e-25,4.2849150985996974e-21,5.002011447665809e-33,1.1039389785747949e-25,2.7305747731151084e-29,8.529677919701751e-27,2.604751002593674e-26,8.823778139684217e-33,1.0688599321483024e-26,6.338575379074418e-24,7.3850624845804e-27,5.164073353049261e-27,6.396943805352223e-27,1.5261330955570289e-37,4.28458290227626e-21,6.670744606470543e-24,2.3472007634774696e-32,3.795054748378693e-27,7.374579663881155e-30,1.4268048166757652e-40,1.8396549506707384e-27,2.3236276932659654e-30,5.225656645969079e-41,5.362451772083825e-34,1.0677193058813199e-31,3.2122731009305924e-34,4.019027351766208e-42,3.212710413755814e-34,1.4064347556658992e-41,1.818090674625357e-55,2.4714707265725565e-54,2.831498055565695e-65,1.2736184436826788e-45,7.833146872284525e-58,4.5259194240893345e-58,7.225695428741859e-69,4.171878025535663e-69,2.0882326226477288e-57,4.587971134875356e-56,2.660959335986467e-63,9.544662609016428e-62,7.125772920193293e-32,3.500067433333354e-42,4.774678184583828e-72,2.759283202475899e-72,2.1944670530093465e-42,2.5055721897167823e-43,2.915534290808725e-60,6.6473221323941e-56,5.385128240573995e-69,4.723951622917565e-72,2.9912367919180865e-53,1.4672361261726085e-42,1.580376298857976e-42,1.729082311085659e-72,9.87228224422798e-73,4.017321158403962e-31,4.459858725975873e-36,6.620599897191606e-44,1.3560520687210072e-46,7.637560495379815e-47
1.8073714230892844e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.09999999999999515,1.2442642574370135e-15,1.244259174840379e-15,8.597157434222407e-16,8.59715743524271e-16,7.446265237560534e-16,7.446265269740351e-16,7.446062363638052e-16,7.446062363726069e-16,6.639395847340614e-16,6.639396168036873e-16,6.011425902898414e-16,6.011425903651053e-16,5.076331639193782e-21,6.090573782822049e-24,2.5757586767213575e-24,5.581989076860693e-25,9.794091859634163e-21,4.8984278349296086e-32,5.314988917150431e-25,2.679867815633644e-28,4.106672746709088e-26,1.254074966866839e-25,8.650659752008989e-32,5.1430159099606804e-26,1.4488172223993558e-23,3.5533830722934694e-26,2.4848287492085548e-26,3.0781973186745406e-26,1.4975669900477297e-36,9.776510219838375e-21,3.206954497340404e-23,1.130076148697192e-31,1.8242455637283628e-26,6.460476036905566e-29,2.3910742703278852e-39,8.8519574323628e-27,1.637650808708285e-29,6.897446405488298e-40,2.1300327954000697e-33,5.140608843662717e-31,1.2770282709952048e-33,3.945904886416512e-41,1.277202123038762e-33,1.4156466311406236e-40,6.868364519374277e-54,1.1125875151988017e-52,2.5964721626367377e-63,2.2399884881909087e-44,3.4561730567442454e-56,2.0323609404183286e-56,7.70597005461834e-67,4.52376063555743e-67,1.7063590008680894e-55,1.4593112003619487e-54,1.3855560094698523e-61,4.2697333296065974e-60,3.4307529225171624e-31,6.912904746198965e-41,9.102595633411268e-70,5.353120060355593e-70,3.9317055514520154e-41,8.974204945084773e-42,3.136392993855166e-59,1.4829755907635985e-54,8.165600434799611e-67,1.2572979731659925e-69,6.568709791693125e-52,2.628256677446545e-41,3.1213658094440413e-41,2.602348755833865e-70,1.4945945710112484e-70,1.9341476253951142e-30,4.378674412061326e-35,3.2472545916560016e-43,2.4265458660505982e-45,1.5052696140722447e-45
3.840664274064729e-17,0.11224537200000118,0.9,0.0,0.0,0.0,0.0,0.09999999999998968,2.6440615471914177e-15,2.644039368393809e-15,1.8268959545974515e-15,1.826895955043238e-15,1.5823313557796488e-15,1.5823313698335643e-15,1.58228825212256e-15,1.5822882521610013e-15,1.4108716175598064e-15,1.410871757203426e-15,1.2774280042436969e-15,1.2774280045725211e-15,2.215143536222776e-20,2.659903419296366e-23,1.124901363485461e-23,2.4378009531752006e-24,2.0812447001706424e-20,4.318334016998613e-31,2.3211934902002636e-24,2.368489734004208e-27,1.7934918803867652e-25,5.476870323049262e-25,7.637137268056062e-31,2.243384580410315e-25,3.0787365672747946e-23,1.5499203512708256e-25,1.0839178459582758e-25,1.3428770577612246e-25,1.3231609521631077e-35,2.0703589036439625e-20,1.396429659470045e-22,4.935339785284202e-31,7.941506602095772e-26,5.366763474696974e-28,3.8659269909389905e-38,3.8613305047222844e-26,1.1703910567539802e-28,9.236947769094157e-39,6.821140148714779e-33,2.2450389380143258e-30,4.0939225613049547e-33,3.490108185987354e-40,4.094479898049697e-33,1.1513418613486875e-39,2.165560767444126e-52,4.1772283090070316e-51,2.0378281466796394e-61,3.733946859763063e-43,1.2493421533588334e-54,7.60621402753388e-55,6.047918376215489e-65,3.6694811812061406e-65,1.2560071510141533e-53,4.281489823163456e-53,5.52939031190809e-60,1.598522056756309e-58,1.4982999352240514e-30,1.229172807645012e-39,1.3544368432397095e-67,8.244261110809242e-68,5.889994586292309e-40,2.6966776983526584e-40,2.8828785484869957e-58,2.777428993048572e-53,1.0498760906101846e-64,3.139458517099732e-67,1.1926977669548482e-50,3.934749462579016e-40,5.550051847294456e-40,3.2994965743647607e-68,1.9184215797337514e-68,8.446750111944082e-30,3.872810764554076e-34,1.4702865374504322e-42,3.628793906618816e-44,2.669828126267818e-44
7.907249976015617e-17,0.11224537200000241,0.9,0.0,0.0,0.0,0.0,0.09999999999997874,5.443656127140039e-15,5.443563687089369e-15,3.761256376391957e-15,3.7612563782546395e-15,3.257740996923706e-15,3.257741055597235e-15,3.2576522831613668e-15,3.2576522833218664e-15,2.9047356832110614e-15,2.9047362627736344e-15,2.629998831762745e-15,2.629998833136581e-15,9.232580729822721e-20,1.1104488405878983e-22,4.696240736704615e-23,1.0177336350608588e-23,4.2849170601242877e-20,3.617642863159324e-30,9.690510824677537e-24,1.9878003529915666e-26,7.487475550587645e-25,2.2864817597274795e-24,6.407289660713873e-30,9.343153709130492e-25,6.338575160592303e-23,6.454494066318881e-25,4.514546710592546e-25,5.594144352118034e-25,1.1098149482000114e-34,4.233297912714062e-20,5.795573571986405e-22,2.060407789507617e-30,3.294340108668386e-25,4.348774297820019e-27,6.1603213014510755e-37,1.6082378572303465e-25,8.67776324091198e-28,1.3017150574074004e-37,1.8282425684120185e-32,9.372595630258398e-30,1.0984456560003064e-32,2.9336462249540905e-39,1.0985951943807427e-32,7.9904003765067e-39,5.930147171707994e-51,1.433074841713022e-49,1.4400752474431854e-59,6.061728732616202e-42,3.999117649307962e-53,2.6011657908149368e-53,4.0308005764113875e-63,2.6045984249450074e-63,8.592388584715848e-52,1.2191050561761038e-51,1.9652319200580746e-58,5.481549705001952e-57,6.255107288729613e-30,2.0700106941527496e-38,1.7483448298862437e-65,1.136064100879237e-65,7.540401522134389e-39,6.920525386604353e-39,2.46640287747691e-57,4.797248546776357e-52,1.2997554747680187e-62,7.727323183210283e-65,1.9413736685271906e-49,5.0275185644329234e-39,9.346665176405484e-39,3.98107057580121e-66,2.3734300168858227e-66,3.5261947290463985e-29,3.2551956899919526e-33,6.572748530771728e-42,4.634744644595975e-43,4.487840341382004e-43
1.6040421379917397e-16,0.11224537200000484,0.9,0.0,0.0,0.0,0.0,0.09999999999995689,1.104284528880877e-14,1.1042468878012976e-14,7.6299772177573e-15,7.629977225380048e-15,6.608560187599345e-15,6.608560427309597e-15,6.60838034332409e-15,6.608380343979904e-15,5.892463814512629e-15,5.892466154704878e-15,5.335140485246189e-15,5.335140490867363e-15,3.7594398180019295e-19,4.536476878740358e-22,1.918566743118431e-22,4.15777173279995e-23,8.692272543114654e-20,2.957954086956186e-29,3.958877606383072e-23,1.6247282769381207e-25,3.058878072368837e-24,9.340993095429681e-24,5.245061462617862e-29,3.798690616353691e-24,1.2858251961496754e-22,2.6237908628438884e-24,1.835736268401711e-24,2.2755593469544507e-24,9.06011983909125e-34,8.471099454037398e-20,2.340150934580121e-21,8.417447617628045e-30,1.3289199756543861e-24,3.4691606832503984e-26,9.711775180293371e-36,6.539394127472324e-25,6.623371127663093e-27,1.9211534019047865e-36,4.263686811557642e-32,3.8290111359218984e-29,2.5636555759578265e-32,2.405180418395224e-38,2.5640045708851476e-32,4.778267848258563e-38,1.4099552500413942e-49,4.667948724466415e-48,9.551889650764579e-58,9.68171622244201e-41,1.1548474422848437e-51,8.45325156938798e-52,2.3834264494434965e-61,1.724485552265986e-61,5.597997047440321e-50,3.3256126573992233e-50,6.619442348500235e-57,1.7891019388012646e-55,2.555415426656299e-29,3.389637846976379e-37,2.0136852755548608e-63,1.4703838290087804e-63,8.35124390101933e-38,1.5330102085655137e-37,2.040014501200903e-56,7.970471246016681e-51,1.6005844526603684e-60,1.9011235660701537e-62,2.8915036545286064e-48,5.540447724102396e-38,1.5305143163967503e-37,4.678270958233918e-64,2.9294242012307696e-64,1.440434184704903e-28,2.6685791931291923e-32,3.039526632357902e-41,5.1151236750513925e-42,7.350526452071739e-42
3.2306764187720957e-16,0.11224537200000975,0.9,0.0,0.0,0.0,0.0,0.09999999999991316,2.2241223619328287e-14,2.22397120158674e-14,1.536741889159333e-14,1.5367418922509978e-14,1.3310198202501212e-14,1.3310199171526174e-14,1.3309836455989344e-14,1.33098364586412e-14,1.1867920077111997e-14,1.1867929321234026e-14,1.0745423785994472e-14,1.074542380878481e-14,1.5097157834334453e-18,1.8336612210542216e-21,7.755146798574771e-22,1.6806359966673242e-22,1.7507069560544418e-19,2.3911413297215134e-28,1.600231803403602e-22,1.3077367995023341e-24,1.2364474238241006e-23,3.775753734108829e-23,4.243276950183956e-28,1.5208994624884852e-23,2.5897604020429277e-22,1.0501486995771846e-23,7.351685655770774e-24,9.119643735842824e-24,7.27502630631798e-33,1.660845652244226e-19,9.243798334742926e-21,3.4024821964912625e-29,5.2395871872434924e-24,2.7234880857239347e-25,1.5066246373245495e-34,2.6187651767186484e-24,5.1335164771752913e-26,2.91496682808022e-35,9.037845252768494e-32,1.547747522330028e-28,5.435834879907182e-32,1.947777460919428e-37,5.436574769718768e-32,2.488407242762916e-37,2.908479475382428e-48,1.4590949798362947e-46,6.04858660067707e-56,1.5217805144494096e-39,2.9796647749135426e-50,2.6404053368797203e-50,1.2512760752452122e-59,1.0887218327031684e-59,3.501466047403809e-48,8.385353793642558e-49,2.1725672579659224e-55,5.623590298046707e-54,1.0329397731046547e-28,5.4614559143756264e-36,2.04930399167689e-61,1.8075104873071687e-61,8.208141868101616e-37,2.99536286060928e-36,1.6686706465735335e-55,1.2993141922686988e-49,1.955099545372811e-58,4.6436772978898996e-60,3.9021060514187997e-47,5.3842831681915085e-37,2.4659969125531528e-36,5.261453312295141e-62,3.6074077757451337e-62,5.821392612865955e-28,2.1607132766373283e-31,1.513967144066946e-40,4.995989917180789e-41,1.1891533369026267e-40
6.483944980332807e-16,0.11224537200001958,0.9,0.0,0.0,0.0,0.0,0.09999999999982571,4.463798030983948e-14,4.46319804692016e-14,3.084230220368677e-14,3.084230232881724e-14,2.671347276651121e-14,2.6713476663528716e-14,2.6712748650674204e-14,2.671274866134468e-14,2.381883260229567e-14,2.3818868147256168e-14,2.156599036261662e-14,2.1565990454793602e-14,5.992244530798106e-18,7.372634412756421e-21,3.1183050074587768e-21,6.757748831144468e-22,3.5137344032689026e-19,1.922595851804326e-27,6.434384114057928e-22,1.0399116676844732e-23,4.9717007081530125e-23,1.5181938456680119e-22,3.413317670749048e-27,6.001193253786471e-23,5.197630196750855e-22,4.1409986731135496e-23,2.9022770044016424e-23,3.605301997604417e-23,5.758034683703738e-32,3.163403260041638e-19,3.554247410686747e-20,1.3681473995811097e-28,2.0075840913036454e-23,2.087410977082013e-24,2.2689072359835266e-33,1.0337466906191728e-23,3.9888877264179346e-25,4.459541325793412e-34,1.790891209191138e-31,6.223424719559881e-28,1.0766129433774908e-31,1.5677407527382586e-36,1.0767594017687194e-31,1.1619328975317967e-36,5.271802633984512e-47,4.341368889321003e-45,4.821344625225949e-54,2.3364976076731976e-38,6.7831047686758545e-49,7.872723296892526e-49,7.668416151763985e-58,8.670552486035989e-58,2.0852223746591025e-46,1.887605643439673e-47,8.170479208986942e-54,1.694333221547303e-52,4.153405397957169e-28,8.690123591082508e-35,3.1216939730787007e-59,3.591837980940461e-59,7.442174095035412e-36,5.329957121927955e-35,1.5042393199999363e-54,2.0981258652176782e-48,4.023172332935913e-56,1.9078235020239075e-57,4.680331573154105e-46,4.768331008144538e-36,3.923828788745515e-35,9.500414403427148e-60,7.593217603981363e-60,2.339891191750872e-27,1.7385302181905504e-30,8.364619490234473e-40,4.475480137409916e-40,1.912365579592789e-39
1.2990482103454229e-15,0.1122453720000392,0.9,0.0,0.0,0.0,0.0,0.09999999999965081,8.943149381432422e-14,8.940803724698782e-14,6.179206868555941e-14,6.179206919359071e-14,5.352001603138748e-14,5.3520031664843094e-14,5.351857291742395e-14,5.3518572960275224e-14,4.772065765260274e-14,4.7720788653078444e-14,4.3207123416363235e-14,4.320712379013644e-14,2.3426058514632752e-17,2.956417778802294e-20,1.2505754367961192e-20,2.7101478230241438e-21,7.040318587781e-19,1.54189786017256e-26,2.5804157474140204e-21,8.148271969725457e-23,1.9938743472400453e-22,6.088474939471872e-22,2.7380468375401805e-26,2.319732928195328e-22,1.0413367318967716e-21,1.5987001800941833e-22,1.1229200390549817e-22,1.3986885335526955e-22,4.4712642959496045e-31,5.740096262744876e-19,1.309820482786766e-19,5.487262205819101e-28,7.352475380693992e-23,1.5359796741298494e-23,3.234804469301598e-32,3.9990659204689325e-23,3.0669262853218726e-24,6.745106684640847e-33,3.329662922453217e-31,2.4958716659220898e-27,1.995625099856025e-31,1.2580132203406926e-35,1.9958958936058277e-31,5.052385593897438e-36,8.52674565643815e-46,1.1996002962353555e-43,2.7109858946389917e-52,3.4482255937759305e-37,1.369559461544557e-47,2.1943227736726706e-47,3.136969017796348e-56,4.884815272638475e-56,1.1537660648522403e-44,3.7323999613689655e-46,2.6400476465317347e-52,4.805858807568941e-51,1.6657013307864327e-27,1.3622642945864886e-33,2.3290278847056607e-57,3.695134214304913e-57,6.470903378431457e-35,8.88109795078938e-34,2.9560881359529957e-53,3.371898314943913e-47,4.503844713929907e-54,4.279810886364739e-55,4.955959146423558e-45,3.958140595734626e-35,6.150996359191169e-34,8.777508064186267e-58,8.857786882790442e-58,9.377068517622368e-27,1.394097910463694e-29,5.153263201567891e-39,3.803199606686969e-39,3.0658920903439517e-38
