Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872),S(869)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8411852884559632e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999924,1.9559816304959456e-16,1.9559798603200574e-16,1.3514719174117672e-16,1.3514719174472697e-16,1.170551832770868e-16,1.170551833890951e-16,1.1705199371703228e-16,1.1705199371733865e-16,1.0437120762625128e-16,1.0437120874492247e-16,9.449952910050004e-17,9.4499529103119e-17,1.7679952939082306e-22,2.1199677807842568e-25,8.965510915608957e-26,1.9429376447310077e-26,1.5396297977495882e-21,4.2971732429047745e-34,1.8500030670581157e-26,2.34262724025447e-30,1.4294202619532641e-27,4.365093986953132e-27,7.5753825885901155e-34,1.7917213002699652e-27,2.2775386150692267e-24,1.2379644284785027e-27,8.656429099104606e-28,1.072283379205975e-27,1.3093978588723338e-38,1.5407886639340088e-21,1.1186701242937381e-24,3.9334853533377104e-33,6.364595751499463e-28,7.590371602646537e-31,8.244704113527644e-42,3.083779183018678e-28,3.0448777694826995e-31,3.771086758705112e-42,9.960646808950922e-35,1.789305087772966e-32,5.963670413984634e-35,3.4474139437082612e-43,5.96448229723225e-35,9.779888083160052e-43,3.795146794397555e-57,4.192883440205752e-56,5.0780055593347516e-67,6.936667699971567e-47,1.3412915248870243e-59,7.689707765618584e-60,9.807370392493785e-71,5.619989804861888e-71,2.621050624844879e-59,1.1873427456131291e-57,5.7415967453170985e-65,1.710064366193769e-63,1.1941510910494093e-32,1.6033263255478463e-43,5.204981213761166e-74,2.984062382495838e-74,1.0541963831717334e-43,6.583030886673071e-45,1.9646850593885696e-61,2.1660632074632928e-57,6.530983904294584e-71,4.086398510062463e-74,9.816805344633606e-55,7.048771942163404e-44,7.239457446160503e-44,2.104173512245191e-74,1.198236361490042e-74,6.732336734495735e-32,3.8255632174002725e-37,1.0994193991469339e-44,6.518953488864933e-48,3.298875261637627e-48,2.1392182032462408e-49
7.955318807676697e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999787,5.476748565457779e-16,5.47673787567425e-16,3.784121368665027e-16,3.7841213688794844e-16,3.2775451281361725e-16,3.277545134901489e-16,3.277455824001197e-16,3.277455824019702e-16,2.9223938135349994e-16,2.9223938810554674e-16,2.6459868147525316e-16,2.6459868149107327e-16,1.0676612587523905e-21,1.2804593809306837e-24,5.415168454339097e-25,1.1735343000167895e-25,4.3109634549601984e-21,5.0936973589764995e-33,1.1174016465119656e-25,2.780669889919405e-29,8.633698382136384e-27,2.6365162523791514e-26,8.985587121388432e-33,1.0818910139674695e-26,6.377108106942329e-24,7.475097070339286e-27,5.2270320126606015e-27,6.47493494299145e-27,1.5541301232934334e-37,4.31058849846848e-21,6.752037004140984e-24,2.3758251631934185e-32,3.84130006627232e-27,7.500351124870053e-30,1.4591633593859746e-40,1.8620833820940193e-27,2.3583496527486774e-30,5.332550396023664e-41,5.4212483891209546e-34,1.0807402730263542e-31,3.247512738301331e-34,4.092769833943918e-42,3.247954848582055e-34,1.4316567731983216e-41,1.8708752547300938e-55,2.5474673340288763e-54,2.9293967769790487e-65,1.3031586834774235e-45,8.073007618151597e-58,4.665005961636815e-58,7.492276622560868e-69,4.326234518301659e-69,2.1621353719259055e-57,4.712662637065782e-56,2.742829664374083e-63,9.838178859033971e-62,7.212672589951911e-32,3.5859471592545076e-42,4.972654144538397e-72,2.8740021370037566e-72,2.2469177076370135e-42,2.5809915743202217e-43,2.969029473032621e-60,6.810440405631632e-56,5.59678661658543e-69,4.92991443875721e-72,3.0643451433978388e-53,1.5023037522082478e-42,1.619153347010146e-42,1.7969581307984757e-72,1.0260184969403961e-72,4.066312645119846e-31,4.54168948135646e-36,6.701956282517653e-44,1.3884513589049502e-46,7.021694159846456e-47,8.246241961421167e-48
1.8183585846118164e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.09999999999999512,1.2518282435658225e-15,1.251823099011383e-15,8.649420270819861e-16,8.649420271852608e-16,7.49153170437775e-16,7.491531736950004e-16,7.491327597360118e-16,7.49132759744921e-16,6.679757288079824e-16,6.679757612681322e-16,6.047969862001718e-16,6.047969862763538e-16,5.138213039968851e-21,6.1648489330609656e-24,2.607170366226025e-24,5.650062109866718e-25,9.853630963659628e-21,4.988176091275766e-32,5.379805830311541e-25,2.7290263181326917e-28,4.1567541216682154e-26,1.2693685577954613e-25,8.809255217863062e-32,5.205698394531339e-26,1.4576247029682524e-23,3.596690385331237e-26,2.515114037948222e-26,3.115716328977574e-26,1.5250350258759326e-36,9.835746871064874e-21,3.2460067672841734e-23,1.1438575654633144e-31,1.8464573802175114e-26,6.57434294802103e-29,2.4471066972418475e-39,8.95984551276763e-27,1.6638841473289432e-29,7.045728474358392e-40,2.1514847901322357e-33,5.20329919541609e-31,1.2899002519907928e-33,4.0183056927042005e-41,1.2900758563973347e-33,1.4405057394065064e-40,7.069272845052537e-54,1.1467794190616727e-52,2.691045575182538e-63,2.2932470810524646e-44,3.561539680944558e-56,2.094765974303393e-56,7.989278333320737e-67,4.6910247897032194e-67,1.7688228723001055e-55,1.5003797248103482e-54,1.4281857197251144e-61,4.4009702029628385e-60,3.472591372791924e-31,7.082507462028681e-41,9.485650837142203e-70,5.579573511066829e-70,4.023627542355608e-41,9.239775469618123e-42,3.1939405334701504e-59,1.51936621380635e-54,8.495717235948097e-67,1.3154299611503648e-69,6.728623397617557e-52,2.6896964097738647e-41,3.197946080374405e-41,2.707317174186678e-70,1.554994602927837e-70,1.9577345497094277e-30,4.4590153011149756e-35,3.287519799188174e-43,2.4832453615119772e-45,1.2544995421595018e-45,2.9190605211551632e-46
3.86401199230011e-17,0.1122453720000012,0.9,0.0,0.0,0.0,0.0,0.09999999999998962,2.6601350177168188e-15,2.660112568667564e-15,1.838001807372279e-15,1.838001807823504e-15,1.5919504798904784e-15,1.5919504941157844e-15,1.5919071142866636e-15,1.5919071143255738e-15,1.4194484237168875e-15,1.4194485650584738e-15,1.2851935955516585e-15,1.2851935958844943e-15,2.242135330656515e-20,2.692341142409257e-23,1.1386196713148634e-23,2.4675302290970314e-24,2.0938967630767124e-20,4.397436044539944e-31,2.3495007059367434e-24,2.4119251752733254e-27,1.8153637325859543e-25,5.5436613694614255e-25,7.777133779977521e-31,2.270710081063979e-25,3.0974524631138967e-23,1.568798322788973e-25,1.097120910910616e-25,1.3592359696851471e-25,1.3474212986106131e-35,2.082859882577526e-20,1.4134092123023484e-22,4.99552686149918e-31,8.038045813589587e-26,5.463054799152525e-28,3.958326332080698e-38,3.908364636533379e-26,1.1901905669016591e-28,9.44497640384833e-39,6.881984246630048e-33,2.272417461649876e-30,4.1304797316672525e-33,3.5541458792333947e-40,4.131042045194264e-33,1.1708369564231716e-39,2.2283026941411467e-52,4.3054553314509446e-51,2.1128907121024143e-61,3.823968868055966e-43,1.2871208492377303e-54,7.839472006618314e-55,6.268829450601558e-65,3.805018968586409e-65,1.3023330659743411e-53,4.404958760136416e-53,5.69951429482281e-60,1.647606368829827e-58,1.5165718856537588e-30,1.2593237515178652e-39,1.4116944186791025e-67,8.596318157941935e-68,6.022971640461018e-40,2.7743282436133098e-40,2.9357745584278823e-58,2.8455839825566e-53,1.0934014709846473e-64,3.289129134207724e-67,1.221513872312053e-50,4.0235446735408484e-40,5.686191616005904e-40,3.4357239617125373e-68,1.9979306755290633e-68,8.549757017564569e-30,3.9438694457193505e-34,1.4888275189575937e-42,3.710655399395142e-44,1.8721308676790535e-44,8.706718438075347e-45
7.955318807676697e-17,0.11224537200000241,0.9,0.0,0.0,0.0,0.0,0.09999999999997863,5.47674856646401e-15,5.476655000951716e-15,3.784121367390169e-15,3.784121369275587e-15,3.2775450756134445e-15,3.2775451350025195e-15,3.277455822903426e-15,3.2774558230658832e-15,2.9223938135344596e-15,2.9223944001232695e-15,2.645986813861229e-15,2.6459868152518332e-15,9.34498755709413e-20,1.1239907961485178e-22,4.7535119527489897e-23,1.0301450174962979e-23,4.3109654524376113e-20,3.683920635374433e-30,9.808687602017794e-24,2.0242355179625536e-26,7.578786228028433e-25,2.3143656373215874e-24,6.524752725108292e-30,9.456819744508094e-25,6.377107885795803e-23,6.533010829313592e-25,4.569472899436613e-25,5.662217969155245e-25,1.1301488821891793e-34,4.258682187156776e-20,5.865834988584362e-22,2.085534723299465e-30,3.334258812977865e-25,4.427425628769785e-27,6.308984882335821e-37,1.6278042652045586e-25,8.829838356855384e-28,1.3320627161162014e-37,1.8424312723794576e-32,9.486895576979251e-30,1.1069795568631684e-32,2.987473764683902e-39,1.1071302569965993e-32,8.118378623168323e-39,6.097604461282712e-51,1.4769658428103682e-49,1.4931789718739864e-59,6.20881462017941e-42,4.118311522473882e-53,2.680765013133401e-53,4.1763455974202817e-63,2.7006380778668073e-63,8.909271069775546e-52,1.2545468280021957e-51,2.0256966481248406e-58,5.64953724340613e-57,6.331389084934886e-30,2.1207672713799402e-38,1.8218703599275789e-65,1.1847456164790252e-65,7.702883337205366e-39,7.112630361988105e-39,2.5116585916838356e-57,4.914967211382114e-52,1.3545770479533796e-62,8.102020870065364e-65,1.987622613583687e-49,5.1357142933210574e-39,9.575845022762296e-39,4.147739977562178e-66,2.4735470529775e-66,3.5691951570651086e-29,3.3149214389246796e-33,6.658122376206132e-42,4.7345007673206805e-43,2.386047911697941e-43,2.2245940579203708e-43
1.6137932438429872e-16,0.11224537200000487,0.9,0.0,0.0,0.0,0.0,0.09999999999995664,1.1109975665751623e-14,1.1109594679704116e-14,7.676360485175163e-15,7.67636049289103e-15,6.648734174329679e-15,6.648734416963346e-15,6.648553238198706e-15,6.648553238862521e-15,5.928284593168651e-15,5.9282869615661544e-15,5.3675732489067595e-15,5.36757325459659e-15,3.805135395322974e-19,4.591798924203808e-22,1.941963888313402e-22,4.208476238596007e-23,8.745113791220319e-20,3.0121687947840735e-29,4.007156451689027e-23,1.6544778517105293e-25,3.0961814634909502e-24,9.454907265739869e-24,5.341240621532358e-29,3.844792780125474e-24,1.2936418340725073e-22,2.6556286387575163e-24,1.8580182456934237e-24,2.303189987102226e-24,9.225880262149952e-34,8.521198120406374e-20,2.3683554402331962e-21,8.520099573668772e-30,1.3449212092956165e-24,3.531978266652247e-26,9.946663396534099e-36,6.61876698049892e-25,6.741729460650458e-27,1.9668959172236623e-36,4.2929043462107497e-32,3.875706393685621e-29,2.5812355075740977e-32,2.4493114875823284e-38,2.5815868954979557e-32,4.849568317056222e-38,1.4483014848844148e-49,4.810281799144337e-48,9.903198120359981e-58,9.91692956411522e-41,1.188463850697251e-51,8.710881001118376e-52,2.467875290526977e-61,1.7878672502315327e-61,5.803756029175209e-50,3.421345479860473e-50,6.823104205126225e-57,1.8437222573806047e-55,2.5865790294214657e-29,3.472687493956712e-37,2.0971020602349756e-63,1.533306126684734e-63,8.522474077592944e-38,1.5739111013908748e-37,2.0774654714501876e-56,8.166055540254348e-51,1.6687000324896762e-60,1.9940682884177614e-62,2.9587312281581337e-48,5.653678199569118e-38,1.5680135064026866e-37,4.8747205787085065e-64,3.0542147141978845e-64,1.4579988338766724e-28,2.717540370315853e-32,3.080897820299702e-41,5.2197948671131043e-42,2.6299527270449383e-42,4.9222786791982784e-42
3.2503159699936223e-16,0.1122453720000098,0.9,0.0,0.0,0.0,0.0,0.09999999999991264,2.237642987159766e-14,2.2374899954933533e-14,1.5460838711742023e-14,1.546083874303697e-14,1.3391112000843845e-14,1.3391112981687134e-14,1.3390748061035654e-14,1.339074806371986e-14,1.1940066152433222e-14,1.1940075506700423e-14,1.0810746112703377e-14,1.0810746135772488e-14,1.5280059571759476e-18,1.8560222683506088e-21,7.849721676858711e-22,1.7011315353072032e-22,1.7613498091053864e-19,2.434985730248684e-28,1.619746705461071e-22,1.3316331026823227e-24,1.2515260509405416e-23,3.821799203920353e-23,4.321104675034472e-28,1.5392693629075044e-23,2.6055037688892407e-22,1.0628284545503648e-23,7.440504315730012e-24,9.229901926829977e-24,7.407749202961138e-33,1.670402616220723e-19,9.353937674157805e-21,3.443976132182129e-29,5.301899307446436e-24,2.772554195058877e-25,1.5428969938947447e-34,2.650402235320995e-24,5.226030489781505e-26,2.985068187435944e-35,9.094096859390722e-32,1.5666224921215901e-28,5.469667585269968e-32,1.9835159449124703e-37,5.470412078515639e-32,2.522990803533795e-37,2.98434684358082e-48,1.5032083951341994e-46,6.2696777890797205e-56,1.5586231890235302e-39,3.063537189913696e-50,2.7202428508763065e-50,1.2944281836824324e-59,1.1284866811818796e-59,3.62926912756682e-48,8.620371677392995e-49,2.239411118532068e-55,5.794040707809716e-54,1.045536599606856e-28,5.5950623036315734e-36,2.1321206178845583e-61,1.884334338045409e-61,8.36969196960362e-37,3.072572509095064e-36,1.6995444083405487e-55,1.3311971088462057e-49,2.038435297076932e-58,4.871040774288331e-60,3.989492864310264e-47,5.489478862046694e-37,2.5263238562414127e-36,5.480608640809755e-62,3.761580102311289e-62,5.8923720015832635e-28,2.2003541754702734e-31,1.5359119718180568e-40,5.093938962880373e-41,2.570060190646537e-41,9.649774129957127e-41
6.523361422294892e-16,0.11224537200001967,0.9,0.0,0.0,0.0,0.0,0.09999999999982466,4.490933831313022e-14,4.4903266254117804e-14,3.1029795128863244e-14,3.102979525552953e-14,2.687586617020295e-14,2.687587011475245e-14,2.6875137675690112e-14,2.6875137686490807e-14,2.396362927094711e-14,2.3963665230228546e-14,2.169709181511885e-14,2.1697091908426446e-14,6.064370199053886e-18,7.462539281909077e-21,3.156333050762589e-21,6.840160222806435e-22,3.5350959486277764e-19,1.9578593535386397e-27,6.512851270470684e-22,1.0588373863963057e-23,5.0323312045690985e-23,1.5367081573182677e-22,3.4759329713122505e-27,6.072998274025755e-23,5.229227013919951e-22,4.190513641037057e-23,2.937020469207549e-23,3.6485229249954125e-23,5.862497641175471e-32,3.1806517425025445e-19,3.5956750737629964e-20,1.3848325201521876e-28,2.030901230193877e-23,2.1245231439955694e-24,2.3228098898459465e-33,1.0461207923831959e-23,4.0607891747973765e-25,4.566914125065568e-34,1.801108134261564e-31,6.299320143027501e-28,1.082743472002044e-31,1.5965061938190118e-36,1.0828907629698244e-31,1.1772105426693243e-36,5.403943974859658e-47,4.4705816260352834e-45,4.995469729702777e-54,2.392531726222991e-38,6.96674080425064e-49,8.107353018960983e-49,7.924665553379661e-58,8.983642534318016e-58,2.1603540760185186e-46,1.9384962693785542e-47,8.421862161992995e-54,1.7450343790323774e-52,4.20405668330653e-28,8.902073072583056e-35,3.2436206638676545e-59,3.741949866747397e-59,7.58494820669406e-36,5.463851868912792e-35,1.5358564331348954e-54,2.1496086246919338e-48,4.193545542239454e-56,2.0007050476470286e-57,4.780188716033358e-46,4.858418444689743e-36,4.0195297840828524e-35,9.888629515453923e-60,7.916803321852891e-60,2.368415807758325e-27,1.7704219355080853e-30,8.494421953104824e-40,4.560683120917141e-40,2.3105280764576504e-40,1.73476222714713e-39
1.3069452326897433e-15,0.11224537200003944,0.9,0.0,0.0,0.0,0.0,0.0999999999996487,8.997515532122886e-14,8.995141996854026e-14,6.216770781905589e-14,6.21677083333563e-14,5.384536857427606e-14,5.384538439843926e-14,5.3843916780883246e-14,5.384391682425778e-14,4.8010755507913886e-14,4.801088797482961e-14,4.3469783119238735e-14,4.3469783497618935e-14,2.3704471268435194e-17,2.992467587330342e-20,1.2658263033606287e-20,2.7431982622359444e-21,7.083127036395865e-19,1.5701836958630772e-26,2.6118835106254794e-21,8.295404620337506e-23,2.0181898880435593e-22,6.16272264837786e-22,2.7882792611707313e-26,2.3469886586787295e-22,1.0476671006712592e-21,1.6174605486450407e-22,1.1361264127443911e-22,1.4151830688779813e-22,4.5515162330594635e-31,5.768292104549694e-19,1.3244816726878363e-19,5.5541861818434575e-28,7.434253328678165e-23,1.5625975169187575e-23,3.309623506067693e-32,4.046090717000967e-23,3.121770793486273e-24,6.906285506977566e-33,3.346684455237615e-31,2.526309125311831e-27,2.005721462423658e-31,1.2810956752040113e-35,2.0059936143550493e-31,5.11652773293963e-36,8.732348059121883e-46,1.2343518965592715e-43,2.806870955021161e-52,3.5294164942130003e-37,1.405332280119646e-47,2.258179302533239e-47,3.2387258797353296e-56,5.057864984695343e-56,1.1944223898554495e-44,3.828780908673807e-46,2.7212745802701153e-52,4.946691747692662e-51,1.6860147616578976e-27,1.395294905696062e-33,2.4166717112426962e-57,3.8452692101451683e-57,6.5937438605305e-35,9.099921267648048e-34,3.054214736629474e-53,3.4546318006993427e-47,4.691318815068194e-54,4.4850687227190995e-55,5.0565389730594166e-45,4.031049417387464e-35,6.300138614100147e-34,9.125611281481692e-58,9.230982155840444e-58,9.491337644589275e-27,1.419665374439226e-29,5.237985001086633e-39,3.874354050247205e-39,1.980677666510714e-39,2.955621454552998e-38
