Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872),S(869),S(1124)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.858249617789826e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999923,1.967729373541692e-16,1.967727582040551e-16,1.3595889388455393e-16,1.35958893888147e-16,1.1775822373131996e-16,1.1775822384467772e-16,1.1775501501523776e-16,1.177550150155478e-16,1.0499806736227196e-16,1.0499806849441621e-16,9.506709894291237e-17,9.506709894556295e-17,1.7892942748485575e-22,2.1455095491975637e-25,9.073529117965988e-26,1.9663465316271126e-26,1.5488769067320604e-21,4.375016362279424e-34,1.8722922584898422e-26,2.3850882450106957e-30,1.4466421928201064e-27,4.417685475396521e-27,7.712648544866358e-34,1.813305086203186e-27,2.2912176486314634e-24,1.2528773606209822e-27,8.760708297348445e-28,1.0852007290332691e-27,1.3331305547788603e-38,1.5500359788879766e-21,1.1321431443297642e-24,3.9808767432099826e-33,6.441247219368383e-28,7.712230508115393e-31,8.422157596620092e-42,3.120927735995021e-28,3.0869761178342546e-31,3.8444288087900225e-42,1.0073908182477746e-34,1.8108629803968564e-32,6.031503423310869e-35,3.509903888828564e-43,6.032324541218843e-35,9.954938445496324e-43,3.9016617744155923e-57,4.320278161682561e-56,5.238880688075811e-67,7.09036267953877e-47,1.381948390428304e-59,7.923258333380917e-60,1.0165370412784718e-70,5.825460854335837e-71,2.7053025578323894e-59,1.2181848380610873e-57,5.916102247358829e-65,1.7620243270449922e-63,1.2085384535921862e-32,1.6421913811695966e-43,5.4163181094059736e-74,3.105404970482393e-74,1.079372581028824e-43,6.780385970641334e-45,2.0002981367917545e-61,2.2185718999515514e-57,6.781752052001728e-71,4.250576412487363e-74,1.0054253709970584e-54,7.21710810032244e-44,7.414943815740701e-44,2.184907096266809e-74,1.2442333839301982e-74,6.813449033105246e-32,3.89490761894489e-37,1.1127063970908835e-44,6.674601481142284e-48,3.3776232811281774e-48,2.202881175369397e-49,5.529206101814914e-48
8.003098929811513e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999785,5.509642245986702e-16,5.509631427436319e-16,3.80684902867853e-16,3.8068490288955727e-16,3.297230260811059e-16,3.297230267657886e-16,3.2971404203500377e-16,3.2971404203687652e-16,2.9399458861435777e-16,2.9399459544769615e-16,2.6618787703393376e-16,2.661878770499445e-16,1.0805220754571838e-21,1.2958865880535402e-24,5.480411446048787e-25,1.1876732670240883e-25,4.336855360496441e-21,5.1859352497773226e-33,1.1308643144035043e-25,2.8310675467226867e-29,8.737718844571002e-27,2.6682815020503293e-26,9.148371793187544e-33,1.0949220274272424e-26,6.415409400732839e-24,7.565131167069635e-27,5.2899903508660106e-27,6.552925713690946e-27,1.5822961999151978e-37,4.3364374134460465e-21,6.833328355102617e-24,2.404449562913255e-32,3.8875447390927236e-27,7.626767658872659e-30,1.4918661636009692e-40,1.8845116985145387e-27,2.3931866147785547e-30,5.440355275341398e-41,5.479941476576546e-34,1.0937612401713924e-31,3.2826906072317647e-34,4.166957896790096e-42,3.283137506558911e-34,1.457017598899111e-41,1.9245397380975208e-55,2.624848281279517e-54,3.0295148187493403e-65,1.3330260139667198e-45,8.317201550111647e-58,4.806623234463274e-58,7.765316898108135e-69,4.4843497349057767e-69,2.2377598384682622e-57,4.8392284131328155e-56,2.826193036764531e-63,1.0137042551922429e-61,7.29957225971053e-32,3.672867600708237e-42,5.17635230490036e-72,2.9920513166333024e-72,2.2999636099918964e-42,2.6577285691978505e-43,3.0228478930855346e-60,6.975535866095374e-56,5.814127150720115e-69,5.142373468510757e-72,3.138330846563447e-53,1.5377693066814853e-42,1.6584003066764573e-42,1.8666524172945117e-72,1.0658496313620518e-72,4.115304127516856e-31,4.6240146837464495e-36,6.783323790196313e-44,1.4212180039945328e-46,7.187347508863512e-47,8.490346290445687e-48,1.2358123103256784e-46
1.8292797553854886e-17,0.11224537200000055,0.9,0.0,0.0,0.0,0.0,0.09999999999999509,1.2593467991156838e-15,1.2593415926038906e-15,8.701369207988589e-16,8.701369209033783e-16,7.536526293143178e-16,7.536526326107875e-16,7.536320960438883e-16,7.536320960529048e-16,6.719876311185143e-16,6.719876639691782e-16,6.084294331910927e-16,6.084294332681925e-16,5.200093989041131e-21,6.239124080782311e-24,2.6385820557005136e-24,5.71813514279136e-25,9.912812465823845e-21,5.078464016275462e-32,5.444622743025081e-25,2.778481551362845e-28,4.2068354966273307e-26,1.284662148611863e-25,8.968806353372521e-32,5.268380208952853e-26,1.4663792843194564e-23,3.6399972189840755e-26,2.545399011590606e-26,3.1532349795020616e-26,1.5526687974129062e-36,9.894625401647098e-21,3.2850580133440154e-23,1.157638982237112e-31,1.8686685658938247e-26,6.68884067176508e-29,2.5037701112557863e-39,9.067732465725181e-27,1.690230230466323e-29,7.195429623889654e-40,2.1728732804726143e-33,5.265989547169487e-31,1.3027342674133311e-33,4.0911439727344353e-41,1.3029116190142623e-33,1.4654898758472143e-40,7.273543775107737e-54,1.181593442759805e-52,2.7878859981558563e-63,2.3471200227881495e-44,3.668793275987298e-56,2.1583047410447173e-56,8.279409625455396e-67,4.862357490801155e-67,1.832792525539458e-55,1.542102425597344e-54,1.4715928548972172e-61,4.534595648986988e-60,3.5144298230666882e-31,7.254164977635262e-41,9.87997733934849e-70,5.812746546094705e-70,4.116536423042942e-41,9.509831342756552e-42,3.251835796144956e-59,1.5561979334099205e-54,8.835063159285867e-67,1.3755252536326182e-69,6.890437295626337e-52,2.751795495624684e-41,3.2754541494797207e-41,2.815209478756569e-70,1.6170823218035665e-70,1.981321469561215e-30,4.539841628218518e-35,3.327796977749972e-43,2.5405527470428515e-45,1.2834368660271628e-45,3.0041569774776033e-46,2.4382551648709797e-45
3.887219480194163e-17,0.11224537200000118,0.9,0.0,0.0,0.0,0.0,0.09999999999998956,2.6761119482619565e-15,2.676089228965041e-15,1.8490409565185016e-15,1.849040956975166e-15,1.601511829915303e-15,1.6015118443120006e-15,1.601468203939065e-15,1.6014682039784445e-15,1.427973716126767e-15,1.4279738591662305e-15,1.2929125454058747e-15,1.292912545742722e-15,2.2691267263869795e-20,2.724778863299809e-23,1.1523379791175736e-23,2.497259504946881e-24,2.106472835607162e-20,4.477013635357049e-31,2.3778079212781518e-24,2.455622530756667e-27,1.8372355847851322e-25,5.610452414881013e-25,7.917973802005031e-31,2.2980349907649727e-25,3.1160559481154043e-23,1.5876758716197746e-25,1.1103236979805489e-25,1.3755945642495222e-25,1.3718278151795122e-35,2.0952847676878103e-20,1.430387866196437e-22,5.055713937850534e-31,8.13457949014776e-26,5.559899616990795e-28,4.051799133799036e-38,3.955397774068344e-26,1.2100895044767086e-28,9.655189446607391e-39,6.942562983027506e-33,2.2997959852854495e-30,4.166877853361496e-33,3.618570513050459e-40,4.1674451220179223e-33,1.190415025413072e-39,2.292068275275379e-52,4.436010111808012e-51,2.1897719069142896e-61,3.915051611874989e-43,1.3255652954715885e-54,8.076957559701906e-55,6.495001538417647e-65,3.943847956374727e-65,1.349782926869637e-53,4.530463473739737e-53,5.872740776498967e-60,1.697582273404361e-58,1.5348438360834687e-30,1.2898398086647494e-39,1.4706427179373234e-67,8.958939735649856e-68,6.1572559479398595e-40,2.8532221724391375e-40,2.9889901879170656e-58,2.9145650858125082e-53,1.1381855434802274e-64,3.444043028169017e-67,1.2506659590938301e-50,4.113211555035843e-40,5.8239799704369625e-40,3.57586508879536e-68,2.079738230222792e-68,8.65276388198861e-30,4.015357467279683e-34,1.5073794984175638e-42,3.793320028095548e-44,1.9138161258089454e-44,8.953932364189453e-45,4.3306901892524636e-44
8.003098929811514e-17,0.11224537200000242,0.9,0.0,0.0,0.0,0.0,0.0999999999999785,5.509642247005082e-15,5.509547556064537e-15,3.806849027388312e-15,3.8068490292964655e-15,3.297230207655527e-15,3.297230267760148e-15,3.2971404192390404e-15,3.297140419403455e-15,2.939945886143031e-15,2.9399464797573324e-15,2.6618787694372964e-15,2.6618787708446677e-15,9.457391046806665e-20,1.137532749848535e-22,4.810783168569005e-23,1.0425563998712329e-23,4.336857394143011e-20,3.750597280992638e-30,9.926864376050653e-24,2.0608899320785144e-26,7.670096905469124e-25,2.3422495140813797e-24,6.642923941837984e-30,9.57048084244446e-25,6.415409176921902e-23,6.611524061484751e-25,4.624396766183228e-25,5.730288932990456e-25,1.1506049764857317e-34,4.283909853793085e-20,5.936088959686421e-22,2.1106616573206804e-30,3.374172938543991e-25,4.5065348339046524e-27,6.459398388042736e-37,1.6473698423429936e-25,8.982744307024646e-28,1.3627490244002932e-37,1.856541668464891e-32,9.601195523700284e-30,1.1154664120165522e-32,3.041626551278527e-39,1.1156182674980393e-32,8.246765141763322e-39,6.267651473089227e-51,1.5216500207289385e-49,1.5475691044122851e-59,6.35764836297275e-42,4.239546858373828e-53,2.7618008824757257e-53,4.325288856157522e-63,2.799002981494871e-63,9.233828725882e-52,1.2905756401002385e-51,2.087264052843752e-58,5.820564319210344e-57,6.407670881140177e-30,2.1721378928631445e-38,1.8975448757366756e-65,1.2348928906750368e-65,7.866786173940498e-39,7.307604220667132e-39,2.557187818460846e-57,5.034112743282548e-52,1.4110187972355027e-62,8.490111540761088e-65,2.034392093590397e-49,5.24485214138804e-39,9.807797444727326e-39,4.319277272825554e-66,2.5766238622114436e-66,3.612195549614032e-29,3.375008032911155e-33,6.743590163399299e-42,4.8351264728076435e-43,2.4367436023349047e-43,2.285539668711146e-43,7.290278102544975e-43
1.6234857829046212e-16,0.11224537200000492,0.9,0.0,0.0,0.0,0.0,0.09999999999995637,1.117670284630632e-14,1.1176317285278467e-14,7.722465166850033e-15,7.722465174659019e-15,6.688666869289052e-15,6.6886671148461354e-15,6.688484847877393e-15,6.688484848549205e-15,5.963890226174596e-15,5.963892622771428e-15,5.3998112159075705e-15,5.3998112216660595e-15,3.850828258724465e-19,4.647120954533368e-22,1.9653610333244294e-22,4.259180743896017e-23,8.797637669431497e-20,3.066710246641581e-29,4.0554352943051914e-23,1.6844057077912258e-25,3.1334848546129842e-24,9.568821429209894e-24,5.438000085694883e-29,3.890890944274041e-24,1.3014115239396366e-22,2.687463555702376e-24,1.880298341343134e-24,2.330818475344444e-24,9.392630810768725e-34,8.570979538437334e-20,2.3965540176785644e-21,8.622751533455852e-30,1.3609188060209647e-24,3.595159541523052e-26,1.0184314999404616e-35,6.698133101442556e-25,6.860761000677146e-27,2.0131661537344552e-36,4.321941254996302e-32,3.9224016514494944e-29,2.598706762437426e-32,2.4937092137997166e-38,2.5990605285608996e-32,4.921013906719041e-38,1.48719872241673e-49,4.9551643862206674e-48,1.0262973736261045e-57,1.0154935306991714e-40,1.2226300079286764e-51,8.973122518926081e-52,2.55423357676514e-61,1.8527748721746077e-61,6.014468198583081e-50,3.518622073285587e-50,7.030480180402802e-57,1.8993234076795183e-55,2.6177426321866494e-29,3.55673992905652e-37,2.1828979442333332e-63,1.5981166896891867e-63,8.695030884386456e-38,1.6153800116664073e-37,2.1151435907185917e-56,8.364010468291673e-51,1.7388493340822852e-60,2.0903655356904357e-62,3.026670469189416e-48,5.767775747366401e-38,1.605965481930238e-37,5.076913186113727e-64,3.182737628791707e-64,1.4755634537024668e-28,2.766797321656366e-32,3.1223464177524874e-41,5.3252717058872285e-42,2.6831062023003485e-42,5.0520496040774916e-42,1.1954921010913888e-41
3.2698375627515614e-16,0.11224537200000988,0.9,0.0,0.0,0.0,0.0,0.09999999999991212,2.2510824052268378e-14,2.2509275824562952e-14,1.5553697436661866e-14,1.555369746833514e-14,1.3471539817168913e-14,1.347154080983054e-14,1.3471173697307064e-14,1.3471173700023617e-14,1.2011778906233864e-14,1.2011788370600952e-14,1.0875676102477841e-14,1.0875676125825727e-14,1.5462939688154747e-18,1.8783833035830314e-21,7.944296553653038e-22,1.7216270735453722e-22,1.7719287422393764e-19,2.4790946717795172e-28,1.6392616053750593e-22,1.3556714375157745e-24,1.266604678056923e-23,3.867844668192628e-23,4.399402274262294e-28,1.557636100812075e-23,2.62115257838393e-22,1.0755059508151114e-23,7.529308088053724e-24,9.340143061115358e-24,7.541255860564546e-33,1.679896017502754e-19,9.464031693482338e-21,3.4854700738788807e-29,5.364183753003729e-24,2.821897050759587e-25,1.5795898113135733e-34,2.682033968009052e-24,5.319077092822965e-26,3.0559887862602256e-35,9.149976786030529e-32,1.5854974619132796e-28,5.503276458963808e-32,2.019470374682072e-37,5.504025525156234e-32,2.557612646286518e-37,3.0612214104711034e-48,1.5480986905919504e-46,6.496040071476229e-56,1.5958985615979086e-39,3.148695710947182e-50,2.801487205216141e-50,1.3385131895926283e-59,1.1691984812542106e-59,3.7601114780214234e-48,8.858972761255294e-49,2.3074739900278117e-55,5.967508444459872e-54,1.0581334261090742e-28,5.730275774352416e-36,2.2172103585332203e-61,1.963437334196836e-61,8.532382298994302e-37,3.1507914006348184e-36,1.730615493355124e-55,1.3634664577302898e-49,2.1242595464520272e-58,5.106608679605368e-60,4.0777211962849574e-47,5.595396929658602e-37,2.5873764387191394e-36,5.706075960640882e-62,3.920376275936585e-62,5.963351152068638e-28,2.240234488914715e-31,1.5579193157617102e-40,5.192569709225158e-41,2.6198795119657945e-41,9.896028187697655e-41,1.9356176912718313e-40
6.562541122445442e-16,0.11224537200001981,0.9,0.0,0.0,0.0,0.0,0.0999999999998236,4.5179066494401464e-14,4.5172922233859825e-14,3.1216161939839147e-14,3.121616206804145e-14,2.7037284211383923e-14,2.7037288203465542e-14,2.703655136477317e-14,2.7036551375704088e-14,2.410755626633697e-14,2.4107592639613375e-14,2.1827405850137264e-14,2.1827405944575586e-14,6.13647902073244e-18,7.552444056947937e-21,3.1943610928674375e-21,6.922571611235113e-22,3.5563292153809437e-19,1.993335768391603e-27,6.591318410173347e-22,1.0778737726728664e-23,5.092961700984765e-23,1.5552224645102021e-22,3.5389264437554505e-27,6.144779012739092e-23,5.260634055145606e-22,4.240011294976799e-23,2.971752489272292e-23,3.691730693949617e-23,5.967563662238861e-32,3.1977750075670392e-19,3.6370701162593094e-20,1.4015176501853652e-28,2.054198622318994e-23,2.1618327784956146e-24,2.377315498704836e-33,1.0584908007058867e-23,4.133099966546924e-25,4.675536877546724e-34,1.8112517329115345e-31,6.3752155664961875e-28,1.0888297542640002e-31,1.6254454468474357e-36,1.0889778717723633e-31,1.1924965413318685e-36,5.537710537105278e-47,4.6019997891557926e-45,5.173660229915635e-54,2.4492078283495537e-38,7.152996720701123e-49,8.346000479767752e-49,8.186182358820291e-58,9.304042958459732e-58,2.2372328107381685e-46,1.9901057934998144e-47,8.677829508607322e-54,1.7966107303815235e-52,4.254707968656051e-28,9.116552819018443e-35,3.368724528763539e-59,3.8963954404466607e-59,7.728680276182388e-36,5.599420459567036e-35,1.567831042038098e-54,2.201715325719726e-48,4.368945203199651e-56,2.0969058255481293e-57,4.880897287044242e-46,4.94907603823541e-36,4.1163732553658565e-35,1.0287683703540046e-59,8.250032975898032e-60,2.396940231983166e-27,1.8025061759541784e-30,8.624721758024041e-40,4.64644168579618e-40,2.3540992835019265e-40,1.7780455785280355e-39,3.1143054463813954e-39
1.31479482418332e-15,0.11224537200003967,0.9,0.0,0.0,0.0,0.0,0.09999999999964658,9.051555150527344e-14,9.049153749404989e-14,6.25410908004084e-14,6.254109132097915e-14,5.416876699366748e-14,5.41687830085392e-14,5.416730657409379e-14,5.41673066179916e-14,4.829911098648144e-14,4.8299244917718536e-14,4.373086524353165e-14,4.373086562651969e-14,2.398275719557549e-17,3.0285173248288475e-20,1.2810771689630535e-20,2.7762486988532647e-21,7.125678542013254e-19,1.598640379260013e-26,2.6433512612459213e-21,8.443370413015872e-23,2.0425054288468156e-22,6.236970321510996e-22,2.838815123957117e-26,2.3742266176164966e-22,1.0539594481330829e-21,1.6362082842768093e-22,1.149324390353346e-22,1.4316678858743284e-22,4.632211364555827e-31,5.796251742040364e-19,1.3391216603302332e-19,5.621110303367152e-28,7.515904894765153e-23,1.589341741563626e-23,3.3852223097985843e-32,4.093085494565939e-23,3.1769154907625865e-24,7.069298230914594e-33,3.3635684817259127e-31,2.5567465847024865e-27,2.0157342058344195e-31,1.304317603208846e-35,2.0160077044644698e-31,5.180686854488543e-36,8.940284222224692e-46,1.2696654129719193e-43,2.9049152345045306e-52,3.611495155943036e-37,1.4415842719778663e-47,2.32307944837017e-47,3.34248166398405e-56,5.234826191174769e-56,1.2359884793188035e-44,3.926415070177342e-46,2.8039828246194842e-52,5.0898591907008763e-51,1.7063281925295264e-27,1.4287140863233426e-33,2.5064747562366226e-57,3.9995484432042445e-57,6.717399066865484e-35,9.321384208476666e-34,3.154713983563764e-53,3.5383678381059213e-47,4.8841707871026495e-54,4.697496349578782e-55,5.157877628712916e-45,4.1043889215501416e-35,6.451035341831003e-34,9.48299778291867e-58,9.615093827162456e-58,9.605605234197175e-27,1.4453870398428737e-29,5.32309561842742e-39,3.9459557171170475e-39,2.0175046619442202e-39,3.028377246647386e-38,4.994119429631127e-38
