Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872),S(869),S(1124),S(1122)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8752126724562097e-18,0.1122453720000001,0.9,0.0,0.0,0.0,0.0,0.09999999999999924,1.979407395196853e-16,1.979405582370497e-16,1.3676577867689103e-16,1.3676577868052684e-16,1.1845709172808524e-16,1.1845709184279255e-16,1.184538639696718e-16,1.1845386396998555e-16,1.0562120676389918e-16,1.0562120790951637e-16,9.563130032905912e-17,9.563130033174122e-17,1.8105932172097031e-22,2.171051317395862e-25,9.181547320297282e-26,1.9897554185162773e-26,1.5580691352759066e-21,4.453323097910687e-34,1.8945814498833433e-26,2.427802683095664e-30,1.4638641236869487e-27,4.4702769637442075e-27,7.850732885810077e-34,1.83488881486022e-27,2.3048154988343027e-24,1.2677902517882953e-27,8.864987226301369e-28,1.098118048118033e-27,1.3570048868412102e-38,1.5592283323074934e-21,1.145616076577015e-24,4.0282681330839935e-33,6.517898146129699e-28,7.834630521008895e-31,8.601336919682219e-42,3.15807619261567e-28,3.1291708216975612e-31,3.9183273923800176e-42,1.018705843623296e-34,1.832420873020749e-32,6.099270217428825e-35,3.5727669137723984e-43,6.100100560982703e-35,1.0130981907449736e-42,4.0098789069640495e-57,4.449966784044948e-56,5.4030392410455094e-67,7.245640607735957e-47,1.42333389929333e-59,8.161011156018778e-60,1.0531964303782648e-70,6.035877895696662e-71,2.7913118956337512e-59,1.2494574866916514e-57,6.093751927110631e-65,1.8149199679303162e-63,1.2229258161349645e-32,1.6815218253559294e-43,5.633623471141869e-74,3.230182773507545e-74,1.1048392439182452e-43,6.981204961918722e-45,2.0361238324416968e-61,2.2717094383065234e-57,7.039060605857892e-71,4.419471723220962e-74,1.0294530118669029e-54,7.387386336186931e-44,7.592531542258222e-44,2.267743748858127e-74,1.2914296039270827e-74,6.894561328241007e-32,3.964666020401296e-37,1.1259941246198685e-44,6.832044184816447e-48,3.4572788414816655e-48,2.2676502944370303e-49,5.3276819031320145e-48,3.536516135289533e-49
8.050595482877387e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999784,5.542340706621987e-16,5.542329759305204e-16,3.8294418028629084e-16,3.8294418030825347e-16,3.316798564676845e-16,3.316798571605183e-16,3.316708191073279e-16,3.3167081910922297e-16,2.9573937893891396e-16,2.9573938585354273e-16,2.677676409150705e-16,2.6776764093127193e-16,1.0933828463826756e-21,1.3113137949212548e-24,5.545654437727921e-25,1.2018122340231477e-25,4.362593600806826e-21,5.278721806007049e-33,1.1443269822496835e-25,2.8817659354022736e-29,8.841739307005611e-27,2.7000467516078906e-26,9.312126311289125e-33,1.1079529729363598e-26,6.453483381117036e-24,7.655164777695632e-27,5.352948369587189e-27,6.630916119644413e-27,1.6106303147023388e-37,4.362132436921775e-21,6.914618665627486e-24,2.4330739626369784e-32,3.933788770706455e-27,7.753825399334861e-30,1.524912940220295e-40,1.906939900619907e-27,2.4281378917465197e-30,5.549068998835724e-41,5.538531964310211e-34,1.1067822073164328e-31,3.3178072616279383e-34,4.2415888800027676e-42,3.3182589416678333e-34,1.482516255651521e-41,1.9790881921597234e-55,2.703621844898803e-54,3.13187688952663e-65,1.3632202481056867e-45,8.56575372976962e-58,4.950786312609713e-58,8.044892816156952e-69,4.64626879170047e-69,2.3151258541836606e-57,4.967674859399492e-56,2.9110584205772e-63,1.0441285677829334e-61,7.386471929469157e-32,3.760828753204589e-42,5.38586814767488e-72,3.1134868077107937e-72,2.3536040938831893e-42,2.735789806021643e-43,3.076987621093825e-60,7.142608513714342e-56,6.037233902781986e-69,5.361457820315413e-72,3.2131937456253158e-53,1.5736323431732528e-42,1.6981171759277e-42,1.9381919549449846e-72,1.1067370115221458e-72,4.164295605618964e-31,4.706831381015849e-36,6.864702353794372e-44,1.454351587713028e-46,7.354854461907771e-47,8.738637212463009e-48,1.1341173945294455e-46,1.3569279572854118e-47
1.8401361103719743e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999507,1.2668207329755707e-15,1.266815464506873e-15,8.753009834690746e-16,8.753009835748384e-16,7.581253844630666e-16,7.5812538779878e-16,7.581047293516276e-16,7.581047293607515e-16,6.759757232889281e-16,6.759757565300958e-16,6.120403220619133e-16,6.120403221399313e-16,5.261974489112978e-21,6.313399226001154e-24,2.669993745145005e-24,5.78620817563511e-25,9.971642733208737e-21,5.169288368673772e-32,5.509439655293729e-25,2.8282317401044544e-28,4.2569168715864345e-26,1.2999557393167147e-25,9.129307433575889e-32,5.331061357238228e-26,1.4750819083206458e-23,3.683303576122958e-26,2.575683672022434e-26,3.190753272401783e-26,1.580467312331931e-36,9.953152188024246e-21,3.324108241677698e-23,1.1714203990185835e-31,1.890879124553386e-26,6.803965412055046e-29,2.5610642088285608e-39,9.175618297986436e-27,1.716688383024728e-29,7.3465475976573405e-40,2.1941989681089753e-33,5.328679898922908e-31,1.3155307360076118e-33,4.164417114606955e-41,1.3157098296913446e-33,1.490598040923079e-40,7.481192231301675e-54,1.2170332887404451e-52,2.8870202149825935e-63,2.401607115456876e-44,3.777944375280397e-56,2.222983954243013e-56,8.57644360142911e-67,5.0378074500143064e-67,1.8982858740668164e-55,1.58448201645549e-54,1.515782084302843e-61,4.6706239002365533e-60,3.5562682733414553e-31,7.427877275291317e-41,1.0285767623015113e-69,6.052755885552167e-70,4.2104302493168335e-41,9.784391887404343e-42,3.3100767058157095e-59,1.5934707495403028e-54,9.183784700405145e-67,1.4376263939006086e-69,7.054150821198338e-52,2.814552629969989e-41,3.353890009143608e-41,2.92607173236994e-70,1.6808844915926655e-70,2.0049083849752427e-30,4.6211504949476143e-35,3.3680860558081652e-43,2.5984668133050065e-45,1.3126801979366173e-45,3.0906675235275866e-46,2.0263424703294062e-45,4.7898691965854265e-46
3.910289234540446e-17,0.1122453720000012,0.9,0.0,0.0,0.0,0.0,0.0999999999999895,2.691994057715898e-15,2.6919710681752855e-15,1.860014589690578e-15,1.8600145901526813e-15,1.6110164345185656e-15,1.6110164490866538e-15,1.6109725497161757e-15,1.6109725497560236e-15,1.4364484119888956e-15,1.4364485567261473e-15,1.3005856842548782e-15,1.3005856845957373e-15,2.2961177258043473e-20,2.757216581981345e-23,1.1660562868937514e-23,2.526988780725181e-24,2.1189742707667813e-20,4.557063938007688e-31,2.406115136226858e-24,2.4995802303087164e-27,1.859107436984298e-25,5.677243459313954e-25,8.059652285884375e-31,2.3253593130626937e-25,3.134549023748129e-23,1.606553000302521e-25,1.1235262088368342e-25,1.3919528433593121e-25,1.396379624182835e-35,2.1076349139267714e-20,1.4473656265981864e-22,5.1159010143382555e-31,8.231107665341873e-26,5.657294571054473e-28,4.146345058098559e-38,4.0024299232982306e-26,1.2300872723751992e-28,9.867584855680665e-39,7.00287997223841e-33,2.3271745089210438e-30,4.203119089240704e-33,3.683379777242339e-40,4.2036912916681395e-33,1.2100752727387117e-39,2.356861370504461e-52,4.5689063766336625e-51,2.2684934020039678e-61,4.007194865629951e-43,1.364678965610299e-54,8.318695498986707e-55,6.726494377825423e-65,4.086007391233358e-65,1.3983701440933594e-53,4.658013041324116e-53,6.049088390953691e-60,1.748455041143469e-58,1.5531157865131808e-30,1.3207209727777152e-39,1.531310588906508e-67,9.332312030772721e-68,6.2928433920801775e-40,2.933363559193177e-40,3.0425235287923213e-58,2.9843723026851072e-53,1.1842493699498537e-64,3.604319380728033e-67,1.2801538005697244e-50,4.203747336973453e-40,5.963416883489257e-40,3.719984585427392e-68,2.1638826886448308e-68,8.755770705450351e-30,4.0872722656046824e-34,1.5259424100546584e-42,3.876785242122045e-44,1.9559046451664872e-44,9.20504658325249e-45,3.023404686486471e-44,1.4264505352090177e-44
8.050595482877388e-17,0.11224537200000244,0.9,0.0,0.0,0.0,0.0,0.09999999999997837,5.542340707652516e-15,5.5422448913168934e-15,3.829441801557331e-15,3.8294418034882205e-15,3.31679851088851e-15,3.3167985717086767e-15,3.316708189949055e-15,3.3167081901154274e-15,2.9573937893885865e-15,2.95739439002764e-15,2.6776764082379257e-15,2.677676409662064e-15,9.569791219050512e-20,1.1510747016991469e-22,4.868054384166001e-23,1.0549677821860256e-23,4.362595670837582e-20,3.8176704138835446e-30,1.0045041146796018e-23,2.0977622755848934e-26,7.76140758290972e-25,2.3701333900118387e-24,6.761799078218982e-30,9.684137032772222e-25,6.453483154641685e-23,6.690033784174959e-25,4.679318324858338e-25,5.798357259635092e-25,1.17118249339037e-34,4.30898370188452e-20,6.006335531048531e-22,2.1357885915712547e-30,3.41408251357134e-25,4.5860990927678634e-27,6.611561305354318e-37,1.6669345936643261e-25,9.136476072755305e-28,1.3937737952853055e-37,1.8705750068060472e-32,9.715495470421504e-30,1.1239069717403076e-32,3.0961026428788584e-39,1.1240599762670556e-32,8.375555086569553e-39,6.440295240249754e-51,1.5671319677721844e-49,1.6032609041440437e-59,6.508229604519193e-42,4.362833044345752e-53,2.844281691005568e-53,4.4776670665737506e-63,2.899720664588941e-63,9.566152493441404e-52,1.3271939962094721e-51,2.1499407570363482e-58,5.99464862019417e-57,6.483952677345492e-30,2.224122537396735e-38,1.9754041528189057e-65,1.2865318162013804e-65,8.032103801794705e-39,7.505453050975656e-39,2.602988926716221e-57,5.154685142020477e-52,1.469108677910734e-62,8.891907511803463e-65,2.0816814565085006e-49,5.354927904338009e-39,1.0042522351219448e-38,4.4957644993764914e-66,2.682711567873313e-66,3.6551959069003986e-29,3.43545331706084e-33,6.829151329537527e-42,4.9366179083132456e-43,2.487875251547351e-43,2.347383534931429e-43,3.850759088572402e-43,3.640336720508473e-43
1.6331207979551271e-16,0.11224537200000494,0.9,0.0,0.0,0.0,0.0,0.09999999999995611,1.1243034009362496e-14,1.124264387362402e-14,7.768296222985817e-15,7.76829623088793e-15,6.728362568664251e-15,6.728362817144753e-15,6.728179468429863e-15,6.728179469109674e-15,5.999284544186993e-15,5.999286968977266e-15,5.431857854592492e-15,5.431857860419639e-15,3.8965184246752936e-19,4.70244296982082e-22,1.9887581781526125e-22,4.3098852487029437e-23,8.849849828522729e-20,3.1215764905028554e-29,4.103714134247886e-23,1.7145107633145028e-25,3.1707882457349425e-24,9.682735585880596e-24,5.535336389164e-29,3.936985133250878e-24,1.309135101658628e-22,2.7192956311709716e-24,1.9025765668469915e-24,2.358444824805156e-24,9.560365438443888e-34,8.62044936352967e-20,2.4247467043668184e-21,8.725403496989034e-30,1.376912788909022e-24,3.6587022000043844e-26,1.0424728849982693e-35,6.777492531437914e-25,6.980461634283136e-27,2.0599639085573807e-36,4.3508006698536925e-32,3.969096909213524e-29,2.616071223997589e-32,2.5383720049939747e-38,2.616427353780177e-32,4.992602519614996e-38,1.5266478039918883e-49,5.102610717770839e-48,1.0631315563120566e-57,1.0395732633422102e-40,1.2573479319251382e-51,9.240001856712053e-52,2.6425203294036487e-61,1.9192262286585417e-61,6.230191318739497e-50,3.617447942705796e-50,7.241592581816907e-57,1.9559109235652204e-55,2.6489062349518556e-29,3.6417950832191623e-37,2.271110579855403e-63,1.6648485745987513e-63,8.868907355015651e-38,1.657417589588083e-37,2.1530475284039425e-56,8.564336028617316e-51,1.8110678683855645e-60,2.1900942884285895e-62,3.095319829183122e-48,5.882735656683716e-38,1.6443702133284342e-37,5.284944940659367e-64,3.315058371737354e-64,1.493128044356336e-28,2.816348280439478e-32,3.163871959348985e-41,5.431549885108592e-42,2.7366640209459286e-42,5.18360378685206e-42,4.2392203692239783e-42,8.045912761610713e-42
3.289243297289904e-16,0.11224537200000992,0.9,0.0,0.0,0.0,0.0,0.09999999999991159,2.264442062023082e-14,2.2642854083632716e-14,1.564600505662271e-14,1.564600508867433e-14,1.3551490304359654e-14,1.3551491308839643e-14,1.3551122017451015e-14,1.3551122020199922e-14,1.20830660537799e-14,1.2083075628201885e-14,1.0940220740855509e-14,1.0940220764482192e-14,1.564579831681812e-18,1.900744326825779e-21,8.038871428966644e-22,1.7421226113842308e-22,1.7824448935635768e-19,2.5234665746384284e-28,1.6587765031587743e-22,1.3798509283497435e-24,1.2816833051732462e-23,3.913890126958725e-23,4.478166942185501e-28,1.5759996959812988e-23,2.6367085141154697e-22,1.0881812025202107e-23,7.618097065741064e-24,9.450367244883869e-24,7.675541387546946e-33,1.6893269928758636e-19,9.574080694113545e-21,3.52696402158072e-29,5.426440709463072e-24,2.8715147973496724e-25,1.6167027851559017e-34,2.7136604080587918e-24,5.412652958708863e-26,3.1277283049441235e-35,9.205491657537651e-32,1.6043724317050967e-28,5.536665488577479e-32,2.0556394609421e-37,5.537419097772281e-32,2.5922721383672684e-37,3.139103640006216e-48,1.5937699001776833e-46,6.727733435608136e-56,1.6336064092710657e-39,3.2351436059373444e-50,2.884145738958817e-50,1.3835393913719983e-59,1.2108679851487371e-59,3.894027463283649e-48,9.101165918759519e-49,2.3767631939937234e-55,6.144009544475652e-54,1.07073025261131e-28,5.867096106726407e-36,2.304606546893944e-61,2.0448584137402943e-61,8.696206482089988e-37,3.2300200243012956e-36,1.7618830402053755e-55,1.3961222384380008e-49,2.2126155404975417e-58,5.35057381765161e-60,4.1667881833458473e-47,5.702033059552818e-37,2.6491545656671273e-36,5.937957394568349e-62,4.0838773846110804e-62,6.034330065742534e-28,2.2803527862418983e-31,1.5799887975009555e-40,5.291878216940804e-41,2.670042801502359e-41,1.014548111162217e-40,4.1356072579105446e-41,1.5758424609581261e-40
6.601488295959457e-16,0.11224537200001994,0.9,0.0,0.0,0.0,0.0,0.09999999999982255,4.5447193872545086e-14,4.544097742721249e-14,3.140142268701623e-14,3.1401422816754705e-14,2.7197744256330266e-14,2.7197748295944146e-14,2.719700708372631e-14,2.7197007094787443e-14,2.42506290729501e-14,2.425066585989787e-14,2.1956946487597086e-14,2.195694658316624e-14,6.208571102902943e-18,7.642348738469771e-21,3.23238913378048e-21,7.004982996449806e-22,3.577436487648739e-19,2.0290238251408693e-27,6.66978553327202e-22,1.097020123161229e-23,5.153592197400015e-23,1.5737367672704342e-22,3.602295830062785e-27,6.216535628450412e-23,5.2918546993781195e-22,4.2894917482987116e-23,3.006473139147917e-23,3.734925389638483e-23,6.073228824988939e-32,3.2147753190688417e-19,3.678432775535018e-20,1.4182027896781644e-28,2.077476413330002e-23,2.1993384240725275e-24,2.4324232476096803e-33,1.0708567422617712e-23,4.205817434219084e-25,4.785408858836105e-34,1.8213233321875528e-31,6.451110989965937e-28,1.0948725895797066e-31,1.654557474093885e-36,1.0950215277015876e-31,1.2077907470955331e-36,5.673101536665259e-47,4.7356333036422523e-45,5.35595997694347e-54,2.5065253055050183e-38,7.34187644719315e-49,8.588684126994844e-49,8.453007922542897e-58,9.631832733236289e-58,2.3158772282102217e-46,2.042435123589207e-47,8.938408783303068e-54,1.8490664471731667e-52,4.305359254005737e-28,9.333562148072987e-35,3.4970475581967915e-59,4.055244679847656e-59,7.873364970977036e-36,5.736662965400807e-35,1.6001658047305094e-54,2.2544459666922307e-48,4.549456261308875e-56,2.1965023502477213e-57,4.982453345838139e-46,5.040300195018046e-36,4.2143589102045843e-35,1.0697741358198244e-59,8.593072977599498e-60,2.4254644655711502e-27,1.834781787954945e-30,8.75551585448403e-40,4.7327525427906375e-40,2.3979542584715895e-40,1.8218708403836342e-39,3.708907298260335e-40,2.8310219087807506e-39
1.3225978293298566e-15,0.11224537200003991,0.9,0.0,0.0,0.0,0.0,0.09999999999964448,9.10527405053528e-14,9.102844796155899e-14,6.291225780028242e-14,6.291225832712478e-14,5.449024608262367e-14,5.44902622882049e-14,5.4488777089169456e-14,5.448877713359057e-14,4.858575511122803e-14,4.8585890504685584e-14,4.399039787794239e-14,4.3990398265539077e-14,2.42609171487172e-17,3.064566991773183e-20,1.2963280336091382e-20,2.809299132891593e-21,7.167977680413024e-19,1.6272668903287002e-26,2.6748189993598774e-21,8.59216374649017e-23,2.066820969649817e-22,6.311217959084889e-22,2.889652614029958e-26,2.4014469302977115e-22,1.0602144512496356e-21,1.654943476501273e-22,1.1625140308463254e-22,1.4481430520381237e-22,4.713346586905729e-31,5.823979580488041e-19,1.3537406235527435e-19,5.688034570316225e-28,7.597431160418483e-23,1.6162112666012772e-23,3.4615989362649137e-32,4.1400504641131303e-23,3.2323582676619487e-24,7.234142964357608e-33,3.3803175800439717e-31,2.58718404409405e-27,2.0256648875418377e-31,1.3276781716425115e-35,2.0259397216002367e-31,5.2448626566812575e-36,9.150550624679304e-46,1.305542745895783e-43,3.005139917386072e-52,3.694460076515082e-37,1.4783158126116543e-47,2.389027026615602e-47,3.448250459631825e-56,5.415737817166783e-56,1.2784731131679217e-44,4.0253026309459855e-46,2.8881812765268934e-52,5.2353703685005315e-51,1.726641623401321e-27,1.4625216327873623e-33,2.598462466898934e-57,4.1580328794313305e-57,6.841864644027054e-35,9.545485827834971e-34,3.2576212392300287e-53,3.623106422369963e-47,5.0824863096089823e-54,4.9172524036243056e-55,5.259970974021706e-45,4.178156218560178e-35,6.603685671894191e-34,9.849796070815355e-58,1.0010303057247994e-57,9.719871295647341e-27,1.4712619826136032e-29,5.408592607672627e-39,4.018001942540006e-39,2.0545657465931985e-39,3.1020248469806716e-38,3.166559104120703e-39,4.82141978947532e-38
